scenario,model,n_features,accuracy_mean,accuracy_std,accuracy_95ci_lo,accuracy_95ci_hi
composition_only,GBT,33,0.6675675675675675,0.04239023551718413,0.6378378378378378,0.7054054054054054
composition_only,RF,33,0.681081081081081,0.04063053075235921,0.6431756756756756,0.7135135135135136
composition_only,SVM,33,0.6567567567567567,0.025063833771610006,0.6323648648648649,0.672972972972973
composition_only,KNN,33,0.6675675675675675,0.023561615911030686,0.6486486486486487,0.6918918918918919
pre_calc,GBT,117,0.8675675675675676,0.031286045683216815,0.8378378378378379,0.8972972972972972
pre_calc,RF,117,0.8162162162162163,0.03585540313897727,0.7810810810810811,0.8513513513513512
pre_calc,SVM,117,0.681081081081081,0.03783783783783783,0.6432432432432431,0.7054054054054053
pre_calc,KNN,117,0.7162162162162161,0.04098851591379216,0.6783783783783784,0.7487162162162162
all_features,GBT,155,0.927027027027027,0.020225175063642926,0.9080405405405407,0.9433108108108109
all_features,RF,155,0.9027027027027028,0.03353965850267801,0.8702702702702702,0.9297297297297298
all_features,SVM,155,0.7459459459459461,0.05364711686832219,0.691891891891892,0.7891891891891892
all_features,KNN,155,0.7351351351351352,0.032656881009715075,0.7080405405405406,0.7621621621621621
pre_calc_LOCO,GBT,117,0.7596171802054155,0.2006537598752177,,
