feature,importance_mean,importance_std
abs_Sz,0.25765765765765763,0.011194396084330866
net_moment_per_atom,0.158018018018018,0.015893689506306576
total_Sz,0.10216216216216217,0.00985406047846869
std_Sz_Mn,0.044234234234234206,0.007133064582636963
Mn_4s_up_skew,0.0,0.0
Mn_3d_exchange_split,0.0,0.0
Mn_4s_up_integral,0.0,0.0
Mn_4s_up_center,0.0,0.0
Mn_4s_up_width,0.0,0.0
Mn_4s_dn_integral,0.0,0.0
Mn_3d_dn_occ_filling,0.0,0.0
Mn_4s_dn_center,0.0,0.0
Mn_4s_dn_width,0.0,0.0
Mn_4s_dn_skew,0.0,0.0
Mn_4s_dos_ef_up,0.0,0.0
Mn_4s_dos_ef_dn,0.0,0.0
Mn_4s_spin_pol_ef,0.0,0.0
Mn_4s_up_occ_filling,0.0,0.0
Mn_3d_dn_occ_center,0.0,0.0
n_atoms,0.0,0.0
Mn_4s_dn_occ_filling,0.0,0.0
Mn_3d_up_skew,0.0,0.0
std_charge_Ga,0.0,0.0
charge_transfer_Mn_Ni,0.0,0.0
charge_transfer_Mn_Ga,0.0,0.0
charge_transfer_Ni_Ga,0.0,0.0
Mn_3d_up_integral,0.0,0.0
Mn_3d_up_center,0.0,0.0
Mn_3d_up_width,0.0,0.0
Mn_3d_dn_integral,0.0,0.0
Mn_3d_up_occ_center,0.0,0.0
Mn_3d_dn_center,0.0,0.0
Mn_3d_dn_width,0.0,0.0
Mn_3d_dn_skew,0.0,0.0
Mn_3d_dos_ef_up,0.0,0.0
Mn_3d_dos_ef_dn,0.0,0.0
Mn_3d_spin_pol_ef,0.0,0.0
Mn_3d_up_occ_filling,0.0,0.0
Mn_4s_up_occ_center,0.0,0.0
Mn_4s_dn_occ_center,0.0,0.0
std_valence_Ga,0.0,0.0
Ga_4p_up_occ_filling,0.0,0.0
Ga_4p_dn_integral,0.0,0.0
Ga_4p_dn_center,0.0,0.0
Ga_4p_dn_width,0.0,0.0
Ga_4p_dn_skew,0.0,0.0
Ga_4p_dos_ef_up,0.0,0.0
Ga_4p_dos_ef_dn,0.0,0.0
Ga_4p_spin_pol_ef,0.0,0.0
Ga_4p_up_occ_center,0.0,0.0
