feature,importance_mean,importance_std
n_Mn,0.05333333333333332,0.011315544841879332
n_atoms,0.013243243243243235,0.007363728319610607
avg_nd,0.0013513513513513375,0.004872366588464858
avg_mass,0.0009909909909909882,0.006337759400706861
x_Ni_sq,0.0009909909909909809,0.00590004120001187
x_Mn_x_Ni,0.000900900900900888,0.004646413318280221
x_Mn,0.0008108108108107915,0.0076172756122262885
avg_r,0.000720720720720706,0.002955174678712909
VEC_m7,0.000540540540540535,0.0018983159915049786
Mn_excess,0.000540540540540524,0.007463897361156034
n_Ga,0.00045045045045044216,0.003763351094451424
delta_mass,0.00045045045045043474,0.0045269710005049115
n_elements,0.0003603603603603567,0.002938649807261264
abs_VEC_m7p5,0.000360360360360353,0.0033996328403807586
VEC,0.0002702702702702601,0.002643495630832639
S_mix,0.00018018018018017463,0.0034139270849542977
S_mix_norm,0.00018018018018017463,0.0034139270849542977
x_Ga,0.00018018018018017463,0.002199379390222276
x_Ga_sq,0.00018018018018017463,0.002199379390222276
has_Ga,0.00018018018018016723,0.0028715995406322853
delta_r,0.00018018018018015983,0.005835724230883482
x_Mn_sq,9.009009009008177e-05,0.007723090872125335
avg_en,9.009009009007437e-05,0.004156854772994337
x_Ni,9.009009009007067e-05,0.004097861411006894
has_Mn,0.0,0.0
has_Ni,0.0,0.0
VEC_m6,-0.00045045045045046065,0.0035639712513247587
Mn_to_TM,-0.0004504504504504681,0.0034949846380668134
x_Mn_x_Ga,-0.0006306306306306242,0.0020563445424348127
delta_en,-0.0006306306306306316,0.005300023812642423
VEC_m8,-0.0007207207207207282,0.0031928009273278156
x_Ni_x_Ga,-0.0009009009009009139,0.005096265089632768
n_Ni,-0.0016216216216216309,0.004607824091006999
