feature,importance_mean,importance_std
Mn_3d_exchange_split,0.24909909909909908,0.023941769848501465
Mn_3d_dn_occ_filling,0.01288288288288287,0.0052538822745309315
vol_per_atom,0.012702702702702684,0.001421597643068409
c,0.002702702702702675,0.0
a,0.0022522522522522292,0.0010072378277025977
Mn_3d_dn_skew,0.002072072072072051,0.0011431150937341794
Mn_4s_spin_pol_ef,0.0003603603603603567,0.0009187422547013935
n_atoms,0.0,0.0
Mn_4s_dos_ef_up,0.0,0.0
Ni_3d_up_integral,0.0,0.0
Mn_4s_exchange_split,0.0,0.0
Mn_4s_dn_occ_center,0.0,0.0
Mn_4s_dn_occ_filling,0.0,0.0
Mn_4s_up_occ_center,0.0,0.0
Mn_4s_up_occ_filling,0.0,0.0
Mn_4s_dos_ef_dn,0.0,0.0
Mn_4s_dn_width,0.0,0.0
Mn_4s_dn_skew,0.0,0.0
Mn_4s_dn_center,0.0,0.0
Mn_4s_dn_integral,0.0,0.0
Mn_4s_up_skew,0.0,0.0
Mn_4s_up_width,0.0,0.0
Mn_4s_up_center,0.0,0.0
Mn_4s_up_integral,0.0,0.0
Mn_3d_dn_occ_center,0.0,0.0
Mn_3d_up_occ_center,0.0,0.0
Mn_3d_up_occ_filling,0.0,0.0
Mn_3d_spin_pol_ef,0.0,0.0
Mn_3d_dos_ef_dn,0.0,0.0
Ni_3d_dn_integral,0.0,0.0
Ni_3d_up_center,0.0,0.0
Ni_3d_dn_center,0.0,0.0
Ga_4p_up_width,0.0,0.0
Ga_4p_dn_occ_center,0.0,0.0
Ga_4p_dn_occ_filling,0.0,0.0
Ga_4p_up_occ_center,0.0,0.0
Ga_4p_up_occ_filling,0.0,0.0
Ga_4p_spin_pol_ef,0.0,0.0
Ga_4p_dos_ef_dn,0.0,0.0
Ga_4p_dos_ef_up,0.0,0.0
Ga_4p_dn_skew,0.0,0.0
Ga_4p_dn_width,0.0,0.0
Ga_4p_dn_center,0.0,0.0
Ga_4p_dn_integral,0.0,0.0
Ga_4p_up_skew,0.0,0.0
Ga_4p_up_center,0.0,0.0
Ni_3d_up_width,0.0,0.0
Ga_4p_up_integral,0.0,0.0
Ni_3d_exchange_split,0.0,0.0
Ni_3d_dn_occ_center,0.0,0.0
Ni_3d_up_occ_center,0.0,0.0
Ni_3d_dn_occ_filling,0.0,0.0
Ni_3d_up_occ_filling,0.0,0.0
Ni_3d_spin_pol_ef,0.0,0.0
Ni_3d_dos_ef_dn,0.0,0.0
Ni_3d_dos_ef_up,0.0,0.0
Ni_3d_dn_skew,0.0,0.0
Ni_3d_up_skew,0.0,0.0
Ni_3d_dn_width,0.0,0.0
Mn_3d_dos_ef_up,0.0,0.0
Mn_3d_dn_center,0.0,0.0
Mn_3d_dn_width,0.0,0.0
n_Mn,0.0,0.0
x_Ga_sq,0.0,0.0
x_Ni_sq,0.0,0.0
x_Mn_sq,0.0,0.0
x_Ni_x_Ga,0.0,0.0
x_Mn_x_Ga,0.0,0.0
x_Mn_x_Ni,0.0,0.0
n_elements,0.0,0.0
has_Ga,0.0,0.0
has_Ni,0.0,0.0
has_Mn,0.0,0.0
delta_mass,0.0,0.0
S_mix_norm,0.0,0.0
S_mix,0.0,0.0
delta_r,0.0,0.0
delta_en,0.0,0.0
avg_nd,0.0,0.0
avg_mass,0.0,0.0
avg_r,0.0,0.0
avg_en,0.0,0.0
VEC,0.0,0.0
x_Ga,0.0,0.0
x_Ni,0.0,0.0
x_Mn,0.0,0.0
n_Ga,0.0,0.0
n_Ni,0.0,0.0
Mn_excess,0.0,0.0
Mn_to_TM,0.0,0.0
VEC_m6,0.0,0.0
stress_yy,0.0,0.0
Mn_3d_dn_integral,0.0,0.0
Mn_3d_up_skew,0.0,0.0
Mn_3d_up_width,0.0,0.0
Mn_3d_up_center,0.0,0.0
Mn_3d_up_integral,0.0,0.0
stress_anisotropy,0.0,0.0
pressure_kbar,0.0,0.0
stress_xy,0.0,0.0
stress_xz,0.0,0.0
stress_yz,0.0,0.0
stress_zz,0.0,0.0
stress_xx,0.0,0.0
VEC_m7,0.0,0.0
tetragonality,0.0,0.0
c_over_a,0.0,0.0
b_over_a,0.0,0.0
volume,0.0,0.0
gamma,0.0,0.0
beta,0.0,0.0
alpha,0.0,0.0
b,0.0,0.0
E_fermi_eV,0.0,0.0
abs_VEC_m7p5,0.0,0.0
VEC_m8,0.0,0.0
Ga_4p_exchange_split,0.0,0.0
