path,converged,n_atoms,n_Mn,n_Ni,n_Ga,x_Mn,x_Ni,x_Ga,VEC,avg_en,avg_r,avg_mass,avg_nd,delta_en,delta_r,S_mix,S_mix_norm,delta_mass,has_Mn,has_Ni,has_Ga,n_elements,x_Mn_x_Ni,x_Mn_x_Ga,x_Ni_x_Ga,x_Mn_sq,x_Ni_sq,x_Ga_sq,Mn_excess,Mn_to_TM,VEC_m6,VEC_m7,VEC_m8,abs_VEC_m7p5,E_KS_eV,E_per_atom,E_fermi_eV,n_cg_steps,a,b,c,alpha,beta,gamma,volume,vol_per_atom,b_over_a,c_over_a,tetragonality,stress_xx,stress_yy,stress_zz,stress_yz,stress_xz,stress_xy,pressure_kbar,stress_anisotropy,total_Sz,abs_Sz,max_abs_Sz,net_moment_per_atom,abs_moment_per_atom,mag_ordering,avg_abs_Sz_Mn,avg_Sz_Mn,std_Sz_Mn,avg_abs_Sz_Ni,avg_Sz_Ni,std_Sz_Ni,avg_abs_Sz_Ga,avg_Sz_Ga,std_Sz_Ga,mag_frustration,sublattice_imbalance,max_charge_transfer,charge_std,avg_valence_Mn,std_valence_Mn,avg_charge_Mn,std_charge_Mn,avg_valence_Ni,std_valence_Ni,avg_charge_Ni,std_charge_Ni,avg_valence_Ga,std_valence_Ga,avg_charge_Ga,std_charge_Ga,charge_transfer_Mn_Ni,charge_transfer_Mn_Ga,charge_transfer_Ni_Ga,system_id,Mn_3d_up_integral,Mn_3d_up_center,Mn_3d_up_width,Mn_3d_up_skew,Mn_3d_dn_integral,Mn_3d_dn_center,Mn_3d_dn_width,Mn_3d_dn_skew,Mn_3d_dos_ef_up,Mn_3d_dos_ef_dn,Mn_3d_spin_pol_ef,Mn_3d_up_occ_filling,Mn_3d_up_occ_center,Mn_3d_dn_occ_filling,Mn_3d_dn_occ_center,Mn_3d_exchange_split,Mn_4s_up_integral,Mn_4s_up_center,Mn_4s_up_width,Mn_4s_up_skew,Mn_4s_dn_integral,Mn_4s_dn_center,Mn_4s_dn_width,Mn_4s_dn_skew,Mn_4s_dos_ef_up,Mn_4s_dos_ef_dn,Mn_4s_spin_pol_ef,Mn_4s_up_occ_filling,Mn_4s_up_occ_center,Mn_4s_dn_occ_filling,Mn_4s_dn_occ_center,Mn_4s_exchange_split,Ni_3d_up_integral,Ni_3d_dn_integral,Ni_3d_up_center,Ni_3d_dn_center,Ni_3d_up_width,Ni_3d_dn_width,Ni_3d_up_skew,Ni_3d_dn_skew,Ni_3d_dos_ef_up,Ni_3d_dos_ef_dn,Ni_3d_spin_pol_ef,Ni_3d_up_occ_filling,Ni_3d_dn_occ_filling,Ni_3d_up_occ_center,Ni_3d_dn_occ_center,Ni_3d_exchange_split,Ga_4p_up_integral,Ga_4p_up_center,Ga_4p_up_width,Ga_4p_up_skew,Ga_4p_dn_integral,Ga_4p_dn_center,Ga_4p_dn_width,Ga_4p_dn_skew,Ga_4p_dos_ef_up,Ga_4p_dos_ef_dn,Ga_4p_spin_pol_ef,Ga_4p_up_occ_filling,Ga_4p_up_occ_center,Ga_4p_dn_occ_filling,Ga_4p_dn_occ_center,Ga_4p_exchange_split,total_dos_ef_up,total_dos_ef_dn,total_spin_pol_ef,minority_dos_min_near_ef,half_metallic_proxy,E_form_eV,E_form_per_atom
calculation000,True,8,3,2,3,0.375,0.25,0.375,6.25,1.7375,1.3175,61.42,7.625,0.1503121751555741,0.0547003237396568,1.0821955300387671,0.9850568223215076,0.1073129086790473,1,1,1,3,0.09375,0.140625,0.09375,0.140625,0.0625,0.140625,-0.125,0.6,0.25,-0.75,-1.75,1.25,-24223.4849,-3027.9356125,-6.637174,60,2.757618,6.460255,5.452559,90.0,90.0,90.0,97.13687769430985,12.14210971178873,2.342693948182816,1.9772713261952888,1.9772713261952888,0.004204,-0.001394,0.000711,-0.0,-0.0,0.0,-1.880421309438,0.005598,-0.4240290000000002,8.910197,3.360422,-0.053003625,1.113774625,AFM,2.6758450000000003,-0.4355636666666669,2.6841672061872166,0.2647859999999999,0.2647859999999999,1.000000000001e-06,0.1176966666666666,0.1176966666666666,0.0382690066444839,1.1198662225957847,0.696951555847623,0.877381,0.4303528415207688,14.890391333333334,0.3131830145717073,0.1096086666666666,0.3131830145717073,17.8105785,5.000000005139782e-07,0.1894215,5.000000000005e-07,13.235889666666663,0.5515562076285204,-0.2358896666666666,0.5515562076285204,-0.0798128333333333,0.3454983333333333,0.4253111666666667,system_0,21.89135849106581,-0.963500956327106,9.57282989087428,779.8838290405241,21.899168440036167,-1.120325953448991,9.707955216875828,814.705941909603,1.4566677167286295,1.246441370567631,0.0777720540946699,8.27253001793517,-8.835569400957812,9.077367428909191,-8.928085853021704,0.1568249971218854,0.3902383398868958,31.21759408022428,0.0,49026.5050437936,0.6373780406694327,14.758818525569186,0.0,1503.478829154382,-0.010550246294215,0.0091760575347464,0.0,-0.3377033769215105,0.0,-0.1507062831627454,0.0,16.458775554655094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.005017593160666,1.6955578592387746,7.963483910561711,397.11986508339993,8.777921561018726,2.2758372683941337,7.733359335727346,434.6180958147829,0.2173961542713929,0.4415870187333947,-0.3402072672656437,2.034183495267045,-8.228615529182635,1.672458105603831,-7.595287849262032,-0.5802794091553591,2.3767305374625374,3.853357302697303,-0.2370154006041881,1.31426,0.0,-24192.9949,-3024.1243625
calculation001,True,6,1,1,4,0.1666666666666666,0.1666666666666666,0.6666666666666666,4.833333333333333,1.7833333333333332,1.36,65.41833333333332,8.833333333333332,0.1105541596785133,0.0521661682690999,0.8675632284814612,0.7896900821428474,0.0944542706629084,1,1,1,3,0.0277777777777777,0.1111111111111111,0.1111111111111111,0.0277777777777777,0.0277777777777777,0.4444444444444444,-0.3333333333333333,0.5,-1.166666666666667,-2.166666666666667,-3.166666666666667,2.666666666666667,-15819.5982,-2636.5997,-6.284496,17,2.74643,2.746429,11.306955,90.0,90.0,90.0,85.28694817832537,14.214491363054227,0.9999996358909564,4.116964568548989,4.116964568548989,0.000723,0.000723,0.002282,0.0,0.0,-0.0,-1.990971497184,0.001559,-1.948468,3.30823,2.628349,-0.3247446666666667,0.5513716666666667,FM,2.628349,-2.628349,0.0,0.124045,0.124045,0.0,0.138959,0.138959,0.0681527086292247,1.6876706884142958,0.9482655461660532,0.704388,0.4392883576750078,14.398894,0.0,0.601106,0.0,17.518318,0.0,0.481682,0.0,13.27069675,0.2604768093951695,-0.27069675,0.2604768093951696,0.119424,0.8718027500000001,0.75237875,system_1,7.350183463152097,0.1944383257321514,9.263045667762404,704.319794872291,7.364185670098365,-1.2327523260812625,10.13632876280821,938.948969712076,1.2025986173564438,0.3131120827854644,0.5868445307456769,1.7609216319189671,-8.086261132822345,4.143370470187151,-8.530130729701888,1.427190651813414,-0.1915400825812041,0.0,0.0,0.0,-0.0144277563803615,0.0,0.0,0.0,-0.0038854352956793,-0.0057158778886863,0.0,-0.33576280716309,0.0,-0.2475943037460779,0.0,0.0,6.473279994451079,6.4674845341977205,-2.9039100432437244,-2.8318574857066943,9.755558053812358,9.708482638218475,1236.4548630641202,1222.0809459527147,0.4278362204607143,0.5435196670729019,-0.1190948117954183,4.426166735328038,4.3575648705591,-8.540983274205992,-8.467470552273548,-0.0720525575370301,11.70319900318866,1.4935652241893518,7.917284441294113,443.8811377212135,11.542411570465337,1.7984860235182976,7.753407155598802,467.98846975977017,0.546777461728247,0.5237257183443053,0.0215335589964146,2.35375659629452,-7.859394397006103,2.045035358341788,-7.418356413639404,-0.3049207993289458,2.484595896103895,1.872268525974027,0.1405431316675744,0.75927,0.0,-15798.5182,-2633.086366666667
calculation002,True,8,6,0,2,0.75,0.0,0.25,6.0,1.6150000000000002,1.305,58.635,6.25,0.112583302491977,0.0464534699347974,0.5623351446188083,0.5118595071429147,0.1091485927170972,1,0,1,2,0.0,0.1875,0.0,0.5625,0.0,0.0625,0.25,1.0,0.0,-1.0,-2.0,1.5,-21904.1421,-2738.0177625,-7.140087,9,2.602405,2.602404,13.865393,90.0,90.0,90.0,93.90350139926969,11.73793767490871,0.9999996157400558,5.327915140033929,5.327915140033929,-0.002325,-0.002326,0.000102,-0.0,0.0,0.0,2.429433836022,0.002428,3.527358,12.682032,2.028342,0.44091975,1.585254,FiM,2.024899,0.676666,1.9084925084782665,0.0,0.0,0.0,0.266319,-0.266319,0.00015,0.4803581833872971,0.435224027554399,0.208187,0.1271945482626909,15.0004485,0.1468688074413692,-0.0004484999999999,0.1468688074413692,0.0,0.0,0.0,0.0,12.9986545,0.0002424999999997,0.0013455,0.0002424999999999,-0.0004484999999999,-0.0017939999999999,-0.0013455,system_2,43.08508165649002,-2.104642183756722,9.411078286375066,798.501152984647,43.14436357425784,-1.695234881365455,9.228664983874811,738.7038544536701,1.710964935890893,2.646821372291356,-0.2147550086710962,19.49470406068984,-9.324452106317889,15.832966322962328,-9.28803647428952,-0.409407302391267,2.0299042662042424,8.810919725368686,8.246320885193361,-640.5327319235824,1.7083588976765325,11.940088820143194,3.652446365978481,403.7430091367002,0.009032542004915,0.0101267208572156,-0.0571096529221545,0.0550831123206962,-23.19849568134616,-0.0935316799340534,0.0,-3.1291690947745074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.597547163344435,2.365809251448735,7.759134317523709,456.57476447625214,5.808409287072887,1.4130431815011395,8.174784156300406,390.9536206663722,0.1095308107068413,0.046263927686694,0.4060912690153627,1.032194067323558,-7.640744306414223,1.4031693533550436,-8.724568552461227,0.9527660699475956,2.0724807465034933,2.765175361888119,-0.1431880646048914,1.71415,0.0,-21877.5221,-2734.6902625
calculation003,True,8,4,4,0,0.5,0.5,0.0,8.5,1.73,1.26,56.815,6.5,0.1799999999999999,0.0079365079365079,0.6931471805599453,0.6309297535714574,0.0330018481034937,1,1,0,2,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.5,2.5,1.5,0.5,1.0,-30076.3215,-3759.5401875,-6.810821,4,2.485039,4.928710000000101,6.970677000000287,89.99997193601017,90.0,90.0,85.37710681149201,10.672138351436502,1.9833531787630296,2.8050573854174066,2.8050573854174066,0.000206,0.001574,0.005178,1e-06,-0.0,0.0,-3.715981673124,0.004972,3.180457,8.948099,2.565107,0.3975571249999999,1.118512375,FiM,2.0034965,0.5615859999999999,2.003496500250375,0.23352825,0.23352825,0.129676750073741,0.0,0.0,0.0,0.8710832333385516,0.2990459532682508,0.208831,0.1681183309327373,14.957846,0.1587245001204917,0.042154,0.1587245001204918,18.04215425,0.1666737500138745,-0.04215425,0.1666737500138744,0.0,0.0,0.0,0.0,0.08430825,0.042154,-0.04215425,system_3,29.67978862650476,-1.5984692860955725,9.382287165523838,726.1578499715188,29.67811660216117,-1.2436691466508665,9.221532286155076,682.8760935271882,2.4996079191549447,2.311207088177372,0.039161936322728,12.760788101847378,-9.114849018909618,10.63086078236184,-9.07378482582318,-0.354800139444706,1.9865301811850569,4.894909909211389,9.957358584074582,-667.9385723277459,1.8994513831227469,5.061357992225319,9.753315369279711,-679.2097154336931,0.0103722338961039,-0.0032558769357642,1.9150403651502097,0.3673927989099847,-13.12595107225668,0.3383104952917495,-13.112137314387558,-0.1664480830139298,24.83318965007213,24.94305434162352,-4.480081466705922,-4.1820469545181576,8.871810616527634,8.801937520447218,1106.662002536516,1064.737269856836,1.5969802266698303,1.8831386788817184,-0.0822266307497146,17.82404838020081,16.685122695003095,-9.140801828676818,-9.007345222401788,-0.2980345121877645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.435414157342657,4.500805636363636,-0.0073175772900118,2.89884,0.0,-30040.3215,-3755.0401875
calculation004,True,4,2,2,0,0.5,0.5,0.0,8.5,1.73,1.26,56.815,6.5,0.1799999999999999,0.0079365079365079,0.6931471805599453,0.6309297535714574,0.0330018481034937,1,1,0,2,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.5,2.5,1.5,0.5,1.0,-15038.3539,-3759.588475,-6.727713,9,5.041454,2.518428,3.432582,90.0,90.0,90.0,43.58191093956692,10.89547773489173,0.4995439807642795,0.6808714311387152,1.4687060644144845,-0.000154,-0.002159,0.002177,-0.0,-0.0,0.0,0.0726320074079999,0.004336,-0.0014400000000001,6.013654,2.764135,-0.00036,1.5034135,AFM,2.7635005,-0.0006345,2.7635005,0.2433265,-8.549999999998836e-05,0.2433265,0.0,0.0,0.0,0.8381507026003469,0.0004787955100952,0.019163,0.0187844349529071,14.9812175,0.0003805000000003,0.0187825,0.0003804999999999,18.0187825,2.450000000031593e-05,-0.0187825,2.4500000000000216e-05,0.0,0.0,0.0,0.0,0.037565,0.0187825,-0.0187825,system_4,14.884078559597796,-1.3447249296502266,9.280527874867044,696.6986704583885,14.884179370475328,-1.3450277830888402,9.280822507122297,696.7688258107497,0.7567525844459814,0.7609751583159114,-0.002782168205113,5.807502321406436,-9.094564265043775,5.8085339248494,-9.094683018116903,0.0003028534386135,1.0538033963004907,4.969122729554718,10.304934563166343,-691.8190667482165,1.0539461534441814,4.969143055141864,10.305887789253807,-691.9585288783851,0.0048856125454545,0.0049830032061188,-0.0098687255757027,0.2085179824228853,-13.043385344855825,0.2086093247612949,-13.042772967020442,-2.0325587146707846e-05,12.392898294377916,12.39301960786064,-4.209320323563027,-4.209161856932197,8.68603651015216,8.68652881086971,1044.4944452276536,1044.6455592748025,0.6595580623942316,0.6617787994312945,-0.0016806743997096,8.655002943721945,8.655111692259936,-8.835010011671375,-8.835189133646475,-0.0001584666308298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5559805012487538,1.563046033716286,-0.0022653005315363,1.01881,0.0,-15020.3539,-3755.088475
calculation005,True,8,6,1,1,0.75,0.125,0.125,6.875,1.6275000000000002,1.285,57.25625,6.0,0.1365421180442137,0.0371182568644726,0.7356219397587946,0.6695919455357792,0.0850238411358771,1,1,1,3,0.09375,0.09375,0.015625,0.5625,0.015625,0.015625,0.25,0.8571428571428571,0.875,-0.125,-1.125,0.625,-24388.8349,-3048.6043625,-7.036097,11,2.587613,2.587613,13.753827,90.0,90.0,90.0,92.09206387027533,11.511507983784414,1.0,5.315256570437696,5.315256570437696,-0.000374,-0.000374,0.001916,0.0,-0.0,0.0,-0.623780769504,0.00229,5.565459,14.612859,3.03184,0.695682375,1.826607375,FiM,2.270382333333333,0.8908026666666666,2.1258155081324803,0.605604,0.605604,0.0,0.384961,-0.384961,0.0,0.4620601293954127,0.2527127384948538,0.113472,0.0811194613209432,15.019574,0.079006767237581,-0.0195739999999999,0.0790067672375812,17.886528,0.0,0.113472,0.0,12.996028,0.0,0.003972,0.0,-0.133046,-0.0235459999999999,0.1095,system_5,43.3834734540296,-1.985558482055152,9.460312267512274,800.264980617548,43.4024502038456,-1.4355195578351614,9.181738018672627,714.0707671044461,2.691162283749988,2.53827259281213,0.029236369616743,19.92695870218715,-9.24906361122702,14.839127039250858,-9.224562619821931,-0.5500389242199903,2.609846934102793,6.605879640313883,9.578923815488409,-653.0213452763285,2.3951822764034603,7.121802579625259,9.507193450265795,-692.5885396590799,0.0026745705081406,0.0097629937519136,-0.5699205323134594,0.3435203739817002,-13.05748778567824,0.3230059368418216,-12.599569527959275,-0.515922939311376,6.108248373019023,6.203244752179973,-5.020419312716374,-4.29316480212665,8.857508692965684,8.668095615968923,1164.5523162278096,1046.8646249370552,0.4504282793084908,0.2995868428871059,0.2011178601036884,4.613684582533104,3.9690891347664543,-9.423167407674136,-9.136691484187413,-0.7272545105897237,2.8325728123455223,3.3100694566274598,7.406988935438496,502.0522221410209,2.9995137303769903,1.7429219354500656,8.335327003051335,356.1576564987889,0.0158580693601912,0.0350274696162596,-0.3767160698629848,0.3957776827124586,-6.221579335415787,0.7109020598757333,-8.756379043923584,1.5671475211773938,3.4604543181818164,3.373555176573426,0.0127156893292408,3.35512,0.0,-24359.664900000003,-3044.9581125000004
calculation006,True,6,1,4,1,0.1666666666666666,0.6666666666666666,0.1666666666666666,8.333333333333332,1.833333333333333,1.2799999999999998,59.90333333333333,7.833333333333333,0.1318669362990165,0.0457770724772055,0.8675632284814612,0.7896900821428474,0.0767693130519688,1,1,1,3,0.1111111111111111,0.0277777777777777,0.1111111111111111,0.0277777777777777,0.4444444444444444,0.0277777777777777,-0.3333333333333333,0.2,2.333333333333332,1.333333333333332,0.3333333333333321,0.8333333333333321,-23274.8618,-3879.143633333333,-6.470092,9,7.485443,2.549203,3.535721,90.0,90.0,90.0,67.46832317288415,11.244720528814026,0.3405547273554818,0.4723462592661516,2.1170909695646234,-0.000374,-0.000729,0.003037,-0.0,-0.0,-0.0,-1.032869870052,0.003766,4.460471,5.038989,3.172068,0.7434118333333334,0.8398315,FM,3.172068,3.172068,0.0,0.3944155,0.3944155,0.1121549545327802,0.289259,-0.289259,0.0,1.2475407530739095,0.6954995336577027,0.291821,0.1823089785117562,14.835421,0.0,0.164579,0.0,17.98193575,0.1695114857662672,0.0180642499999999,0.1695114857662674,13.236836,0.0,-0.236836,0.0,0.14651475,0.4014149999999999,0.25490025,system_7,7.604580798097611,-1.540993531068476,9.980674103009669,845.0440519252222,7.5755252271509,0.2908550833265627,8.96084782897959,590.5325872550229,0.145181781612013,0.7885310351835664,-0.6890226223727673,4.419932470931504,-8.80052328912316,1.4199200962305834,-8.563312086110532,-1.8318486143950383,0.3442074838291005,15.412746967067886,0.0,6859.982959937109,0.2664438129734381,18.564242401524808,0.0,10746.389141340209,0.0032814538344155,-0.0040056720751748,0.0,-0.0669261606592944,0.0,-0.062151382967077,0.0,-3.1514954344569226,25.136336208574832,25.249873884230084,-3.9063947680944615,-3.5193977316959573,8.864490790679158,8.718609754694937,1071.6840784930769,1004.7654004782604,0.5318940018748752,5.95871167136426,-0.8361034305109976,18.21834580241738,16.360864308321474,-8.606321425309556,-8.409509153088987,-0.3869970363985042,3.0422204083450755,4.012073208267982,7.510418119773621,408.5065656386774,3.172259510888332,2.8785665378554586,8.19230614186537,280.8110368743581,0.0199125622638611,0.1369016420721778,-0.7460362427221162,0.3700364241586852,-6.155074887923946,0.6009719861890852,-8.26363745499943,1.1335066704125238,0.8164311423576427,7.063171061438561,-0.7927735128648231,0.79599,0.0,-23246.1318,-3874.3553
calculation007,True,4,1,2,1,0.25,0.5,0.25,7.5,1.795,1.295,60.51,7.75,0.1472243186433545,0.0516567110434735,1.039720770839918,0.946394630357186,0.0914459440748936,1,1,1,3,0.125,0.0625,0.125,0.0625,0.25,0.0625,-0.25,0.3333333333333333,1.5,0.5,-0.5,0.0,-14154.998,-3538.7495,-6.285415,20,2.877746,5.536347,2.993613,90.0,90.0,90.0,47.694842337414926,11.923710584353731,1.923848386897245,1.040263108696876,1.040263108696876,0.002145,0.004046,0.000855,-0.0,0.0,-0.0,-3.762978854388,0.003191,4.409079999999999,4.916348,3.800966,1.10227,1.229087,FM,3.800966,3.800966,0.0,0.430874,0.430874,6.599999999998274e-05,0.253634,-0.253634,0.0,1.209545775372666,0.8368113506425657,0.202817,0.1183359375007757,15.202817,0.0,-0.202817,0.0,17.918446000000003,5.400000000044258e-05,0.081554,5.3999999999998494e-05,12.960292,0.0,0.039708,0.0,-0.284371,-0.242525,0.041846,system_8,7.194039591025927,-2.202115001578172,9.785828997384863,963.3514501275404,7.116485087031281,0.0445442755996562,8.420215614460114,604.906024898573,0.0635615432059442,0.149910342677523,-0.4044972906582926,4.613252447713375,-8.67919921961275,0.9643749732634304,-8.636231911937868,-2.246659277177828,0.6450919969507227,-0.1672853244208085,12.941964325776889,-343.5265975542279,0.5779784966029492,-4.602145472391147,11.941808317841616,550.3864807513706,-0.0004395359475774,0.004533492876923,-1.2147242656251804,0.2209924575392003,-16.73907348741467,0.3114138629824282,-15.22054662571473,4.434860147970339,12.969802245882908,13.080962020678063,-3.1249750295144585,-2.710044707840057,9.688866107187112,9.524529060507154,1222.6423785079703,1139.7256689211697,0.132647474397678,1.247981404252099,-0.8078448503447152,9.219407966339793,8.40412372648576,-8.620923896849355,-8.426255195729487,-0.4149303216744013,2.910633255414076,4.227694906523631,5.063588422109949,803.8992693736283,2.980080068441079,3.5215988853081845,6.2317959795407205,555.7976793457273,0.034299037977198,0.1669158748332667,-0.6590805572198697,0.3079412610999685,-0.0440145293174479,0.436982659146461,-4.303918800302601,0.7060960212154463,0.297711066433569,1.7513605594405623,-0.7094185848124603,0.13599,0.0,-14137.408,-3534.352
calculation008,True,6,2,1,3,0.3333333333333333,0.1666666666666666,0.5,5.5,1.74,1.336666666666667,62.955,8.0,0.138924439894498,0.0550890823799862,1.0114042647073518,0.920619835714305,0.109276703695538,1,1,1,3,0.0555555555555555,0.1666666666666666,0.0833333333333333,0.1111111111111111,0.0277777777777777,0.25,-0.1666666666666666,0.6666666666666666,-0.5,-1.5,-2.5,2.0,-16703.16,-2783.86,-6.5711,23,8.2939,2.750376,3.439184,90.0,90.0,90.0,78.4524076057148,13.075401267619132,0.331614318957306,0.4146642713319427,2.411589493321672,-0.002708,0.004012,-0.001917,-0.0,-0.0,-0.0,0.327378092214,0.00672,-0.6483289999999999,6.586088999999999,3.056675,-0.1080548333333333,1.0976815,AFM,2.917376,-0.1392989999999998,2.917376,0.341982,-0.341982,0.0,0.1364516666666666,-0.0092496666666666,0.1420111490091143,1.1766543956250948,0.3908125286303252,0.799431,0.4786056006732533,14.5843165,0.1200644999999998,0.4156835,0.1200644999999999,17.58704,0.0,0.41296,0.0,13.414775999999998,0.323166655242565,-0.414776,0.3231666552425647,0.0027234999999999,0.8304595,0.827736,system_9,14.866156482734352,-0.624257649967255,9.580940637114836,743.6063828031869,14.84859103352581,-0.7452953016379724,9.61124623829361,755.2057803880874,1.4704050797959047,1.5318915234427577,-0.0204798032214824,5.698433190279729,-8.569640515852788,6.031186942077098,-8.552221083702921,0.1210376516707174,-0.0324071372509617,0.0,0.0,0.0,-0.0422426556875193,0.0,0.0,0.0,-0.0010152435975024,-0.0242500870876623,0.0,-0.4339895830497628,0.0,-0.4593299434180548,0.0,0.0,6.264125190428414,6.221609840734722,-3.65957016783792,-4.011678803352988,9.033467522464608,9.12189262368984,1134.1109604730996,1190.4491358855655,0.3461434811124877,0.373679117547103,-0.0382533647677781,4.1675177575639895,4.51773225412457,-8.657343299309819,-8.798967859912535,0.3521086355150684,9.071894538320707,1.3375461933679398,8.268471017965549,353.22245769117563,9.08442465908376,1.3022302558160843,8.269187062625425,357.5330149401801,0.3500187385139862,0.4542007483946054,-0.1295442495196099,1.9993838507802413,-8.885462964395572,2.04984814827115,-8.837513485636721,0.0353159375518552,2.543882487512492,2.824446171328673,-0.0522627621455549,0.85997,0.0,-16681.67,-2780.278333333333
calculation009,True,6,5,0,1,0.8333333333333334,0.0,0.1666666666666666,6.333333333333334,1.5933333333333333,1.2933333333333334,57.40333333333333,5.833333333333334,0.0968962790249908,0.040341432583759,0.4505612088663046,0.410118486306518,0.0959557653662589,1,0,1,2,0.0,0.1388888888888889,0.0,0.6944444444444445,0.0,0.0277777777777777,0.3333333333333333,1.0,0.3333333333333339,-0.6666666666666661,-1.666666666666666,1.166666666666666,-16869.7407,-2811.62345,-7.444805,12,2.530607,7.535525,3.519401,90.0,90.0,90.0,67.1130495422001,11.18550825703335,2.977753953893276,1.3907339227307915,1.3907339227307915,-0.002308,0.001798,0.003362,-0.0,-0.0,-0.0,-1.5231359200559995,0.00567,-1.050928,5.703976,2.343034,-0.1751546666666666,0.9506626666666668,FiM,1.1259856,-0.2249951999999999,1.323313698157077,0.0,0.0,0.0,0.074048,0.074048,0.0,0.8138721444036215,0.6555800052820884,0.326963,0.2233584961528588,14.9372904,0.1904517203163045,0.0627096,0.1904517203163048,0.0,0.0,0.0,0.0,13.313548,0.0,-0.313548,0.0,0.0627096,0.3762575999999999,0.313548,system_10,36.13910832613821,-1.934016640837196,9.451101699246738,785.644340701192,36.113520932520416,-2.080763310170887,9.513407762184274,805.8674782408898,2.1983561240397247,2.3801942730034638,-0.0397152227659586,14.114910243562525,-9.542631215085342,15.174846389248586,-9.556882845827497,0.1467466693336911,1.5003507109408667,11.453748494985058,3.745415401179653,455.88517422630713,1.5487614995403742,11.009209777531227,4.528630262904057,326.92939878415064,-0.0191880408849878,-0.0083716571599221,0.0,-0.0313688564448572,0.0,-0.0284085671820032,0.0,0.4445387174538293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0719492199132223,1.3009692626448162,9.257114577008954,333.914774192283,3.0109652181902797,1.8279102255470367,9.128621884790173,330.6999796668339,0.0587972734021143,0.0477907079795754,0.1032627251202417,0.7513285305154132,-10.108665351444907,0.6615222463199095,-9.767000465537054,-0.5269409629022206,2.382950718031967,2.5394584840159826,-0.0317949523414065,2.07758,0.0,-16849.5707,-2808.2617833333334
