comp_key,system_id,mag_ordering,E_per_atom,dE_vs_gs_meV,gs_ordering,n_atoms,x_Mn,x_Ni,x_Ga,VEC
0.0_0.5_0.5,system_138,FM,-3317.7859,122.72500000017317,NM,4,0.0,0.5,0.5,6.5
0.0_0.5_0.5,system_195,NM,-3317.908625,0.0,NM,4,0.0,0.5,0.5,6.5
0.0_0.75_0.25,system_229,FM,-3939.005475,38.66250000010041,NM,8,0.0,0.75,0.25,8.25
0.0_0.75_0.25,system_319,NM,-3939.0441375,0.0,NM,8,0.0,0.75,0.25,8.25
0.25_0.0_0.75,system_129,AFM,-2295.941925,0.0,AFM,8,0.25,0.0,0.75,4.0
0.25_0.0_0.75,system_136,FM,-2295.94115,0.7749999999759893,AFM,8,0.25,0.0,0.75,4.0
0.25_0.125_0.625,system_35,AFM,-2606.6076,101.18750000037835,FiM,8,0.25,0.125,0.625,4.875
0.25_0.125_0.625,system_341,FiM,-2606.7087875,0.0,FiM,8,0.25,0.125,0.625,4.875
0.25_0.5_0.25,system_26,AFM,-3538.7261,23.400000000037835,FM,8,0.25,0.5,0.25,7.5
0.25_0.5_0.25,system_8,FM,-3538.7495,0.0,FM,4,0.25,0.5,0.25,7.5
0.25_0.5_0.25,system_70,FiM,-3538.661775,87.72499999986394,FM,8,0.25,0.5,0.25,7.5
0.25_0.75_0.0,system_401,AFM,-4159.8437875,0.0,AFM,8,0.25,0.75,0.0,9.25
0.25_0.75_0.0,system_130,FM,-4159.8288,14.9874999997337,AFM,4,0.25,0.75,0.0,9.25
0.25_0.75_0.0,system_27,FiM,-4159.8373375,6.449999999858846,AFM,8,0.25,0.75,0.0,9.25
0.2_0.5_0.3,system_17,AFM,-3494.44459,97.13000000010652,FiM,10,0.2,0.5,0.3,7.3
0.2_0.5_0.3,system_334,FM,-3494.51503,26.69000000014421,FiM,10,0.2,0.5,0.3,7.3
0.2_0.5_0.3,system_128,FiM,-3494.54172,0.0,FiM,10,0.2,0.5,0.3,7.3
0.2_0.8_0.0,system_394,AFM,-4239.88047,15.669999999772699,FM,10,0.2,0.8,0.0,9.4
0.2_0.8_0.0,system_95,FM,-4239.89614,0.0,FM,10,0.2,0.8,0.0,9.4
0.375_0.25_0.375,system_0,AFM,-3027.9356125,0.0,AFM,8,0.375,0.25,0.375,6.25
0.375_0.25_0.375,system_337,FM,-3027.8748625,60.750000000098225,AFM,8,0.375,0.25,0.375,6.25
0.375_0.25_0.375,system_388,FiM,-3027.8365375,99.0750000000844,AFM,8,0.375,0.25,0.375,6.25
0.375_0.375_0.25,system_177,FM,-3338.5237375,0.0,FM,8,0.375,0.375,0.25,7.125
0.375_0.375_0.25,system_292,FiM,-3338.5227375,1.0000000002037268,FM,8,0.375,0.375,0.25,7.125
0.375_0.5_0.125,system_306,AFM,-3649.1136875,19.424999999955617,FiM,8,0.375,0.5,0.125,8.0
0.375_0.5_0.125,system_225,FiM,-3649.1331125,0.0,FiM,8,0.375,0.5,0.125,8.0
0.3_0.6_0.1,system_304,FM,-3831.29747,44.350000000122236,FiM,10,0.3,0.6,0.1,8.4
0.3_0.6_0.1,system_392,FiM,-3831.34182,0.0,FiM,10,0.3,0.6,0.1,8.4
0.5_0.0_0.5,system_232,AFM,-2516.9697375,102.28749999987485,FM,8,0.5,0.0,0.5,5.0
0.5_0.0_0.5,system_134,FM,-2517.072025,0.0,FM,4,0.5,0.0,0.5,5.0
0.5_0.0_0.5,system_345,FiM,-2517.0079375,64.08749999991414,FM,8,0.5,0.0,0.5,5.0
0.5_0.125_0.375,system_118,FM,-2827.6282125,0.0,FM,8,0.5,0.125,0.375,5.875
0.5_0.125_0.375,system_387,FiM,-2827.613925,14.28749999968204,FM,8,0.5,0.125,0.375,5.875
0.5_0.25_0.25,system_275,FM,-3138.258925,117.54999999993743,FiM,4,0.5,0.25,0.25,6.75
0.5_0.25_0.25,system_356,FiM,-3138.376475,0.0,FiM,4,0.5,0.25,0.25,6.75
0.5_0.375_0.125,system_221,AFM,-3448.9824375,0.0,AFM,8,0.5,0.375,0.125,7.625
0.5_0.375_0.125,system_80,FM,-3448.903425,79.01249999986248,AFM,8,0.5,0.375,0.125,7.625
0.5_0.5_0.0,system_4,AFM,-3759.588475,0.0,AFM,4,0.5,0.5,0.0,8.5
0.5_0.5_0.0,system_143,FM,-3759.54003,48.44499999990148,AFM,10,0.5,0.5,0.0,8.5
0.5_0.5_0.0,system_192,FiM,-3759.5486,39.874999999938154,AFM,6,0.5,0.5,0.0,8.5
0.5_0.5_0.0,system_274,NM,-3759.5427,45.77500000004875,AFM,4,0.5,0.5,0.0,8.5
0.625_0.0_0.375,system_89,FM,-2627.4921125,42.63749999972788,FiM,8,0.625,0.0,0.375,5.5
0.625_0.0_0.375,system_69,FiM,-2627.53475,0.0,FiM,8,0.625,0.0,0.375,5.5
0.625_0.125_0.25,system_291,AFM,-2938.1800375,0.0,AFM,8,0.625,0.125,0.25,6.375
0.625_0.125_0.25,system_231,FiM,-2938.1385625,41.47499999999127,AFM,8,0.625,0.125,0.25,6.375
0.625_0.25_0.125,system_282,AFM,-3248.8222,0.0,AFM,8,0.625,0.25,0.125,7.25
0.625_0.25_0.125,system_315,FiM,-3248.8011,21.09999999993306,AFM,8,0.625,0.25,0.125,7.25
0.625_0.375_0.0,system_106,AFM,-3559.433225,0.0,AFM,8,0.625,0.375,0.0,8.125
0.625_0.375_0.0,system_380,FM,-3559.3903375,42.88750000023356,AFM,8,0.625,0.375,0.0,8.125
0.6667_0.0_0.3333,system_339,AFM,-2664.2466,116.08333333333576,FiM,6,0.6666666666666666,0.0,0.3333333333333333,5.666666666666666
0.6667_0.0_0.3333,system_22,FiM,-2664.3626833333333,0.0,FiM,6,0.6666666666666666,0.0,0.3333333333333333,5.666666666666666
0.6_0.2_0.2,system_93,AFM,-3102.46043,0.0,AFM,10,0.6,0.2,0.2,6.800000000000001
0.6_0.2_0.2,system_117,FiM,-3102.44001,20.420000000285654,AFM,10,0.6,0.2,0.2,6.800000000000001
0.75_0.0_0.25,system_400,AFM,-2738.0062875,11.475000000245927,FiM,8,0.75,0.0,0.25,6.0
0.75_0.0_0.25,system_2,FiM,-2738.0177625,0.0,FiM,8,0.75,0.0,0.25,6.0
0.75_0.125_0.125,system_178,AFM,-3048.6456125,0.0,AFM,8,0.75,0.125,0.125,6.875
0.75_0.125_0.125,system_247,FiM,-3048.63015,15.46250000001237,AFM,8,0.75,0.125,0.125,6.875
0.75_0.25_0.0,system_347,AFM,-3359.2429,6.2499999999090505,FiM,8,0.75,0.25,0.0,7.75
0.75_0.25_0.0,system_68,FM,-3359.2391375,10.012499999902502,FiM,8,0.75,0.25,0.0,7.75
0.75_0.25_0.0,system_126,FiM,-3359.24915,0.0,FiM,4,0.75,0.25,0.0,7.75
0.7_0.1_0.2,system_222,AFM,-2942.23177,41.09000000016749,FiM,10,0.7,0.1,0.2,6.5
0.7_0.1_0.2,system_56,FM,-2942.26879,4.069999999956053,FiM,10,0.7,0.1,0.2,6.5
0.7_0.1_0.2,system_43,FiM,-2942.27286,0.0,FiM,10,0.7,0.1,0.2,6.5
0.875_0.0_0.125,system_265,AFM,-2848.4849,0.0,AFM,8,0.875,0.0,0.125,6.5
0.875_0.0_0.125,system_171,FiM,-2848.47815,6.750000000010914,AFM,8,0.875,0.0,0.125,6.5
0.875_0.125_0.0,system_206,AFM,-3159.11825,0.0,AFM,8,0.875,0.125,0.0,7.375
0.875_0.125_0.0,system_176,FiM,-3159.104775,13.475000000198634,AFM,8,0.875,0.125,0.0,7.375
0.8_0.1_0.1,system_395,AFM,-3030.70443,0.0,AFM,10,0.8,0.1,0.1,6.9
0.8_0.1_0.1,system_235,FiM,-3030.68134,23.08999999968364,AFM,10,0.8,0.1,0.1,6.9
0.9_0.0_0.1,system_37,AFM,-2870.56623,0.7900000000518048,FiM,10,0.9,0.0,0.1,6.6
0.9_0.0_0.1,system_127,FiM,-2870.56702,0.0,FiM,10,0.9,0.0,0.1,6.6
1.0_0.0_0.0,system_241,AFM,-2958.9568,0.0,AFM,8,1.0,0.0,0.0,7.0
1.0_0.0_0.0,system_284,FM,-2958.950775,6.02500000013606,AFM,8,1.0,0.0,0.0,7.0
1.0_0.0_0.0,system_113,FiM,-2958.950825,5.975000000034925,AFM,8,1.0,0.0,0.0,7.0
1.0_0.0_0.0,system_11,NM,-2958.95055,6.2499999999090505,AFM,4,1.0,0.0,0.0,7.0
