system_id,x_Mn,x_Ni,x_Ga,VEC,n_atoms,total_spin_pol_ef,abs_moment_per_atom,mag_ordering,E_per_atom,vol_per_atom,half_metallic_proxy,minority_dos_min_near_ef
system_31,0.0,0.875,0.125,9.125,8,-0.9643065187981572,0.3547635,FM,-4249.612325,10.709984563717924,0.0,0.12407
system_53,0.0,1.0,0.0,10.0,10,-0.9174464418976888,0.6632640999999999,FM,-4560.11585,10.410670235623089,0.0,0.28815
system_208,0.0,1.0,0.0,10.0,2,-0.9090411113677906,0.685264,FM,-4560.1246,10.40713398212769,1.0,0.00099
system_199,0.0,1.0,0.0,10.0,4,-0.9024696592034004,0.68478875,FM,-4560.125025,10.406057361310271,1.0,0.00028
system_95,0.2,0.8,0.0,9.4,10,-0.9013367294452986,0.3826099,FM,-4239.89614,10.35065923448117,0.0,0.39415
system_375,0.0,1.0,0.0,10.0,6,-0.8867411290724452,0.6824826666666667,FM,-4560.1232,10.414225856362446,0.0,0.05641
system_119,0.0,1.0,0.0,10.0,6,-0.8867327019410439,0.6824818333333335,FM,-4560.1232,10.414225856362446,0.0,0.05641
system_216,0.0,1.0,0.0,10.0,6,-0.8817960465503734,0.6848208333333333,FM,-4560.125083333333,10.40727995236271,1.0,0.00125
system_379,0.0,0.875,0.125,9.125,8,-0.8709913031917403,0.36927025,FM,-4249.577675,10.720693074656898,0.0,0.71
system_84,0.0,1.0,0.0,10.0,10,-0.8408476872318046,0.5725867,FM,-4560.12651,10.38769441810932,0.0,0.10354
system_7,0.1666666666666666,0.6666666666666666,0.1666666666666666,8.333333333333332,6,-0.7927735128648231,0.8398315,FM,-3879.143633333333,11.244720528814026,0.0,0.79599
system_140,0.1666666666666666,0.6666666666666666,0.1666666666666666,8.333333333333332,6,0.7861422861818281,0.8391901666666666,FM,-3879.1436166666663,11.210423982536511,0.0,0.78434
system_154,0.0,0.8333333333333334,0.1666666666666666,8.833333333333334,6,0.7569143846452759,0.2415481666666666,FM,-4146.057433333333,10.85942173530529,0.0,0.73496
system_8,0.25,0.5,0.25,7.5,4,-0.7094185848124603,1.229087,FM,-3538.7495,11.923710584353731,0.0,0.13599
system_77,0.5,0.5,0.0,8.5,4,0.6821814548654926,0.856791,FM,-3759.4944,10.49570300017866,0.0,0.40465
system_25,0.25,0.25,0.5,5.75,4,-0.6739638840935389,0.90496775,FM,-2917.26645,13.434461270637437,0.0,0.59345
system_179,0.5,0.5,0.0,8.5,2,-0.6649460537422774,0.855406,FM,-3759.4944,10.495511561721347,0.0,0.19985
system_344,0.5,0.5,0.0,8.5,2,-0.6648756458332364,0.855404,FM,-3759.4944,10.49535253712335,0.0,0.19985
system_149,0.5,0.5,0.0,8.5,2,0.663745382529843,0.8553919999999999,FM,-3759.4944,10.493614783180988,0.0,0.2001
system_270,0.5,0.5,0.0,8.5,2,0.6637300484717105,0.855391,FM,-3759.4944,10.493565092207993,0.0,0.2001
system_110,0.5,0.5,0.0,8.5,2,0.6553066458082178,0.8555685000000001,FM,-3759.49435,10.48405603834741,0.0,0.2033
system_143,0.5,0.5,0.0,8.5,10,-0.6236379111831251,0.7446836,FM,-3759.54003,10.499002736292796,0.0,2.21063
system_239,0.125,0.75,0.125,8.75,8,-0.6183080612401396,0.7545758750000001,FM,-4049.430725,11.023602906420743,0.0,1.34622
system_118,0.5,0.125,0.375,5.875,8,0.6075963670026017,1.21084475,FM,-2827.6282125,12.556149494040104,0.0,1.00728
