comp_key,label,gs_ordering,min_dE_meV,n_orderings,orderings_present,has_FM,has_AFM,x_Mn,x_Ni,x_Ga,VEC,magnetocaloric_score
0.0_0.5_0.5,Ni0.500Ga0.500,NM,122.72500000017317,2,FM+NM,True,False,0.0,0.5,0.5,6.5,0.008082440897139628
0.0_0.75_0.25,Ni0.750Ga0.250,NM,38.66250000010041,2,FM+NM,True,False,0.0,0.75,0.25,8.25,0.02521273242981326
0.25_0.0_0.75,Mn0.250Ga0.750,AFM,0.7749999999759893,2,AFM+FM,True,True,0.25,0.0,0.75,4.0,0.5633802816977618
0.25_0.125_0.625,Mn0.250Ni0.125Ga0.625,FiM,101.18750000037835,2,AFM+FiM,False,True,0.25,0.125,0.625,4.875,0.009785932721676306
0.25_0.5_0.25,Mn0.250Ni0.500Ga0.250,FM,23.400000000037835,3,AFM+FM+FiM,True,True,0.25,0.5,0.25,7.5,0.0409836065573135
0.25_0.75_0.0,Mn0.250Ni0.750,AFM,6.449999999858846,3,AFM+FM+FiM,True,True,0.25,0.75,0.0,9.25,0.13422818792200628
0.2_0.5_0.3,Mn0.200Ni0.500Ga0.300,FiM,26.69000000014421,3,AFM+FM+FiM,True,True,0.2,0.5,0.3,7.3,0.03611412062097479
0.2_0.8_0.0,Mn0.200Ni0.800,FM,15.669999999772699,2,AFM+FM,True,True,0.2,0.8,0.0,9.4,0.05998800240033805
0.375_0.25_0.375,Mn0.375Ni0.250Ga0.375,AFM,60.750000000098225,3,AFM+FM+FiM,True,True,0.375,0.25,0.375,6.25,0.016194331983779908
0.375_0.375_0.25,Mn0.375Ni0.375Ga0.250,FM,1.0000000002037268,2,FM+FiM,True,False,0.375,0.375,0.25,7.125,0.4999999999490683
0.375_0.5_0.125,Mn0.375Ni0.500Ga0.125,FiM,19.424999999955617,2,AFM+FiM,False,True,0.375,0.5,0.125,8.0,0.048959608323239805
0.3_0.6_0.1,Mn0.300Ni0.600Ga0.100,FiM,44.350000000122236,2,FM+FiM,True,False,0.3,0.6,0.1,8.4,0.022050716648231633
0.5_0.0_0.5,Mn0.500Ga0.500,FM,64.08749999991414,3,AFM+FM+FiM,True,True,0.5,0.0,0.5,5.0,0.01536393316691099
0.5_0.125_0.375,Mn0.500Ni0.125Ga0.375,FM,14.28749999968204,2,FM+FiM,True,False,0.5,0.125,0.375,5.875,0.06541291905287318
0.5_0.25_0.25,Mn0.500Ni0.250Ga0.250,FiM,117.54999999993743,2,FM+FiM,True,False,0.5,0.25,0.25,6.75,0.008435259384230518
0.5_0.375_0.125,Mn0.500Ni0.375Ga0.125,AFM,79.01249999986248,2,AFM+FM,True,True,0.5,0.375,0.125,7.625,0.012498047180149584
0.5_0.5_0.0,Mn0.500Ni0.500,AFM,39.874999999938154,4,AFM+FM+FiM+NM,True,True,0.5,0.5,0.0,8.5,0.02446483180431836
0.625_0.0_0.375,Mn0.625Ga0.375,FiM,42.63749999972788,2,FM+FiM,True,False,0.625,0.0,0.375,5.5,0.02291606989415608
0.625_0.125_0.25,Mn0.625Ni0.125Ga0.250,AFM,41.47499999999127,2,AFM+FiM,False,True,0.625,0.125,0.25,6.375,0.023543260741617552
0.625_0.25_0.125,Mn0.625Ni0.250Ga0.125,AFM,21.09999999993306,2,AFM+FiM,False,True,0.625,0.25,0.125,7.25,0.0452488687784176
0.625_0.375_0.0,Mn0.625Ni0.375,AFM,42.88750000023356,2,AFM+FM,True,True,0.625,0.375,0.0,8.125,0.022785531187574554
0.6667_0.0_0.3333,Mn0.667Ga0.333,FiM,116.08333333333576,2,AFM+FiM,False,True,0.6666666666666666,0.0,0.3333333333333333,5.666666666666666,0.008540925266903738
0.6_0.2_0.2,Mn0.600Ni0.200Ga0.200,AFM,20.420000000285654,2,AFM+FiM,False,True,0.6,0.2,0.2,6.800000000000001,0.04668534080236527
0.75_0.0_0.25,Mn0.750Ga0.250,FiM,11.475000000245927,2,AFM+FiM,False,True,0.75,0.0,0.25,6.0,0.08016032063970231
0.75_0.125_0.125,Mn0.750Ni0.125Ga0.125,AFM,15.46250000001237,2,AFM+FiM,False,True,0.75,0.125,0.125,6.875,0.06074411541377365
0.75_0.25_0.0,Mn0.750Ni0.250,FiM,6.2499999999090505,3,AFM+FM+FiM,True,True,0.75,0.25,0.0,7.75,0.13793103448448893
0.7_0.1_0.2,Mn0.700Ni0.100Ga0.200,FiM,4.069999999956053,3,AFM+FM+FiM,True,True,0.7,0.1,0.2,6.5,0.19723865877882998
0.875_0.0_0.125,Mn0.875Ga0.125,AFM,6.750000000010914,2,AFM+FiM,False,True,0.875,0.0,0.125,6.5,0.1290322580643344
0.875_0.125_0.0,Mn0.875Ni0.125,AFM,13.475000000198634,2,AFM+FiM,False,True,0.875,0.125,0.0,7.375,0.06908462866917288
0.8_0.1_0.1,Mn0.800Ni0.100Ga0.100,AFM,23.08999999968364,2,AFM+FiM,False,True,0.8,0.1,0.1,6.9,0.04151100041565514
0.9_0.0_0.1,Mn0.900Ga0.100,FiM,0.7900000000518048,2,AFM+FiM,False,True,0.9,0.0,0.1,6.6,0.5586592178609266
1.0_0.0_0.0,Mn1.000,AFM,5.975000000034925,4,AFM+FM+FiM+NM,True,True,1.0,0.0,0.0,7.0,0.14336917562652227
