target,model,feature_mode,r2_mean,r2_std,r2_95ci_lo,r2_95ci_hi,mae_mean,mae_std
abs_moment_per_atom,GBT,no_moments,0.9011025215031196,0.016515105850545574,0.8867979963208162,0.9154070466854233,0.10112356546807763,0.005890791259560133
abs_moment_per_atom,RF,no_moments,0.8766498496107584,0.01708043880301965,0.8631693705073282,0.8922926439312407,0.12054861510725239,0.005962944610156684
abs_moment_per_atom,SVR,no_moments,0.8448986970435417,0.03313785672421902,0.8109821395368115,0.8700875177456461,0.14677166776284273,0.005708822546978268
abs_moment_per_atom,KNN,no_moments,0.7844903019545608,0.05130491415749037,0.7429904658762838,0.8292163682610338,0.15700672925239195,0.013131091133970164
total_spin_pol_ef,GBT,pre_calc,0.9372396736523936,0.012519614823586439,0.927731426906661,0.9472559011764033,0.03692695894151936,0.0072768711218221625
total_spin_pol_ef,RF,pre_calc,0.9150945833856937,0.018701526130766605,0.9005429599812907,0.9293490561399536,0.04473383833159579,0.004591346006768501
total_spin_pol_ef,SVR,pre_calc,0.8413444806583275,0.020749635648518245,0.8239321296816386,0.8578716906932533,0.0795244582803648,0.006403488826288278
total_spin_pol_ef,KNN,pre_calc,0.627888945032461,0.06932337878447693,0.5780642757273969,0.6986216318048957,0.10699752390118866,0.015495024691480234
vol_per_atom,GBT,pre_calc,0.9890631262753082,0.002983222572610656,0.9858484913943848,0.9913922780407951,0.08840588844033169,0.012967608329311897
vol_per_atom,RF,pre_calc,0.9850047432869659,0.003734653364155421,0.9811637565997199,0.9879974870876413,0.10956227006561339,0.0096387400410654
vol_per_atom,SVR,pre_calc,0.9465793233499709,0.030102180592849914,0.9193472688216655,0.9695743538456693,0.18710551074881138,0.03358351996691384
vol_per_atom,KNN,pre_calc,0.9473271232247276,0.007601936703881847,0.9408230424909376,0.9540503008163995,0.2025022540209826,0.02327947490134847
E_per_atom,GBT,pre_calc,0.9987594052020627,0.0007572239669026455,0.9981277607162481,0.9994225028666418,8.846815918030625,2.4557290479884877
E_per_atom,RF,pre_calc,0.9971293052441584,0.001016332539615787,0.9962777768435408,0.9979788846184168,16.679808885265167,3.0344333448042073
E_per_atom,SVR,pre_calc,0.3699778326360704,0.09626733147978567,0.2695881761620662,0.4327160596963009,270.74890499142646,19.162642191956394
E_per_atom,KNN,pre_calc,0.9509105356443597,0.009360784464216447,0.9421729484286998,0.9592916590450216,73.73108371139533,6.470696677323728
Mn_3d_up_center,GBT,pre_calc,0.9855142155511597,0.002767362856712762,0.9827545937264988,0.9877444045850388,0.0597578464341695,0.007288105938482593
Mn_3d_up_center,RF,pre_calc,0.9796650324058191,0.00507473553865246,0.9752677066909972,0.9836047416071028,0.07511635013553296,0.009346460418234219
Mn_3d_up_center,SVR,pre_calc,0.9268560317658103,0.023010683834290117,0.9082709397675085,0.9463969825649114,0.147946456682465,0.017488825339392566
Mn_3d_up_center,KNN,pre_calc,0.8803905994733112,0.05256957524603058,0.8241875482668828,0.9138706429040895,0.16579554694194262,0.03833647057743529
Mn_3d_exchange_split,GBT,pre_calc,0.9614365715286789,0.018761876974428344,0.9419933072822364,0.9767929086435752,0.08311118682819943,0.02086544963546275
Mn_3d_exchange_split,RF,pre_calc,0.9195272980061482,0.04121900210548985,0.8822067760298372,0.9568470200285804,0.1236350057026113,0.036844031231974314
Mn_3d_exchange_split,SVR,pre_calc,0.882020241806635,0.03698424468015702,0.8544950427124468,0.9135139423539212,0.16832885869203457,0.02517038347186933
Mn_3d_exchange_split,KNN,pre_calc,0.6404918100540961,0.07751915676399632,0.5638821124148443,0.6886373132902156,0.2799205110566588,0.059058210163166154
