feature,importance_mean,importance_std
delta_en,0.40485252077192796,0.028542078744043582
vol_per_atom,0.12268149327019562,0.010423367734954208
std_charge_Mn,0.0386251883910924,0.00297851110888693
avg_en,0.03641268042337312,0.0029123147520891297
std_valence_Mn,0.026236751589970412,0.0019682541444348187
Ga_4p_exchange_split,0.025925726911494133,0.002503851531602647
x_Mn_sq,0.015980664817427416,0.0012006321893802533
Mn_4s_dos_ef_up,0.012373206581273019,0.0023500905219553383
E_fermi_eV,0.008156590357130159,0.0007934110731859656
Mn_4s_dos_ef_dn,0.008027096131053306,0.0012863125306042987
a,0.007028705965616533,0.0009984370679613577
Ni_3d_dn_occ_filling,0.006675896378228178,0.0008149141777472514
charge_std,0.005576246969506438,0.0014661594382921082
x_Mn,0.004978044019584986,0.00044282214854748746
Mn_3d_dn_width,0.004365000226359243,0.00033168928054827474
Mn_excess,0.0041697568029389065,0.0002995933871450755
avg_nd,0.0038707128937964944,0.0002504039847931865
Ni_3d_up_width,0.003588755355069669,0.00036603945177951134
Mn_3d_up_width,0.0033614422462255804,0.0002418168285449602
tetragonality,0.0029165845602412014,0.0004232277037732136
Mn_3d_up_integral,0.002255653184382611,0.0001668721235564261
minority_dos_min_near_ef,0.0022057277786201035,0.00015173684984819513
Mn_3d_up_occ_filling,0.001443118419911867,0.00014761218520384985
total_dos_ef_dn,0.0011373402448460006,0.00010713439327302993
c,0.0010014485698995508,8.199756019482324e-05
max_charge_transfer,0.0008906638271838685,0.00018473708389030188
Ni_3d_exchange_split,0.0007476540418405767,7.473020051526745e-05
Ni_3d_dn_width,0.0007362910947345832,7.011491538523618e-05
Ga_4p_up_center,0.000677025518831668,6.832021367100833e-05
Mn_3d_dn_occ_filling,0.0006617505252496122,5.999603626313599e-05
Mn_4s_spin_pol_ef,0.0006595090541481811,0.00013867634560230736
Ga_4p_dos_ef_up,0.0006197387466091923,6.984039390455404e-05
b_over_a,0.0006086926749023631,7.079504754071628e-05
VEC_m7,0.0004291802238647224,8.829935621427438e-05
Ni_3d_up_center,0.00042794310202693233,4.580758416460292e-05
Ga_4p_up_integral,0.0004155594768813775,5.547760361024503e-05
S_mix_norm,0.0004144398063369081,4.46564677235677e-05
Mn_4s_up_occ_filling,0.00040211733092396045,7.925006121538433e-05
Mn_4s_dn_occ_filling,0.0003993988689661202,3.971213746568808e-05
b,0.0003648856905989447,3.118686668322405e-05
stress_zz,0.0003452772625880285,0.0001326784111726134
Ga_4p_dn_integral,0.00033800813223178926,3.8260707772404415e-05
Ga_4p_dn_width,0.00032854368012248024,3.558327328272699e-05
x_Ni_sq,0.0003163791898776506,5.325241370301338e-05
std_valence_Ga,0.0002999467435029731,3.6998996380782637e-05
Mn_3d_dn_skew,0.00027517956736875513,2.459260524508772e-05
Mn_4s_dn_width,0.0002709478729533569,2.4420557786331538e-05
avg_mass,0.0002703894231318042,2.4131657777053146e-05
Mn_4s_dn_integral,0.0002657293530343052,3.6377437582773416e-05
volume,0.0002554123310908244,3.0028809725980844e-05
Mn_3d_dn_center,0.0002400944809009542,2.2999825228307846e-05
Mn_3d_dos_ef_dn,0.00023502571522787674,2.5790522981755774e-05
Mn_3d_exchange_split,0.00022355203882482206,2.3310771185789234e-05
Mn_3d_up_skew,0.00021911457372781514,2.9305740991138445e-05
Ga_4p_dn_center,0.00021839127944126938,1.8076141419974555e-05
Ga_4p_up_occ_filling,0.00021608655214391999,3.0030759788489515e-05
avg_valence_Ni,0.0002128644749607796,2.0820326180439853e-05
avg_valence_Ga,0.0002096214583581039,1.774631901980752e-05
