feature,importance_mean,importance_std
Ni_3d_spin_pol_ef,0.8954725509231942,0.07813674843147599
Mn_3d_spin_pol_ef,0.49549744263439327,0.030743762745786548
Ga_4p_spin_pol_ef,0.01074125943400311,0.0011751339689044453
Mn_3d_dos_ef_dn,0.0069549780122047196,0.001393885437165068
Mn_3d_dos_ef_up,0.002647945304119307,0.0003940676722018831
Ni_3d_dos_ef_up,0.0011163995952139904,0.00016118087531917638
Ni_3d_dn_occ_center,0.0009269253786856909,0.0001564256245523263
avg_en,0.0006391509347980644,9.199954480324315e-05
delta_en,0.0004917565779534913,8.09620936452115e-05
Ni_3d_dos_ef_dn,0.0004806389235996892,3.7483953895810045e-05
Ni_3d_up_skew,0.00042950927842981453,6.0233446112798975e-05
Ni_3d_up_occ_filling,0.0003683710346730614,4.718602369594616e-05
Ga_4p_dn_skew,0.0003555030733413641,9.030122544361575e-05
Mn_3d_up_skew,0.000320632770862761,3.920802909411595e-05
Ga_4p_dos_ef_dn,0.00032035092717167164,6.30952269178508e-05
stress_xx,0.0003199504999812734,4.2207870176441995e-05
Mn_3d_dn_width,0.0003081793732538474,2.4949256126852103e-05
tetragonality,0.00023358881811385383,5.017042636032415e-05
volume,0.00021614100027182262,3.2652390331597636e-05
Mn_4s_dos_ef_dn,0.00017038518878538246,2.8358817845011598e-05
abs_VEC_m7p5,0.0001674028480217471,3.165076631467095e-05
Mn_4s_up_occ_filling,0.0001639289677786482,2.4531219771171892e-05
x_Mn_sq,0.00015428288343622605,3.478423026041599e-05
delta_mass,0.00014817680001490233,3.374963649669006e-05
Mn_4s_exchange_split,0.0001331932942496413,1.3160624899305529e-05
Mn_3d_exchange_split,0.00012472566665581165,6.4943884222137265e-06
stress_anisotropy,0.00011882613169401275,1.4709557391111491e-05
Mn_3d_up_occ_center,0.00011856608544440114,1.8834849941103046e-05
x_Mn_x_Ni,0.0001157707722175864,2.5801381619956843e-05
Ga_4p_dos_ef_up,0.0001153718833301324,1.5299346789655762e-05
