system_id,VEC,abs_moment_per_atom,mag_ordering
system_0,6.25,1.113774625,AFM
system_1,4.833333333333333,0.5513716666666667,FM
system_2,6.0,1.585254,FiM
system_3,8.5,1.118512375,FiM
system_4,8.5,1.5034135,AFM
system_5,6.875,1.826607375,FiM
system_7,8.333333333333332,0.8398315,FM
system_8,7.5,1.229087,FM
system_9,5.5,1.0976815,AFM
system_10,6.333333333333334,0.9506626666666668,FiM
system_11,7.0,0.011263,NM
system_12,5.0,1.4827055,AFM
system_13,5.5,1.38680375,FiM
system_14,9.4,0.8823056999999999,FM
system_15,5.75,0.75704175,FM
system_16,6.5,0.0,NM
system_17,7.3,0.7678474,AFM
system_18,6.125,0.55297725,FM
system_19,5.375,1.204139125,FiM
system_20,7.0,0.5527915,FM
system_21,8.125,1.119418875,AFM
system_22,5.666666666666666,1.6368468333333333,FiM
system_23,4.875,0.8866666249999999,FiM
system_24,8.875,1.35378475,FiM
system_25,5.75,0.90496775,FM
system_26,7.5,0.9486592500000002,AFM
system_27,9.25,0.8939403750000001,FiM
system_28,4.375,0.483502,FM
system_29,3.875,0.0,NM
system_30,7.0,0.6969346249999999,FM
system_31,9.125,0.3547635,FM
system_32,6.166666666666666,1.2765481666666665,FiM
system_35,4.875,0.795807375,AFM
system_36,8.25,2.5e-07,NM
system_37,6.6,1.8052691,AFM
system_38,7.0,0.0109885,NM
system_39,4.5,1.054638125,FiM
system_40,3.0,0.0,NM
system_41,7.0,0.0014382499999999,NM
system_42,6.5,1.564621,AFM
system_43,6.5,0.8540156000000001,FiM
system_44,7.375,0.685899625,FiM
system_45,8.5,1.719323,AFM
system_46,7.0,0.011670625,NM
system_48,7.199999999999999,1.0225868,FiM
system_49,6.25,1.34081275,FM
system_50,4.833333333333333,0.452048,FM
system_51,6.875,1.750818375,FiM
system_52,7.0,0.0005286666666666,NM
system_53,10.0,0.6632640999999999,FM
system_54,7.25,1.298461375,FiM
system_55,6.333333333333334,1.5726116666666663,FiM
system_56,6.5,0.8952880000000001,FM
system_57,6.125,0.5736731249999999,FM
system_58,5.799999999999999,1.6982031,FiM
system_59,6.0,1.53032975,AFM
system_60,7.0,0.000566875,NM
system_61,6.300000000000001,0.9427768,FiM
system_62,4.5,1.0542189999999998,FiM
system_63,4.0,0.9505645,FM
system_64,7.8,1.1896656,AFM
system_66,7.75,0.9104975,FiM
system_67,7.625,0.986197,AFM
system_68,7.75,0.0367965,FM
system_69,5.5,1.677339,FiM
system_70,7.5,0.6463561250000001,FiM
system_71,7.8,0.9196433,AFM
system_72,7.3,0.0507428,FiM
system_73,7.5,0.8607775000000001,FiM
system_74,7.7,1.1686641999999998,FiM
system_75,5.75,0.9110535,FM
system_76,6.125,0.425922,FM
system_77,8.5,0.856791,FM
system_78,8.5,0.7105378333333333,FM
system_79,7.5,1.06277475,FM
system_80,7.625,1.2503155,FM
system_81,7.7,1.1429416,FiM
system_82,7.0,0.0004008333333333,NM
system_83,6.666666666666666,1.1120115000000002,FiM
system_84,10.0,0.5725867,FM
system_85,7.5,0.6895648333333334,FiM
system_86,6.5,1.787147375,FiM
system_87,7.0,0.7461435,AFM
system_88,6.125,0.5543712500000001,FM
system_89,5.5,1.685289375,FM
system_91,8.375,1.02308225,AFM
system_92,7.5,0.8463151666666667,FiM
system_93,6.800000000000001,1.3715761,AFM
system_94,7.5,1.2267775,FM
system_95,9.4,0.3826099,FM
system_96,6.800000000000001,1.2013357,FiM
system_97,7.375,0.0,NM
system_98,5.0,0.7482927500000001,AFM
system_99,9.25,0.805642,FM
system_100,4.75,0.0,NM
system_101,7.0,3.460000000000001e-05,NM
system_102,4.333333333333333,1.0579506666666667,FM
system_104,6.5,0.0,NM
system_105,6.5,1.698226875,FiM
system_106,8.125,1.462194125,AFM
system_107,6.25,1.068670375,FiM
system_108,7.375,0.981888375,FiM
system_109,9.625,0.846513375,FM
system_110,8.5,0.8555685000000001,FM
system_111,9.0,1.1882585,FiM
system_112,5.75,0.91082575,FM
system_113,7.0,0.03560675,FiM
system_114,5.0,1.5603355,FM
system_115,7.6,0.4491862999999999,FiM
system_116,3.6666666666666665,0.6802886666666668,FM
system_117,6.800000000000001,1.5166467,FiM
system_118,5.875,1.21084475,FM
system_119,10.0,0.6824818333333335,FM
system_120,7.75,0.90968325,FiM
system_121,7.875,0.62943525,FM
system_122,7.166666666666666,0.7168899999999999,FM
system_123,7.0,0.01411075,NM
system_124,7.0,0.0001115,NM
system_125,6.5,1.789280125,FiM
system_126,7.75,0.88343475,FiM
system_127,6.6,1.7490773000000002,FiM
system_128,7.3,0.5391268,FiM
system_129,4.0,0.7902995,AFM
system_130,9.25,0.815377,FM
system_131,8.5,1.437938333333333,FiM
system_132,6.2,0.4581248999999999,FM
system_134,5.0,1.560373,FM
system_135,5.5,1.458932875,FiM
system_136,4.0,0.80796,FM
system_137,8.2,1.7624601999999996,AFM
system_138,6.5,0.05937175,FM
system_139,7.0,0.000522125,NM
system_140,8.333333333333332,0.8391901666666666,FM
system_141,7.0,0.0001295,NM
system_142,7.0,0.02344,FM
system_143,8.5,0.7446836,FM
system_144,3.875,0.0,NM
system_145,6.4,1.4822505,FM
system_146,6.0,1.7318785,FiM
system_147,7.0,0.00470025,NM
system_148,5.0,0.7311235,AFM
system_149,8.5,0.8553919999999999,FM
system_150,7.75,0.907134,FiM
system_151,7.4,0.3014305,FM
system_152,8.0,1.40979575,FiM
system_153,6.5,0.0,NM
system_154,8.833333333333334,0.2415481666666666,FM
system_155,7.0,0.0011478333333333,NM
system_156,7.0,0.013560125,FM
system_157,7.875,0.6511315,FM
system_158,6.166666666666666,1.1459523333333332,FiM
system_159,6.5,0.0,NM
system_160,6.5,1.70883975,FiM
system_161,7.0,0.0163023333333333,NM
system_162,7.0,0.02951625,FiM
system_163,6.0,0.7684486666666667,FM
system_164,7.0,0.0215439999999999,AFM
system_165,7.0,0.0163393333333333,NM
system_166,4.0,0.79014325,AFM
system_167,7.875,0.5095824999999999,FM
system_168,7.0,0.0154663333333333,NM
system_169,6.2,0.4114173,FM
system_170,4.333333333333333,1.0427058333333334,FM
system_171,6.5,1.70809725,FiM
system_172,7.375,1.2954672500000002,AFM
system_173,7.375,0.980794375,FiM
system_174,7.0,0.7736433,AFM
system_175,7.25,1.4989123750000002,AFM
system_176,7.375,0.9396355,FiM
system_177,7.125,1.2199421249999998,FM
system_178,6.875,1.498851875,AFM
system_179,8.5,0.855406,FM
system_180,6.333333333333334,1.575408333333333,FiM
system_181,6.5,1.69393525,FiM
system_183,6.200000000000001,0.7619471000000001,FiM
