#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000001     0.00000000
  -18.3583584     0.00000004     0.00000000
  -18.3183183     0.00000016     0.00000001
  -18.2782783     0.00000044     0.00000003
  -18.2382382     0.00000088     0.00000007
  -18.1981982     0.00000135     0.00000017
  -18.1581582     0.00000173     0.00000043
  -18.1181181     0.00000221     0.00000114
  -18.0780781     0.00000302     0.00000267
  -18.0380380     0.00000386     0.00000482
  -17.9979980     0.00000394     0.00000642
  -17.9579580     0.00000300     0.00000624
  -17.9179179     0.00000167     0.00000440
  -17.8778779     0.00000067     0.00000226
  -17.8378378     0.00000015     0.00000087
  -17.7977978    -0.00000012     0.00000034
  -17.7577578    -0.00000025     0.00000038
  -17.7177177     0.00000055     0.00000097
  -17.6776777     0.00000625     0.00000350
  -17.6376376     0.00002849     0.00001425
  -17.5975976     0.00008686     0.00004900
  -17.5575576     0.00018964     0.00012698
  -17.5175175     0.00030279     0.00024181
  -17.4774775     0.00036471     0.00034094
  -17.4374374     0.00036130     0.00037281
  -17.3973974     0.00034914     0.00036095
  -17.3573574     0.00036505     0.00037426
  -17.3173173     0.00036433     0.00041463
  -17.2772773     0.00029525     0.00040556
  -17.2372372     0.00018289     0.00030800
  -17.1971972     0.00009808     0.00017831
  -17.1571572     0.00009367     0.00010155
  -17.1171171     0.00020158     0.00013257
  -17.0770771     0.00043272     0.00029744
  -17.0370370     0.00071831     0.00056570
  -16.9969970     0.00089926     0.00080399
  -16.9569570     0.00088961     0.00086583
  -16.9169169     0.00083875     0.00079345
  -16.8768769     0.00098834     0.00082927
  -16.8368368     0.00134191     0.00112734
  -16.7967968     0.00162885     0.00151800
  -16.7567568     0.00168450     0.00170539
  -16.7167167     0.00167490     0.00168349
  -16.6766767     0.00175698     0.00171088
  -16.6366366     0.00175421     0.00183096
  -16.5965966     0.00144678     0.00175633
  -16.5565566     0.00097257     0.00133773
  -16.5165165     0.00068578     0.00083080
  -16.4764765     0.00076977     0.00060217
  -16.4364364     0.00114028     0.00080069
  -16.3963964     0.00160913     0.00132153
  -16.3563564     0.00198819     0.00189305
  -16.3163163     0.00207114     0.00218426
  -16.2762763     0.00175703     0.00200560
  -16.2362362     0.00127038     0.00152071
  -16.1961962     0.00103488     0.00115892
  -16.1561562     0.00123129     0.00119057
  -16.1161161     0.00157971     0.00143317
  -16.0760761     0.00162902     0.00147092
  -16.0360360     0.00124524     0.00113602
  -15.9959960     0.00070660     0.00064376
  -15.9559560     0.00035357     0.00028025
  -15.9159159     0.00035181     0.00016086
  -15.8758759     0.00075432     0.00031523
  -15.8358358     0.00148971     0.00080356
  -15.7957958     0.00219521     0.00157855
  -15.7557558     0.00235872     0.00226880
  -15.7157157     0.00184274     0.00237309
  -15.6756757     0.00105405     0.00180984
  -15.6356356     0.00049329     0.00104497
  -15.5955956     0.00042306     0.00063848
  -15.5555556     0.00102652     0.00094288
  -15.5155155     0.00249449     0.00211618
  -15.4754755     0.00461494     0.00392733
  -15.4354354     0.00650204     0.00555217
  -15.3953954     0.00733868     0.00617227
  -15.3553554     0.00729643     0.00595423
  -15.3153153     0.00701203     0.00584334
  -15.2752753     0.00644362     0.00615759
  -15.2352352     0.00513566     0.00605893
  -15.1951952     0.00326727     0.00481703
  -15.1551552     0.00160120     0.00289714
  -15.1151151     0.00065260     0.00131295
  -15.0750751     0.00045993     0.00056539
  -15.0350350     0.00095348     0.00061973
  -14.9949950     0.00205918     0.00134390
  -14.9549550     0.00340129     0.00249813
  -14.9149149     0.00444834     0.00361530
  -14.8748749     0.00546760     0.00454909
  -14.8348348     0.00784250     0.00614094
  -14.7947948     0.01247265     0.00955438
  -14.7547548     0.01807408     0.01468042
  -14.7147147     0.02209912     0.01981813
  -14.6746747     0.02303616     0.02292280
  -14.6346346     0.02085809     0.02260330
  -14.5945946     0.01639912     0.01874630
  -14.5545546     0.01154622     0.01323746
  -14.5145145     0.00841439     0.00896223
  -14.4744745     0.00729993     0.00711848
  -14.4344344     0.00688490     0.00656508
  -14.3943944     0.00669198     0.00620041
  -14.3543544     0.00764909     0.00653500
  -14.3143143     0.00982405     0.00814275
  -14.2742743     0.01136843     0.00989320
  -14.2342342     0.01098826     0.01029610
  -14.1941942     0.01016251     0.00994410
  -14.1541542     0.01107494     0.01064147
  -14.1141141     0.01313359     0.01226454
  -14.0740741     0.01360632     0.01264325
  -14.0340340     0.01156568     0.01086848
  -13.9939940     0.00939271     0.00890451
  -13.9539540     0.01018799     0.00947655
  -13.9139139     0.01446181     0.01309126
  -13.8738739     0.01897775     0.01692555
  -13.8338338     0.01937119     0.01712683
  -13.7937938     0.01488004     0.01302760
  -13.7537538     0.00923930     0.00800485
  -13.7137137     0.00675780     0.00616396
  -13.6736737     0.00965357     0.00999877
  -13.6336336     0.01876241     0.02038842
  -13.5935936     0.03360832     0.03588908
  -13.5535536     0.05021712     0.05148177
  -13.5135135     0.06101564     0.06004145
  -13.4734735     0.06014648     0.05713080
  -13.4334334     0.04893236     0.04489495
  -13.3933934     0.03439916     0.03018207
  -13.3533534     0.02290239     0.01854681
  -13.3133133     0.01611472     0.01125157
  -13.2732733     0.01233747     0.00738665
  -13.2332332     0.00992019     0.00627314
  -13.1931932     0.00867924     0.00793293
  -13.1531532     0.01008175     0.01401998
  -13.1131131     0.01794878     0.02819002
  -13.0730731     0.03651761     0.05169825
  -13.0330330     0.06421147     0.07759616
  -12.9929930     0.09061266     0.09346417
  -12.9529530     0.10336492     0.09171036
  -12.9129129     0.09757384     0.07520209
  -12.8728729     0.07785153     0.05421482
  -12.8328328     0.05487950     0.03936786
  -12.7927928     0.03944322     0.03461690
  -12.7527528     0.03528145     0.03573490
  -12.7127127     0.03800014     0.03583482
  -12.6726727     0.04116931     0.03128323
  -12.6326326     0.04040297     0.02318471
  -12.5925926     0.03388038     0.01565717
  -12.5525526     0.02419011     0.01310100
  -12.5125125     0.01818251     0.01772080
  -12.4724725     0.02134278     0.02755619
  -12.4324324     0.03174977     0.03600069
  -12.3923924     0.04014452     0.03625172
  -12.3523524     0.03811109     0.02918697
  -12.3123123     0.02679397     0.02544360
  -12.2722723     0.01537436     0.03857328
  -12.2322322     0.01351121     0.07435860
  -12.1921922     0.02949641     0.12063415
  -12.1521522     0.07038961     0.14909286
  -12.1121121     0.13246919     0.13932106
  -12.0720721     0.19005068     0.10178421
  -12.0320320     0.20786354     0.06639189
  -11.9919920     0.17496223     0.05118762
  -11.9519520     0.11757380     0.05132199
  -11.9119119     0.07129164     0.05386920
  -11.8718719     0.05029865     0.05399530
  -11.8318318     0.04724081     0.05488046
  -11.7917918     0.05135118     0.05793294
  -11.7517518     0.05864699     0.06142570
  -11.7117117     0.06726815     0.06706562
  -11.6716717     0.07231346     0.07877517
  -11.6316316     0.07158484     0.09530301
  -11.5915916     0.07150076     0.10991123
  -11.5515516     0.08299986     0.11568606
  -11.5115115     0.11251861     0.11010860
  -11.4714715     0.15289258     0.09873168
  -11.4314314     0.18330602     0.09351541
  -11.3913914     0.18603871     0.10280613
  -11.3513514     0.16183583     0.12169463
  -11.3113113     0.12685154     0.13520730
  -11.2712713     0.10206627     0.13450371
  -11.2312312     0.10279609     0.12638931
  -11.1911912     0.12713397     0.12183747
  -11.1511512     0.15514942     0.12188463
  -11.1111111     0.16482608     0.12153143
  -11.0710711     0.15022399     0.11847128
  -11.0310310     0.12465861     0.11252350
  -10.9909910     0.10513144     0.10635850
  -10.9509510     0.09572984     0.10593485
  -10.9109109     0.08863634     0.10936946
  -10.8708709     0.07640359     0.10314597
  -10.8308308     0.06006391     0.07971204
  -10.7907908     0.04802100     0.04890723
  -10.7507508     0.04919645     0.02673700
  -10.7107107     0.06588601     0.02295527
  -10.6706707     0.08976299     0.04072319
  -10.6306306     0.10623999     0.07827183
  -10.5905906     0.10860259     0.12741127
  -10.5505506     0.10688617     0.17406741
  -10.5105105     0.11876931     0.20169480
  -10.4704705     0.15339320     0.19885182
  -10.4304304     0.20321771     0.17414580
  -10.3903904     0.24657327     0.16300705
  -10.3503504     0.25862951     0.20317791
  -10.3103103     0.22885104     0.29276058
  -10.2702703     0.17490844     0.38483877
  -10.2302302     0.13414609     0.44121473
  -10.1901902     0.14122925     0.47460812
