#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000004     0.00000004
  -18.8788789     0.00000060     0.00000060
  -18.8388388     0.00000640     0.00000640
  -18.7987988     0.00004920     0.00004920
  -18.7587588     0.00027461     0.00027461
  -18.7187187     0.00111222     0.00111222
  -18.6786787     0.00326902     0.00326902
  -18.6386386     0.00697212     0.00697212
  -18.5985986     0.01078609     0.01078609
  -18.5585586     0.01206958     0.01206958
  -18.5185185     0.00956753     0.00956753
  -18.4784785     0.00449898     0.00449898
  -18.4384384    -0.00167979    -0.00167979
  -18.3983984    -0.00867785    -0.00867785
  -18.3583584    -0.01532526    -0.01532526
  -18.3183183    -0.01840652    -0.01840652
  -18.2782783    -0.01590661    -0.01590661
  -18.2382382    -0.00996397    -0.00996397
  -18.1981982    -0.00453210    -0.00453211
  -18.1581582    -0.00153684    -0.00153684
  -18.1181181    -0.00072591    -0.00072591
  -18.0780781    -0.00234154    -0.00234154
  -18.0380380    -0.01029774    -0.01029774
  -17.9979980    -0.03408353    -0.03408353
  -17.9579580    -0.08371438    -0.08371437
  -17.9179179    -0.15538275    -0.15538274
  -17.8778779    -0.22452397    -0.22452396
  -17.8378378    -0.26257142    -0.26257142
  -17.7977978    -0.25975093    -0.25975093
  -17.7577578    -0.23294189    -0.23294188
  -17.7177177    -0.21858611    -0.21858610
  -17.6776777    -0.24468125    -0.24468124
  -17.6376376    -0.29972808    -0.29972807
  -17.5975976    -0.34094045    -0.34094044
  -17.5575576    -0.33062919    -0.33062920
  -17.5175175    -0.26184241    -0.26184242
  -17.4774775    -0.16365105    -0.16365107
  -17.4374374    -0.07988193    -0.07988194
  -17.3973974    -0.03494273    -0.03494273
  -17.3573574    -0.02459189    -0.02459189
  -17.3173173    -0.03231360    -0.03231360
  -17.2772773    -0.04662045    -0.04662045
  -17.2372372    -0.07287560    -0.07287559
  -17.1971972    -0.13072238    -0.13072237
  -17.1571572    -0.22177920    -0.22177919
  -17.1171171    -0.29912746    -0.29912744
  -17.0770771    -0.30287085    -0.30287085
  -17.0370370    -0.23786305    -0.23786305
  -16.9969970    -0.18303900    -0.18303900
  -16.9569570    -0.21140819    -0.21140818
  -16.9169169    -0.31287796    -0.31287794
  -16.8768769    -0.39523769    -0.39523768
  -16.8368368    -0.37311992    -0.37311992
  -16.7967968    -0.25805462    -0.25805463
  -16.7567568    -0.13581371    -0.13581373
  -16.7167167    -0.07421678    -0.07421678
  -16.6766767    -0.08662777    -0.08662777
  -16.6366366    -0.15229425    -0.15229424
  -16.5965966    -0.23130328    -0.23130327
  -16.5565566    -0.27627538    -0.27627537
  -16.5165165    -0.25941358    -0.25941357
  -16.4764765    -0.19288012    -0.19288012
  -16.4364364    -0.11772885    -0.11772885
  -16.3963964    -0.06942661    -0.06942661
  -16.3563564    -0.05267889    -0.05267889
  -16.3163163    -0.04834863    -0.04834863
  -16.2762763    -0.03923043    -0.03923043
  -16.2362362    -0.02424232    -0.02424232
  -16.1961962    -0.01098720    -0.01098720
  -16.1561562    -0.00367276    -0.00367276
  -16.1161161    -0.00139466    -0.00139466
  -16.0760761    -0.00391305    -0.00391305
  -16.0360360    -0.01945169    -0.01945169
  -15.9959960    -0.07290570    -0.07290569
  -15.9559560    -0.19885728    -0.19885727
  -15.9159159    -0.39512353    -0.39512352
  -15.8758759    -0.57467744    -0.57467742
  -15.8358358    -0.62071794    -0.62071793
  -15.7957958    -0.52218010    -0.52218009
  -15.7557558    -0.39416337    -0.39416336
  -15.7157157    -0.34051313    -0.34051313
  -15.6756757    -0.35629280    -0.35629279
  -15.6356356    -0.37306510    -0.37306509
  -15.5955956    -0.34355648    -0.34355648
  -15.5555556    -0.26766724    -0.26766724
  -15.5155155    -0.17354957    -0.17354958
  -15.4754755    -0.09470511    -0.09470512
  -15.4354354    -0.05114232    -0.05114232
  -15.3953954    -0.03942605    -0.03942605
  -15.3553554    -0.04030236    -0.04030236
  -15.3153153    -0.03642244    -0.03642244
  -15.2752753    -0.02276887    -0.02276887
  -15.2352352    -0.00032006    -0.00032006
  -15.1951952     0.03532822     0.03532822
  -15.1551552     0.08638889     0.08638889
  -15.1151151     0.12830517     0.12830516
  -15.0750751     0.11602002     0.11602003
  -15.0350350     0.04230600     0.04230601
  -14.9949950    -0.03315786    -0.03315785
  -14.9549550    -0.04599645    -0.04599645
  -14.9149149     0.00218085     0.00218085
  -14.8748749     0.05263324     0.05263324
  -14.8348348     0.05034538     0.05034538
  -14.7947948    -0.00708237    -0.00708236
  -14.7547548    -0.06671180    -0.06671179
  -14.7147147    -0.06583569    -0.06583569
  -14.6746747     0.00685034     0.00685033
  -14.6346346     0.09459200     0.09459199
  -14.5945946     0.13036432     0.13036432
  -14.5545546     0.10430170     0.10430170
  -14.5145145     0.05511801     0.05511801
  -14.4744745     0.01018585     0.01018585
  -14.4344344    -0.03778655    -0.03778655
  -14.3943944    -0.09770965    -0.09770964
  -14.3543544    -0.14826445    -0.14826444
  -14.3143143    -0.15951197    -0.15951197
  -14.2742743    -0.13675802    -0.13675802
  -14.2342342    -0.11273133    -0.11273133
  -14.1941942    -0.10091248    -0.10091248
  -14.1541542    -0.08586558    -0.08586558
  -14.1141141    -0.05451050    -0.05451050
  -14.0740741    -0.01238311    -0.01238311
  -14.0340340     0.02723119     0.02723118
  -13.9939940     0.05324481     0.05324481
  -13.9539540     0.06023829     0.06023829
  -13.9139139     0.05189687     0.05189687
  -13.8738739     0.03677985     0.03677986
  -13.8338338     0.01902777     0.01902777
  -13.7937938    -0.00122163    -0.00122163
  -13.7537538    -0.01843786    -0.01843785
  -13.7137137    -0.01686834    -0.01686834
  -13.6736737     0.01864407     0.01864407
  -13.6336336     0.08028477     0.08028477
  -13.5935936     0.13192411     0.13192410
  -13.5535536     0.14074793     0.14074793
  -13.5135135     0.11311041     0.11311041
  -13.4734735     0.08852887     0.08852887
  -13.4334334     0.10207404     0.10207404
  -13.3933934     0.15410517     0.15410516
  -13.3533534     0.20740501     0.20740501
  -13.3133133     0.22209576     0.22209576
  -13.2732733     0.20063423     0.20063424
  -13.2332332     0.17821892     0.17821892
  -13.1931932     0.16933852     0.16933851
  -13.1531532     0.15698601     0.15698601
  -13.1131131     0.13266417     0.13266417
  -13.0730731     0.11097658     0.11097659
  -13.0330330     0.10455430     0.10455431
  -12.9929930     0.11186145     0.11186145
  -12.9529530     0.12658755     0.12658754
  -12.9129129     0.14135593     0.14135593
  -12.8728729     0.14892243     0.14892243
  -12.8328328     0.14884899     0.14884899
  -12.7927928     0.14699067     0.14699067
  -12.7527528     0.14865048     0.14865047
  -12.7127127     0.15497673     0.15497672
  -12.6726727     0.15999726     0.15999725
  -12.6326326     0.15251368     0.15251368
  -12.5925926     0.12771933     0.12771934
  -12.5525526     0.09451081     0.09451082
  -12.5125125     0.06987861     0.06987862
  -12.4724725     0.07159724     0.07159724
  -12.4324324     0.11359496     0.11359495
  -12.3923924     0.19644187     0.19644185
  -12.3523524     0.29842349     0.29842347
  -12.3123123     0.37888352     0.37888352
  -12.2722723     0.39794721     0.39794722
  -12.2322322     0.35228815     0.35228816
  -12.1921922     0.28952968     0.28952969
  -12.1521522     0.25998506     0.25998506
  -12.1121121     0.26434538     0.26434537
  -12.0720721     0.27386955     0.27386954
  -12.0320320     0.27540889     0.27540889
  -11.9919920     0.27002475     0.27002475
  -11.9519520     0.25600252     0.25600253
  -11.9119119     0.23647814     0.23647815
  -11.8718719     0.22189911     0.22189911
  -11.8318318     0.21892079     0.21892079
  -11.7917918     0.24077465     0.24077463
  -11.7517518     0.31617027     0.31617023
  -11.7117117     0.45359370     0.45359365
  -11.6716717     0.60527000     0.60526996
  -11.6316316     0.69135532     0.69135532
  -11.5915916     0.66424273     0.66424277
  -11.5515516     0.55165256     0.55165260
  -11.5115115     0.43226548     0.43226551
  -11.4714715     0.36007880     0.36007881
  -11.4314314     0.32572113     0.32572113
  -11.3913914     0.29903675     0.29903676
  -11.3513514     0.27993143     0.27993143
