#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386    -0.00000000     0.00000000
  -18.5985986    -0.00000000     0.00000000
  -18.5585586    -0.00000000     0.00000000
  -18.5185185    -0.00000000     0.00000000
  -18.4784785    -0.00000004     0.00000004
  -18.4384384    -0.00000029     0.00000023
  -18.3983984    -0.00000155     0.00000094
  -18.3583584    -0.00000591     0.00000265
  -18.3183183    -0.00001604     0.00000500
  -18.2782783    -0.00003112     0.00000592
  -18.2382382    -0.00004331     0.00000331
  -18.1981982    -0.00004335    -0.00000146
  -18.1581582    -0.00003125    -0.00000448
  -18.1181181    -0.00001625    -0.00000413
  -18.0780781    -0.00000610    -0.00000225
  -18.0380380    -0.00000165    -0.00000081
  -17.9979980    -0.00000032    -0.00000020
  -17.9579580    -0.00000005    -0.00000003
  -17.9179179     0.00000000    -0.00000000
  -17.8778779     0.00000009     0.00000004
  -17.8378378     0.00000095     0.00000047
  -17.7977978     0.00000754     0.00000408
  -17.7577578     0.00004370     0.00002576
  -17.7177177     0.00018537     0.00011889
  -17.6776777     0.00057940     0.00040347
  -17.6376376     0.00135332     0.00101950
  -17.5975976     0.00241985     0.00196135
  -17.5575576     0.00343061     0.00297316
  -17.5175175     0.00400157     0.00369406
  -17.4774775     0.00392010     0.00385796
  -17.4374374     0.00321474     0.00337793
  -17.3973974     0.00218627     0.00243747
  -17.3573574     0.00124108     0.00144021
  -17.3173173     0.00060048     0.00070585
  -17.2772773     0.00024956     0.00029164
  -17.2372372     0.00008682     0.00010103
  -17.1971972     0.00002417     0.00002843
  -17.1571572     0.00000521     0.00000626
  -17.1171171     0.00000138     0.00000124
  -17.0770771     0.00000586     0.00000245
  -17.0370370     0.00004345     0.00001941
  -16.9969970     0.00023825     0.00011795
  -16.9569570     0.00095070     0.00052176
  -16.9169169     0.00276488     0.00168158
  -16.8768769     0.00588047     0.00395901
  -16.8368368     0.00921412     0.00684700
  -16.7967968     0.01081238     0.00880467
  -16.7567568     0.00984795     0.00864496
  -16.7167167     0.00745205     0.00683958
  -16.6766767     0.00511780     0.00473956
  -16.6366366     0.00331826     0.00307133
  -16.5965966     0.00192576     0.00182317
  -16.5565566     0.00091877     0.00091385
  -16.5165165     0.00033966     0.00036041
  -16.4764765     0.00009438     0.00010751
  -16.4364364     0.00001942     0.00002380
  -16.3963964     0.00000295     0.00000388
  -16.3563564     0.00000054     0.00000055
  -16.3163163     0.00000224     0.00000105
  -16.2762763     0.00001652     0.00000817
  -16.2362362     0.00009011     0.00004818
  -16.1961962     0.00036009     0.00020834
  -16.1561562     0.00105461     0.00066090
  -16.1161161     0.00226501     0.00153915
  -16.0760761     0.00356864     0.00263277
  -16.0360360     0.00412532     0.00330836
  -15.9959960     0.00349863     0.00305376
  -15.9559560     0.00217622     0.00206971
  -15.9159159     0.00099308     0.00102930
  -15.8758759     0.00033669     0.00037503
  -15.8358358     0.00010328     0.00009868
  -15.7957958     0.00008378     0.00001417
  -15.7557558     0.00017240    -0.00000658
  -15.7157157     0.00038490     0.00002042
  -15.6756757     0.00093425     0.00022235
  -15.6356356     0.00230929     0.00092603
  -15.5955956     0.00485176     0.00250676
  -15.5555556     0.00780239     0.00479499
  -15.5155155     0.00930854     0.00664050
  -15.4754755     0.00835667     0.00678098
  -15.4354354     0.00621998     0.00538418
  -15.3953954     0.00495089     0.00396594
  -15.3553554     0.00496341     0.00358276
  -15.3153153     0.00500692     0.00379029
  -15.2752753     0.00414695     0.00356121
  -15.2352352     0.00293172     0.00270367
  -15.1951952     0.00259468     0.00202166
  -15.1551552     0.00368258     0.00233402
  -15.1151151     0.00555670     0.00361181
  -15.0750751     0.00712454     0.00498963
  -15.0350350     0.00816421     0.00570739
  -14.9949950     0.00971077     0.00604294
  -14.9549550     0.01330700     0.00704812
  -14.9149149     0.02036763     0.00981501
  -14.8748749     0.03081746     0.01521320
  -14.8348348     0.04072875     0.02273340
  -14.7947948     0.04365989     0.02892180
  -14.7547548     0.03694284     0.02935644
  -14.7147147     0.02484065     0.02332130
  -14.6746747     0.01409864     0.01466464
  -14.6346346     0.00811585     0.00774294
  -14.5945946     0.00588286     0.00404465
  -14.5545546     0.00495729     0.00255340
  -14.5145145     0.00453543     0.00194273
  -14.4744745     0.00593675     0.00197706
  -14.4344344     0.01066445     0.00338688
  -14.3943944     0.01812790     0.00684982
  -14.3543544     0.02556967     0.01194050
  -14.3143143     0.03088976     0.01712492
  -14.2742743     0.03450055     0.02117893
  -14.2342342     0.03656338     0.02408622
  -14.1941942     0.03443950     0.02563336
  -14.1541542     0.02636152     0.02418479
  -14.1141141     0.01546889     0.01874669
  -14.0740741     0.00676771     0.01130603
  -14.0340340     0.00218199     0.00515494
  -13.9939940     0.00051628     0.00176910
  -13.9539540     0.00009181     0.00050724
  -13.9139139     0.00002689     0.00023134
  -13.8738739     0.00007278     0.00024620
  -13.8338338     0.00024435     0.00027713
  -13.7937938     0.00063252     0.00029511
  -13.7537538     0.00132116     0.00044742
  -13.7137137     0.00242638     0.00095110
  -13.6736737     0.00412632     0.00192681
  -13.6336336     0.00624509     0.00326625
  -13.5935936     0.00776899     0.00452702
  -13.5535536     0.00754482     0.00499696
  -13.5135135     0.00563994     0.00425794
  -13.4734735     0.00329946     0.00277111
  -13.4334334     0.00169337     0.00157666
  -13.3933934     0.00140301     0.00158814
  -13.3533534     0.00291799     0.00339336
  -13.3133133     0.00692936     0.00703486
  -13.2732733     0.01381615     0.01143849
  -13.2332332     0.02296281     0.01489346
  -13.1931932     0.03297680     0.01680790
  -13.1531532     0.04317505     0.01821973
  -13.1131131     0.05465185     0.02047982
  -13.0730731     0.06766090     0.02441137
  -13.0330330     0.07726144     0.02978246
  -12.9929930     0.07609849     0.03430382
  -12.9529530     0.06451695     0.03468614
  -12.9129129     0.05359983     0.02979960
  -12.8728729     0.05377251     0.02176971
  -12.8328328     0.06205138     0.01431503
  -12.7927928     0.06551285     0.01147250
  -12.7527528     0.05927271     0.01714047
  -12.7127127     0.05540688     0.03283698
  -12.6726727     0.06891626     0.05415119
  -12.6326326     0.09842956     0.07202956
  -12.5925926     0.12504524     0.08057877
  -12.5525526     0.12919892     0.08132597
  -12.5125125     0.10738613     0.07830997
  -12.4724725     0.07309835     0.07237334
  -12.4324324     0.04308505     0.06142520
  -12.3923924     0.02528111     0.04507752
  -12.3523524     0.01884478     0.02795429
  -12.3123123     0.01932772     0.01648088
  -12.2722723     0.02163625     0.01284952
  -12.2322322     0.02227264     0.01399281
  -12.1921922     0.02111023     0.01597293
  -12.1521522     0.02050279     0.01813924
  -12.1121121     0.02306355     0.02234495
  -12.0720721     0.03192963     0.02883141
  -12.0320320     0.05421923     0.03551034
  -11.9919920     0.09957061     0.04215329
  -11.9519520     0.16531676     0.05259976
  -11.9119119     0.22340704     0.07085200
  -11.8718719     0.23803949     0.09531109
  -11.8318318     0.20232102     0.11684330
  -11.7917918     0.14454012     0.12356086
  -11.7517518     0.09743785     0.11109625
  -11.7117117     0.07428726     0.08936248
  -11.6716717     0.07235742     0.07660204
  -11.6316316     0.08524734     0.08567649
  -11.5915916     0.10541081     0.11522304
  -11.5515516     0.12189269     0.15104839
  -11.5115115     0.12843657     0.17796359
  -11.4714715     0.13248405     0.19531791
  -11.4314314     0.14402274     0.21692289
  -11.3913914     0.15783467     0.25098215
  -11.3513514     0.15900165     0.28845099
  -11.3113113     0.14661689     0.31425133
  -11.2712713     0.14229700     0.32197589
  -11.2312312     0.16738510     0.32196798
