#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000000     0.00000000
  -17.9979980     0.00000000     0.00000000
  -17.9579580     0.00000001     0.00000001
  -17.9179179     0.00000015     0.00000015
  -17.8778779     0.00000139     0.00000139
  -17.8378378     0.00000950     0.00000950
  -17.7977978     0.00004726     0.00004726
  -17.7577578     0.00017054     0.00017054
  -17.7177177     0.00044657     0.00044657
  -17.6776777     0.00084859     0.00084859
  -17.6376376     0.00117018     0.00117018
  -17.5975976     0.00117089     0.00117089
  -17.5575576     0.00084872     0.00084872
  -17.5175175     0.00043119     0.00043119
  -17.4774775     0.00004587     0.00004587
  -17.4374374    -0.00062678    -0.00062678
  -17.3973974    -0.00261974    -0.00261974
  -17.3573574    -0.00743826    -0.00743826
  -17.3173173    -0.01527621    -0.01527621
  -17.2772773    -0.02276797    -0.02276797
  -17.2372372    -0.02467950    -0.02467950
  -17.1971972    -0.01986726    -0.01986726
  -17.1571572    -0.01436104    -0.01436104
  -17.1171171    -0.01945492    -0.01945492
  -17.0770771    -0.04964807    -0.04964807
  -17.0370370    -0.11462723    -0.11462723
  -16.9969970    -0.19824316    -0.19824316
  -16.9569570    -0.25224145    -0.25224145
  -16.9169169    -0.23798741    -0.23798741
  -16.8768769    -0.17361072    -0.17361072
  -16.8368368    -0.11463665    -0.11463665
  -16.7967968    -0.09443116    -0.09443116
  -16.7567568    -0.10746065    -0.10746065
  -16.7167167    -0.14215302    -0.14215302
  -16.6766767    -0.19842207    -0.19842207
  -16.6366366    -0.26254069    -0.26254069
  -16.5965966    -0.29383051    -0.29383051
  -16.5565566    -0.26185116    -0.26185115
  -16.5165165    -0.18212874    -0.18212874
  -16.4764765    -0.09949759    -0.09949759
  -16.4364364    -0.04909188    -0.04909188
  -16.3963964    -0.04280848    -0.04280848
  -16.3563564    -0.07722159    -0.07722159
  -16.3163163    -0.13361640    -0.13361641
  -16.2762763    -0.17811854    -0.17811854
  -16.2362362    -0.19213119    -0.19213119
  -16.1961962    -0.20389251    -0.20389251
  -16.1561562    -0.25676816    -0.25676817
  -16.1161161    -0.34205440    -0.34205440
  -16.0760761    -0.40203605    -0.40203606
  -16.0360360    -0.41494613    -0.41494613
  -15.9959960    -0.43082869    -0.43082870
  -15.9559560    -0.48482614    -0.48482614
  -15.9159159    -0.52098574    -0.52098574
  -15.8758759    -0.46096730    -0.46096729
  -15.8358358    -0.31369389    -0.31369389
  -15.7957958    -0.16065926    -0.16065926
  -15.7557558    -0.06153368    -0.06153367
  -15.7157157    -0.01761033    -0.01761033
  -15.6756757    -0.00410680    -0.00410680
  -15.6356356    -0.00329810    -0.00329810
  -15.5955956    -0.01433322    -0.01433322
  -15.5555556    -0.05470218    -0.05470218
  -15.5155155    -0.15337605    -0.15337605
  -15.4754755    -0.31683643    -0.31683643
  -15.4354354    -0.48878737    -0.48878738
  -15.3953954    -0.57705322    -0.57705322
  -15.3553554    -0.54383131    -0.54383131
  -15.3153153    -0.44078825    -0.44078825
  -15.2752753    -0.34933736    -0.34933736
  -15.2352352    -0.30851697    -0.30851697
  -15.1951952    -0.29239508    -0.29239508
  -15.1551552    -0.25142401    -0.25142401
  -15.1151151    -0.17613604    -0.17613603
  -15.0750751    -0.10483769    -0.10483769
  -15.0350350    -0.07819400    -0.07819400
  -14.9949950    -0.10792179    -0.10792179
  -14.9549550    -0.17897093    -0.17897093
  -14.9149149    -0.26475694    -0.26475694
  -14.8748749    -0.33729191    -0.33729191
  -14.8348348    -0.36881145    -0.36881145
  -14.7947948    -0.35401347    -0.35401347
  -14.7547548    -0.34304838    -0.34304838
  -14.7147147    -0.40202905    -0.40202906
  -14.6746747    -0.51435063    -0.51435064
  -14.6346346    -0.57309146    -0.57309146
  -14.5945946    -0.50584046    -0.50584046
  -14.5545546    -0.36568726    -0.36568726
  -14.5145145    -0.26336398    -0.26336397
  -14.4744745    -0.24113545    -0.24113545
  -14.4344344    -0.25055521    -0.25055521
  -14.3943944    -0.24433776    -0.24433775
  -14.3543544    -0.25370849    -0.25370849
  -14.3143143    -0.34726835    -0.34726836
  -14.2742743    -0.51836240    -0.51836241
  -14.2342342    -0.65138722    -0.65138722
  -14.1941942    -0.63516500    -0.63516501
  -14.1541542    -0.49160533    -0.49160533
  -14.1141141    -0.35477385    -0.35477385
  -14.0740741    -0.33478274    -0.33478274
  -14.0340340    -0.41641773    -0.41641773
  -13.9939940    -0.48011240    -0.48011240
  -13.9539540    -0.42869274    -0.42869273
  -13.9139139    -0.28412000    -0.28412000
  -13.8738739    -0.13878250    -0.13878250
  -13.8338338    -0.04937755    -0.04937754
  -13.7937938    -0.01228240    -0.01228240
  -13.7537538    -0.00481550    -0.00481550
  -13.7137137    -0.01644502    -0.01644502
  -13.6736737    -0.05324333    -0.05324333
