#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185    -0.00000000     0.00000000
  -18.4784785    -0.00000010    -0.00000000
  -18.4384384    -0.00000181    -0.00000004
  -18.3983984    -0.00002281    -0.00000076
  -18.3583584    -0.00020849    -0.00001040
  -18.3183183    -0.00138300    -0.00010370
  -18.2782783    -0.00665760    -0.00075049
  -18.2382382    -0.02325791    -0.00394167
  -18.1981982    -0.05896310    -0.01502373
  -18.1581582    -0.10847932    -0.04155635
  -18.1181181    -0.14483401    -0.08341777
  -18.0780781    -0.14033022    -0.12151822
  -18.0380380    -0.09867085    -0.12846534
  -17.9979980    -0.05034815    -0.09855808
  -17.9579580    -0.01864384    -0.05487320
  -17.9179179    -0.00501007    -0.02217125
  -17.8778779    -0.00097704    -0.00650103
  -17.8378378    -0.00013842    -0.00138336
  -17.7977978    -0.00001666    -0.00021368
  -17.7577578    -0.00003137    -0.00002504
  -17.7177177    -0.00026884    -0.00001694
  -17.6776777    -0.00170775    -0.00014754
  -17.6376376    -0.00771519    -0.00104154
  -17.5975976    -0.02445357    -0.00525795
  -17.5575576    -0.05294897    -0.01879940
  -17.5175175    -0.07349591    -0.04685138
  -17.4774775    -0.05201254    -0.07877425
  -17.4374374     0.01433381    -0.08219370
  -17.3973974     0.07616329    -0.03684506
  -17.3573574     0.08790218     0.02730968
  -17.3173173     0.05898677     0.05985526
  -17.2772773     0.02620177     0.05016080
  -17.2372372     0.00805214     0.02565903
  -17.1971972     0.00174679     0.00880684
  -17.1571572     0.00027000     0.00210173
  -17.1171171     0.00002512     0.00035452
  -17.0770771    -0.00004488     0.00003892
  -17.0370370    -0.00032963    -0.00003705
  -16.9969970    -0.00166903    -0.00031320
  -16.9569570    -0.00613039    -0.00174958
  -16.9169169    -0.01634061    -0.00708765
  -16.8768769    -0.03160876    -0.02083730
  -16.8368368    -0.04437167    -0.04445852
  -16.7967968    -0.04520259    -0.06884031
  -16.7567568    -0.03341799    -0.07735799
  -16.7167167    -0.01792904    -0.06308734
  -16.6766767    -0.00698061    -0.03733827
  -16.6366366    -0.00197237    -0.01603767
  -16.5965966    -0.00040443    -0.00499923
  -16.5565566    -0.00006018    -0.00113094
  -16.5165165    -0.00000650    -0.00018568
  -16.4764765    -0.00000051    -0.00002212
  -16.4364364    -0.00000004    -0.00000191
  -16.3963964    -0.00000009    -0.00000011
  -16.3563564    -0.00000081     0.00000011
  -16.3163163    -0.00000549     0.00000112
  -16.2762763    -0.00002688     0.00000768
  -16.2362362    -0.00009547     0.00003813
  -16.1961962    -0.00024475     0.00013738
  -16.1561562    -0.00044186     0.00036036
  -16.1161161    -0.00047326     0.00069980
  -16.0760761     0.00025641     0.00110044
  -16.0360360     0.00317827     0.00191629
  -15.9959960     0.01066510     0.00489992
  -15.9559560     0.02376194     0.01351581
  -15.9159159     0.03813977     0.02992655
  -15.8758759     0.04538511     0.04925153
  -15.8358358     0.04192754     0.06025067
  -15.7957958     0.03185291     0.05737191
  -15.7557558     0.01551999     0.04735366
  -15.7157157    -0.01735472     0.03551020
  -15.6756757    -0.07278107     0.01196656
  -15.6356356    -0.13307887    -0.03574906
  -15.5955956    -0.16438383    -0.09893330
  -15.5555556    -0.14850571    -0.14856900
  -15.5155155    -0.10051397    -0.16027837
  -15.4754755    -0.05123390    -0.13260274
  -15.4354354    -0.01959641    -0.08492624
  -15.3953954    -0.00550158    -0.04158316
  -15.3553554    -0.00059349    -0.01519208
  -15.3153153     0.00243065    -0.00332837
  -15.2752753     0.00842895     0.00329150
  -15.2352352     0.01993461     0.01474898
  -15.1951952     0.03403345     0.04064613
  -15.1551552     0.04063115     0.08541974
  -15.1151151     0.03038905     0.13744913
  -15.0750751     0.00823112     0.16355869
  -15.0350350    -0.00700430     0.13019765
  -14.9949950    -0.00352953     0.04750170
  -14.9549550     0.00932884    -0.02491296
  -14.9149149     0.01574035    -0.04226103
  -14.8748749     0.01243964    -0.02079649
  -14.8348348     0.00619739    -0.00013889
  -14.7947948     0.00211038     0.00538236
  -14.7547548     0.00050833     0.00331986
  -14.7147147     0.00010073     0.00112372
  -14.6746747     0.00014305     0.00035263
  -14.6346346     0.00095810     0.00074748
  -14.5945946     0.00507670     0.00341790
  -14.5545546     0.01984155     0.01254773
  -14.5145145     0.05782472     0.03632708
  -14.4744745     0.12846687     0.08543082
  -14.4344344     0.22543567     0.16730468
  -14.3943944     0.32615464     0.27694676
  -14.3543544     0.40045559     0.39078579
  -14.3143143     0.41547890     0.47182971
  -14.2742743     0.35421491     0.48364856
  -14.2342342     0.24314998     0.40966426
  -14.1941942     0.13908210     0.27355538
  -14.1541542     0.07823013     0.13399371
  -14.1141141     0.05256795     0.04378382
  -14.0740741     0.03709520     0.01424814
  -14.0340340     0.02200082     0.01896875
  -13.9939940     0.01278747     0.02715246
  -13.9539540     0.01712980     0.03202742
  -13.9139139     0.04035249     0.04737736
  -13.8738739     0.08113438     0.08122215
  -13.8338338     0.12464123     0.11741239
  -13.7937938     0.15027982     0.12748512
  -13.7537538     0.15178356     0.10379909
  -13.7137137     0.14252245     0.07283523
  -13.6736737     0.14272644     0.07163774
  -13.6336336     0.16382538     0.11578065
  -13.5935936     0.19605366     0.18214861
  -13.5535536     0.21551011     0.22105396
  -13.5135135     0.20906141     0.20412078
  -13.4734735     0.18042622     0.15674145
  -13.4334334     0.13947787     0.12270920
  -13.3933934     0.10336598     0.11188742
  -13.3533534     0.09358282     0.10776352
  -13.3133133     0.11616365     0.11011595
  -13.2732733     0.15257885     0.13765473
  -13.2332332     0.17532634     0.18849793
  -13.1931932     0.17132673     0.22503783
  -13.1531532     0.15153921     0.21318438
  -13.1131131     0.13523480     0.16318738
  -13.0730731     0.12522977     0.11403542
  -13.0330330     0.10917475     0.08795094
  -12.9929930     0.08628976     0.07838378
  -12.9529530     0.07918422     0.07291834
  -12.9129129     0.11222519     0.07082427
  -12.8728729     0.18165749     0.08101505
  -12.8328328     0.25022016     0.11072755
  -12.7927928     0.27340219     0.15517246
  -12.7527528     0.23578498     0.19660853
  -12.7127127     0.16459763     0.21488094
  -12.6726727     0.10629267     0.20160638
  -12.6326326     0.09053255     0.16854156
  -12.5925926     0.11469646     0.13968190
  -12.5525526     0.15295043     0.12986426
  -12.5125125     0.17559779     0.13598101
  -12.4724725     0.16709655     0.14752534
  -12.4324324     0.13404558     0.15244526
  -12.3923924     0.09753408     0.13784130
  -12.3523524     0.07713168     0.10172151
  -12.3123123     0.08078576     0.05960723
  -12.2722723     0.10328173     0.03060684
  -12.2322322     0.12934303     0.02460752
  -12.1921922     0.14117125     0.04315734
  -12.1521522     0.12802908     0.07850110
  -12.1121121     0.09191298     0.10988008
  -12.0720721     0.04601611     0.11516100
  -12.0320320     0.00664083     0.09305685
  -11.9919920    -0.01651849     0.06464469
  -11.9519520    -0.02358988     0.04735450
  -11.9119119    -0.01912365     0.03732540
  -11.8718719    -0.00551655     0.02309764
  -11.8318318     0.01647595     0.00477036
  -11.7917918     0.04194806    -0.00868912
  -11.7517518     0.06077824    -0.01128807
  -11.7117117     0.06366932    -0.00342679
  -11.6716717     0.04688926     0.00862170
  -11.6316316     0.01170473     0.01578184
  -11.5915916    -0.03615602     0.01493842
  -11.5515516    -0.08491756     0.01137128
  -11.5115115    -0.11862563     0.00864913
  -11.4714715    -0.12579627     0.00313554
  -11.4314314    -0.10836327    -0.00814908
  -11.3913914    -0.08001447    -0.02155304
  -11.3513514    -0.05519530    -0.03192685
  -11.3113113    -0.04194168    -0.03954556
  -11.2712713    -0.04198518    -0.05038421
  -11.2312312    -0.05080839    -0.06908566
  -11.1911912    -0.05801469    -0.08987462
  -11.1511512    -0.05416856    -0.09904632
  -11.1111111    -0.03914317    -0.09135443
  -11.0710711    -0.02113237    -0.07722848
  -11.0310310    -0.00818195    -0.06838043
  -10.9909910    -0.00256610    -0.06323054
  -10.9509510    -0.00188251    -0.05161943
  -10.9109109    -0.00305141    -0.02981509
  -10.8708709    -0.00437717    -0.00619424
