#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582    -0.00000000     0.00000000
  -18.1181181    -0.00000000     0.00000000
  -18.0780781    -0.00000000     0.00000000
  -18.0380380    -0.00000002     0.00000000
  -17.9979980    -0.00000020     0.00000002
  -17.9579580    -0.00000136     0.00000018
  -17.9179179    -0.00000681     0.00000130
  -17.8778779    -0.00002469     0.00000661
  -17.8378378    -0.00006496     0.00002446
  -17.7977978    -0.00012402     0.00006563
  -17.7577578    -0.00017183     0.00012779
  -17.7177177    -0.00017277     0.00018059
  -17.6776777    -0.00012606     0.00018520
  -17.6376376    -0.00006675     0.00013782
  -17.5975976    -0.00002565     0.00007443
  -17.5575576    -0.00000715     0.00002917
  -17.5175175    -0.00000145     0.00000830
  -17.4774775    -0.00000021     0.00000171
  -17.4374374     0.00000000     0.00000026
  -17.3973974     0.00000032     0.00000005
  -17.3573574     0.00000316     0.00000031
  -17.3173173     0.00002248     0.00000312
  -17.2772773     0.00011578     0.00002268
  -17.2372372     0.00043101     0.00011930
  -17.1971972     0.00115680     0.00045393
  -17.1571572     0.00222939     0.00124734
  -17.1171171     0.00306334     0.00246834
  -17.0770771     0.00296260     0.00350165
  -17.0370370     0.00196463     0.00353370
  -16.9969970     0.00083868     0.00250138
  -16.9569570     0.00018341     0.00120731
  -16.9169169    -0.00001562     0.00037056
  -16.8768769    -0.00002595     0.00005532
  -16.8368368    -0.00000938    -0.00000573
  -16.7967968    -0.00000196    -0.00000504
  -16.7567568     0.00000013    -0.00000126
  -16.7167167     0.00000492     0.00000015
  -16.6766767     0.00004353     0.00000421
  -16.6366366     0.00027798     0.00003739
  -16.5965966     0.00128817     0.00023997
  -16.5565566     0.00433228     0.00111765
  -16.5165165     0.01057408     0.00377793
  -16.4764765     0.01873066     0.00926828
  -16.4364364     0.02407953     0.01650216
  -16.3963964     0.02246608     0.02132454
  -16.3563564     0.01521217     0.01999933
  -16.3163163     0.00747548     0.01361283
  -16.2762763     0.00266607     0.00672478
  -16.2362362     0.00069006     0.00241105
  -16.1961962     0.00012963     0.00062738
  -16.1561562     0.00001767     0.00011848
  -16.1161161     0.00000175     0.00001624
  -16.0760761     0.00000013     0.00000162
  -16.0360360     0.00000013     0.00000013
  -15.9959960     0.00000135     0.00000014
  -15.9559560     0.00001098     0.00000132
  -15.9159159     0.00006479     0.00000922
  -15.8758759     0.00027745     0.00004659
  -15.8358358     0.00086219     0.00017086
  -15.7957958     0.00194438     0.00045475
  -15.7557558     0.00318198     0.00087833
  -15.7157157     0.00377854     0.00123119
  -15.6756757     0.00325421     0.00125302
  -15.6356356     0.00202671     0.00092800
  -15.5955956     0.00089643     0.00050670
  -15.5555556     0.00024886     0.00021843
  -15.5155155    -0.00000557     0.00009655
  -15.4754755    -0.00005154     0.00006278
  -15.4354354     0.00007528     0.00006310
  -15.3953954     0.00065856     0.00014829
  -15.3553554     0.00257099     0.00058025
  -15.3153153     0.00718314     0.00197638
  -15.2752753     0.01505395     0.00517793
  -15.2352352     0.02397920     0.01048244
  -15.1951952     0.02922527     0.01668656
  -15.1551552     0.02728464     0.02108872
  -15.1151151     0.01942640     0.02105488
  -15.0750751     0.01046057     0.01632565
  -15.0350350     0.00421602     0.00961618
  -14.9949950     0.00124720     0.00418693
  -14.9549550     0.00022469     0.00125473
  -14.9149149    -0.00009410     0.00013801
  -14.8748749    -0.00025199    -0.00019092
  -14.8348348    -0.00012932    -0.00029875
  -14.7947948     0.00148383    -0.00020450
  -14.7547548     0.00782194     0.00078174
  -14.7147147     0.02345112     0.00458135
  -14.6746747     0.04867010     0.01452749
  -14.6346346     0.07270290     0.03268991
  -14.5945946     0.07903928     0.05390124
  -14.5545546     0.06300130     0.06523799
  -14.5145145     0.03732613     0.05808058
  -14.4744745     0.01693189     0.03844676
  -14.4344344     0.00620635     0.01943567
  -14.3943944     0.00196344     0.00787841
  -14.3543544     0.00055848     0.00269748
  -14.3143143     0.00017469     0.00076507
  -14.2742743     0.00019585     0.00027127
  -14.2342342     0.00055782     0.00080062
  -14.1941942     0.00153385     0.00243707
  -14.1541542     0.00362799     0.00480000
