#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000002     0.00000004
  -19.1191191     0.00000031     0.00000044
  -19.0790791     0.00000285     0.00000375
  -19.0390390     0.00001883     0.00002335
  -18.9989990     0.00009022     0.00010565
  -18.9589590     0.00031375     0.00034688
  -18.9189189     0.00079179     0.00082650
  -18.8788789     0.00145009     0.00142909
  -18.8388388     0.00192767     0.00179373
  -18.7987988     0.00186531     0.00164021
  -18.7587588     0.00136057     0.00114438
  -18.7187187     0.00104531     0.00093291
  -18.6786787     0.00203871     0.00209266
  -18.6386386     0.00614493     0.00643337
  -18.5985986     0.01495466     0.01549044
  -18.5585586     0.02665048     0.02723120
  -18.5185185     0.03448994     0.03475496
  -18.4784785     0.03239309     0.03219065
  -18.4384384     0.02207843     0.02163703
  -18.3983984     0.01092287     0.01055630
  -18.3583584     0.00393673     0.00375050
  -18.3183183     0.00109330     0.00101853
  -18.2782783     0.00041281     0.00034789
  -18.2382382     0.00051091     0.00037577
  -18.1981982     0.00077912     0.00053514
  -18.1581582     0.00092439     0.00060984
  -18.1181181     0.00097121     0.00069864
  -18.0780781     0.00174968     0.00166506
  -18.0380380     0.00579928     0.00609343
  -17.9979980     0.01770318     0.01859438
  -17.9579580     0.04036596     0.04179735
  -17.9179179     0.06699338     0.06828188
  -17.8778779     0.08071038     0.08096040
  -17.8378378     0.07056476     0.06966158
  -17.7977978     0.04477086     0.04349728
  -17.7577578     0.02061374     0.01970970
  -17.7177177     0.00688968     0.00648155
  -17.6776777     0.00168210     0.00154923
  -17.6376376     0.00033993     0.00027753
  -17.5975976     0.00016452     0.00005908
  -17.5575576     0.00025926     0.00005345
  -17.5175175     0.00039500     0.00009642
  -17.4774775     0.00061138     0.00031447
  -17.4374374     0.00162649     0.00149904
  -17.3973974     0.00587242     0.00614569
  -17.3573574     0.01780818     0.01871243
  -17.3173173     0.03998670     0.04143011
  -17.2772773     0.06525500     0.06651577
  -17.2372372     0.07719484     0.07740270
  -17.1971972     0.06616404     0.06527231
  -17.1571572     0.04107755     0.03988115
  -17.1171171     0.01846823     0.01765173
  -17.0770771     0.00601113     0.00565835
  -17.0370370     0.00141595     0.00131329
  -16.9969970     0.00024128     0.00022063
  -16.9569570     0.00002972     0.00002681
  -16.9169169     0.00000255     0.00000224
  -16.8768769    -0.00000118    -0.00000151
  -16.8368368    -0.00001363    -0.00001637
  -16.7967968    -0.00010012    -0.00011705
  -16.7567568    -0.00053343    -0.00060715
  -16.7167167    -0.00206235    -0.00228537
  -16.6766767    -0.00578622    -0.00624258
  -16.6366366    -0.01178079    -0.01237423
  -16.5965966    -0.01740609    -0.01779999
  -16.5565566    -0.01866274    -0.01858099
  -16.5165165    -0.01452101    -0.01407554
  -16.4764765    -0.00819909    -0.00773764
  -16.4364364    -0.00335946    -0.00308660
  -16.3963964    -0.00099776    -0.00089199
  -16.3563564    -0.00020529    -0.00017472
  -16.3163163     0.00003044     0.00004815
  -16.2762763     0.00028748     0.00032572
  -16.2362362     0.00096033     0.00102372
  -16.1961962     0.00231239     0.00232965
  -16.1561562     0.00415101     0.00397623
  -16.1161161     0.00606923     0.00567818
  -16.0760761     0.00920969     0.00895097
  -16.0360360     0.01763763     0.01809634
  -15.9959960     0.03480425     0.03615023
  -15.9559560     0.05573396     0.05721923
  -15.9159159     0.06649082     0.06700564
  -15.8758759     0.05788945     0.05716504
  -15.8358358     0.03661749     0.03541709
  -15.7957958     0.01681206     0.01592512
  -15.7557558     0.00560350     0.00519883
  -15.7157157     0.00137304     0.00125466
  -15.6756757     0.00035955     0.00036186
  -15.6356356     0.00060625     0.00069851
  -15.5955956     0.00198446     0.00218969
  -15.5555556     0.00501333     0.00524501
  -15.5155155     0.00962872     0.00962940
  -15.4754755     0.01539644     0.01510053
  -15.4354354     0.02422888     0.02423763
  -15.3953954     0.04063213     0.04173803
  -15.3553554     0.06357970     0.06546500
  -15.3153153     0.07980863     0.08094860
  -15.2752753     0.07501344     0.07443620
  -15.2352352     0.05162726     0.05000749
  -15.1951952     0.02584990     0.02442452
  -15.1551552     0.00940077     0.00866271
  -15.1151151     0.00250040     0.00224796
  -15.0750751     0.00064413     0.00057768
  -15.0350350     0.00110945     0.00105723
  -14.9949950     0.00468046     0.00451048
  -14.9549550     0.01519306     0.01471583
  -14.9149149     0.03583756     0.03488220
  -14.8748749     0.06134527     0.06000221
  -14.8348348     0.07619185     0.07488614
  -14.7947948     0.06861873     0.06776131
  -14.7547548     0.04467486     0.04430261
  -14.7147147     0.02082136     0.02071389
  -14.6746747     0.00719042     0.00722329
  -14.6346346     0.00400378     0.00423486
  -14.5945946     0.00735460     0.00779252
  -14.5545546     0.01215724     0.01259487
  -14.5145145     0.01366373     0.01386284
  -14.4744745     0.01066877     0.01062004
  -14.4344344     0.00591763     0.00578671
  -14.3943944     0.00246057     0.00236930
  -14.3543544     0.00156841     0.00152611
  -14.3143143     0.00517694     0.00512944
  -14.2742743     0.02054704     0.02037066
  -14.2342342     0.06071344     0.06014042
  -14.1941942     0.13043217     0.12909647
  -14.1541542     0.20380671     0.20159541
  -14.1141141     0.23233289     0.22972969
  -14.0740741     0.19468473     0.19246467
  -14.0340340     0.12248115     0.12102182
  -13.9939940     0.06303390     0.06228579
  -13.9539540     0.03923556     0.03927767
  -13.9139139     0.05065425     0.05171739
  -13.8738739     0.08403050     0.08583713
  -13.8338338     0.11350623     0.11507443
  -13.7937938     0.11378337     0.11433648
  -13.7537538     0.08471103     0.08450704
  -13.7137137     0.05008543     0.04989103
  -13.6736737     0.03011683     0.03019431
  -13.6336336     0.02838537     0.02848120
  -13.5935936     0.04500842     0.04506808
  -13.5535536     0.08680279     0.08708126
  -13.5135135     0.15156096     0.15192947
  -13.4734735     0.20698612     0.20672193
  -13.4334334     0.21001186     0.20869884
  -13.3933934     0.15588099     0.15407481
  -13.3533534     0.08473263     0.08332871
  -13.3133133     0.03624390     0.03564338
  -13.2732733     0.02151457     0.02169932
  -13.2332332     0.03464095     0.03557055
  -13.1931932     0.06446110     0.06598313
  -13.1531532     0.09179169     0.09336531
  -13.1131131     0.09580587     0.09676582
  -13.0730731     0.07327782     0.07345063
  -13.0330330     0.04143631     0.04123924
  -12.9929930     0.01820464     0.01818440
  -12.9529530     0.00862479     0.00916211
  -12.9129129     0.00949975     0.01080302
  -12.8728729     0.01685875     0.01870358
  -12.8328328     0.02613921     0.02751039
  -12.7927928     0.03114202     0.03084571
  -12.7527528     0.02836730     0.02634576
  -12.7127127     0.02080799     0.01825191
  -12.6726727     0.01376860     0.01187057
  -12.6326326     0.00907303     0.00820239
  -12.5925926     0.00581800     0.00572770
  -12.5525526     0.00398425     0.00439614
  -12.5125125     0.00565658     0.00673810
  -12.4724725     0.01496557     0.01740854
  -12.4324324     0.03664553     0.04099612
  -12.3923924     0.06955985     0.07495863
  -12.3523524     0.10011851     0.10420555
  -12.3123123     0.11140737     0.11276310
  -12.2722723     0.10426734     0.10418191
  -12.2322322     0.09672110     0.09669855
  -12.1921922     0.09651176     0.09556593
  -12.1521522     0.09086914     0.08763141
  -12.1121121     0.06966184     0.06527689
  -12.0720721     0.04166116     0.03851781
  -12.0320320     0.02305763     0.02254308
  -11.9919920     0.02580063     0.02883674
  -11.9519520     0.06083496     0.06868681
  -11.9119119     0.13305726     0.14485787
  -11.8718719     0.21762878     0.22752327
  -11.8318318     0.25929001     0.26029312
  -11.7917918     0.22435838     0.21638325
  -11.7517518     0.14172036     0.13179903
  -11.7117117     0.06874977     0.06315516
  -11.6716717     0.03539462     0.03509315
  -11.6316316     0.03611173     0.03846821
  -11.5915916     0.05192500     0.05368360
  -11.5515516     0.06544089     0.06490930
  -11.5115115     0.06635613     0.06414505
  -11.4714715     0.05317555     0.05081830
  -11.4314314     0.03171897     0.03014608
  -11.3913914     0.01108436     0.01073547
  -11.3513514    -0.00153032    -0.00033464
  -11.3113113    -0.00418955    -0.00191349
  -11.2712713     0.00007598     0.00189504
  -11.2312312     0.00663251     0.00678327
  -11.1911912     0.01331191     0.01218337
  -11.1511512     0.02045038     0.01922001
  -11.1111111     0.02628564     0.02566201
  -11.0710711     0.02589692     0.02630122
  -11.0310310     0.01727028     0.01907255
  -10.9909910     0.00457072     0.00762891
  -10.9509510    -0.00641169    -0.00225179
  -10.9109109    -0.01162610    -0.00603982
  -10.8708709    -0.00837454    -0.00247063
  -10.8308308     0.00178538     0.00440685
  -10.7907908     0.01100216     0.00802422
  -10.7507508     0.01218604     0.00603006
  -10.7107107     0.00625658     0.00140096
  -10.6706707    -0.00088022    -0.00237870
  -10.6306306    -0.00491381    -0.00410811
  -10.5905906    -0.00473594    -0.00375859
  -10.5505506    -0.00076856    -0.00098779
  -10.5105105     0.00571346     0.00411353
  -10.4704705     0.01203120     0.00953904
  -10.4304304     0.01560357     0.01322574
  -10.3903904     0.01720074     0.01625048
  -10.3503504     0.01986793     0.02066185
  -10.3103103     0.02345920     0.02457648
  -10.2702703     0.02389881     0.02378265
  -10.2302302     0.01933996     0.01810696
  -10.1901902     0.01311846     0.01195455
  -10.1501502     0.00914827     0.00872717
  -10.1101101     0.00830616     0.00845481
  -10.0700701     0.00979852     0.00969353
  -10.0300300     0.01186794     0.01026902
   -9.9899900     0.01160879     0.00807368
   -9.9499500     0.00781445     0.00363215
   -9.9099099     0.00280986    -0.00010248
   -9.8698699    -0.00076373    -0.00152721
   -9.8298298    -0.00309349    -0.00222969
   -9.7897898    -0.00598861    -0.00466431
   -9.7497497    -0.01003777    -0.00898629
   -9.7097097    -0.01371098    -0.01268414
