#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390    -0.00000000    -0.00000000
  -18.9989990    -0.00000000    -0.00000000
  -18.9589590    -0.00000005    -0.00000005
  -18.9189189    -0.00000081    -0.00000080
  -18.8788789    -0.00000905    -0.00000896
  -18.8388388    -0.00007343    -0.00007279
  -18.7987988    -0.00043227    -0.00042905
  -18.7587588    -0.00184688    -0.00183537
  -18.7187187    -0.00572638    -0.00569778
  -18.6786787    -0.01288508    -0.01283669
  -18.6386386    -0.02104058    -0.02098768
  -18.5985986    -0.02493400    -0.02490230
  -18.5585586    -0.02144321    -0.02144262
  -18.5185185    -0.01338292    -0.01339922
  -18.4784785    -0.00606143    -0.00607637
  -18.4384384    -0.00199233    -0.00199973
  -18.3983984    -0.00047524    -0.00047760
  -18.3583584    -0.00008227    -0.00008278
  -18.3183183    -0.00001036    -0.00001044
  -18.2782783    -0.00000148    -0.00000148
  -18.2382382    -0.00000798    -0.00000790
  -18.1981982    -0.00008428    -0.00008353
  -18.1581582    -0.00065092    -0.00064596
  -18.1181181    -0.00364677    -0.00362379
  -18.0780781    -0.01481629    -0.01474278
  -18.0380380    -0.04363317    -0.04347605
  -17.9979980    -0.09306904    -0.09286352
  -17.9579580    -0.14359971    -0.14349014
  -17.9179179    -0.15993583    -0.16005903
  -17.8778779    -0.12812456    -0.12843906
  -17.8378378    -0.07336901    -0.07369246
  -17.7977978    -0.02969185    -0.02989599
  -17.7577578    -0.00830076    -0.00838733
  -17.7177177    -0.00151987    -0.00154542
  -17.6776777    -0.00015295    -0.00015829
  -17.6376376     0.00000059    -0.00000021
  -17.5975976     0.00000268     0.00000260
  -17.5575576     0.00000005     0.00000004
  -17.5175175    -0.00000495    -0.00000490
  -17.4774775    -0.00004587    -0.00004543
  -17.4374374    -0.00030601    -0.00030352
  -17.3973974    -0.00148151    -0.00147152
  -17.3573574    -0.00520524    -0.00517733
  -17.3173173    -0.01327197    -0.01321922
  -17.2772773    -0.02455779    -0.02449431
  -17.2372372    -0.03297637    -0.03293701
  -17.1971972    -0.03213480    -0.03214121
  -17.1571572    -0.02272517    -0.02276141
  -17.1171171    -0.01166248    -0.01169737
  -17.0770771    -0.00434114    -0.00436020
  -17.0370370    -0.00115297    -0.00115968
  -16.9969970    -0.00010591    -0.00010709
  -16.9569570     0.00044675     0.00044831
  -16.9169169     0.00100559     0.00101038
  -16.8768769    -0.00009512    -0.00008691
  -16.8368368    -0.00774812    -0.00773940
  -16.7967968    -0.02591464    -0.02590777
  -16.7567568    -0.04822005    -0.04821004
  -16.7167167    -0.05871706    -0.05869657
  -16.6766767    -0.04924938    -0.04922153
  -16.6366366    -0.02910689    -0.02908309
  -16.5965966    -0.01230655    -0.01229288
  -16.5565566    -0.00402030    -0.00401314
  -16.5165165    -0.00226541    -0.00225608
  -16.4764765    -0.00501189    -0.00499086
  -16.4364364    -0.01187932    -0.01184341
  -16.3963964    -0.02086302    -0.02082531
  -16.3563564    -0.02624240    -0.02622501
  -16.3163163    -0.02189694    -0.02189976
  -16.2762763    -0.00488901    -0.00486694
  -16.2362362     0.02653254     0.02665810
  -16.1961962     0.07185253     0.07215200
  -16.1561562     0.11804931     0.11852335
  -16.1161161     0.13966803     0.14021258
  -16.0760761     0.12234906     0.12281169
  -16.0360360     0.08021786     0.08050803
  -15.9959960     0.03962224     0.03975868
  -15.9559560     0.01279404     0.01285789
  -15.9159159    -0.00500666    -0.00494800
  -15.8758759    -0.01950903    -0.01944702
  -15.8358358    -0.02797438    -0.02794184
  -15.7957958    -0.02608071    -0.02609327
  -15.7557558    -0.01658427    -0.01661762
  -15.7157157    -0.00561541    -0.00563557
  -15.6756757     0.00616297     0.00617902
  -15.6356356     0.02427021     0.02434414
  -15.5955956     0.05125554     0.05140588
  -15.5555556     0.07707248     0.07728594
  -15.5155155     0.08435360     0.08457340
  -15.4754755     0.06827642     0.06844095
  -15.4354354     0.04468925     0.04478522
  -15.3953954     0.03476519     0.03484828
  -15.3553554     0.04806941     0.04823673
  -15.3153153     0.07841017     0.07870377
  -15.2752753     0.10690354     0.10720855
  -15.2352352     0.11249881     0.11262143
  -15.1951952     0.08956436     0.08945514
  -15.1551552     0.05389661     0.05369666
  -15.1151151     0.02728744     0.02714945
  -15.0750751     0.02187653     0.02185070
  -15.0350350     0.03947388     0.03954273
  -14.9949950     0.07228329     0.07239489
  -14.9549550     0.09995111     0.10002160
  -14.9149149     0.10083523     0.10080336
  -14.8748749     0.07398193     0.07387304
  -14.8348348     0.03946626     0.03935749
  -14.7947948     0.01533832     0.01527510
  -14.7547548     0.00460751     0.00458763
  -14.7147147     0.00269424     0.00271269
  -14.6746747     0.00828280     0.00837366
  -14.6346346     0.02688517     0.02712198
  -14.5945946     0.06533181     0.06574964
  -14.5545546     0.11862434     0.11910571
  -14.5145145     0.16393371     0.16423761
  -14.4744745     0.17651718     0.17649419
  -14.4344344     0.15129301     0.15104280
  -14.3943944     0.10538168     0.10518152
  -14.3543544     0.06544464     0.06551132
  -14.3143143     0.05173381     0.05199855
  -14.2742743     0.06434196     0.06450655
  -14.2342342     0.08296690     0.08284013
  -14.1941942     0.08530004     0.08497418
  -14.1541542     0.06753971     0.06720073
  -14.1141141     0.04583362     0.04553467
  -14.0740741     0.03918809     0.03886229
  -14.0340340     0.05148367     0.05111971
  -13.9939940     0.06531427     0.06505351
  -13.9539540     0.05503845     0.05504906
  -13.9139139     0.01788121     0.01821049
  -13.8738739    -0.00756394    -0.00694510
  -13.8338338     0.02522532     0.02601538
  -13.7937938     0.10735597     0.10798067
  -13.7537538     0.17258255     0.17272266
  -13.7137137     0.17983333     0.17962661
  -13.6736737     0.16111223     0.16099550
  -13.6336336     0.16366485     0.16377161
  -13.5935936     0.18545908     0.18550286
  -13.5535536     0.19418950     0.19393927
  -13.5135135     0.17752631     0.17709798
  -13.4734735     0.14698225     0.14661720
  -13.4334334     0.11452012     0.11430907
  -13.3933934     0.08743074     0.08728358
  -13.3533534     0.07087072     0.07063218
  -13.3133133     0.06369772     0.06332843
  -13.2732733     0.05865359     0.05830806
  -13.2332332     0.04969595     0.04952479
  -13.1931932     0.03876293     0.03870487
  -13.1531532     0.03290208     0.03281342
  -13.1131131     0.03278526     0.03268461
  -13.0730731     0.03062787     0.03064949
  -13.0330330     0.02193069     0.02210119
  -12.9929930     0.01108960     0.01129684
  -12.9529530     0.00398676     0.00413207
  -12.9129129     0.00258327     0.00265917
  -12.8728729     0.00798276     0.00802975
  -12.8328328     0.02354749     0.02361434
  -12.7927928     0.05238580     0.05252151
  -12.7527528     0.09255657     0.09277583
  -12.7127127     0.13631821     0.13656382
  -12.6726727     0.17486992     0.17505107
  -12.6326326     0.20052956     0.20058858
  -12.5925926     0.20190890     0.20183572
  -12.5525526     0.16865475     0.16849677
  -12.5125125     0.10937756     0.10924392
  -12.4724725     0.05057429     0.05057596
  -12.4324324     0.01265463     0.01284562
  -12.3923924    -0.00091092    -0.00053171
  -12.3523524     0.00571295     0.00624706
  -12.3123123     0.02839759     0.02901454
  -12.2722723     0.06209788     0.06267487
  -12.2322322     0.10138824     0.10183955
  -12.1921922     0.14439634     0.14474068
  -12.1521522     0.18460438     0.18479090
  -12.1121121     0.19913472     0.19896479
  -12.0720721     0.16859869     0.16804509
  -12.0320320     0.10693025     0.10630227
  -11.9919920     0.04722371     0.04684749
  -11.9519520     0.00603864     0.00599077
  -11.9119119    -0.02014485    -0.01992603
  -11.8718719    -0.03530903    -0.03486019
  -11.8318318    -0.03765931    -0.03704604
  -11.7917918    -0.02908906    -0.02848882
  -11.7517518    -0.01835256    -0.01793346
  -11.7117117    -0.01218165    -0.01194027
  -11.6716717    -0.00954882    -0.00935779
  -11.6316316    -0.00675777    -0.00654573
  -11.5915916    -0.00481322    -0.00464501
  -11.5515516    -0.00967920    -0.00966335
  -11.5115115    -0.02554505    -0.02570891
  -11.4714715    -0.04792425    -0.04820710
  -11.4314314    -0.06372659    -0.06404441
  -11.3913914    -0.06205345    -0.06230322
  -11.3513514    -0.04627369    -0.04632463
  -11.3113113    -0.02986281    -0.02968492
  -11.2712713    -0.02148591    -0.02126067
  -11.2312312    -0.02121632    -0.02116521
  -11.1911912    -0.02683841    -0.02700275
  -11.1511512    -0.03632359    -0.03664050
  -11.1111111    -0.04761067    -0.04808012
  -11.0710711    -0.05966736    -0.06029806
  -11.0310310    -0.07148683    -0.07213310
  -10.9909910    -0.07940503    -0.07977375
  -10.9509510    -0.07829327    -0.07818351
  -10.9109109    -0.06685122    -0.06635754
  -10.8708709    -0.04964509    -0.04905364
  -10.8308308    -0.03294489    -0.03248958
  -10.7907908    -0.02077602    -0.02057510
