#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000002     0.00000002
  -18.9189189     0.00000028     0.00000028
  -18.8788789     0.00000270     0.00000270
  -18.8388388     0.00001881     0.00001881
  -18.7987988     0.00009518     0.00009518
  -18.7587588     0.00034950     0.00034950
  -18.7187187     0.00093130     0.00093130
  -18.6786787     0.00180086     0.00180086
  -18.6386386     0.00252707     0.00252707
  -18.5985986     0.00257337     0.00257337
  -18.5585586     0.00190166     0.00190166
  -18.5185185     0.00101980     0.00101980
  -18.4784785     0.00039686     0.00039686
  -18.4384384     0.00011208     0.00011208
  -18.3983984     0.00002297     0.00002297
  -18.3583584     0.00000341     0.00000341
  -18.3183183     0.00000029     0.00000029
  -18.2782783    -0.00000153    -0.00000153
  -18.2382382    -0.00002382    -0.00002382
  -18.1981982    -0.00026425    -0.00026425
  -18.1581582    -0.00212757    -0.00212757
  -18.1181181    -0.01243069    -0.01243069
  -18.0780781    -0.05270527    -0.05270527
  -18.0380380    -0.16216615    -0.16216615
  -17.9979980    -0.36208766    -0.36208766
  -17.9579580    -0.58669807    -0.58669807
  -17.9179179    -0.68986321    -0.68986321
  -17.8778779    -0.58865212    -0.58865212
  -17.8378378    -0.36450367    -0.36450367
  -17.7977978    -0.16379290    -0.16379290
  -17.7577578    -0.05342439    -0.05342439
  -17.7177177    -0.01276794    -0.01276794
  -17.6776777    -0.00306662    -0.00306662
  -17.6376376    -0.00479369    -0.00479369
  -17.5975976    -0.01659215    -0.01659215
  -17.5575576    -0.04404808    -0.04404808
  -17.5175175    -0.08508315    -0.08508315
  -17.4774775    -0.12017282    -0.12017282
  -17.4374374    -0.12883778    -0.12883778
  -17.3973974    -0.12576598    -0.12576598
  -17.3573574    -0.16891459    -0.16891459
  -17.3173173    -0.30899343    -0.30899343
  -17.2772773    -0.51010772    -0.51010772
  -17.2372372    -0.63785642    -0.63785642
  -17.1971972    -0.58298031    -0.58298031
  -17.1571572    -0.38711699    -0.38711699
  -17.1171171    -0.18659190    -0.18659190
  -17.0770771    -0.06543480    -0.06543480
  -17.0370370    -0.01810124    -0.01810124
  -16.9969970    -0.01278776    -0.01278776
  -16.9569570    -0.04523332    -0.04523332
  -16.9169169    -0.15010293    -0.15010293
  -16.8768769    -0.36551757    -0.36551757
  -16.8368368    -0.64820913    -0.64820913
  -16.7967968    -0.83766639    -0.83766639
  -16.7567568    -0.78961224    -0.78961224
  -16.7167167    -0.54357988    -0.54357988
  -16.6766767    -0.27366364    -0.27366364
  -16.6366366    -0.10091110    -0.10091110
  -16.5965966    -0.02729830    -0.02729830
  -16.5565566    -0.00542650    -0.00542650
  -16.5165165    -0.00079432    -0.00079432
  -16.4764765    -0.00009352    -0.00009352
  -16.4364364    -0.00010940    -0.00010940
  -16.3963964    -0.00096590    -0.00096590
  -16.3563564    -0.00663247    -0.00663247
  -16.3163163    -0.03338433    -0.03338433
  -16.2762763    -0.12385116    -0.12385116
  -16.2362362    -0.34159719    -0.34159719
  -16.1961962    -0.70885772    -0.70885772
  -16.1561562    -1.12306303    -1.12306303
  -16.1161161    -1.38010821    -1.38010821
  -16.0760761    -1.33643309    -1.33643309
  -16.0360360    -1.04078948    -1.04078948
  -15.9959960    -0.68333208    -0.68333208
  -15.9559560    -0.43100536    -0.43100536
  -15.9159159    -0.32567395    -0.32567395
  -15.8758759    -0.30240279    -0.30240279
  -15.8358358    -0.27091582    -0.27091582
  -15.7957958    -0.19517600    -0.19517600
  -15.7557558    -0.10551089    -0.10551089
  -15.7157157    -0.04199995    -0.04199995
  -15.6756757    -0.01348021    -0.01348021
  -15.6356356    -0.01138987    -0.01138987
  -15.5955956    -0.04124658    -0.04124658
  -15.5555556    -0.13700739    -0.13700739
  -15.5155155    -0.33362669    -0.33362669
  -15.4754755    -0.59114979    -0.59114979
  -15.4354354    -0.76315222    -0.76315222
  -15.3953954    -0.71858822    -0.71858822
  -15.3553554    -0.49045852    -0.49045852
  -15.3153153    -0.23030111    -0.23030111
  -15.2752753    -0.04896995    -0.04896995
  -15.2352352     0.03632843     0.03632843
  -15.1951952     0.05374610     0.05374610
  -15.1551552     0.03706934     0.03706934
  -15.1151151     0.01132852     0.01132852
  -15.0750751    -0.01332758    -0.01332758
  -15.0350350    -0.03628296    -0.03628296
  -14.9949950    -0.05691275    -0.05691275
  -14.9549550    -0.07330081    -0.07330081
  -14.9149149    -0.08297621    -0.08297621
  -14.8748749    -0.08060178    -0.08060178
  -14.8348348    -0.06309605    -0.06309605
  -14.7947948    -0.03778311    -0.03778311
  -14.7547548    -0.01680836    -0.01680836
  -14.7147147    -0.00545593    -0.00545593
  -14.6746747    -0.00106805    -0.00106805
  -14.6346346     0.00131027     0.00131027
  -14.5945946     0.00730513     0.00730513
  -14.5545546     0.02574996     0.02574996
  -14.5145145     0.06747427     0.06747427
  -14.4744745     0.13557969     0.13557969
  -14.4344344     0.21772861     0.21772861
  -14.3943944     0.29042770     0.29042770
  -14.3543544     0.32119833     0.32119833
  -14.3143143     0.27307596     0.27307596
  -14.2742743     0.14184133     0.14184133
  -14.2342342    -0.01274074    -0.01274074
  -14.1941942    -0.10939269    -0.10939269
  -14.1541542    -0.11935466    -0.11935466
  -14.1141141    -0.07838795    -0.07838795
  -14.0740741    -0.03539029    -0.03539029
  -14.0340340    -0.01100754    -0.01100754
  -13.9939940    -0.00000814    -0.00000814
  -13.9539540     0.01195917     0.01195917
  -13.9139139     0.04348676     0.04348676
  -13.8738739     0.11717830     0.11717830
  -13.8338338     0.25023616     0.25023616
  -13.7937938     0.44070153     0.44070153
  -13.7537538     0.65710176     0.65710176
  -13.7137137     0.83150803     0.83150803
  -13.6736737     0.88513829     0.88513829
  -13.6336336     0.79445039     0.79445039
  -13.5935936     0.61120023     0.61120023
  -13.5535536     0.40586233     0.40586233
  -13.5135135     0.22699430     0.22699430
  -13.4734735     0.10213994     0.10213994
  -13.4334334     0.03544832     0.03544832
  -13.3933934     0.00935756     0.00935756
  -13.3533534     0.00274591     0.00274591
  -13.3133133     0.00502260     0.00502260
  -13.2732733     0.01692670     0.01692669
  -13.2332332     0.04349341     0.04349341
  -13.1931932     0.08169203     0.08169203
  -13.1531532     0.11359224     0.11359223
  -13.1131131     0.12271377     0.12271377
  -13.0730731     0.11914977     0.11914977
  -13.0330330     0.13451143     0.13451143
  -12.9929930     0.18961272     0.18961272
  -12.9529530     0.27457878     0.27457878
  -12.9129129     0.35805790     0.35805790
  -12.8728729     0.41366204     0.41366204
  -12.8328328     0.43827675     0.43827675
  -12.7927928     0.44294634     0.44294634
  -12.7527528     0.43165003     0.43165003
  -12.7127127     0.40120847     0.40120847
  -12.6726727     0.36210248     0.36210248
  -12.6326326     0.34223463     0.34223463
  -12.5925926     0.36141441     0.36141441
  -12.5525526     0.40580706     0.40580706
  -12.5125125     0.42924512     0.42924512
  -12.4724725     0.38943829     0.38943829
  -12.4324324     0.29363096     0.29363096
  -12.3923924     0.20315955     0.20315955
  -12.3523524     0.18368233     0.18368233
  -12.3123123     0.24599803     0.24599803
  -12.2722723     0.33357798     0.33357798
  -12.2322322     0.37822556     0.37822556
  -12.1921922     0.37287264     0.37287264
  -12.1521522     0.37221733     0.37221733
  -12.1121121     0.41434264     0.41434264
  -12.0720721     0.46073348     0.46073348
  -12.0320320     0.44289218     0.44289218
  -11.9919920     0.36328914     0.36328914
  -11.9519520     0.29605436     0.29605436
  -11.9119119     0.28288403     0.28288403
