#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584    -0.00000000    -0.00000000
  -18.3183183    -0.00000000    -0.00000000
  -18.2782783    -0.00000000    -0.00000000
  -18.2382382    -0.00000001    -0.00000002
  -18.1981982    -0.00000006    -0.00000019
  -18.1581582    -0.00000035    -0.00000123
  -18.1181181    -0.00000139    -0.00000566
  -18.0780781    -0.00000303    -0.00001851
  -18.0380380    -0.00000070    -0.00004238
  -17.9979980     0.00001742    -0.00006661
  -17.9579580     0.00005863    -0.00006893
  -17.9179179     0.00010442    -0.00004173
  -17.8778779     0.00011923    -0.00000691
  -17.8378378     0.00009245     0.00001087
  -17.7977978     0.00004992     0.00001067
  -17.7577578     0.00001902     0.00000507
  -17.7177177     0.00000516     0.00000152
  -17.6776777     0.00000100     0.00000031
  -17.6376376     0.00000014     0.00000005
  -17.5975976     0.00000008     0.00000014
  -17.5575576     0.00000083     0.00000168
  -17.5175175     0.00000821     0.00001468
  -17.4774775     0.00005901     0.00009425
  -17.4374374     0.00030891     0.00044222
  -17.3973974     0.00117544     0.00150956
  -17.3573574     0.00324236     0.00372408
  -17.3173173     0.00645415     0.00656521
  -17.2772773     0.00919734     0.00809814
  -17.2372372     0.00924444     0.00667244
  -17.1971972     0.00635576     0.00319652
  -17.1571572     0.00276525     0.00026618
  -17.1171171     0.00055080    -0.00079494
  -17.0770771    -0.00013192    -0.00063429
  -17.0370370    -0.00013649    -0.00026655
  -16.9969970    -0.00004977    -0.00007262
  -16.9569570    -0.00001040    -0.00001132
  -16.9169169     0.00000587     0.00002092
  -16.8768769     0.00006229     0.00015959
  -16.8368368     0.00038524     0.00083464
  -16.7967968     0.00177881     0.00327135
  -16.7567568     0.00620864     0.00973465
  -16.7167167     0.01656049     0.02232423
  -16.6766767     0.03409874     0.04006930
  -16.6366366     0.05454683     0.05690298
  -16.5965966     0.06781119     0.06400114
  -16.5565566     0.06512085     0.05645845
  -16.5165165     0.04781758     0.03843216
  -16.4764765     0.02654277     0.01984784
  -16.4364364     0.01102307     0.00766808
  -16.3963964     0.00339683     0.00219421
  -16.3563564     0.00077337     0.00046671
  -16.3163163     0.00014550     0.00012077
  -16.2762763     0.00015443     0.00036339
  -16.2362362     0.00084310     0.00185898
  -16.1961962     0.00373739     0.00709972
  -16.1561562     0.01215202     0.01982608
  -16.1161161     0.02895707     0.04048250
  -16.0760761     0.05059917     0.06045583
  -16.0360360     0.06486322     0.06603991
  -15.9959960     0.06101068     0.05276854
  -15.9559560     0.04210631     0.03083853
  -15.9159159     0.02131621     0.01317926
  -15.8758759     0.00791638     0.00412578
  -15.8358358     0.00218664     0.00100047
  -15.7957958     0.00061006     0.00044875
  -15.7557558     0.00076148     0.00105950
  -15.7157157     0.00204385     0.00279796
  -15.6756757     0.00456276     0.00578728
  -15.6356356     0.00793634     0.00941491
  -15.5955956     0.01075342     0.01218898
  -15.5555556     0.01127857     0.01253278
  -15.5155155     0.00907568     0.01017259
  -15.4754755     0.00576299     0.00697472
  -15.4354354     0.00401532     0.00630638
  -15.3953954     0.00648933     0.01153707
  -15.3553554     0.01520726     0.02375554
  -15.3153153     0.02931208     0.03902001
  -15.2752753     0.04328269     0.05024803
  -15.2352352     0.05169297     0.05505754
  -15.1951952     0.05592311     0.05788174
  -15.1551552     0.06033339     0.06148247
  -15.1151151     0.06296524     0.06196469
  -15.0750751     0.05731764     0.05453312
  -15.0350350     0.04251660     0.04060740
  -14.9949950     0.02630602     0.02872569
  -14.9549550     0.01884888     0.02934994
  -14.9149149     0.02681723     0.04767956
  -14.8748749     0.05122134     0.08028566
  -14.8348348     0.08706588     0.11844035
  -14.7947948     0.12526219     0.15147597
  -14.7547548     0.15350080     0.16440863
  -14.7147147     0.15635138     0.14416775
  -14.6746747     0.12663395     0.09745572
  -14.6346346     0.07873461     0.04933009
  -14.5945946     0.03750053     0.01872120
  -14.5545546     0.01545218     0.00709333
  -14.5145145     0.00991341     0.01014673
  -14.4744745     0.01670356     0.03017326
  -14.4344344     0.03922455     0.07310438
  -14.3943944     0.08286494     0.13123263
  -14.3543544     0.13774909     0.17377525
  -14.3143143     0.17234510     0.17087663
  -14.2742743     0.15977698     0.12722798
  -14.2342342     0.10918700     0.07481416
  -14.1941942     0.05518034     0.03733954
