#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185    -0.00000000    -0.00000000
  -18.4784785    -0.00000001    -0.00000001
  -18.4384384    -0.00000011    -0.00000011
  -18.3983984    -0.00000127    -0.00000127
  -18.3583584    -0.00001096    -0.00001097
  -18.3183183    -0.00006867    -0.00006871
  -18.2782783    -0.00031224    -0.00031239
  -18.2382382    -0.00103030    -0.00103067
  -18.1981982    -0.00246710    -0.00246767
  -18.1581582    -0.00428704    -0.00428745
  -18.1181181    -0.00540598    -0.00540580
  -18.0780781    -0.00494698    -0.00494615
  -18.0380380    -0.00328514    -0.00328416
  -17.9979980    -0.00158331    -0.00158263
  -17.9579580    -0.00055668    -0.00055637
  -17.9179179    -0.00017528    -0.00017520
  -17.8778779    -0.00031411    -0.00031421
  -17.8378378    -0.00173763    -0.00173821
  -17.7977978    -0.00758226    -0.00758421
  -17.7577578    -0.02415010    -0.02415454
  -17.7177177    -0.05644976    -0.05645631
  -17.6776777    -0.09877193    -0.09877798
  -17.6376376    -0.13588194    -0.13588629
  -17.5975976    -0.16145116    -0.16145658
  -17.5575576    -0.18290072    -0.18290730
  -17.5175175    -0.19904939    -0.19905035
  -17.4774775    -0.19617621    -0.19616886
  -17.4374374    -0.17460584    -0.17459901
  -17.3973974    -0.15147620    -0.15147677
  -17.3573574    -0.13364438    -0.13364526
  -17.3173173    -0.11248673    -0.11247699
  -17.2772773    -0.08405862    -0.08403780
  -17.2372372    -0.05515414    -0.05513041
  -17.1971972    -0.03240314    -0.03238399
  -17.1571572    -0.01851654    -0.01850530
  -17.1171171    -0.01794621    -0.01794350
  -17.0770771    -0.04098074    -0.04098594
  -17.0370370    -0.09866055    -0.09867029
  -16.9969970    -0.18625214    -0.18625920
  -16.9569570    -0.27780891    -0.27780996
  -16.9169169    -0.35312979    -0.35313237
  -16.8768769    -0.41173876    -0.41174684
  -16.8368368    -0.43939678    -0.43939704
  -16.7967968    -0.40701827    -0.40700349
  -16.7567568    -0.33031175    -0.33030302
  -16.7167167    -0.27159126    -0.27160990
  -16.6766767    -0.26283820    -0.26287113
  -16.6366366    -0.27750146    -0.27751668
  -16.5965966    -0.27823391    -0.27821631
  -16.5565566    -0.24923218    -0.24918955
  -16.5165165    -0.19147644    -0.19142574
  -16.4764765    -0.12273511    -0.12269361
  -16.4364364    -0.07543432    -0.07541293
  -16.3963964    -0.07597489    -0.07597286
  -16.3563564    -0.12453520    -0.12454081
  -16.3163163    -0.19022625    -0.19022492
  -16.2762763    -0.23395808    -0.23394774
  -16.2362362    -0.24953764    -0.24953337
  -16.1961962    -0.26191101    -0.26192332
  -16.1561562    -0.27712205    -0.27714047
  -16.1161161    -0.27460887    -0.27462061
  -16.0760761    -0.25122713    -0.25123412
  -16.0360360    -0.22547690    -0.22548259
  -15.9959960    -0.20643860    -0.20644049
  -15.9559560    -0.19814144    -0.19814348
  -15.9159159    -0.21425555    -0.21426580
  -15.8758759    -0.25598974    -0.25600213
  -15.8358358    -0.28942692    -0.28942007
  -15.7957958    -0.27057168    -0.27053315
  -15.7557558    -0.19540043    -0.19534485
  -15.7157157    -0.10612558    -0.10607954
  -15.6756757    -0.04497258    -0.04494908
  -15.6356356    -0.02336494    -0.02336137
  -15.5955956    -0.03436985    -0.03438056
  -15.5555556    -0.06941268    -0.06943362
  -15.5155155    -0.11811627    -0.11814273
  -15.4754755    -0.16962848    -0.16965599
  -15.4354354    -0.22278359    -0.22280978
  -15.3953954    -0.28627547    -0.28629900
  -15.3553554    -0.36255486    -0.36257453
  -15.3153153    -0.43922165    -0.43923938
  -15.2752753    -0.50656851    -0.50659140
  -15.2352352    -0.56958040    -0.56960984
  -15.1951952    -0.61721873    -0.61723513
  -15.1551552    -0.59995429    -0.59992895
  -15.1151151    -0.48165997    -0.48159089
  -15.0750751    -0.30198537    -0.30190613
  -15.0350350    -0.14566135    -0.14560686
  -14.9949950    -0.06473534    -0.06471566
  -14.9549550    -0.06418808    -0.06419830
  -14.9149149    -0.13777640    -0.13781150
  -14.8748749    -0.27433023    -0.27438105
  -14.8348348    -0.43019027    -0.43023546
  -14.7947948    -0.53036349    -0.53037714
  -14.7547548    -0.52167449    -0.52164512
  -14.7147147    -0.41899999    -0.41894085
  -14.6746747    -0.28565000    -0.28558762
  -14.6346346    -0.17385429    -0.17380739
  -14.5945946    -0.10037270    -0.10034726
  -14.5545546    -0.06918945    -0.06918614
  -14.5145145    -0.07994826    -0.07996011
  -14.4744745    -0.10950616    -0.10951569
  -14.4344344    -0.12067096    -0.12066397
  -14.3943944    -0.09983451    -0.09981244
  -14.3543544    -0.06453362    -0.06450543
  -14.3143143    -0.03303970    -0.03300942
  -14.2742743    -0.00869105    -0.00865921
  -14.2342342     0.00588711     0.00591911
  -14.1941942     0.00258278     0.00261563
  -14.1541542    -0.01758992    -0.01755354
  -14.1141141    -0.03961449    -0.03957794
  -14.0740741    -0.05225011    -0.05222425
  -14.0340340    -0.05972263    -0.05971307
  -13.9939940    -0.06568930    -0.06568305
  -13.9539540    -0.05279801    -0.05276878
  -13.9139139     0.00415477     0.00421921
  -13.8738739     0.09608531     0.09615982
  -13.8338338     0.16830859     0.16834925
  -13.7937938     0.17383430     0.17382550
  -13.7537538     0.12424392     0.12421145
  -13.7137137     0.07037096     0.07035115
  -13.6736737     0.05400935     0.05402313
  -13.6336336     0.08556581     0.08561092
  -13.5935936     0.14161763     0.14166952
  -13.5535536     0.18084205     0.18087185
  -13.5135135     0.17738650     0.17738395
  -13.4734735     0.13766822     0.13764450
  -13.4334334     0.08734490     0.08731975
  -13.3933934     0.05112116     0.05111009
  -13.3533534     0.04203662     0.04204603
  -13.3133133     0.06208000     0.06210906
  -13.2732733     0.10468764     0.10472783
  -13.2332332     0.14971654     0.14974794
  -13.1931932     0.16482918     0.16482939
  -13.1531532     0.13044849     0.13041528
