#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189    -0.00000000    -0.00000000
  -18.8788789    -0.00000000    -0.00000000
  -18.8388388    -0.00000001    -0.00000001
  -18.7987988    -0.00000011    -0.00000015
  -18.7587588    -0.00000131    -0.00000170
  -18.7187187    -0.00001143    -0.00001405
  -18.6786787    -0.00007323    -0.00008553
  -18.6386386    -0.00034343    -0.00038249
  -18.5985986    -0.00118002    -0.00125792
  -18.5585586    -0.00297253    -0.00304321
  -18.5185185    -0.00549196    -0.00541550
  -18.4784785    -0.00744350    -0.00708597
  -18.4384384    -0.00740047    -0.00681241
  -18.3983984    -0.00539585    -0.00480755
  -18.3583584    -0.00288387    -0.00248758
  -18.3183183    -0.00112909    -0.00094262
  -18.2782783    -0.00032358    -0.00026126
  -18.2382382    -0.00006782    -0.00005290
  -18.1981982    -0.00001039    -0.00000782
  -18.1581582    -0.00000116    -0.00000085
  -18.1181181    -0.00000007    -0.00000025
  -18.0780781     0.00000018    -0.00000245
  -18.0380380     0.00000068    -0.00002318
  -17.9979980    -0.00000496    -0.00015768
  -17.9579580    -0.00008403    -0.00076297
  -17.9179179    -0.00055100    -0.00257682
  -17.8778779    -0.00209013    -0.00579443
  -17.8378378    -0.00472063    -0.00740749
  -17.7977978    -0.00527151    -0.00044470
  -17.7577578     0.00186841     0.01870198
  -17.7177177     0.01641840     0.04069611
  -17.6776777     0.02746878     0.04902907
  -17.6376376     0.02520509     0.03864139
  -17.5975976     0.01348411     0.02061571
  -17.5575576     0.00319460     0.00732152
  -17.5175175    -0.00089903     0.00157751
  -17.4774775    -0.00109450     0.00012000
  -17.4374374    -0.00047242    -0.00003929
  -17.3973974    -0.00012521    -0.00001671
  -17.3573574    -0.00002487    -0.00001502
  -17.3173173    -0.00002607    -0.00008647
  -17.2772773    -0.00016133    -0.00043562
  -17.2372372    -0.00080688    -0.00156408
  -17.1971972    -0.00291560    -0.00389406
  -17.1571572    -0.00758381    -0.00632897
  -17.1171171    -0.01417871    -0.00539147
  -17.0770771    -0.01909970     0.00156583
  -17.0370370    -0.01882346     0.01139842
  -16.9969970    -0.01423470     0.01725167
  -16.9569570    -0.00914969     0.01654607
  -16.9169169    -0.00577701     0.01252793
  -16.8768769    -0.00414757     0.00855571
  -16.8368368    -0.00354878     0.00541349
  -16.7967968    -0.00291947     0.00312004
  -16.7567568    -0.00150571     0.00208389
  -16.7167167     0.00071930     0.00264044
  -16.6766767     0.00342667     0.00439308
  -16.6366366     0.00582805     0.00600760
  -16.5965966     0.00667889     0.00603702
  -16.5565566     0.00545449     0.00419539
  -16.5165165     0.00296305     0.00100200
  -16.4764765    -0.00018087    -0.00413322
  -16.4364364    -0.00539431    -0.01287600
  -16.3963964    -0.01514484    -0.02363660
  -16.3563564    -0.02808419    -0.02804522
  -16.3163163    -0.03561311    -0.01774033
  -16.2762763    -0.02895024     0.00334873
  -16.2362362    -0.01108570     0.02072399
  -16.1961962     0.00535744     0.02498605
  -16.1561562     0.01231173     0.01913495
  -16.1161161     0.01157846     0.01144152
  -16.0760761     0.00873868     0.00734096
  -16.0360360     0.00758393     0.00750707
  -15.9959960     0.00860997     0.00954314
  -15.9559560     0.00990430     0.01053925
  -15.9159159     0.00954481     0.00926667
  -15.8758759     0.00753711     0.00682775
  -15.8358358     0.00579690     0.00576223
  -15.7957958     0.00691461     0.00866192
  -15.7557558     0.01239370     0.01634781
  -15.7157157     0.02055902     0.02610625
  -15.6756757     0.02682752     0.03327213
  -15.6356356     0.02868650     0.03626492
  -15.5955956     0.02953669     0.03770729
  -15.5555556     0.03412325     0.03981364
  -15.5155155     0.04159004     0.04232648
  -15.4754755     0.04643952     0.04386848
  -15.4354354     0.04449302     0.04193390
  -15.3953954     0.03603377     0.03480150
  -15.3553554     0.02519301     0.02486801
  -15.3153153     0.01653323     0.01628287
  -15.2752753     0.01124364     0.01028997
  -15.2352352     0.00755727     0.00564926
  -15.1951952     0.00396942     0.00102584
  -15.1551552    -0.00026189    -0.00538201
  -15.1151151    -0.00723403    -0.01671049
  -15.0750751    -0.02055653    -0.03547549
  -15.0350350    -0.04119167    -0.05920120
  -14.9949950    -0.06253567    -0.07823904
  -14.9549550    -0.07325686    -0.08246830
  -14.9149149    -0.06915333    -0.07318824
  -14.8748749    -0.05904878    -0.06294821
  -14.8348348    -0.05434026    -0.06053386
  -14.7947948    -0.05668384    -0.06205970
  -14.7547548    -0.05959478    -0.05805937
  -14.7147147    -0.05694408    -0.04434613
  -14.6746747    -0.04684636    -0.02556080
  -14.6346346    -0.03171153    -0.01003273
  -14.5945946    -0.01686282    -0.00214475
  -14.5545546    -0.00692740    -0.00104878
  -14.5145145    -0.00306574    -0.00604619
  -14.4744745    -0.00488413    -0.02079613
  -14.4344344    -0.01460759    -0.04961941
  -14.3943944    -0.03708399    -0.08693790
  -14.3543544    -0.07172039    -0.11436797
  -14.3143143    -0.10430443    -0.11759111
  -14.2742743    -0.11577318    -0.10316586
  -14.2342342    -0.10331005    -0.08830984
  -14.1941942    -0.08304115    -0.07959993
  -14.1541542    -0.06935174    -0.07153251
  -14.1141141    -0.06213528    -0.05939428
  -14.0740741    -0.05474303    -0.04456369
  -14.0340340    -0.04427570    -0.03007860
  -13.9939940    -0.03214435    -0.01722020
  -13.9539540    -0.02071916    -0.00741570
  -13.9139139    -0.01230421    -0.00529374
  -13.8738739    -0.00944381    -0.01800526
  -13.8338338    -0.01520704    -0.04876977
  -13.7937938    -0.03298164    -0.08797218
  -13.7537538    -0.06237033    -0.11332681
  -13.7137137    -0.09196907    -0.10791212
  -13.6736737    -0.10261435    -0.07981889
  -13.6336336    -0.08725876    -0.05395633
  -13.5935936    -0.06173965    -0.04354693
  -13.5535536    -0.04573916    -0.04067107
  -13.5135135    -0.04080336    -0.03382686
  -13.4734735    -0.03591722    -0.02270057
  -13.4334334    -0.02606520    -0.01363645
  -13.3933934    -0.01594132    -0.00934006
  -13.3533534    -0.01022421    -0.00742209
  -13.3133133    -0.00828961    -0.00532533
  -13.2732733    -0.00773684    -0.00326373
  -13.2332332    -0.00810949    -0.00333893
  -13.1931932    -0.00994849    -0.00754851
  -13.1531532    -0.01303097    -0.01595523
  -13.1131131    -0.01767151    -0.02589478
  -13.0730731    -0.02547488    -0.03405571
  -13.0330330    -0.03576861    -0.03959186
  -12.9929930    -0.04416941    -0.04355111
  -12.9529530    -0.04841669    -0.04561728
  -12.9129129    -0.05114171    -0.04418297
  -12.8728729    -0.05325823    -0.03972052
  -12.8328328    -0.05122387    -0.03496274
  -12.7927928    -0.04381368    -0.03147539
  -12.7527528    -0.03469519    -0.02882435
  -12.7127127    -0.02711216    -0.02692280
  -12.6726727    -0.02176514    -0.02758606
  -12.6326326    -0.01913401    -0.03465807
  -12.5925926    -0.01942682    -0.05161561
  -12.5525526    -0.02207887    -0.07556050
  -12.5125125    -0.02852989    -0.09431685
  -12.4724725    -0.04309701    -0.09429398
  -12.4324324    -0.06703119    -0.07344498
  -12.3923924    -0.09144146    -0.04394559
  -12.3523524    -0.10101253    -0.02061369
  -12.3123123    -0.08871739    -0.00936049
  -12.2722723    -0.06282849    -0.00741512
  -12.2322322    -0.03699961    -0.01006873
  -12.1921922    -0.01915729    -0.01427109
  -12.1521522    -0.01087021    -0.01888565
  -12.1121121    -0.01076611    -0.02480686
  -12.0720721    -0.01544017    -0.03287488
  -12.0320320    -0.02024610    -0.03999213
  -11.9919920    -0.02336725    -0.04074048
  -11.9519520    -0.02859220    -0.03389158
  -11.9119119    -0.03953696    -0.02271755
  -11.8718719    -0.05102905    -0.00896858
  -11.8318318    -0.05228228     0.00734735
  -11.7917918    -0.03943796     0.02214106
  -11.7517518    -0.01816824     0.02791735
  -11.7117117     0.00486468     0.02197088
  -11.6716717     0.02426020     0.00915689
  -11.6316316     0.03314522    -0.00369429
  -11.5915916     0.02826862    -0.01221990
  -11.5515516     0.01491121    -0.01527960
  -11.5115115     0.00113727    -0.01483062
  -11.4714715    -0.00879725    -0.01405566
  -11.4314314    -0.01406986    -0.01515078
  -11.3913914    -0.01550561    -0.01915601
  -11.3513514    -0.01498742    -0.02501027
  -11.3113113    -0.01412083    -0.02845484
  -11.2712713    -0.01346098    -0.02680523
  -11.2312312    -0.01275048    -0.02440859
  -11.1911912    -0.01046254    -0.02694121
  -11.1511512    -0.00491147    -0.03253858
  -11.1111111     0.00133134    -0.03519520
  -11.0710711     0.00121258    -0.03260384
  -11.0310310    -0.00819227    -0.02557718
  -10.9909910    -0.02060349    -0.01496196
  -10.9509510    -0.02804605    -0.00301478
  -10.9109109    -0.02872666     0.00590300
  -10.8708709    -0.02497920     0.00855719
  -10.8308308    -0.01872343     0.00455499
  -10.7907908    -0.01111876    -0.00577514
  -10.7507508    -0.00343065    -0.02138789
  -10.7107107     0.00305708    -0.03679431
  -10.6706707     0.00756531    -0.04331134
  -10.6306306     0.01000024    -0.03711676
  -10.5905906     0.00916207    -0.02280825
  -10.5505506     0.00080652    -0.00853054
  -10.5105105    -0.01857623    -0.00008765
  -10.4704705    -0.04409534     0.00157258
  -10.4304304    -0.06341193    -0.00102056
  -10.3903904    -0.06777235    -0.00569204
  -10.3503504    -0.05789723    -0.01228600
  -10.3103103    -0.04018498    -0.02053450
  -10.2702703    -0.02240699    -0.02801832
  -10.2302302    -0.01099988    -0.03141950
  -10.1901902    -0.00816611    -0.02958921
  -10.1501502    -0.01159855    -0.02446247
  -10.1101101    -0.01737282    -0.01872274
  -10.0700701    -0.02260592    -0.01368900
