#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000003     0.00000004
  -18.8388388     0.00000031     0.00000042
  -18.7987988     0.00000236     0.00000299
  -18.7587588     0.00001282     0.00001541
  -18.7187187     0.00005061     0.00005764
  -18.6786787     0.00014505     0.00015644
  -18.6386386     0.00030179     0.00030822
  -18.5985986     0.00045582     0.00044078
  -18.5585586     0.00049978     0.00045755
  -18.5185185     0.00039781     0.00034475
  -18.4784785     0.00022986     0.00018855
  -18.4384384     0.00009641     0.00007485
  -18.3983984     0.00002936     0.00002157
  -18.3583584     0.00000649     0.00000451
  -18.3183183     0.00000104     0.00000068
  -18.2782783     0.00000012     0.00000008
  -18.2382382     0.00000003     0.00000004
  -18.1981982     0.00000029     0.00000038
  -18.1581582     0.00000277     0.00000344
  -18.1181181     0.00001909     0.00002281
  -18.0780781     0.00009570     0.00011004
  -18.0380380     0.00035060     0.00038818
  -17.9979980     0.00094587     0.00100989
  -17.9579580     0.00190692     0.00196966
  -17.9179179     0.00294932     0.00296497
  -17.8778779     0.00363702     0.00358968
  -17.8378378     0.00371545     0.00362832
  -17.7977978     0.00318412     0.00308210
  -17.7577578     0.00223542     0.00213549
  -17.7177177     0.00123417     0.00115648
  -17.6776777     0.00051739     0.00047329
  -17.6376376     0.00016112     0.00014345
  -17.5975976     0.00003692     0.00003186
  -17.5575576     0.00000694     0.00000516
  -17.5175175     0.00000587     0.00000063
  -17.4774775     0.00002426     0.00000029
  -17.4374374     0.00008466     0.00000236
  -17.3973974     0.00022398     0.00001801
  -17.3573574     0.00047566     0.00010488
  -17.3173173     0.00092281     0.00046199
  -17.2772773     0.00186764     0.00152502
  -17.2372372     0.00377518     0.00374052
  -17.1971972     0.00651813     0.00676972
  -17.1571572     0.00867440     0.00899331
  -17.1171171     0.00854536     0.00873721
  -17.0770771     0.00614896     0.00619208
  -17.0370370     0.00321822     0.00319583
  -16.9969970     0.00122345     0.00119987
  -16.9569570     0.00033778     0.00032747
  -16.9169169     0.00006852     0.00006494
  -16.8768769     0.00001640     0.00000936
  -16.8368368     0.00003804     0.00000111
  -16.7967968     0.00015490     0.00000134
  -16.7567568     0.00048349     0.00000930
  -16.7167167     0.00113321     0.00005039
  -16.6766767     0.00200451     0.00020232
  -16.6366366     0.00268747     0.00060380
  -16.5965966     0.00273753     0.00134318
  -16.5565566     0.00211861     0.00223225
  -16.5165165     0.00124280     0.00277554
  -16.4764765     0.00055032     0.00258315
  -16.4364364     0.00018300     0.00179848
  -16.3963964     0.00004545     0.00093533
  -16.3563564     0.00000839     0.00036254
  -16.3163163     0.00000125     0.00010445
  -16.2762763     0.00000133     0.00002230
  -16.2362362     0.00001016     0.00000354
  -16.1961962     0.00006183     0.00000067
  -16.1561562     0.00027605     0.00000290
  -16.1161161     0.00090678     0.00002352
  -16.0760761     0.00221228     0.00014272
  -16.0360360     0.00410157     0.00064035
  -15.9959960     0.00607412     0.00212424
  -15.9559560     0.00778972     0.00520733
  -15.9159159     0.00923691     0.00942402
  -15.8758759     0.00995927     0.01258025
  -15.8358358     0.00915211     0.01241092
  -15.7957958     0.00710261     0.00923287
  -15.7557558     0.00542533     0.00582946
  -15.7157157     0.00551023     0.00461950
  -15.6756757     0.00735229     0.00580763
  -15.6356356     0.00965340     0.00793054
  -15.5955956     0.01067304     0.00933496
  -15.5555556     0.00941996     0.00917393
  -15.5155155     0.00646995     0.00759132
  -15.4754755     0.00345584     0.00536016
  -15.4354354     0.00164967     0.00328943
  -15.3953954     0.00126555     0.00186576
  -15.3553554     0.00191473     0.00134527
  -15.3153153     0.00342854     0.00198551
  -15.2752753     0.00651137     0.00426793
  -15.2352352     0.01230414     0.00889340
  -15.1951952     0.02034611     0.01578093
  -15.1551552     0.02773812     0.02271778
  -15.1151151     0.03203115     0.02668180
  -15.0750751     0.03371400     0.02740975
  -15.0350350     0.03406997     0.02745837
  -14.9949950     0.03251413     0.02804368
  -14.9549550     0.02791842     0.02725854
  -14.9149149     0.02106859     0.02325967
  -14.8748749     0.01434580     0.01744854
  -14.8348348     0.00971188     0.01296750
  -14.7947948     0.00755360     0.01086315
  -14.7547548     0.00677655     0.00957479
  -14.7147147     0.00584003     0.00785072
  -14.6746747     0.00413112     0.00626364
  -14.6346346     0.00224993     0.00563455
  -14.5945946     0.00102413     0.00546029
  -14.5545546     0.00084132     0.00465973
  -14.5145145     0.00193553     0.00310137
  -14.4744745     0.00455912     0.00161831
  -14.4344344     0.00846416     0.00101126
  -14.3943944     0.01278307     0.00171929
  -14.3543544     0.01692684     0.00398823
  -14.3143143     0.02072773     0.00754039
  -14.2742743     0.02311406     0.01131911
  -14.2342342     0.02209535     0.01432573
  -14.1941942     0.01714964     0.01645596
  -14.1541542     0.01063712     0.01805201
  -14.1141141     0.00595398     0.01910184
  -14.0740741     0.00481350     0.01905056
  -14.0340340     0.00638488     0.01747917
  -13.9939940     0.00817817     0.01498193
  -13.9539540     0.00798448     0.01239657
  -13.9139139     0.00569800     0.00957917
  -13.8738739     0.00295574     0.00627911
  -13.8338338     0.00112643     0.00321518
  -13.7937938     0.00040785     0.00123125
  -13.7537538     0.00060663     0.00034618
  -13.7137137     0.00210590     0.00007104
  -13.6736737     0.00589750     0.00001176
  -13.6336336     0.01219087     0.00001273
  -13.5935936     0.01870681     0.00008395
  -13.5535536     0.02193978     0.00045584
  -13.5135135     0.02171993     0.00187727
  -13.4734735     0.02321192     0.00593350
  -13.4334334     0.03249234     0.01466412
  -13.3933934     0.05004433     0.02906986
  -13.3533534     0.06854374     0.04762401
  -13.3133133     0.07724514     0.06607043
  -13.2732733     0.07054107     0.07809598
  -13.2332332     0.05347599     0.07761437
  -13.1931932     0.03733974     0.06397722
  -13.1531532     0.02915871     0.04436247
  -13.1131131     0.02718710     0.02754507
  -13.0730731     0.02628996     0.01712725
  -13.0330330     0.02453642     0.01278070
  -12.9929930     0.02366804     0.01380785
  -12.9529530     0.02581975     0.01889944
  -12.9129129     0.03179050     0.02506265
  -12.8728729     0.04194516     0.02883350
  -12.8328328     0.05725442     0.02858695
  -12.7927928     0.07789851     0.02568697
  -12.7527528     0.09976586     0.02322733
  -12.7127127     0.11321220     0.02416127
  -12.6726727     0.10860447     0.03161101
  -12.6326326     0.08582872     0.04891144
  -12.5925926     0.05643975     0.07503993
  -12.5525526     0.03380413     0.09983671
  -12.5125125     0.02351094     0.10884735
  -12.4724725     0.02433165     0.09551865
  -12.4324324     0.03320022     0.06694972
  -12.3923924     0.04564074     0.03782381
  -12.3523524     0.05542595     0.02009675
  -12.3123123     0.06032443     0.01758379
  -12.2722723     0.06723687     0.02666736
  -12.2322322     0.08468028     0.03921297
  -12.1921922     0.11039895     0.04826391
  -12.1521522     0.13312745     0.05524121
  -12.1121121     0.14350184     0.06840848
  -12.0720721     0.13663410     0.09127239
  -12.0320320     0.11352161     0.11727097
  -11.9919920     0.08780869     0.13804363
  -11.9519520     0.07933200     0.14879881
  -11.9119119     0.09480293     0.14322032
  -11.8718719     0.12274162     0.11645760
  -11.8318318     0.14728730     0.07751338
  -11.7917918     0.16120969     0.04615468
  -11.7517518     0.16981195     0.03548371
  -11.7117117     0.18543619     0.04400573
  -11.6716717     0.21099929     0.06085525
  -11.6316316     0.23123244     0.07535712
  -11.5915916     0.23146203     0.08635889
  -11.5515516     0.21943282     0.10123168
  -11.5115115     0.21581258     0.12105518
  -11.4714715     0.22856603     0.13461307
  -11.4314314     0.24928564     0.13427034
  -11.3913914     0.27304594     0.12771749
  -11.3513514     0.30968055     0.12835908
  -11.3113113     0.37123711     0.14274390
  -11.2712713     0.45225169     0.16767513
  -11.2312312     0.52350218     0.19294298
  -11.1911912     0.55021148     0.20797451
  -11.1511512     0.52768284     0.20812534
