#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000    -0.00000000
  -18.9189189    -0.00000000    -0.00000000
  -18.8788789    -0.00000000    -0.00000000
  -18.8388388    -0.00000000    -0.00000001
  -18.7987988    -0.00000001    -0.00000011
  -18.7587588    -0.00000014    -0.00000083
  -18.7187187    -0.00000106    -0.00000452
  -18.6786787    -0.00000583    -0.00001785
  -18.6386386    -0.00002325    -0.00005108
  -18.5985986    -0.00006733    -0.00010584
  -18.5585586    -0.00014168    -0.00015877
  -18.5185185    -0.00021664    -0.00017233
  -18.4784785    -0.00024074    -0.00013530
  -18.4384384    -0.00019444    -0.00007678
  -18.3983984    -0.00011415    -0.00003147
  -18.3583584    -0.00004872    -0.00000931
  -18.3183183    -0.00001512    -0.00000198
  -18.2782783    -0.00000341    -0.00000030
  -18.2382382    -0.00000056    -0.00000003
  -18.1981982    -0.00000007     0.00000002
  -18.1581582     0.00000001     0.00000030
  -18.1181181     0.00000026     0.00000289
  -18.0780781     0.00000254     0.00002055
  -18.0380380     0.00001787     0.00010634
  -17.9979980     0.00009131     0.00040021
  -17.9579580     0.00033926     0.00109559
  -17.9179179     0.00091664     0.00218174
  -17.8778779     0.00180120     0.00316061
  -17.8378378     0.00257421     0.00333091
  -17.7977978     0.00267585     0.00255380
  -17.7577578     0.00202315     0.00142445
  -17.7177177     0.00111263     0.00057801
  -17.6776777     0.00044508     0.00017063
  -17.6376376     0.00012950     0.00003664
  -17.5975976     0.00002741     0.00000572
  -17.5575576     0.00000422     0.00000066
  -17.5175175     0.00000048     0.00000015
  -17.4774775     0.00000012     0.00000112
  -17.4374374     0.00000098     0.00000994
  -17.3973974     0.00000870     0.00006422
  -17.3573574     0.00005611     0.00030176
  -17.3173173     0.00026301     0.00103106
  -17.2772773     0.00089627     0.00256157
  -17.2372372     0.00222049     0.00462742
  -17.1971972     0.00399947     0.00607833
  -17.1571572     0.00523727     0.00580625
  -17.1171171     0.00498638     0.00403793
  -17.0770771     0.00345437     0.00206516
  -17.0370370     0.00175472     0.00084413
  -16.9969970     0.00070378     0.00042495
  -16.9569570     0.00035228     0.00040355
  -16.9169169     0.00037806     0.00039145
  -16.8768769     0.00044810     0.00021265
  -16.8368368     0.00035341    -0.00005017
  -16.7967968     0.00010558    -0.00021002
  -16.7567568    -0.00011315    -0.00020396
  -16.7167167    -0.00017595    -0.00011811
  -16.6766767    -0.00012330    -0.00004620
  -16.6366366    -0.00005492    -0.00001271
  -16.5965966    -0.00001681    -0.00000248
  -16.5565566    -0.00000363    -0.00000013
  -16.5165165    -0.00000050     0.00000239
  -16.4764765     0.00000077     0.00001893
  -16.4364364     0.00000747     0.00010782
  -16.3963964     0.00004872     0.00045000
  -16.3563564     0.00023230     0.00138551
  -16.3163163     0.00081443     0.00318068
  -16.2762763     0.00211661     0.00552727
  -16.2362362     0.00412519     0.00740386
  -16.1961962     0.00611854     0.00776957
  -16.1561562     0.00701086     0.00643333
  -16.1161161     0.00626998     0.00418014
  -16.0760761     0.00438079     0.00211039
  -16.0360360     0.00237758     0.00089548
  -15.9959960     0.00104514     0.00072477
  -15.9559560     0.00066673     0.00189023
  -15.9159159     0.00147710     0.00495678
  -15.8758759     0.00396322     0.00965511
  -15.8358358     0.00805648     0.01368580
  -15.7957958     0.01192633     0.01416530
  -15.7557558     0.01285159     0.01101167
  -15.7157157     0.01022242     0.00747187
  -15.6756757     0.00657078     0.00681162
  -15.6356356     0.00501837     0.00949195
  -15.5955956     0.00667123     0.01322450
  -15.5555556     0.01022677     0.01493323
  -15.5155155     0.01302330     0.01311107
  -15.4754755     0.01287926     0.00884775
  -15.4354354     0.00976827     0.00456308
  -15.3953954     0.00564375     0.00194567
  -15.3553554     0.00254832     0.00151116
  -15.3153153     0.00137407     0.00382885
  -15.2752753     0.00251562     0.00997555
  -15.2352352     0.00675620     0.01935680
  -15.1951952     0.01411374     0.02733019
  -15.1551552     0.02151144     0.02803963
  -15.1151151     0.02382466     0.02090209
  -15.0750751     0.01916938     0.01132120
  -15.0350350     0.01120490     0.00445533
  -14.9949950     0.00475802     0.00127394
  -14.9549550     0.00146778     0.00026466
  -14.9149149     0.00032894     0.00003995
  -14.8748749     0.00005355     0.00000444
  -14.8348348     0.00000633     0.00000088
  -14.7947948     0.00000055     0.00000362
  -14.7547548     0.00000006     0.00001777
  -14.7147147     0.00000026     0.00006363
  -14.6746747     0.00000186     0.00016538
  -14.6346346     0.00000960     0.00031202
  -14.5945946     0.00003596     0.00042828
  -14.5545546     0.00009781     0.00043762
  -14.5145145     0.00019431     0.00040586
  -14.4744745     0.00029200     0.00070220
  -14.4344344     0.00040045     0.00221395
  -14.3943944     0.00079658     0.00629773
  -14.3543544     0.00228274     0.01348133
  -14.3143143     0.00597315     0.02129868
  -14.2742743     0.01195066     0.02480168
  -14.2342342     0.01771497     0.02128822
  -14.1941942     0.01937487     0.01346564
  -14.1541542     0.01562799     0.00627589
  -14.1141141     0.00929385     0.00217407
  -14.0740741     0.00407222     0.00065839
  -14.0340340     0.00131514     0.00052025
  -13.9939940     0.00032624     0.00120558
  -13.9539540     0.00013540     0.00285332
  -13.9139139     0.00035605     0.00631545
  -13.8738739     0.00125108     0.01387765
  -13.8338338     0.00385828     0.02930173
  -13.7937938     0.01028134     0.05387648
  -13.7537538     0.02311695     0.07978512
  -13.7137137     0.04258170     0.09150552
  -13.6736737     0.06273520     0.07992727
  -13.6336336     0.07262446     0.05274924
  -13.5935936     0.06513133     0.02621188
  -13.5535536     0.04470192     0.01008877
  -13.5135135     0.02325226     0.00449361
  -13.4734735     0.00925528     0.00692040
  -13.4334334     0.00364888     0.01710389
  -13.3933934     0.00431890     0.03440165
  -13.3533534     0.01034787     0.05277136
  -13.3133133     0.02106025     0.06333940
  -13.2732733     0.03317408     0.06416017
  -13.2332332     0.04218205     0.06118478
  -13.1931932     0.04684986     0.05702327
  -13.1531532     0.04865095     0.04757306
  -13.1131131     0.04696384     0.03194736
  -13.0730731     0.03966273     0.01636429
  -13.0330330     0.02791939     0.00674868
  -12.9929930     0.01613398     0.00436167
  -12.9529530     0.00777321     0.00874017
  -12.9129129     0.00374846     0.01946021
  -12.8728729     0.00398725     0.03340078
  -12.8328328     0.00868716     0.04428016
  -12.7927928     0.01709498     0.04835069
  -12.7527528     0.02568109     0.04717829
  -12.7127127     0.03027911     0.04233263
  -12.6726727     0.03075483     0.03310491
  -12.6326326     0.03030167     0.02145284
  -12.5925926     0.02992866     0.01379775
  -12.5525526     0.02731957     0.01766966
  -12.5125125     0.02116723     0.03832219
  -12.4724725     0.01414109     0.07313386
  -12.4324324     0.01178832     0.10748557
  -12.3923924     0.01965592     0.12573456
  -12.3523524     0.03898456     0.12818791
  -12.3123123     0.06159046     0.12756669
  -12.2722723     0.07331032     0.13167715
  -12.2322322     0.06980832     0.13736053
