#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000001
  -19.0390390     0.00000003     0.00000006
  -18.9989990     0.00000021     0.00000038
  -18.9589590     0.00000112     0.00000193
  -18.9189189     0.00000435     0.00000706
  -18.8788789     0.00001228     0.00001883
  -18.8388388     0.00002521     0.00003655
  -18.7987988     0.00003768     0.00005166
  -18.7587588     0.00004103     0.00005320
  -18.7187187     0.00003256     0.00003993
  -18.6786787     0.00001883     0.00002185
  -18.6386386     0.00000795     0.00000873
  -18.5985986     0.00000245     0.00000254
  -18.5585586     0.00000055     0.00000054
  -18.5185185     0.00000009     0.00000008
  -18.4784785     0.00000001     0.00000001
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000001
  -18.3583584     0.00000003     0.00000008
  -18.3183183     0.00000024     0.00000064
  -18.2782783     0.00000132     0.00000351
  -18.2382382     0.00000496     0.00001375
  -18.1981982     0.00001176     0.00003743
  -18.1581582     0.00001162     0.00006675
  -18.1181181    -0.00002777     0.00006160
  -18.0780781    -0.00014423    -0.00002779
  -18.0380380    -0.00032118    -0.00018575
  -17.9979980    -0.00045554    -0.00030561
  -17.9579580    -0.00044253    -0.00029476
  -17.9179179    -0.00029701    -0.00018218
  -17.8778779    -0.00013422    -0.00006974
  -17.8378378    -0.00003935    -0.00001402
  -17.7977978    -0.00001130    -0.00000258
  -17.7577578    -0.00001160    -0.00000561
  -17.7177177    -0.00001388    -0.00000775
  -17.6776777    -0.00001130    -0.00000643
  -17.6376376    -0.00000643    -0.00000368
  -17.5975976    -0.00000264    -0.00000148
  -17.5575576    -0.00000087    -0.00000008
  -17.5175175    -0.00000032     0.00000313
  -17.4774775     0.00000192     0.00001983
  -17.4374374     0.00001861     0.00008762
  -17.3973974     0.00008565     0.00028085
  -17.3573574     0.00025261     0.00066050
  -17.3173173     0.00051732     0.00115279
  -17.2772773     0.00076394     0.00151164
  -17.2372372     0.00082785     0.00150866
  -17.1971972     0.00065132     0.00115916
  -17.1571572     0.00033481     0.00068571
  -17.1171171     0.00003078     0.00029892
  -17.0770771    -0.00016712     0.00008147
  -17.0370370    -0.00023852     0.00001752
  -16.9969970    -0.00021007     0.00003994
  -16.9569570    -0.00013577     0.00006989
  -16.9169169    -0.00006673     0.00006753
  -16.8768769    -0.00002396     0.00004672
  -16.8368368    -0.00000080     0.00003877
  -16.7967968     0.00001822     0.00005932
  -16.7567568     0.00004227     0.00010683
  -16.7167167     0.00006879     0.00019129
  -16.6766767     0.00009760     0.00038605
  -16.6366366     0.00016588     0.00082769
  -16.5965966     0.00036120     0.00156468
  -16.5565566     0.00075119     0.00236374
  -16.5165165     0.00126748     0.00279771
  -16.4764765     0.00172556     0.00268148
  -16.4364364     0.00203670     0.00236306
  -16.3963964     0.00229382     0.00236306
  -16.3563564     0.00250865     0.00268624
  -16.3163163     0.00243501     0.00276613
  -16.2762763     0.00189880     0.00222545
  -16.2362362     0.00113550     0.00138366
  -16.1961962     0.00057687     0.00088761
  -16.1561562     0.00050325     0.00117531
  -16.1161161     0.00102238     0.00230251
  -16.0760761     0.00207617     0.00386289
  -16.0360360     0.00325831     0.00506460
  -15.9959960     0.00388552     0.00534788
  -15.9559560     0.00360715     0.00508564
  -15.9159159     0.00291935     0.00528030
  -15.8758759     0.00279483     0.00624578
  -15.8358358     0.00364662     0.00695962
  -15.7957958     0.00472766     0.00625683
  -15.7557558     0.00483213     0.00429379
  -15.7157157     0.00364905     0.00222497
  -15.6756757     0.00200777     0.00087314
  -15.6356356     0.00080182     0.00027596
  -15.5955956     0.00023958     0.00019266
  -15.5555556     0.00013468     0.00066667
  -15.5155155     0.00047733     0.00221002
  -15.4754755     0.00165589     0.00536896
  -15.4354354     0.00410338     0.00966646
  -15.3953954     0.00744766     0.01321461
  -15.3553554     0.01021680     0.01434097
  -15.3153153     0.01105777     0.01337389
  -15.2752753     0.01004788     0.01177581
  -15.2352352     0.00821675     0.01016917
  -15.1951952     0.00633882     0.00832664
  -15.1551552     0.00473904     0.00637009
  -15.1151151     0.00362163     0.00490358
  -15.0750751     0.00300578     0.00417363
  -15.0350350     0.00261782     0.00386739
  -14.9949950     0.00228078     0.00400750
  -14.9549550     0.00241948     0.00555659
  -14.9149149     0.00388342     0.00938124
  -14.8748749     0.00694692     0.01442676
  -14.8348348     0.01038506     0.01770132
  -14.7947948     0.01200182     0.01689025
  -14.7547548     0.01062402     0.01270909
  -14.7147147     0.00735040     0.00826913
  -14.6746747     0.00452013     0.00654377
  -14.6346346     0.00379939     0.00833073
  -14.5945946     0.00526808     0.01174793
  -14.5545546     0.00770390     0.01390222
  -14.5145145     0.00962377     0.01385698
  -14.4744745     0.01033312     0.01318733
  -14.4344344     0.00998295     0.01337779
  -14.3943944     0.00911007     0.01461446
  -14.3543544     0.00864978     0.01705374
  -14.3143143     0.00952833     0.02078539
  -14.2742743     0.01148171     0.02466259
  -14.2342342     0.01318171     0.02681363
  -14.1941942     0.01389904     0.02594449
  -14.1541542     0.01381597     0.02221421
  -14.1141141     0.01278980     0.01799541
  -14.0740741     0.01060463     0.01682081
  -14.0340340     0.00849246     0.01968261
  -13.9939940     0.00865897     0.02297553
  -13.9539540     0.01164236     0.02234126
  -13.9139139     0.01500369     0.01808862
  -13.8738739     0.01570164     0.01419846
  -13.8338338     0.01343865     0.01312899
  -13.7937938     0.01047010     0.01486475
  -13.7537538     0.00884829     0.01987912
  -13.7137137     0.00933668     0.02908652
  -13.6736737     0.01224944     0.04001824
  -13.6336336     0.01736557     0.04646906
  -13.5935936     0.02252478     0.04472415
  -13.5535536     0.02439350     0.03761946
  -13.5135135     0.02205432     0.03029094
  -13.4734735     0.01792655     0.02558867
  -13.4334334     0.01448935     0.02514908
  -13.3933934     0.01246178     0.03007948
  -13.3533534     0.01220000     0.03819419
  -13.3133133     0.01430306     0.04405342
  -13.2732733     0.01831746     0.04385574
  -13.2332332     0.02223382     0.03877204
  -13.1931932     0.02381702     0.03324720
  -13.1531532     0.02245031     0.03114675
  -13.1131131     0.01965385     0.03305514
  -13.0730731     0.01748198     0.03643782
  -13.0330330     0.01678736     0.03832539
  -12.9929930     0.01707068     0.03813576
  -12.9529530     0.01707109     0.03793269
  -12.9129129     0.01592975     0.03989336
  -12.8728729     0.01449031     0.04447009
  -12.8328328     0.01474968     0.05058390
  -12.7927928     0.01781838     0.05504572
  -12.7527528     0.02248049     0.05288159
  -12.7127127     0.02544644     0.04244539
  -12.6726727     0.02385161     0.02923542
  -12.6326326     0.01823831     0.02102961
  -12.5925926     0.01222328     0.02051655
  -12.5525526     0.00898985     0.02477085
  -12.5125125     0.00898695     0.02969310
  -12.4724725     0.01081402     0.03258325
  -12.4324324     0.01305338     0.03282556
  -12.3923924     0.01474402     0.03276425
  -12.3523524     0.01520124     0.03514710
  -12.3123123     0.01464240     0.03832619
  -12.2722723     0.01422062     0.03838501
  -12.2322322     0.01430441     0.03674839
  -12.1921922     0.01363588     0.04028553
  -12.1521522     0.01119126     0.05225229
  -12.1121121     0.00809469     0.06699086
  -12.0720721     0.00700564     0.07498068
  -12.0320320     0.01006117     0.07130526
  -11.9919920     0.01712300     0.05888297
  -11.9519520     0.02526209     0.04459940
  -11.9119119     0.03051867     0.03387061
  -11.8718719     0.03074796     0.02923907
  -11.8318318     0.02657816     0.03158657
  -11.7917918     0.02027905     0.04087775
  -11.7517518     0.01454276     0.05629582
  -11.7117117     0.01191916     0.07535112
  -11.6716717     0.01390269     0.09220680
  -11.6316316     0.01926487     0.09944383
  -11.5915916     0.02402327     0.09524606
  -11.5515516     0.02475154     0.08719277
  -11.5115115     0.02202263     0.08433852
  -11.4714715     0.01986971     0.08761739
  -11.4314314     0.02184268     0.09215418
  -11.3913914     0.02763086     0.09537845
  -11.3513514     0.03349976     0.09986355
  -11.3113113     0.03609043     0.11068913
  -11.2712713     0.03526171     0.12781349
  -11.2312312     0.03307672     0.14009549
  -11.1911912     0.03135482     0.13575862
  -11.1511512     0.03109438     0.11977721
  -11.1111111     0.03290836     0.11070156
  -11.0710711     0.03608007     0.12270988
  -11.0310310     0.03769747     0.15851311
  -10.9909910     0.03526128     0.21101181
  -10.9509510     0.03100999     0.26404440
  -10.9109109     0.03121153     0.30225153
  -10.8708709     0.03911587     0.33104035
  -10.8308308     0.05041332     0.37564276
  -10.7907908     0.05805942     0.44207022
  -10.7507508     0.06020192     0.49124204
  -10.7107107     0.06048878     0.48009074
  -10.6706707     0.06219520     0.42165297
  -10.6306306     0.06641487     0.37624460
  -10.5905906     0.07438712     0.38282511
  -10.5505506     0.08588071     0.41979529
  -10.5105105     0.09638391     0.44040205
  -10.4704705     0.10178524     0.43134447
  -10.4304304     0.10494504     0.41712309
  -10.3903904     0.11178322     0.41508640
  -10.3503504     0.12160686     0.41279302
  -10.3103103     0.12722720     0.39504031
  -10.2702703     0.12463021     0.37966335
