#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992    -0.00000000    -0.00000000
  -19.1591592    -0.00000000    -0.00000000
  -19.1191191    -0.00000000    -0.00000000
  -19.0790791    -0.00000000    -0.00000000
  -19.0390390    -0.00000001    -0.00000001
  -18.9989990    -0.00000006    -0.00000007
  -18.9589590    -0.00000031    -0.00000038
  -18.9189189    -0.00000127    -0.00000150
  -18.8788789    -0.00000380    -0.00000434
  -18.8388388    -0.00000830    -0.00000917
  -18.7987988    -0.00001325    -0.00001417
  -18.7587588    -0.00001544    -0.00001598
  -18.7187187    -0.00001314    -0.00001317
  -18.6786787    -0.00000816    -0.00000792
  -18.6386386    -0.00000370    -0.00000348
  -18.5985986    -0.00000122    -0.00000111
  -18.5585586    -0.00000029    -0.00000026
  -18.5185185    -0.00000005    -0.00000004
  -18.4784785    -0.00000001    -0.00000001
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000003     0.00000005
  -18.3583584     0.00000038     0.00000054
  -18.3183183     0.00000326     0.00000440
  -18.2782783     0.00002024     0.00002590
  -18.2382382     0.00009183     0.00011147
  -18.1981982     0.00030510     0.00035192
  -18.1581582     0.00074656     0.00081970
  -18.1181181     0.00135899     0.00142451
  -18.0780781     0.00187378     0.00188371
  -18.0380380     0.00201283     0.00195349
  -17.9979980     0.00174386     0.00164609
  -17.9579580     0.00125086     0.00115456
  -17.9179179     0.00074580     0.00067437
  -17.8778779     0.00037267     0.00033194
  -17.8378378     0.00018388     0.00016820
  -17.7977978     0.00014216     0.00014237
  -17.7577578     0.00016130     0.00017009
  -17.7177177     0.00016423     0.00017599
  -17.6776777     0.00012586     0.00013596
  -17.6376376     0.00007043     0.00007661
  -17.5975976     0.00002923     0.00003221
  -17.5575576     0.00001460     0.00001769
  -17.5175175     0.00004515     0.00005807
  -17.4774775     0.00022236     0.00027381
  -17.4374374     0.00083179     0.00097827
  -17.3973974     0.00228278     0.00257416
  -17.3573574     0.00461205     0.00500906
  -17.3173173     0.00692093     0.00726728
  -17.2772773     0.00785163     0.00796906
  -17.2372372     0.00697032     0.00676517
  -17.1971972     0.00515992     0.00466241
  -17.1571572     0.00354307     0.00291314
  -17.1171171     0.00262082     0.00207920
  -17.0770771     0.00234121     0.00202762
  -17.0370370     0.00237287     0.00227633
  -16.9969970     0.00229630     0.00231739
  -16.9569570     0.00187079     0.00191913
  -16.9169169     0.00120730     0.00124728
  -16.8768769     0.00061594     0.00066260
  -16.8368368     0.00031711     0.00041213
  -16.7967968     0.00034788     0.00051406
  -16.7567568     0.00062172     0.00081092
  -16.7167167     0.00095614     0.00110560
  -16.6766767     0.00119468     0.00145226
  -16.6366366     0.00154296     0.00238700
  -16.5965966     0.00270757     0.00455081
  -16.5565566     0.00526710     0.00768177
  -16.5165165     0.00861530     0.01018238
  -16.4764765     0.01107114     0.01058796
  -16.4364364     0.01176811     0.00958240
  -16.3963964     0.01168025     0.00927350
  -16.3563564     0.01172424     0.01015022
  -16.3163163     0.01104189     0.01032861
  -16.2762763     0.00859493     0.00838088
  -16.2362362     0.00520175     0.00531595
  -16.1961962     0.00264539     0.00311409
  -16.1561562     0.00186210     0.00278105
  -16.1161161     0.00287605     0.00430192
  -16.0760761     0.00546055     0.00711958
  -16.0360360     0.00886474     0.01005404
  -15.9959960     0.01136282     0.01169266
  -15.9559560     0.01137381     0.01171977
  -15.9159159     0.00945806     0.01142051
  -15.8758759     0.00818672     0.01188078
  -15.8358358     0.00925076     0.01215423
  -15.7957958     0.01126269     0.01055060
  -15.7557558     0.01132313     0.00716979
  -15.7157157     0.00852417     0.00375716
  -15.6756757     0.00471842     0.00170764
  -15.6356356     0.00205289     0.00137345
  -15.5955956     0.00128317     0.00278810
  -15.5555556     0.00244026     0.00605858
  -15.5155155     0.00571367     0.01097689
  -15.4754755     0.01116275     0.01666265
  -15.4354354     0.01804445     0.02173024
  -15.3953954     0.02492432     0.02515642
  -15.3553554     0.03076800     0.02767234
  -15.3153153     0.03572858     0.03135180
  -15.2752753     0.03982435     0.03615525
  -15.2352352     0.04111043     0.03838070
  -15.1951952     0.03733247     0.03477920
  -15.1551552     0.02943078     0.02684521
  -15.1151151     0.02125411     0.01914045
  -15.0750751     0.01562806     0.01440528
  -15.0350350     0.01229458     0.01225347
  -14.9949950     0.01023339     0.01263222
  -14.9549550     0.01096257     0.01839948
  -14.9149149     0.01828740     0.03200987
  -14.8748749     0.03369245     0.04922989
  -14.8348348     0.05138686     0.05934400
  -14.7947948     0.06014417     0.05489387
  -14.7547548     0.05342421     0.03955812
  -14.7147147     0.03660084     0.02428135
  -14.6746747     0.02171797     0.01790163
  -14.6346346     0.01704433     0.02197848
  -14.5945946     0.02279329     0.03128044
  -14.5545546     0.03384478     0.03926857
  -14.5145145     0.04516400     0.04509085
  -14.4744745     0.05471957     0.05235779
  -14.4344344     0.06102080     0.06083247
  -14.3943944     0.06227877     0.06666655
  -14.3543544     0.06128175     0.07042308
  -14.3143143     0.06444067     0.07541468
  -14.2742743     0.07184881     0.07943144
  -14.2342342     0.07531290     0.07648825
  -14.1941942     0.06923623     0.06482206
  -14.1541542     0.05662604     0.04861153
  -14.1141141     0.04289664     0.03443948
  -14.0740741     0.03066038     0.02759684
  -14.0340340     0.02202931     0.02857443
  -13.9939940     0.02018847     0.03204829
  -13.9539540     0.02571932     0.03243778
  -13.9139139     0.03395739     0.03079675
  -13.8738739     0.03932146     0.03267619
  -13.8338338     0.04166799     0.04077056
  -13.7937938     0.04604070     0.05510821
  -13.7537538     0.05815280     0.07901255
  -13.7137137     0.08274797     0.11678538
  -13.6736737     0.12193670     0.16104954
  -13.6336336     0.16677450     0.18878838
  -13.5935936     0.19283054     0.18034087
  -13.5535536     0.17945594     0.14081487
  -13.5135135     0.13488474     0.09465326
  -13.4734735     0.08772640     0.06349048
  -13.4334334     0.05764946     0.05580311
  -13.3933934     0.04748414     0.06905305
  -13.3533534     0.05471016     0.09246212
  -13.3133133     0.07584445     0.11288117
  -13.2732733     0.10350182     0.12416372
  -13.2332332     0.12958964     0.13070476
  -13.1931932     0.15172482     0.14337295
