#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   2,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785    -0.00000000     0.00000000
  -18.4384384    -0.00000001     0.00000000
  -18.3983984    -0.00000019    -0.00000000
  -18.3583584    -0.00000300    -0.00000002
  -18.3183183    -0.00003375    -0.00000033
  -18.2782783    -0.00027593    -0.00000470
  -18.2382382    -0.00163819    -0.00004908
  -18.1981982    -0.00706694    -0.00037201
  -18.1581582    -0.02218926    -0.00204694
  -18.1181181    -0.05091072    -0.00818208
  -18.0780781    -0.08611540    -0.02379581
  -18.0380380    -0.10943932    -0.05054000
  -17.9979980    -0.10830775    -0.07908900
  -17.9579580    -0.08800849    -0.09302803
  -17.9179179    -0.06147544    -0.08559772
  -17.8778779    -0.03691834    -0.06550985
  -17.8378378    -0.01820810    -0.04397281
  -17.7977978    -0.00699464    -0.02578515
  -17.7577578    -0.00201907    -0.01248016
  -17.7177177    -0.00043107    -0.00469738
  -17.6776777    -0.00008455    -0.00132487
  -17.6376376    -0.00016932    -0.00027710
  -17.5975976    -0.00106521    -0.00006795
  -17.5575576    -0.00503949    -0.00022797
  -17.5175175    -0.01706466    -0.00136800
  -17.4774775    -0.04089503    -0.00602884
  -17.4374374    -0.06765702    -0.01907071
  -17.3973974    -0.07181247    -0.04303116
  -17.3573574    -0.03394182    -0.06836450
  -17.3173173     0.03091968    -0.07369483
  -17.2772773     0.08248679    -0.04646523
  -17.2372372     0.09346859     0.00010077
  -17.1971972     0.07003370     0.03847449
  -17.1571572     0.03749850     0.05085141
  -17.1171171     0.01461282     0.04009139
  -17.0770771     0.00415490     0.02180630
  -17.0370370     0.00085671     0.00844842
  -16.9969970     0.00008534     0.00235065
  -16.9569570    -0.00031291     0.00046242
  -16.9169169    -0.00174121    -0.00001713
  -16.8768769    -0.00671498    -0.00058021
  -16.8368368    -0.01868461    -0.00294081
  -16.7967968    -0.03737493    -0.01073849
  -16.7567568    -0.05330504    -0.02869252
  -16.7167167    -0.05330700    -0.05649798
  -16.6766767    -0.03598108    -0.08295037
  -16.6366366    -0.01467602    -0.09245076
  -16.5965966    -0.00183623    -0.08005067
  -16.5565566     0.00169219    -0.05504435
  -16.5165165     0.00123393    -0.03035840
  -16.4764765     0.00043771    -0.01331912
  -16.4364364     0.00009964    -0.00455064
  -16.3963964     0.00001561    -0.00118276
  -16.3563564     0.00000179    -0.00022955
  -16.3163163     0.00000097    -0.00003275
  -16.2762763     0.00000765    -0.00000195
  -16.2362362     0.00005089     0.00001353
  -16.1961962     0.00024617     0.00009246
  -16.1561562     0.00086478     0.00045081
  -16.1161161     0.00220644     0.00159904
  -16.0760761     0.00408991     0.00413166
  -16.0360360     0.00550964     0.00778916
  -15.9959960     0.00539646     0.01073797
  -15.9559560     0.00384518     0.01085676
  -15.9159159     0.00199458     0.00808102
  -15.8758759     0.00075357     0.00444839
  -15.8358358     0.00020339     0.00182018
  -15.7957958    -0.00000373     0.00055609
  -15.7557558    -0.00033906     0.00012329
  -15.7157157    -0.00193684    -0.00002150
  -15.6756757    -0.00805543    -0.00032474
  -15.6356356    -0.02480321    -0.00182825
  -15.5955956    -0.05656154    -0.00754394
  -15.5555556    -0.09557859    -0.02298684
  -15.5155155    -0.11964859    -0.05181636
  -15.4754755    -0.10982563    -0.08674186
  -15.4354354    -0.06806680    -0.10792925
  -15.3953954    -0.00907452    -0.09689982
  -15.3553554     0.05530124    -0.05040602
  -15.3153153     0.11063548     0.01797531
  -15.2752753     0.13391025     0.08033983
  -15.2352352     0.11421589     0.10634204
  -15.1951952     0.07011619     0.08906527
  -15.1551552     0.03012019     0.05183512
  -15.1151151     0.00459063     0.02146272
  -15.0750751    -0.01627834     0.00610649
  -15.0350350    -0.04790145    -0.00031861
  -14.9949950    -0.09768212    -0.00676729
  -14.9549550    -0.15496369    -0.02179784
  -14.9149149    -0.19101228    -0.05313316
  -14.8748749    -0.18028413    -0.10289828
  -14.8348348    -0.12821611    -0.15965328
  -14.7947948    -0.06771209    -0.19638978
  -14.7547548    -0.02556946    -0.18725575
  -14.7147147    -0.00275355    -0.13432219
  -14.6746747     0.01780391    -0.06623223
  -14.6346346     0.05701810    -0.00276909
  -14.5945946     0.12442058     0.06502883
  -14.5545546     0.20149518     0.15090926
  -14.5145145     0.24849064     0.23944277
  -14.4744745     0.24107449     0.29002801
  -14.4344344     0.19037644     0.27599434
  -14.3943944     0.12472844     0.20914504
  -14.3543544     0.06829620     0.12714858
  -14.3143143     0.03378682     0.06547808
  -14.2742743     0.01933901     0.03776313
  -14.2342342     0.01084488     0.03461256
  -14.1941942    -0.00572359     0.03680727
  -14.1541542    -0.02958684     0.03058799
  -14.1141141    -0.04429545     0.01391126
  -14.0740741    -0.03365750    -0.00883181
  -14.0340340     0.00356167    -0.03256472
  -13.9939940     0.05197872    -0.04991541
  -13.9539540     0.09006714    -0.05001868
  -13.9139139     0.11014987    -0.02297386
  -13.8738739     0.12846663     0.03519629
  -13.8338338     0.16304304     0.11928216
  -13.7937938     0.20374395     0.20985528
  -13.7537538     0.22175051     0.27117483
  -13.7137137     0.20800459     0.27229045
  -13.6736737     0.17991220     0.22180623
  -13.6336336     0.14925812     0.16074621
  -13.5935936     0.11151559     0.11593857
  -13.5535536     0.06799944     0.08480430
  -13.5135135     0.03194488     0.05965783
  -13.4734735     0.01217202     0.04182207
  -13.4334334     0.00736909     0.03473626
  -13.3933934     0.01477136     0.03560396
  -13.3533534     0.03353331     0.03593648
  -13.3133133     0.05648673     0.03034065
  -13.2732733     0.06669256     0.02220377
  -13.2332332     0.05448605     0.01698842
  -13.1931932     0.03425898     0.01319158
  -13.1531532     0.02932921     0.00701699
  -13.1131131     0.04328832     0.00486109
  -13.0730731     0.05927552     0.01792423
  -13.0330330     0.06334233     0.03974746
  -12.9929930     0.05596808     0.04581486
  -12.9529530     0.04298115     0.02341191
  -12.9129129     0.02802573    -0.01238805
  -12.8728729     0.01434903    -0.03718898
  -12.8328328     0.00520576    -0.03966951
  -12.7927928     0.00230107    -0.02323245
  -12.7527528     0.00679533     0.00318982
  -12.7127127     0.01887504     0.03011888
  -12.6726727     0.03419140     0.04868341
  -12.6326326     0.04459159     0.05202760
  -12.5925926     0.04527083     0.03841336
  -12.5525526     0.03850372     0.01444870
  -12.5125125     0.02946310    -0.00794884
  -12.4724725     0.02161214    -0.01953828
  -12.4324324     0.01571501    -0.01801889
  -12.3923924     0.01044968    -0.00688195
  -12.3523524     0.00497108     0.00840861
  -12.3123123     0.00103013     0.02441268
  -12.2722723    -0.00008232     0.03987728
  -12.2322322    -0.00066481     0.05147476
  -12.1921922    -0.00379788     0.05257400
  -12.1521522    -0.01041880     0.03986123
  -12.1121121    -0.02064260     0.01894838
  -12.0720721    -0.03512949     0.00000584
  -12.0320320    -0.05425549    -0.01060221
  -11.9919920    -0.07599693    -0.01397320
  -11.9519520    -0.09331804    -0.01738615
  -11.9119119    -0.09524587    -0.02915966
  -11.8718719    -0.07493203    -0.05208476
  -11.8318318    -0.03817642    -0.08076810
  -11.7917918    -0.00285553    -0.10307428
  -11.7517518     0.01229934    -0.10543653
  -11.7117117     0.00108996    -0.08438825
  -11.6716717    -0.02743281    -0.05361531
  -11.6316316    -0.05739952    -0.03223747
  -11.5915916    -0.07494873    -0.02575649
  -11.5515516    -0.07413544    -0.02419572
  -11.5115115    -0.05907547    -0.01873552
  -11.4714715    -0.03957568    -0.01370660
  -11.4314314    -0.02467112    -0.01867729
  -11.3913914    -0.01933250    -0.03468455
  -11.3513514    -0.02423993    -0.05517857
  -11.3113113    -0.03674752    -0.07568619
  -11.2712713    -0.05159240    -0.09409560
  -11.2312312    -0.06230427    -0.10456598
  -11.1911912    -0.06397388    -0.10027079
  -11.1511512    -0.05505845    -0.08218514
  -11.1111111    -0.03806623    -0.05882372
  -11.0710711    -0.01954029    -0.03844572
  -11.0310310    -0.00629727    -0.02559220
  -10.9909910     0.00011285    -0.02119758
  -10.9509510     0.00346655    -0.02247981
  -10.9109109     0.00739026    -0.02621763
  -10.8708709     0.01186926    -0.03272462
  -10.8308308     0.01494033    -0.04217503
  -10.7907908     0.01503867    -0.04836481
  -10.7507508     0.01130614    -0.04275529
  -10.7107107     0.00408715    -0.02479987
  -10.6706707    -0.00465412    -0.00325020
  -10.6306306    -0.01304076     0.01224081
  -10.5905906    -0.02044619     0.01821415
