#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588    -0.00000000     0.00000000
  -18.7187187    -0.00000002    -0.00000000
  -18.6786787    -0.00000046    -0.00000001
  -18.6386386    -0.00000624    -0.00000015
  -18.5985986    -0.00006189    -0.00000229
  -18.5585586    -0.00044709    -0.00002548
  -18.5185185    -0.00235385    -0.00020597
  -18.4784785    -0.00904941    -0.00121129
  -18.4384384    -0.02547376    -0.00518870
  -18.3983984    -0.05269601    -0.01621787
  -18.3583584    -0.08049084    -0.03707718
  -18.3183183    -0.09138024    -0.06220956
  -18.2782783    -0.07820620    -0.07697307
  -18.2382382    -0.05391237    -0.07090775
  -18.1981982    -0.04135396    -0.05061851
  -18.1581582    -0.05754096    -0.03510001
  -18.1181181    -0.10346658    -0.04184928
  -18.0780781    -0.16013866    -0.07723392
  -18.0380380    -0.19801098    -0.13055116
  -17.9979980    -0.19705818    -0.17646401
  -17.9579580    -0.15844884    -0.19130898
  -17.9179179    -0.10165224    -0.16833360
  -17.8778779    -0.05213301    -0.11943075
  -17.8378378    -0.02655065    -0.06750567
  -17.7977978    -0.02747995    -0.03327876
  -17.7577578    -0.04485078    -0.02515739
  -17.7177177    -0.05390060    -0.03804692
  -17.6776777    -0.02627530    -0.05222273
  -17.6376376     0.03519004    -0.03861857
  -17.5975976     0.08375914     0.01220852
  -17.5575576     0.07048909     0.06664694
  -17.5175175    -0.01358705     0.07509179
  -17.4774775    -0.14091069     0.01730452
  -17.4374374    -0.26536802    -0.09209620
  -17.3973974    -0.33499374    -0.22010915
  -17.3573574    -0.31897760    -0.32040481
  -17.3173173    -0.23418894    -0.34798681
  -17.2772773    -0.13247078    -0.29246898
  -17.2372372    -0.05779399    -0.19059629
  -17.1971972    -0.02195026    -0.09582116
  -17.1571572    -0.01672102    -0.03872998
  -17.1171171    -0.03381016    -0.02020497
  -17.0770771    -0.06623106    -0.03092496
  -17.0370370    -0.09864014    -0.06217410
  -16.9969970    -0.11194401    -0.09881857
  -16.9569570    -0.10602834    -0.11853462
  -16.9169169    -0.10986677    -0.11236318
  -16.8768769    -0.15585418    -0.10270447
  -16.8368368    -0.23912300    -0.12852120
  -16.7967968    -0.30774641    -0.20543244
  -16.7567568    -0.30616703    -0.29841024
  -16.7167167    -0.23089643    -0.34183308
  -16.6766767    -0.13098729    -0.29907606
  -16.6366366    -0.05557672    -0.19802768
  -16.5965966    -0.01778736    -0.09863165
  -16.5565566    -0.00548499    -0.03715705
  -16.5165165    -0.00551901    -0.01233696
  -16.4764765    -0.01207200    -0.00853957
  -16.4364364    -0.02184864    -0.01387895
  -16.3963964    -0.02942223    -0.02079084
  -16.3563564    -0.03002468    -0.02341657
  -16.3163163    -0.02486061    -0.02013176
  -16.2762763    -0.01911970    -0.01483796
  -16.2362362    -0.01519677    -0.01198203
  -16.1961962    -0.01166389    -0.01161321
  -16.1561562    -0.00770487    -0.01081535
  -16.1161161    -0.00534513    -0.00837802
  -16.0760761    -0.00916432    -0.00689886
  -16.0360360    -0.02680911    -0.01239443
  -15.9959960    -0.06544722    -0.03333323
  -15.9559560    -0.11852949    -0.07430967
  -15.9159159    -0.15889752    -0.12287574
  -15.8758759    -0.16250001    -0.14955111
  -15.8358358    -0.14008399    -0.13684421
  -15.7957958    -0.12453556    -0.10440116
  -15.7557558    -0.12711005    -0.08958590
  -15.7157157    -0.12985085    -0.10587926
  -15.6756757    -0.12165394    -0.13107919
  -15.6356356    -0.11591229    -0.13683612
  -15.5955956    -0.12369200    -0.12292149
  -15.5555556    -0.13048604    -0.11310522
  -15.5155155    -0.11450885    -0.11897559
  -15.4754755    -0.07481921    -0.12317113
  -15.4354354    -0.02666528    -0.10275441
  -15.3953954     0.01961227    -0.05438178
  -15.3553554     0.05461445     0.00907388
  -15.3153153     0.05022259     0.06677183
  -15.2752753    -0.02199808     0.08352714
  -15.2352352    -0.13819679     0.02305292
  -15.1951952    -0.22736305    -0.10441467
  -15.1551552    -0.25359866    -0.22669616
  -15.1151151    -0.25053061    -0.27476322
  -15.0750751    -0.25277982    -0.25551867
  -15.0350350    -0.24168311    -0.23113416
  -14.9949950    -0.18344476    -0.23234308
  -14.9549550    -0.08500009    -0.22512699
  -14.9149149     0.00983668    -0.16718162
  -14.8748749     0.06209315    -0.06926398
  -14.8348348     0.06565207     0.01542328
  -14.7947948     0.04306087     0.04970115
  -14.7547548     0.02123404     0.04209374
  -14.7147147     0.01570661     0.02383158
  -14.6746747     0.03695198     0.01899034
  -14.6346346     0.09744477     0.04266824
  -14.5945946     0.19329879     0.10685361
  -14.5545546     0.27934171     0.20344448
  -14.5145145     0.29451042     0.28382620
  -14.4744745     0.22758613     0.28715734
  -14.4344344     0.12782347     0.20367796
  -14.3943944     0.04573182     0.08826970
  -14.3543544    -0.00219687     0.00438247
  -14.3143143    -0.01434141    -0.02663579
  -14.2742743     0.01158014    -0.01945236
  -14.2342342     0.06357249     0.00864453
  -14.1941942     0.10879146     0.04709891
  -14.1541542     0.12326848     0.07867649
  -14.1141141     0.11729807     0.08374171
  -14.0740741     0.11502833     0.06218740
  -14.0340340     0.12161164     0.03386644
  -13.9939940     0.12472413     0.01726503
  -13.9539540     0.12060699     0.02040083
  -13.9139139     0.12843896     0.04909556
  -13.8738739     0.17111940     0.11051833
  -13.8338338     0.23639735     0.19946660
  -13.7937938     0.27251315     0.28086123
  -13.7537538     0.24175676     0.30360660
  -13.7137137     0.16477999     0.25063296
  -13.6736737     0.09415710     0.16158596
  -13.6336336     0.06296236     0.09192627
  -13.5935936     0.07192738     0.06854332
  -13.5535536     0.10283020     0.08653628
  -13.5135135     0.13087853     0.12027244
  -13.4734735     0.13803719     0.13616019
  -13.4334334     0.12286617     0.11811143
  -13.3933934     0.09650607     0.08129351
  -13.3533534     0.07067909     0.05009063
  -13.3133133     0.04933227     0.03152684
  -13.2732733     0.02986301     0.01826947
  -13.2332332     0.01170996     0.00563520
  -13.1931932     0.00070836    -0.00415079
  -13.1531532     0.00144972    -0.00965528
  -13.1131131     0.00875569    -0.01515657
  -13.0730731     0.01276596    -0.02526181
  -13.0330330     0.00939364    -0.03622563
  -12.9929930    -0.00021866    -0.03825342
  -12.9529530    -0.01568479    -0.02865625
  -12.9129129    -0.03456013    -0.01763499
  -12.8728729    -0.04634856    -0.01808286
  -12.8328328    -0.03842454    -0.03281894
  -12.7927928    -0.00926705    -0.05159586
  -12.7527528     0.02909338    -0.05767151
  -12.7127127     0.06141336    -0.04133302
  -12.6726727     0.07834634    -0.00996454
  -12.6326326     0.07647393     0.01958943
  -12.5925926     0.05590347     0.03664363
  -12.5525526     0.02230642     0.03977046
  -12.5125125    -0.01343610     0.03103968
  -12.4724725    -0.04250502     0.01329633
  -12.4324324    -0.06256769    -0.01009520
  -12.3923924    -0.07489866    -0.03385976
  -12.3523524    -0.08179523    -0.04978528
  -12.3123123    -0.08692968    -0.05325563
  -12.2722723    -0.09351040    -0.05216706
  -12.2322322    -0.10066213    -0.06183818
  -12.1921922    -0.10425544    -0.08610880
  -12.1521522    -0.10190301    -0.10919650
  -12.1121121    -0.09608218    -0.11347432
  -12.0720721    -0.09298976    -0.10070002
  -12.0320320    -0.09809480    -0.08832596
  -11.9919920    -0.11123101    -0.08886938
  -11.9519520    -0.12509737    -0.09909970
  -11.9119119    -0.12840045    -0.10613673
  -11.8718719    -0.11378621    -0.09969253
  -11.8318318    -0.08732375    -0.08302665
  -11.7917918    -0.06743825    -0.07398496
  -11.7517518    -0.06767698    -0.08580596
  -11.7117117    -0.08284839    -0.10634360
  -11.6716717    -0.09802993    -0.11032304
  -11.6316316    -0.10669756    -0.09258001
  -11.5915916    -0.11343976    -0.07502208
  -11.5515516    -0.12188002    -0.08056388
  -11.5115115    -0.12691227    -0.10943708
  -11.4714715    -0.12157593    -0.14079439
  -11.4314314    -0.10755219    -0.15311970
  -11.3913914    -0.09253985    -0.14159473
  -11.3513514    -0.07930128    -0.11875021
  -11.3113113    -0.06535511    -0.10204580
  -11.2712713    -0.05139984    -0.09740768
