#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000    -0.00000000
  -18.1181181    -0.00000000    -0.00000000
  -18.0780781    -0.00000000    -0.00000001
  -18.0380380    -0.00000006    -0.00000014
  -17.9979980    -0.00000083    -0.00000158
  -17.9579580    -0.00000801    -0.00001339
  -17.9179179    -0.00005637    -0.00008245
  -17.8778779    -0.00028796    -0.00036851
  -17.8378378    -0.00106919    -0.00119689
  -17.7977978    -0.00289741    -0.00283678
  -17.7577578    -0.00581380    -0.00499128
  -17.7177177    -0.00905193    -0.00694813
  -17.6776777    -0.01233678    -0.00911167
  -17.6376376    -0.01735125    -0.01374113
  -17.5975976    -0.02527335    -0.02191462
  -17.5575576    -0.03237937    -0.02970248
  -17.5175175    -0.03223381    -0.03091616
  -17.4774775    -0.02362568    -0.02494614
  -17.4374374    -0.01207989    -0.01803244
  -17.3973974    -0.00298017    -0.01537800
  -17.3573574     0.00254962    -0.01560718
  -17.3173173     0.00529752    -0.01431669
  -17.2772773     0.00559053    -0.01030758
  -17.2372372     0.00359210    -0.00687534
  -17.1971972    -0.00135770    -0.01031918
  -17.1571572    -0.01417188    -0.03103682
  -17.1171171    -0.04510270    -0.08096087
  -17.0770771    -0.09941735    -0.15594577
  -17.0370370    -0.16022722    -0.22039262
  -16.9969970    -0.19513469    -0.23499793
  -16.9569570    -0.19547623    -0.20865963
  -16.9169169    -0.19009872    -0.19134451
  -16.8768769    -0.19990526    -0.20552302
  -16.8368368    -0.20420089    -0.21912209
  -16.7967968    -0.17493010    -0.19905232
  -16.7567568    -0.12039047    -0.16039105
  -16.7167167    -0.07486295    -0.14156179
  -16.6766767    -0.06010627    -0.14876832
  -16.6366366    -0.06813348    -0.14983303
  -16.5965966    -0.07429072    -0.12079436
  -16.5565566    -0.06314386    -0.07528899
  -16.5165165    -0.04131040    -0.04172254
  -16.4764765    -0.02564138    -0.03279853
  -16.4364364    -0.02622207    -0.04566266
  -16.3963964    -0.04244586    -0.07324129
  -16.3563564    -0.06623292    -0.10359697
  -16.3163163    -0.08816174    -0.12313867
  -16.2762763    -0.11154049    -0.13881854
  -16.2362362    -0.15804045    -0.18410435
  -16.1961962    -0.23861828    -0.27472080
  -16.1561562    -0.31702248    -0.36431391
  -16.1161161    -0.33147831    -0.38131736
  -16.0760761    -0.26495026    -0.31733385
  -16.0360360    -0.16874495    -0.23973548
  -15.9959960    -0.10599026    -0.20396848
  -15.9559560    -0.09262874    -0.19406401
  -15.9159159    -0.09877831    -0.16828965
  -15.8758759    -0.09188479    -0.12785998
  -15.8358358    -0.07055094    -0.11205576
  -15.7957958    -0.05858024    -0.14105945
  -15.7557558    -0.07383346    -0.18579595
  -15.7157157    -0.10801878    -0.19926909
  -15.6756757    -0.13562837    -0.17115279
  -15.6356356    -0.14146717    -0.13499053
  -15.5955956    -0.13636619    -0.12684671
  -15.5555556    -0.14743801    -0.16218487
  -15.5155155    -0.19463704    -0.23632941
  -15.4754755    -0.26186488    -0.31068358
  -15.4354354    -0.29374103    -0.32291389
  -15.3953954    -0.25043891    -0.25117259
  -15.3553554    -0.15724137    -0.14330257
  -15.3153153    -0.07198080    -0.05965271
  -15.2752753    -0.02398460    -0.01890911
  -15.2352352    -0.00614058    -0.00948274
  -15.1951952    -0.00337774    -0.02454335
  -15.1551552    -0.01162682    -0.07550845
  -15.1151151    -0.04154232    -0.17600863
  -15.0750751    -0.11344270    -0.31254150
  -15.0350350    -0.24073292    -0.44818714
  -14.9949950    -0.40947498    -0.56549716
  -14.9549550    -0.57160222    -0.66158370
  -14.9149149    -0.66015966    -0.69498026
  -14.8748749    -0.63654119    -0.62267299
  -14.8348348    -0.53922201    -0.49051595
  -14.7947948    -0.44564425    -0.38870932
  -14.7547548    -0.37689557    -0.33246299
  -14.7147147    -0.29643263    -0.27306863
  -14.6746747    -0.19520801    -0.19964798
  -14.6346346    -0.11491339    -0.15343848
  -14.5945946    -0.09234135    -0.15431565
  -14.5545546    -0.11902413    -0.16762361
  -14.5145145    -0.15071550    -0.15076242
  -14.4744745    -0.14753027    -0.10525573
  -14.4344344    -0.11223223    -0.07157904
  -14.3943944    -0.08877584    -0.09368301
  -14.3543544    -0.12713567    -0.19697390
  -14.3143143    -0.24761217    -0.36905410
  -14.2742743    -0.41476197    -0.54825659
  -14.2342342    -0.54963895    -0.66447611
  -14.1941942    -0.60443397    -0.70058847
  -14.1541542    -0.61156852    -0.68462423
  -14.1141141    -0.61726824    -0.63406114
  -14.0740741    -0.60199454    -0.54506379
  -14.0340340    -0.52032097    -0.42347766
  -13.9939940    -0.38014405    -0.29463900
  -13.9539540    -0.23343348    -0.18495798
  -13.9139139    -0.12128335    -0.10927671
  -13.8738739    -0.05716171    -0.07042174
  -13.8338338    -0.03712163    -0.05811530
  -13.7937938    -0.04566519    -0.05287346
  -13.7537538    -0.06123626    -0.04081289
  -13.7137137    -0.06814762    -0.02439859
  -13.6736737    -0.06333433    -0.01700295
  -13.6336336    -0.05121713    -0.03295550
  -13.5935936    -0.04218389    -0.08587414
  -13.5535536    -0.05630009    -0.18153177
  -13.5135135    -0.11051785    -0.29283759
  -13.4734735    -0.19405129    -0.35757220
  -13.4334334    -0.26647256    -0.33526036
  -13.3933934    -0.29000958    -0.25306000
  -13.3533534    -0.26038239    -0.16685584
  -13.3133133    -0.19972795    -0.10078142
  -13.2732733    -0.13021828    -0.04715228
  -13.2332332    -0.06475048    -0.00027123
  -13.1931932    -0.01093823     0.03090763
  -13.1531532     0.02580926     0.03578672
  -13.1131131     0.04058775     0.01891406
  -13.0730731     0.03468935     0.00124813
  -13.0330330     0.02360863     0.00131026
  -12.9929930     0.02534715     0.01686558
  -12.9529530     0.03800518     0.03190872
  -12.9129129     0.04389294     0.03853859
  -12.8728729     0.03588301     0.04281767
  -12.8328328     0.02505181     0.05146545
  -12.7927928     0.02515196     0.06020924
  -12.7527528     0.03963624     0.05823801
  -12.7127127     0.05883087     0.04283377
  -12.6726727     0.06642398     0.02329440
  -12.6326326     0.05482247     0.00980310
