#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000000     0.00000000
  -17.9979980     0.00000000     0.00000000
  -17.9579580    -0.00000000     0.00000000
  -17.9179179    -0.00000001    -0.00000000
  -17.8778779    -0.00000013    -0.00000002
  -17.8378378    -0.00000187    -0.00000039
  -17.7977978    -0.00001970    -0.00000493
  -17.7577578    -0.00015077    -0.00004527
  -17.7177177    -0.00083731    -0.00030137
  -17.6776777    -0.00337452    -0.00145591
  -17.6376376    -0.00986917    -0.00510402
  -17.5975976    -0.02094475    -0.01298483
  -17.5575576    -0.03224816    -0.02397143
  -17.5175175    -0.03598231    -0.03210896
  -17.4774775    -0.02892533    -0.03118219
  -17.4374374    -0.01622189    -0.02186471
  -17.3973974    -0.00512250    -0.01081611
  -17.3573574     0.00136073    -0.00325035
  -17.3173173     0.00380582     0.00025748
  -17.2772773     0.00370134     0.00128600
  -17.2372372     0.00284399     0.00132991
  -17.1971972     0.00368733     0.00187685
  -17.1571572     0.00964214     0.00544565
  -17.1171171     0.02367652     0.01583430
  -17.0770771     0.04259784     0.03450535
  -17.0370370     0.05214304     0.05333210
  -16.9969970     0.03501955     0.05427481
  -16.9569570    -0.01028691     0.02419060
  -16.9169169    -0.06158142    -0.02854581
  -16.8768769    -0.09009604    -0.07617522
  -16.8368368    -0.08893858    -0.09474426
  -16.7967968    -0.07937123    -0.08776016
  -16.7567568    -0.08258660    -0.08081242
  -16.7167167    -0.09285076    -0.08861094
  -16.6766767    -0.08873467    -0.09735894
  -16.6366366    -0.06347001    -0.08647596
  -16.5965966    -0.02933260    -0.05585431
  -16.5565566     0.00488967    -0.01962710
  -16.5165165     0.04425214     0.01759576
  -16.4764765     0.08839271     0.06175396
  -16.4364364     0.10910601     0.10425749
  -16.3963964     0.06632055     0.10872666
  -16.3563564    -0.03940302     0.04292662
  -16.3163163    -0.14568184    -0.07170494
  -16.2762763    -0.18331049    -0.16340502
  -16.2362362    -0.14498240    -0.17742114
  -16.1961962    -0.07947450    -0.12651992
  -16.1561562    -0.03109314    -0.06337632
  -16.1161161    -0.00877279    -0.02277337
  -16.0760761    -0.00179201    -0.00591369
  -16.0360360    -0.00026542    -0.00111273
  -15.9959960    -0.00002852    -0.00015186
  -15.9559560    -0.00000222    -0.00001504
  -15.9159159    -0.00000013    -0.00000108
  -15.8758759    -0.00000001    -0.00000006
  -15.8358358     0.00000000    -0.00000000
  -15.7957958     0.00000000     0.00000000
  -15.7557558     0.00000000     0.00000000
  -15.7157157     0.00000000     0.00000000
  -15.6756757     0.00000000     0.00000000
  -15.6356356     0.00000000     0.00000000
  -15.5955956     0.00000000     0.00000000
  -15.5555556     0.00000002     0.00000006
  -15.5155155     0.00000039     0.00000107
  -15.4754755     0.00000576     0.00001406
  -15.4354354     0.00006110     0.00013388
  -15.3953954     0.00047057     0.00092492
  -15.3553554     0.00262975     0.00463707
  -15.3153153     0.01066486     0.01687066
  -15.2752753     0.03138697     0.04454188
  -15.2352352     0.06703766     0.08534053
  -15.1951952     0.10393605     0.11866195
  -15.1551552     0.11710216     0.11977545
  -15.1151151     0.09633299     0.08794655
  -15.0750751     0.05890366     0.04760727
  -15.0350350     0.02785928     0.02044651
  -14.9949950     0.00873625     0.00861702
  -14.9549550    -0.00600767     0.00224523
  -14.9149149    -0.01971593    -0.00699536
  -14.8748749    -0.02697138    -0.01846044
  -14.8348348    -0.02356063    -0.02481428
  -14.7947948    -0.01278660    -0.02152756
  -14.7547548     0.00064574    -0.01132715
  -14.7147147     0.01643838     0.00226551
  -14.6746747     0.03359236     0.02142967
  -14.6346346     0.04640062     0.05207383
  -14.5945946     0.06067874     0.10084470
  -14.5545546     0.11089438     0.17504593
  -14.5145145     0.22490001     0.26793466
  -14.4744745     0.35868887     0.33633120
  -14.4344344     0.41643042     0.32809656
  -14.3943944     0.35891059     0.24809185
  -14.3543544     0.24149006     0.15613964
  -14.3143143     0.13559259     0.09483096
  -14.2742743     0.06672698     0.06012018
  -14.2342342     0.02844243     0.03517065
  -14.1941942     0.00976888     0.01532627
  -14.1541542     0.00191235     0.00191064
  -14.1141141    -0.00197058    -0.00578654
  -14.0740741    -0.00581630    -0.00905113
  -14.0340340    -0.00979651    -0.00816868
  -13.9939940    -0.01024360    -0.00288950
  -13.9539540     0.00024331     0.01032687
  -13.9139139     0.03412768     0.04237373
  -13.8738739     0.10580273     0.10500605
  -13.8338338     0.21204909     0.19002954
  -13.7937938     0.31239396     0.26092096
  -13.7537538     0.35095815     0.28277613
  -13.7137137     0.30769445     0.25458750
  -13.6736737     0.21367297     0.19821493
  -13.6336336     0.11813103     0.13437190
  -13.5935936     0.05363667     0.08013567
  -13.5535536     0.02734745     0.04658780
  -13.5135135     0.03159771     0.03106184
  -13.4734735     0.05360692     0.02402158
  -13.4334334     0.07592501     0.02307200
  -13.3933934     0.08078219     0.03350951
  -13.3533534     0.06403578     0.05579453
  -13.3133133     0.04001209     0.07709874
  -13.2732733     0.02845193     0.08209856
  -13.2332332     0.04060702     0.07374560
  -13.1931932     0.07296907     0.07293052
  -13.1531532     0.10522322     0.09148093
  -13.1131131     0.11277349     0.11461609
  -13.0730731     0.09210129     0.11868933
  -13.0330330     0.06444775     0.09899596
  -12.9929930     0.04870024     0.06927021
  -12.9529530     0.04343677     0.04224694
  -12.9129129     0.03960753     0.02288032
  -12.8728729     0.03734671     0.01322758
  -12.8328328     0.04162822     0.01440828
  -12.7927928     0.04830336     0.02519379
  -12.7527528     0.04597327     0.04070541
  -12.7127127     0.03262572     0.05283862
  -12.6726727     0.01968476     0.05407642
  -12.6326326     0.01560048     0.04339803
  -12.5925926     0.01617980     0.02887383
  -12.5525526     0.01535766     0.02296419
  -12.5125125     0.01573218     0.03378186
  -12.4724725     0.02450383     0.05795668
  -12.4324324     0.04423959     0.08110899
  -12.3923924     0.07052627     0.09129663
  -12.3523524     0.09904905     0.09307982
  -12.3123123     0.13220484     0.10272316
  -12.2722723     0.17247094     0.13150527
  -12.2322322     0.20896838     0.17275238
  -12.1921922     0.21885151     0.19905552
  -12.1521522     0.18843649     0.18294488
  -12.1121121     0.12875063     0.12817035
  -12.0720721     0.06494777     0.06669351
  -12.0320320     0.01586143     0.02377614
  -11.9919920    -0.01263171     0.00082680
  -11.9519520    -0.02281142    -0.01103365
  -11.9119119    -0.02094645    -0.01624224
  -11.8718719    -0.01403520    -0.01531690
  -11.8318318    -0.00560881    -0.01026131
  -11.7917918     0.00445395    -0.00430040
  -11.7517518     0.01539432     0.00119694
  -11.7117117     0.02258922     0.00686784
  -11.6716717     0.02045498     0.01223133
  -11.6316316     0.00951258     0.01334905
  -11.5915916    -0.00152791     0.00694823
  -11.5515516    -0.00497204    -0.00213469
  -11.5115115    -0.00286979    -0.00439765
  -11.4714715    -0.00158778     0.00059156
  -11.4314314    -0.00264656     0.00285006
  -11.3913914    -0.00483217    -0.00285010
  -11.3513514    -0.00917058    -0.01051035
  -11.3113113    -0.01576987    -0.01354607
  -11.2712713    -0.02078999    -0.01314191
  -11.2312312    -0.02147208    -0.01461959
  -11.1911912    -0.02068628    -0.02115588
  -11.1511512    -0.02287666    -0.03202158
  -11.1111111    -0.02877558    -0.04368079
  -11.0710711    -0.03673564    -0.05171962
  -11.0310310    -0.04479253    -0.05348807
  -10.9909910    -0.04923981    -0.05014516
  -10.9509510    -0.04658447    -0.04520527
  -10.9109109    -0.03836069    -0.03991845
  -10.8708709    -0.02928345    -0.03259034
  -10.8308308    -0.02091342    -0.02350937
  -10.7907908    -0.01118267    -0.01599943
  -10.7507508     0.00022998    -0.01149304
  -10.7107107     0.00954744    -0.00806577
  -10.6706707     0.01287329    -0.00451479
  -10.6306306     0.01007845    -0.00231346
  -10.5905906     0.00398182    -0.00320521
  -10.5505506    -0.00176240    -0.00679398
  -10.5105105    -0.00370371    -0.01027994
  -10.4704705    -0.00062908    -0.01063521
  -10.4304304     0.00468292    -0.00783269
  -10.3903904     0.00808579    -0.00492700
  -10.3503504     0.00857319    -0.00469083
  -10.3103103     0.00822694    -0.00734427
  -10.2702703     0.00837148    -0.01110622
  -10.2302302     0.00800463    -0.01397592
  -10.1901902     0.00585605    -0.01521367
  -10.1501502     0.00192995    -0.01518696
  -10.1101101    -0.00335921    -0.01382467
