#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000000     0.00000000
  -17.9979980     0.00000000     0.00000000
  -17.9579580     0.00000000     0.00000002
  -17.9179179     0.00000000     0.00000016
  -17.8778779     0.00000004     0.00000097
  -17.8378378     0.00000028     0.00000432
  -17.7977978     0.00000164     0.00001401
  -17.7577578     0.00000689     0.00003295
  -17.7177177     0.00002103     0.00005623
  -17.6776777     0.00004656     0.00006962
  -17.6376376     0.00007483     0.00006256
  -17.5975976     0.00008726     0.00004080
  -17.5575576     0.00007385     0.00001931
  -17.5175175     0.00004535     0.00000663
  -17.4774775     0.00002021     0.00000171
  -17.4374374     0.00000656     0.00000080
  -17.3973974     0.00000180     0.00000306
  -17.3573574     0.00000209     0.00001324
  -17.3173173     0.00000927     0.00004214
  -17.2772773     0.00003385     0.00009776
  -17.2372372     0.00009000     0.00016795
  -17.1971972     0.00017426     0.00022868
  -17.1571572     0.00024916     0.00030420
  -17.1171171     0.00028170     0.00050374
  -17.0770771     0.00031930     0.00090626
  -17.0370370     0.00048343     0.00135753
  -16.9969970     0.00081305     0.00150919
  -16.9569570     0.00111364     0.00119890
  -16.9169169     0.00109461     0.00066316
  -16.8768769     0.00072478     0.00024404
  -16.8368368     0.00028846     0.00005340
  -16.7967968     0.00003662     0.00001262
  -16.7567568    -0.00002574     0.00006108
  -16.7167167     0.00000229     0.00027920
  -16.6766767     0.00010887     0.00090245
  -16.6366366     0.00043311     0.00213082
  -16.5965966     0.00119042     0.00369590
  -16.5565566     0.00237898     0.00473163
  -16.5165165     0.00347225     0.00452686
  -16.4764765     0.00371647     0.00343164
  -16.4364364     0.00296949     0.00266545
  -16.3963964     0.00197295     0.00320368
  -16.3563564     0.00167244     0.00482875
  -16.3163163     0.00244025     0.00613799
  -16.2762763     0.00375342     0.00581785
  -16.2362362     0.00449190     0.00402028
  -16.1961962     0.00394095     0.00202153
  -16.1561562     0.00251341     0.00077188
  -16.1161161     0.00117061     0.00042727
  -16.0760761     0.00045019     0.00109710
  -16.0360360     0.00042724     0.00350234
  -15.9959960     0.00135811     0.00837447
  -15.9559560     0.00393380     0.01455101
  -15.9159159     0.00836346     0.01834852
  -15.8758759     0.01290998     0.01679027
  -15.8358358     0.01446179     0.01114965
  -15.7957958     0.01175616     0.00537284
  -15.7557558     0.00693488     0.00187786
  -15.7157157     0.00296615     0.00046939
  -15.6756757     0.00090459     0.00005048
  -15.6356356     0.00012553    -0.00012433
  -15.5955956    -0.00024385    -0.00035871
  -15.5555556    -0.00067597    -0.00069055
  -15.5155155    -0.00120729    -0.00096162
  -15.4754755    -0.00155632    -0.00096937
  -15.4354354    -0.00145545    -0.00069324
  -15.3953954    -0.00098720    -0.00027952
  -15.3553554    -0.00048312     0.00021932
  -15.3153153    -0.00016079     0.00093099
  -15.2752753    -0.00000842     0.00187233
  -15.2352352     0.00006694     0.00268702
  -15.1951952     0.00011882     0.00303475
  -15.1551552     0.00018389     0.00339119
  -15.1151151     0.00039874     0.00496581
  -15.0750751     0.00109437     0.00816429
  -15.0350350     0.00263973     0.01125396
  -14.9949950     0.00488313     0.01163967
  -14.9549550     0.00673522     0.00886752
  -14.9149149     0.00688982     0.00528473
  -14.8748749     0.00525521     0.00369212
  -14.8348348     0.00317707     0.00553143
  -14.7947948     0.00215311     0.01064572
  -14.7547548     0.00280269     0.01706988
  -14.7147147     0.00486356     0.02140851
  -14.6746747     0.00758223     0.02102838
  -14.6346346     0.00999625     0.01656433
  -14.5945946     0.01101210     0.01200122
  -14.5545546     0.00992080     0.01165694
  -14.5145145     0.00756636     0.01623081
  -14.4744745     0.00636795     0.02144540
  -14.4344344     0.00819520     0.02177274
  -14.3943944     0.01207832     0.01623599
  -14.3543544     0.01452367     0.00902479
  -14.3143143     0.01294737     0.00480764
  -14.2742743     0.00843615     0.00617256
  -14.2342342     0.00419473     0.01453381
  -14.1941942     0.00249325     0.02876753
  -14.1541542     0.00433392     0.04187245
  -14.1141141     0.01025743     0.04433226
  -14.0740741     0.01893580     0.03412037
  -14.0340340     0.02563279     0.01909400
  -13.9939940     0.02543407     0.00777134
  -13.9539540     0.01863450     0.00230122
  -13.9139139     0.01020807     0.00049639
  -13.8738739     0.00425927     0.00008318
  -13.8338338     0.00138456     0.00005499
  -13.7937938     0.00035760     0.00028851
  -13.7537538     0.00007434     0.00130447
  -13.7137137     0.00001752     0.00429309
  -13.6736737     0.00004421     0.01026255
  -13.6336336     0.00024225     0.01784646
  -13.5935936     0.00099655     0.02272648
  -13.5535536     0.00297783     0.02179651
  -13.5135135     0.00646304     0.01756007
  -13.4734735     0.01020488     0.01576019
  -13.4334334     0.01179061     0.01950304
  -13.3933934     0.01022159     0.02787460
  -13.3533534     0.00745041     0.03813028
  -13.3133133     0.00652619     0.04588864
  -13.2732733     0.00904848     0.04572575
  -13.2332332     0.01456083     0.03656469
  -13.1931932     0.02090426     0.02433781
  -13.1531532     0.02463946     0.01539862
  -13.1131131     0.02295565     0.01050832
  -13.0730731     0.01658977     0.00763679
  -13.0330330     0.00949533     0.00698860
  -12.9929930     0.00484339     0.01129952
  -12.9529530     0.00279498     0.02257618
  -12.9129129     0.00202856     0.03867864
  -12.8728729     0.00178778     0.05333257
  -12.8328328     0.00248230     0.06092945
  -12.7927928     0.00528815     0.06013582
  -12.7527528     0.01109456     0.05227930
  -12.7127127     0.01919330     0.04102267
  -12.6726727     0.02706728     0.03474249
  -12.6326326     0.03177984     0.04233246
  -12.5925926     0.03139836     0.06245225
  -12.5525526     0.02576656     0.08009792
  -12.5125125     0.01725783     0.07923308
  -12.4724725     0.01028250     0.05904000
  -12.4324324     0.00893091     0.03309048
  -12.3923924     0.01477243     0.01405575
  -12.3523524     0.02537619     0.00500723
  -12.3123123     0.03425651     0.00380217
  -12.2722723     0.03504576     0.01023742
  -12.2322322     0.02724021     0.02734738
  -12.1921922     0.01616029     0.05524474
  -12.1521522     0.00732336     0.08405018
  -12.1121121     0.00253860     0.09856150
  -12.0720721     0.00076734     0.09344327
  -12.0320320     0.00072545     0.07801076
  -11.9919920     0.00240052     0.06350156
  -11.9519520     0.00701570     0.05306211
  -11.9119119     0.01531572     0.04689118
  -11.8718719     0.02509017     0.04820688
  -11.8318318     0.03179951     0.05766282
  -11.7917918     0.03343008     0.06890283
  -11.7517518     0.03239345     0.07806541
  -11.7117117     0.03066726     0.09271026
  -11.6716717     0.02704068     0.12163283
  -11.6316316     0.02131634     0.15925094
  -11.5915916     0.01674490     0.19234416
  -11.5515516     0.01614613     0.22021867
  -11.5115115     0.01891525     0.25210458
  -11.4714715     0.02318500     0.28364250
  -11.4314314     0.02811004     0.29523428
  -11.3913914     0.03287420     0.27829231
  -11.3513514     0.03655829     0.24274906
  -11.3113113     0.04061164     0.19901939
  -11.2712713     0.04799711     0.15760733
  -11.2312312     0.05836645     0.14233769
  -11.1911912     0.06887934     0.18068029
  -11.1511512     0.07990857     0.28056719
  -11.1111111     0.09182074     0.41972699
  -11.0710711     0.09745019     0.54930215
  -11.0310310     0.08861263     0.61824788
  -10.9909910     0.06856111     0.61047412
  -10.9509510     0.04913564     0.54836436
  -10.9109109     0.03769485     0.46379421
  -10.8708709     0.03300154     0.38533118
  -10.8308308     0.03284778     0.33567960
  -10.7907908     0.03924780     0.32249642
  -10.7507508     0.05311245     0.34797800
  -10.7107107     0.06993493     0.42341239
  -10.6706707     0.08596076     0.54136998
  -10.6306306     0.10287017     0.64153336
  -10.5905906     0.12221993     0.65886717
  -10.5505506     0.14185576     0.61462010
  -10.5105105     0.15833744     0.60405349
  -10.4704705     0.16597083     0.67998111
  -10.4304304     0.15851432     0.79347193
  -10.3903904     0.13874342     0.86407376
  -10.3503504     0.11882131     0.87823925
  -10.3103103     0.10659569     0.88987800
  -10.2702703     0.09925878     0.93150621
  -10.2302302     0.09405704     0.97477013
