#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000003     0.00000003
  -18.3183183     0.00000032     0.00000036
  -18.2782783     0.00000266     0.00000294
  -18.2382382     0.00001623     0.00001766
  -18.1981982     0.00007194     0.00007688
  -18.1581582     0.00023131     0.00024284
  -18.1181181     0.00053974     0.00055665
  -18.0780781     0.00091400     0.00092603
  -18.0380380     0.00112379     0.00111857
  -17.9979980     0.00100728     0.00098554
  -17.9579580     0.00068199     0.00065904
  -17.9179179     0.00044797     0.00043964
  -17.8778779     0.00054513     0.00055732
  -17.8378378     0.00101006     0.00103559
  -17.7977978     0.00159782     0.00161646
  -17.7577578     0.00187257     0.00186510
  -17.7177177     0.00160269     0.00157199
  -17.6776777     0.00103503     0.00100444
  -17.6376376     0.00065874     0.00065110
  -17.5975976     0.00084746     0.00087403
  -17.5575576     0.00174335     0.00180165
  -17.5175175     0.00320325     0.00327479
  -17.4774775     0.00482935     0.00488921
  -17.4374374     0.00619416     0.00622238
  -17.3973974     0.00690820     0.00688707
  -17.3573574     0.00669317     0.00662374
  -17.3173173     0.00591746     0.00584439
  -17.2772773     0.00563068     0.00560671
  -17.2372372     0.00650114     0.00652943
  -17.1971972     0.00812796     0.00816437
  -17.1571572     0.00940780     0.00939535
  -17.1171171     0.00919237     0.00909645
  -17.0770771     0.00717505     0.00702338
  -17.0370370     0.00449505     0.00437040
  -16.9969970     0.00302057     0.00300123
  -16.9569570     0.00412934     0.00424529
  -16.9169169     0.00790493     0.00810415
  -16.8768769     0.01242437     0.01255917
  -16.8368368     0.01442953     0.01436597
  -16.7967968     0.01247856     0.01225936
  -16.7567568     0.00903766     0.00885875
  -16.7167167     0.00819917     0.00821116
  -16.6766767     0.01160595     0.01177132
  -16.6366366     0.01662215     0.01674438
  -16.5965966     0.01849634     0.01840901
  -16.5565566     0.01519506     0.01494015
  -16.5165165     0.00942659     0.00919181
  -16.4764765     0.00515182     0.00505660
  -16.4364364     0.00367007     0.00367738
  -16.3963964     0.00364193     0.00364343
  -16.3563564     0.00337858     0.00331593
  -16.3163163     0.00239871     0.00230056
  -16.2762763     0.00125155     0.00117315
  -16.2362362     0.00050748     0.00047179
  -16.1961962     0.00033289     0.00033991
  -16.1561562     0.00085394     0.00091598
  -16.1161161     0.00244780     0.00258384
  -16.0760761     0.00523440     0.00540906
  -16.0360360     0.00813420     0.00822664
  -15.9959960     0.00917655     0.00908362
  -15.9559560     0.00753727     0.00730652
  -15.9159159     0.00464182     0.00443087
  -15.8758759     0.00273467     0.00266797
  -15.8358358     0.00325732     0.00337648
  -15.7957958     0.00661969     0.00689233
  -15.7557558     0.01211307     0.01241755
  -15.7157157     0.01776207     0.01793060
  -15.6756757     0.02116224     0.02109286
  -15.6356356     0.02081229     0.02053064
  -15.5955956     0.01735328     0.01702258
  -15.5555556     0.01450635     0.01439394
  -15.5155155     0.01771601     0.01802151
  -15.4754755     0.02943506     0.03002955
  -15.4354354     0.04445403     0.04482876
  -15.3953954     0.05201036     0.05169557
  -15.3553554     0.04635107     0.04544441
  -15.3153153     0.03383716     0.03289816
  -15.2752753     0.02555419     0.02498403
  -15.2352352     0.02516980     0.02494858
  -15.1951952     0.02842300     0.02840869
  -15.1551552     0.03244842     0.03263178
  -15.1151151     0.03935829     0.03970009
  -15.0750751     0.04979167     0.05003808
  -15.0350350     0.06031427     0.06025422
  -14.9949950     0.06939509     0.06913100
  -14.9549550     0.07753726     0.07721066
  -14.9149149     0.08120419     0.08070502
  -14.8748749     0.07695468     0.07618300
  -14.8348348     0.07002405     0.06915711
  -14.7947948     0.06775615     0.06701439
  -14.7547548     0.06662732     0.06601257
  -14.7147147     0.05678374     0.05622301
  -14.6746747     0.03758332     0.03712040
  -14.6346346     0.01846883     0.01818058
  -14.5945946     0.00663573     0.00650807
  -14.5545546     0.00173445     0.00169456
  -14.5145145     0.00032926     0.00032044
  -14.4744745     0.00004537     0.00004398
  -14.4344344     0.00000455     0.00000440
  -14.3943944     0.00000053     0.00000054
  -14.3543544     0.00000245     0.00000263
  -14.3143143     0.00002116     0.00002250
  -14.2742743     0.00013349     0.00014025
  -14.2342342     0.00061113     0.00063460
  -14.1941942     0.00203029     0.00208369
  -14.1541542     0.00489525     0.00496548
