#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990    -0.00000000    -0.00000000
  -18.9589590    -0.00000007    -0.00000007
  -18.9189189    -0.00000114    -0.00000114
  -18.8788789    -0.00001408    -0.00001408
  -18.8388388    -0.00012617    -0.00012616
  -18.7987988    -0.00082030    -0.00082028
  -18.7587588    -0.00387034    -0.00387027
  -18.7187187    -0.01325177    -0.01325159
  -18.6786787    -0.03292655    -0.03292624
  -18.6386386    -0.05936983    -0.05936955
  -18.5985986    -0.07768422    -0.07768421
  -18.5585586    -0.07376448    -0.07376481
  -18.5185185    -0.05082882    -0.05082928
  -18.4784785    -0.02541864    -0.02541899
  -18.4384384    -0.00924765    -0.00924782
  -18.3983984    -0.00264913    -0.00264918
  -18.3583584    -0.00189757    -0.00189755
  -18.3183183    -0.00682981    -0.00682969
  -18.2782783    -0.02317826    -0.02317797
  -18.2382382    -0.05759359    -0.05759314
  -18.1981982    -0.10388094    -0.10388062
  -18.1581582    -0.13598747    -0.13598771
  -18.1181181    -0.12929732    -0.12929817
  -18.0780781    -0.08977124    -0.08977229
  -18.0380380    -0.04699736    -0.04699825
  -17.9979980    -0.02041402    -0.02041489
  -17.9579580    -0.00134332    -0.00134457
  -17.9179179     0.03930443     0.03930283
  -17.8778779     0.12286188     0.12286093
  -17.8378378     0.22484886     0.22484992
  -17.7977978     0.27818570     0.27818904
  -17.7577578     0.24234415     0.24234834
  -17.7177177     0.15092873     0.15093207
  -17.6776777     0.06672431     0.06672645
  -17.6376376     0.01685832     0.01686072
  -17.5975976    -0.01094696    -0.01094132
  -17.5575576    -0.03437518    -0.03436269
  -17.5175175    -0.05272907    -0.05270825
  -17.4774775    -0.04983819    -0.04981237
  -17.4374374    -0.01947468    -0.01945041
  -17.3973974     0.01813138     0.01814933
  -17.3573574     0.03673316     0.03674403
  -17.3173173     0.03419221     0.03419768
  -17.2772773     0.03263141     0.03263347
  -17.2372372     0.05884165     0.05884181
  -17.1971972     0.12559921     0.12559857
  -17.1571572     0.21147604     0.21147574
  -17.1171171     0.26098750     0.26098841
  -17.0770771     0.23430148     0.23430348
  -17.0370370     0.15416708     0.15416906
  -16.9969970     0.07878164     0.07878263
  -16.9569570     0.04133009     0.04132981
  -16.9169169     0.03151414     0.03151283
  -16.8768769     0.01325325     0.01325138
  -16.8368368    -0.05075488    -0.05075707
  -16.7967968    -0.16586149    -0.16586456
  -16.7567568    -0.28011440    -0.28011928
  -16.7167167    -0.31658594    -0.31659234
  -16.6766767    -0.25250506    -0.25251104
  -16.6366366    -0.14191680    -0.14192018
  -16.5965966    -0.04907116    -0.04907073
  -16.5565566     0.00594520     0.00594974
  -16.5165165     0.03231921     0.03232713
  -16.4764765     0.03873632     0.03874537
  -16.4364364     0.03087684     0.03088421
  -16.3963964     0.01764128     0.01764562
  -16.3563564     0.00724799     0.00724986
  -16.3163163     0.00183001     0.00183065
  -16.2762763    -0.00115230    -0.00115188
  -16.2362362    -0.00521062    -0.00520970
  -16.1961962    -0.01242651    -0.01242444
  -16.1561562    -0.02122685    -0.02122338
  -16.1161161    -0.02629693    -0.02629274
  -16.0760761    -0.02365038    -0.02364670
  -16.0360360    -0.01554301    -0.01554066
  -15.9959960    -0.00827186    -0.00827073
  -15.9559560    -0.00813789    -0.00813731
  -15.9159159    -0.02430821    -0.02430738
  -15.8758759    -0.07241482    -0.07241302
  -15.8358358    -0.16020101    -0.16019816
  -15.7957958    -0.25752807    -0.25752524
  -15.7557558    -0.30022838    -0.30022712
  -15.7157157    -0.25267795    -0.25267862
  -15.6756757    -0.14886102    -0.14886253
  -15.6356356    -0.04748687    -0.04748799
  -15.5955956     0.02392669     0.02392668
  -15.5555556     0.06140902     0.06141088
  -15.5155155     0.05944003     0.05944463
  -15.4754755     0.02256828     0.02257538
  -15.4354354    -0.02002828    -0.02002059
  -15.3953954    -0.03803918    -0.03803327
  -15.3553554    -0.02805232    -0.02804916
  -15.3153153    -0.00522339    -0.00522240
  -15.2752753     0.01857371     0.01857355
  -15.2352352     0.03722931     0.03722880
  -15.1951952     0.04427704     0.04427665
  -15.1551552     0.03704238     0.03704228
  -15.1151151     0.02150911     0.02150923
  -15.0750751     0.00483355     0.00483382
  -15.0350350    -0.01444659    -0.01444607
  -14.9949950    -0.04343586    -0.04343491
  -14.9549550    -0.08064856    -0.08064725
  -14.9149149    -0.10969602    -0.10969451
  -14.8748749    -0.11924699    -0.11924457
  -14.8348348    -0.12963652    -0.12963088
  -14.7947948    -0.18093732    -0.18092553
  -14.7547548    -0.28479592    -0.28477671
  -14.7147147    -0.39794680    -0.39792198
  -14.6746747    -0.45204648    -0.45202045
  -14.6346346    -0.40978895    -0.40976710
  -14.5945946    -0.29385417    -0.29384017
  -14.5545546    -0.16390522    -0.16389880
  -14.5145145    -0.06719546    -0.06719356
  -14.4744745    -0.01422428    -0.01422402
  -14.4344344     0.00720599     0.00720602
  -14.3943944     0.01134826     0.01134838
  -14.3543544     0.00779349     0.00779364
  -14.3143143     0.00129867     0.00129874
  -14.2742743    -0.00948156    -0.00948161
  -14.2342342    -0.03217129    -0.03217121
  -14.1941942    -0.07927452    -0.07927302
  -14.1541542    -0.17187772    -0.17187173
  -14.1141141    -0.34016422    -0.34015118
  -14.0740741    -0.58044195    -0.58042571
  -14.0340340    -0.78903090    -0.78902290
  -13.9939940    -0.81368397    -0.81369221
  -13.9539540    -0.62696375    -0.62698278
  -13.9139139    -0.37085193    -0.37087022
  -13.8738739    -0.20366714    -0.20368044
  -13.8338338    -0.19114546    -0.19115736
  -13.7937938    -0.32380450    -0.32381739
  -13.7537538    -0.52230216    -0.52231167
  -13.7137137    -0.64111324    -0.64111287
  -13.6736737    -0.57916713    -0.57915707
  -13.6336336    -0.38853712    -0.38852474
  -13.5935936    -0.21003391    -0.21002537
  -13.5535536    -0.13083019    -0.13082606
  -13.5135135    -0.14068655    -0.14068484
  -13.4734735    -0.17864771    -0.17864708
  -13.4334334    -0.19287677    -0.19287657
  -13.3933934    -0.17717284    -0.17717240
  -13.3533534    -0.16005157    -0.16005071
  -13.3133133    -0.17082902    -0.17082853
  -13.2732733    -0.23753580    -0.23753669
  -13.2332332    -0.38721638    -0.38721853
  -13.1931932    -0.58781027    -0.58781192
  -13.1531532    -0.71313161    -0.71313066
  -13.1131131    -0.65181359    -0.65180988
  -13.0730731    -0.44129474    -0.44129037
  -13.0330330    -0.22095766    -0.22095464
  -12.9929930    -0.08315635    -0.08315480
  -12.9529530    -0.02803038    -0.02802921
  -12.9129129    -0.02039739    -0.02039562
  -12.8728729    -0.03352452    -0.03352222
  -12.8328328    -0.04967327    -0.04967171
  -12.7927928    -0.05442711    -0.05442749
  -12.7527528    -0.04348791    -0.04348990
  -12.7127127    -0.02600239    -0.02600461
  -12.6726727    -0.01426513    -0.01426679
  -12.6326326    -0.01366561    -0.01366688
  -12.5925926    -0.02177462    -0.02177570
  -12.5525526    -0.03086723    -0.03086778
  -12.5125125    -0.03258943    -0.03258908
  -12.4724725    -0.02505671    -0.02505573
  -12.4324324    -0.01413450    -0.01413353
  -12.3923924    -0.00679881    -0.00679808
  -12.3523524    -0.00711229    -0.00711149
  -12.3123123    -0.01875214    -0.01875096
  -12.2722723    -0.04458383    -0.04458275
  -12.2322322    -0.07804366    -0.07804419
  -12.1921922    -0.09997961    -0.09998284
  -12.1521522    -0.09462820    -0.09463317
  -12.1121121    -0.06696481    -0.06696930
  -12.0720721    -0.03608605    -0.03608873
  -12.0320320    -0.01604747    -0.01604844
  -11.9919920    -0.00928358    -0.00928340
  -11.9519520    -0.01206736    -0.01206643
  -11.9119119    -0.01880065    -0.01879933
  -11.8718719    -0.02377361    -0.02377229
  -11.8318318    -0.02625299    -0.02625176
  -11.7917918    -0.03601127    -0.03600977
  -11.7517518    -0.06844181    -0.06843979
  -11.7117117    -0.12591349    -0.12591203
  -11.6716717    -0.18325494    -0.18325616
  -11.6316316    -0.20450971    -0.20451420
  -11.5915916    -0.17877838    -0.17878359
  -11.5515516    -0.12708258    -0.12708519
  -11.5115115    -0.07696553    -0.07696463
  -11.4714715    -0.04565967    -0.04565650
  -11.4314314    -0.04270825    -0.04270418
  -11.3913914    -0.07350006    -0.07349581
  -11.3513514    -0.13382988    -0.13382582
  -11.3113113    -0.20335669    -0.20335290
  -11.2712713    -0.25321199    -0.25320849
  -11.2312312    -0.26718122    -0.26717864
  -11.1911912    -0.25482677    -0.25482661
  -11.1511512    -0.23907583    -0.23907949
  -11.1111111    -0.23074888    -0.23075606
  -11.0710711    -0.22125775    -0.22126567
  -11.0310310    -0.19868316    -0.19868813
  -10.9909910    -0.16557143    -0.16557163
  -10.9509510    -0.14292290    -0.14291927
  -10.9109109    -0.15140514    -0.15140032
  -10.8708709    -0.18177494    -0.18177182
  -10.8308308    -0.19682158    -0.19682185
  -10.7907908    -0.17349373    -0.17349646
  -10.7507508    -0.12815185    -0.12815371
  -10.7107107    -0.09081690    -0.09081437
  -10.6706707    -0.07352686    -0.07351893
