# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 150
# Emin, Emax in file for selected band(s):    -87.0075149    242.1370340
# Nbands, Nspin, Nk   =    150     2    31
# E_F                 =    -7.7285 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    -87.307515      0.000000      0.000000      0.000000
    -85.650507      0.000000      0.000000      0.000000
    -83.993499      0.000000      0.000000      0.000000
    -82.336492      0.000000      0.000000      0.000000
    -80.679484      0.000000      0.000000      0.000000
    -79.022476     24.069076     23.661799     47.730875
    -77.365468      0.000000      0.000000      0.000000
    -75.708460      0.000000      0.000000      0.000000
    -74.051453      0.000000      0.000000      0.000000
    -72.394445      0.000000      0.000000      0.000000
    -70.737437      0.000000      0.000000      0.000000
    -69.080429      0.000000      0.000000      0.000000
    -67.423421      0.000000      0.000000      0.000000
    -65.766414      0.000000      0.000000      0.000000
    -64.109406      0.000000      0.000000      0.000000
    -62.452398      0.000000      0.000000      0.000000
    -60.795390      0.000000      0.000000      0.000000
    -59.138383      0.000000      0.000000      0.000000
    -57.481375      0.000000      0.000000      0.000000
    -55.824367      0.000000      0.000000      0.000000
    -54.167359      0.000000      0.000000      0.000000
    -52.510351      0.000000      0.000000      0.000000
    -50.853344      0.000000      0.000000      0.000000
    -49.196336      0.000000      0.000000      0.000000
    -47.539328      9.911514      9.762378     19.673892
    -45.882320      0.000000      0.000000      0.000000
    -44.225313      0.000000      0.000000      0.000000
    -42.568305      0.000000      0.000000      0.000000
    -40.911297      0.000000      0.000000      0.000000
    -39.254289      0.000000      0.000000      0.000000
    -37.597281      0.000000      0.000000      0.000000
    -35.940274      0.000000      0.000000      0.000000
    -34.283266      0.000000      0.000000      0.000000
    -32.626258      0.000000      0.000000      0.000000
    -30.969250      0.000000      0.000000      0.000000
    -29.312242      0.000000      0.000000      0.000000
    -27.655235      0.000000      0.000000      0.000000
    -25.998227      0.000000      0.000000      0.000000
    -24.341219      0.000000      0.000000      0.000000
    -22.684211      0.000000      0.000000      0.000000
    -21.027204      0.000000      0.000000      0.000000
    -19.370196      0.000000      0.000000      0.000000
    -17.713188      0.000000      0.000000      0.000000
    -16.056180      0.000000      0.000000      0.000000
    -14.399172      0.000000      0.000000      0.000000
    -12.742165      0.000000      0.000000      0.000000
    -11.085157      0.000000      0.000000      0.000000
     -9.428149      0.000000      0.000000      0.000000
     -7.771141      0.514721      0.514471      1.029192
     -6.114134      0.000000      0.000000      0.000000
     -4.457126      1.295720      1.290669      2.586389
     -2.800118      1.241086      1.259860      2.500946
     -1.143110      3.126036      3.147548      6.273585
      0.513898      3.445586      3.502687      6.948273
      2.170905      2.079579      2.109510      4.189089
      3.827913      0.424644      0.428188      0.852832
      5.484921      1.722230      1.711677      3.433907
      7.141929      0.000000      0.000000      0.000000
      8.798937      0.000159      0.000152      0.000311
     10.455944      0.449046      0.445247      0.894293
     12.112952      7.476496      7.477453     14.953949
     13.769960      1.390126      1.400205      2.790332
     15.426968      3.120556      3.143848      6.264404
     17.083975      2.429039      2.432780      4.861818
     18.740983      0.357058      0.360110      0.717168
     20.397991      2.835093      2.844096      5.679189
