#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000006     0.00000000
  -18.1581582     0.00000058     0.00000000
  -18.1181181     0.00000415     0.00000000
  -18.0780781     0.00002163     0.00000005
  -18.0380380     0.00008177     0.00000051
  -17.9979980     0.00022461     0.00000367
  -17.9579580     0.00044938     0.00001929
  -17.9179179     0.00066044     0.00007367
  -17.8778779     0.00073278     0.00020452
  -17.8378378     0.00066217     0.00041433
  -17.7977978     0.00056216     0.00061870
  -17.7577578     0.00049297     0.00069971
  -17.7177177     0.00040792     0.00063822
  -17.6776777     0.00027581     0.00051957
  -17.6376376     0.00014097     0.00040327
  -17.5975976     0.00005295     0.00028349
  -17.5575576     0.00001450     0.00016284
  -17.5175175     0.00000304     0.00007130
  -17.4774775     0.00000162     0.00002307
  -17.4374374     0.00000701     0.00000544
  -17.3973974     0.00003034     0.00000087
  -17.3573574     0.00010554    -0.00000040
  -17.3173173     0.00031736    -0.00000266
  -17.2772773     0.00087070    -0.00000837
  -17.2372372     0.00211355    -0.00000510
  -17.1971972     0.00419073     0.00009503
  -17.1571572     0.00637255     0.00055436
  -17.1171171     0.00719387     0.00174829
  -17.0770771     0.00594578     0.00367358
  -17.0370370     0.00357824     0.00542696
  -16.9969970     0.00156471     0.00574437
  -16.9569570     0.00049677     0.00438917
  -16.9169169     0.00011460     0.00242833
  -16.8768769     0.00002063     0.00097403
  -16.8368368     0.00001441     0.00028341
  -16.7967968     0.00007178     0.00005989
  -16.7567568     0.00031079     0.00000980
  -16.7167167     0.00100148     0.00000649
  -16.6766767     0.00245376     0.00003467
  -16.6366366     0.00476146     0.00016180
  -16.5965966     0.00768955     0.00056952
  -16.5565566     0.01062892     0.00155086
  -16.5165165     0.01234238     0.00338286
  -16.4764765     0.01147528     0.00607178
  -16.4364364     0.00817319     0.00897077
  -16.3963964     0.00433800     0.01062535
  -16.3563564     0.00169143     0.00974380
  -16.3163163     0.00048123     0.00672774
  -16.2762763     0.00009960     0.00343697
  -16.2362362     0.00001497     0.00128669
  -16.1961962     0.00000163     0.00035125
  -16.1561562     0.00000013     0.00006975
  -16.1161161     0.00000001     0.00001006
  -16.0760761     0.00000000     0.00000105
  -16.0360360     0.00000000     0.00000008
  -15.9959960     0.00000000     0.00000000
  -15.9559560     0.00000000     0.00000000
  -15.9159159     0.00000000     0.00000000
  -15.8758759     0.00000000     0.00000000
  -15.8358358     0.00000000     0.00000000
  -15.7957958     0.00000000     0.00000000
  -15.7557558     0.00000000     0.00000000
  -15.7157157     0.00000000     0.00000000
  -15.6756757     0.00000001     0.00000000
  -15.6356356     0.00000012     0.00000000
  -15.5955956     0.00000163     0.00000000
  -15.5555556     0.00001629     0.00000000
  -15.5155155     0.00011887     0.00000001
  -15.4754755     0.00063451     0.00000015
  -15.4354354     0.00249294     0.00000192
  -15.3953954     0.00727787     0.00001833
  -15.3553554     0.01600931     0.00012747
  -15.3153153     0.02701014     0.00064981
  -15.2752753     0.03557204     0.00244305
  -15.2352352     0.03695323     0.00683699
  -15.1951952     0.03021391     0.01442131
  -15.1551552     0.01918106     0.02326090
  -15.1151151     0.00928421     0.02906016
  -15.0750751     0.00337384     0.02829741
  -15.0350350     0.00092292     0.02140796
  -14.9949950     0.00022582     0.01244338
  -14.9549550     0.00017272     0.00547743
  -14.9149149     0.00064558     0.00180167
  -14.8748749     0.00281354     0.00043847
  -14.8348348     0.00981126     0.00008119
  -14.7947948     0.02598128     0.00003917
  -14.7547548     0.05238361     0.00021320
  -14.7147147     0.08139126     0.00114847
  -14.6746747     0.09837154     0.00460657
  -14.6346346     0.09258175     0.01380891
  -14.5945946     0.06730738     0.03126786
  -14.5545546     0.03729326     0.05408958
  -14.5145145     0.01552698     0.07209612
  -14.4744745     0.00480156     0.07422120
  -14.4344344     0.00109936     0.05872873
  -14.3943944     0.00022465     0.03535865
  -14.3543544     0.00022950     0.01600778
  -14.3143143     0.00073727     0.00539143
  -14.2742743     0.00189249     0.00133964
  -14.2342342     0.00353417     0.00024414
  -14.1941942     0.00478978     0.00003269
  -14.1541542     0.00471077     0.00000521
  -14.1141141     0.00336214     0.00001659
  -14.0740741     0.00174135     0.00009456
  -14.0340340     0.00065449     0.00039626
  -13.9939940     0.00017851     0.00120520
  -13.9539540     0.00003533     0.00266003
  -13.9139139     0.00000508     0.00426051
  -13.8738739     0.00000059     0.00495203
  -13.8338338     0.00000049     0.00417688
  -13.7937938     0.00000303     0.00255664
  -13.7537538     0.00002135     0.00113561
  -13.7137137     0.00014514     0.00036598
  -13.6736737     0.00082484     0.00008517
  -13.6336336     0.00361067     0.00001258
  -13.5935936     0.01182499    -0.00000428
  -13.5535536     0.02873806    -0.00001331
  -13.5135135     0.05174007    -0.00001857
  -13.4734735     0.06902320     0.00001162
  -13.4334334     0.06835323     0.00024539
  -13.3933934     0.05070136     0.00135813
  -13.3533534     0.02941990     0.00514643
  -13.3133133     0.01614441     0.01422648
  -13.2732733     0.01392275     0.02892057
  -13.2332332     0.02353756     0.04329072
  -13.1931932     0.04915647     0.04772270
  -13.1531532     0.09406065     0.03873890
  -13.1131131     0.15492384     0.02320244
  -13.0730731     0.22167171     0.01056217
  -13.0330330     0.27349475     0.00483428
  -12.9929930     0.27925172     0.00519816
  -12.9529530     0.22515973     0.01002896
  -12.9129129     0.13877993     0.01917548
  -12.8728729     0.06425154     0.03552351
  -12.8328328     0.02223583     0.06477106
  -12.7927928     0.00629369     0.10958988
  -12.7527528     0.00403358     0.16034096
  -12.7127127     0.01008220     0.19270554
  -12.6726727     0.02414142     0.18333431
  -12.6326326     0.04252367     0.13439500
  -12.5925926     0.05441308     0.07453918
  -12.5525526     0.05072725     0.03096091
  -12.5125125     0.03542633     0.00981845
  -12.4724725     0.02243334     0.00346687
  -12.4324324     0.02312120     0.00444750
  -12.3923924     0.03885970     0.00935020
  -12.3523524     0.06013643     0.01539016
  -12.3123123     0.07326682     0.01847330
  -12.2722723     0.07519920     0.01617599
  -12.2322322     0.07908390     0.01069321
  -12.1921922     0.09889531     0.00667796
  -12.1521522     0.13341111     0.00715426
  -12.1121121     0.17107971     0.01207026
  -12.0720721     0.20376314     0.01901837
  -12.0320320     0.22642831     0.02486826
  -11.9919920     0.23525453     0.02740464
  -11.9519520     0.24252216     0.02600558
  -11.9119119     0.27264303     0.02242215
  -11.8718719     0.32274228     0.02066140
  -11.8318318     0.35470782     0.02329083
  -11.7917918     0.34376401     0.02800246
  -11.7517518     0.30833643     0.02999844
  -11.7117117     0.28745651     0.02778794
  -11.6716717     0.30623004     0.02617910
  -11.6316316     0.34976534     0.03292386
  -11.5915916     0.36742373     0.05026262
  -11.5515516     0.32695481     0.07078908
  -11.5115115     0.25739761     0.08641924
  -11.4714715     0.22340881     0.09922133
  -11.4314314     0.27109713     0.11615299
  -11.3913914     0.39274406     0.13603321
  -11.3513514     0.52036798     0.14886923
  -11.3113113     0.56946561     0.14946786
  -11.2712713     0.51898587     0.14859833
  -11.2312312     0.43396690     0.15939312
  -11.1911912     0.38853715     0.17283067
