#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   8,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   8,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   8,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982    -0.00000000    -0.00000000
  -18.1581582    -0.00000000    -0.00000000
  -18.1181181    -0.00000005    -0.00000005
  -18.0780781    -0.00000081    -0.00000081
  -18.0380380    -0.00000909    -0.00000909
  -17.9979980    -0.00007535    -0.00007535
  -17.9579580    -0.00046527    -0.00046527
  -17.9179179    -0.00215747    -0.00215747
  -17.8778779    -0.00757462    -0.00757462
  -17.8378378    -0.02025640    -0.02025640
  -17.7977978    -0.04133795    -0.04133795
  -17.7577578    -0.06418495    -0.06418495
  -17.7177177    -0.07531662    -0.07531662
  -17.6776777    -0.06622886    -0.06622886
  -17.6376376    -0.04328296    -0.04328296
  -17.5975976    -0.02089017    -0.02089017
  -17.5575576    -0.00751948    -0.00751948
  -17.5175175    -0.00271511    -0.00271511
  -17.4774775    -0.00399138    -0.00399138
  -17.4374374    -0.01198133    -0.01198133
  -17.3973974    -0.02846751    -0.02846751
  -17.3573574    -0.04929731    -0.04929731
  -17.3173173    -0.06218874    -0.06218874
  -17.2772773    -0.05842876    -0.05842876
  -17.2372372    -0.04706504    -0.04706504
  -17.1971972    -0.05279338    -0.05279338
  -17.1571572    -0.09952346    -0.09952346
  -17.1171171    -0.19014032    -0.19014032
  -17.0770771    -0.29273416    -0.29273416
  -17.0370370    -0.35512883    -0.35512883
  -16.9969970    -0.34631019    -0.34631019
  -16.9569570    -0.27877206    -0.27877206
  -16.9169169    -0.18868708    -0.18868708
  -16.8768769    -0.10729941    -0.10729941
  -16.8368368    -0.05124867    -0.05124867
  -16.7967968    -0.02533300    -0.02533300
  -16.7567568    -0.02906981    -0.02906981
  -16.7167167    -0.06201784    -0.06201784
  -16.6766767    -0.12072705    -0.12072705
  -16.6366366    -0.19280390    -0.19280390
  -16.5965966    -0.25745553    -0.25745553
  -16.5565566    -0.28870876    -0.28870876
  -16.5165165    -0.26869436    -0.26869436
  -16.4764765    -0.21653316    -0.21653316
  -16.4364364    -0.19248968    -0.19248968
  -16.3963964    -0.25741893    -0.25741893
  -16.3563564    -0.42973733    -0.42973733
  -16.3163163    -0.66003957    -0.66003957
  -16.2762763    -0.83181538    -0.83181538
  -16.2362362    -0.83185461    -0.83185461
  -16.1961962    -0.65696561    -0.65696561
  -16.1561562    -0.42459465    -0.42459465
  -16.1161161    -0.25806693    -0.25806693
  -16.0760761    -0.18749116    -0.18749116
  -16.0360360    -0.17461754    -0.17461754
  -15.9959960    -0.19756718    -0.19756718
  -15.9559560    -0.27629312    -0.27629312
  -15.9159159    -0.41831392    -0.41831392
  -15.8758759    -0.56054117    -0.56054117
  -15.8358358    -0.60080539    -0.60080539
  -15.7957958    -0.51225998    -0.51225998
  -15.7557558    -0.38617339    -0.38617339
  -15.7157157    -0.33119084    -0.33119084
  -15.6756757    -0.37273384    -0.37273384
  -15.6356356    -0.45585466    -0.45585466
  -15.5955956    -0.49669647    -0.49669647
  -15.5555556    -0.44083442    -0.44083442
  -15.5155155    -0.31444930    -0.31444930
  -15.4754755    -0.20628554    -0.20628554
  -15.4354354    -0.18316509    -0.18316509
  -15.3953954    -0.24079224    -0.24079224
  -15.3553554    -0.33168726    -0.33168726
  -15.3153153    -0.41830797    -0.41830797
  -15.2752753    -0.49972449    -0.49972449
  -15.2352352    -0.58889359    -0.58889359
  -15.1951952    -0.65959500    -0.65959500
  -15.1551552    -0.65666421    -0.65666421
  -15.1151151    -0.59323512    -0.59323512
  -15.0750751    -0.57201688    -0.57201688
  -15.0350350    -0.66340553    -0.66340553
  -14.9949950    -0.81537277    -0.81537277
  -14.9549550    -0.90540624    -0.90540624
  -14.9149149    -0.85063181    -0.85063181
  -14.8748749    -0.66632585    -0.66632585
  -14.8348348    -0.44349515    -0.44349515
  -14.7947948    -0.28411703    -0.28411703
  -14.7547548    -0.24849359    -0.24849359
  -14.7147147    -0.34245888    -0.34245888
  -14.6746747    -0.51973081    -0.51973081
  -14.6346346    -0.68189287    -0.68189287
  -14.5945946    -0.72377983    -0.72377983
  -14.5545546    -0.61909113    -0.61909113
  -14.5145145    -0.44351895    -0.44351895
  -14.4744745    -0.31109143    -0.31109143
  -14.4344344    -0.30111672    -0.30111672
  -14.3943944    -0.41169404    -0.41169404
  -14.3543544    -0.55408011    -0.55408011
  -14.3143143    -0.62302000    -0.62302000
  -14.2742743    -0.59026713    -0.59026713
