#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384    -0.00000000    -0.00000000
  -18.3983984    -0.00000000    -0.00000000
  -18.3583584    -0.00000000    -0.00000000
  -18.3183183    -0.00000000    -0.00000000
  -18.2782783    -0.00000000    -0.00000000
  -18.2382382    -0.00000000    -0.00000000
  -18.1981982    -0.00000000    -0.00000000
  -18.1581582    -0.00000000    -0.00000000
  -18.1181181    -0.00000000    -0.00000000
  -18.0780781    -0.00000000    -0.00000000
  -18.0380380    -0.00000000    -0.00000000
  -17.9979980    -0.00000000    -0.00000000
  -17.9579580    -0.00000000    -0.00000000
  -17.9179179    -0.00000000    -0.00000000
  -17.8778779    -0.00000004    -0.00000004
  -17.8378378    -0.00000054    -0.00000054
  -17.7977978    -0.00000521    -0.00000521
  -17.7577578    -0.00003621    -0.00003620
  -17.7177177    -0.00018264    -0.00018262
  -17.6776777    -0.00066862    -0.00066862
  -17.6376376    -0.00177778    -0.00177794
  -17.5975976    -0.00344622    -0.00344678
  -17.5575576    -0.00497292    -0.00497406
  -17.5175175    -0.00594886    -0.00595021
  -17.4774775    -0.00847890    -0.00847942
  -17.4374374    -0.01906514    -0.01906333
  -17.3973974    -0.04782615    -0.04782059
  -17.3573574    -0.10115302    -0.10114420
  -17.3173173    -0.16686114    -0.16685420
  -17.2772773    -0.20906544    -0.20906837
  -17.2372372    -0.19579351    -0.19580853
  -17.1971972    -0.13554662    -0.13556618
  -17.1571572    -0.06888077    -0.06889558
  -17.1171171    -0.02574495    -0.02575227
  -17.0770771    -0.00816811    -0.00817039
  -17.0370370    -0.00770388    -0.00770342
  -16.9969970    -0.02453494    -0.02453136
  -16.9569570    -0.07035687    -0.07034849
  -16.9169169    -0.15149736    -0.15148627
  -16.8768769    -0.24137861    -0.24137456
  -16.8368368    -0.28447891    -0.28449147
  -16.7967968    -0.25540513    -0.25542922
  -16.7567568    -0.20296837    -0.20298566
  -16.7167167    -0.20399391    -0.20399291
  -16.6766767    -0.27425332    -0.27424362
  -16.6366366    -0.34333725    -0.34334007
  -16.5965966    -0.32996938    -0.32999359
  -16.5565566    -0.23257305    -0.23260627
  -16.5165165    -0.11926933    -0.11929468
  -16.4764765    -0.04515875    -0.04517097
  -16.4364364    -0.01724934    -0.01725172
  -16.3963964    -0.02684427    -0.02683840
  -16.3563564    -0.08281307    -0.08279607
  -16.3163163    -0.20153863    -0.20151121
  -16.2762763    -0.35724958    -0.35722665
  -16.2362362    -0.45962173    -0.45962531
  -16.1961962    -0.42912088    -0.42915511
  -16.1561562    -0.29074099    -0.29078511
  -16.1161161    -0.14294873    -0.14298071
  -16.0760761    -0.05100370    -0.05101878
  -16.0360360    -0.01320598    -0.01321083
  -15.9959960    -0.00248134    -0.00248244
  -15.9559560    -0.00033838    -0.00033855
  -15.9159159    -0.00003394    -0.00003396
  -15.8758759    -0.00000656    -0.00000656
  -15.8358358    -0.00002708    -0.00002707
  -15.7957958    -0.00012689    -0.00012685
  -15.7557558    -0.00043338    -0.00043328
  -15.7157157    -0.00107422    -0.00107404
  -15.6756757    -0.00193291    -0.00193274
  -15.6356356    -0.00253275    -0.00253271
  -15.5955956    -0.00249177    -0.00249189
  -15.5555556    -0.00235035    -0.00235041
  -15.5155155    -0.00435074    -0.00435028
  -15.4754755    -0.01306108    -0.01305949
  -15.4354354    -0.03351807    -0.03351538
  -15.3953954    -0.06348738    -0.06348536
  -15.3553554    -0.08712130    -0.08712281
  -15.3153153    -0.08553826    -0.08554427
  -15.2752753    -0.05621420    -0.05622264
  -15.2352352    -0.01256734    -0.01257588
  -15.1951952     0.03188620     0.03187875
  -15.1551552     0.06552203     0.06551742
  -15.1151151     0.07325114     0.07325137
  -15.0750751     0.04802931     0.04803327
  -15.0350350     0.00530916     0.00531216
  -14.9949950    -0.02625683    -0.02625876
  -14.9549550    -0.02853437    -0.02854105
  -14.9149149    -0.00515355    -0.00516173
  -14.8748749     0.02710144     0.02709490
  -14.8348348     0.05410838     0.05410454
  -14.7947948     0.07218624     0.07218426
  -14.7547548     0.08177733     0.08177630
  -14.7147147     0.07890377     0.07890384
  -14.6746747     0.06090395     0.06090520
  -14.6346346     0.03565221     0.03565383
  -14.5945946     0.01479341     0.01479452
  -14.5545546     0.00091424     0.00091466
  -14.5145145    -0.01447890    -0.01447909
  -14.4744745    -0.04306686    -0.04306805
  -14.4344344    -0.08572381    -0.08572715
  -14.3943944    -0.12204295    -0.12204939
  -14.3543544    -0.12501897    -0.12502754
  -14.3143143    -0.09232647    -0.09233440
  -14.2742743    -0.04921814    -0.04922328
  -14.2342342    -0.01895836    -0.01896070
  -14.1941942    -0.00528065    -0.00528141
  -14.1541542    -0.00106427    -0.00106444
  -14.1141141    -0.00015528    -0.00015531
  -14.0740741    -0.00001647    -0.00001647
  -14.0340340    -0.00000238    -0.00000238
  -13.9939940    -0.00001527    -0.00001527
  -13.9539540    -0.00015401    -0.00015400
  -13.9139139    -0.00115934    -0.00115931
  -13.8738739    -0.00644842    -0.00644824
  -13.8338338    -0.02638007    -0.02637949
  -13.7937938    -0.07911391    -0.07911291
  -13.7537538    -0.17357342    -0.17357342
  -13.7137137    -0.27831991    -0.27832437
  -13.6736737    -0.32617889    -0.32619099
  -13.6336336    -0.27968006    -0.27969886
  -13.5935936    -0.17575555    -0.17577554
  -13.5535536    -0.08074741    -0.08076266
  -13.5135135    -0.02467972    -0.02468770
  -13.4734735     0.00584574     0.00584460
  -13.4334334     0.03850804     0.03851273
  -13.3933934     0.09069037     0.09069901
  -13.3533534     0.15270194     0.15270958
  -13.3133133     0.18885683     0.18885739
  -13.2732733     0.17175830     0.17175072
  -13.2332332     0.11549392     0.11548360
  -13.1931932     0.06054218     0.06053487
  -13.1531532     0.03399974     0.03399677
  -13.1131131     0.03578145     0.03578044
  -13.0730731     0.04987233     0.04986976
  -13.0330330     0.05866952     0.05866307
  -12.9929930     0.05447805     0.05446825
  -12.9529530     0.04163409     0.04162389
  -12.9129129     0.02794191     0.02793427
  -12.8728729     0.01940038     0.01939696
  -12.8328328     0.02324594     0.02324782
  -12.7927928     0.05005802     0.05006680
  -12.7527528     0.10809943     0.10811576
  -12.7127127     0.18932471     0.18934409
  -12.6726727     0.25865303     0.25866442
  -12.6326326     0.27102180     0.27101580
  -12.5925926     0.21456524     0.21454492
  -12.5525526     0.12697674     0.12695510
  -12.5125125     0.05705143     0.05703845
  -12.4724725     0.02502369     0.02502118
  -12.4324324     0.02595994     0.02596588
  -12.3923924     0.04824528     0.04825597
  -12.3523524     0.07666788     0.07667724
  -12.3123123     0.09448126     0.09448547
  -12.2722723     0.09846937     0.09847237
  -12.2322322     0.10313698     0.10314394
  -12.1921922     0.11829396     0.11830011
  -12.1521522     0.13383554     0.13383085
  -12.1121121     0.13736370     0.13734774
  -12.0720721     0.13183345     0.13181649
  -12.0320320     0.12407194     0.12406359
  -11.9919920     0.11339674     0.11340065
  -11.9519520     0.10186137     0.10187472
  -11.9119119     0.09570427     0.09571567
  -11.8718719     0.09219351     0.09219117
  -11.8318318     0.08657362     0.08656225
  -11.7917918     0.08983887     0.08983757
  -11.7517518     0.11790114     0.11791976
  -11.7117117     0.16678695     0.16681613
  -11.6716717     0.22024916     0.22027985
  -11.6316316     0.27826992     0.27830682
  -11.5915916     0.34870131     0.34874395
  -11.5515516     0.41135564     0.41138202
  -11.5115115     0.42351588     0.42349976
  -11.4714715     0.36370851     0.36364496
  -11.4314314     0.25266254     0.25257437
  -11.3913914     0.13663320     0.13655554
  -11.3513514     0.05519975     0.05515488
  -11.3113113     0.02032124     0.02031074
  -11.2712713     0.02581420     0.02583468
  -11.2312312     0.06784235     0.06789421
  -11.1911912     0.14080424     0.14087503
  -11.1511512     0.21617900     0.21623229
  -11.1111111     0.25215719     0.25216417
  -11.0710711     0.23905647     0.23903344
  -11.0310310     0.21181714     0.21180346
  -10.9909910     0.20487046     0.20488007
  -10.9509510     0.21914991     0.21916769
  -10.9109109     0.23593398     0.23594152
  -10.8708709     0.24150960     0.24150437
  -10.8308308     0.24061084     0.24061073
  -10.7907908     0.24887131     0.24888947
  -10.7507508     0.26489790     0.26491306
  -10.7107107     0.26307130     0.26304866
  -10.6706707     0.22611026     0.22604792
  -10.6306306     0.16777426     0.16770046
  -10.5905906     0.11271375     0.11264934
  -10.5505506     0.07323221     0.07318464
  -10.5105105     0.05364551     0.05362494
  -10.4704705     0.05792897     0.05794434
  -10.4304304     0.08286742     0.08291028
  -10.3903904     0.11267124     0.11271460
  -10.3503504     0.12880739     0.12882707
  -10.3103103     0.12742454     0.12742953
  -10.2702703     0.12645676     0.12649107
  -10.2302302     0.15007254     0.15016667
