# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 194
# Emin, Emax in file for selected band(s):   -109.9992270    198.2490330
# Nbands, Nspin, Nk   =    194     2    20
# E_F                 =    -6.6841 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
   -110.299227      0.000000      0.000000      0.000000
   -108.747226      0.000000      0.000000      0.000000
   -107.195224      0.000000      0.000000      0.000000
   -105.643223      0.000000      0.000000      0.000000
   -104.091222      0.000000      0.000000      0.000000
   -102.539220      0.000000      0.000000      0.000000
   -100.987219      0.000000      0.000000      0.000000
    -99.435218      0.000000      0.000000      0.000000
    -97.883217      0.000000      0.000000      0.000000
    -96.331215      0.000000      0.000000      0.000000
    -94.779214      0.000000      0.000000      0.000000
    -93.227213      0.000000      0.000000      0.000000
    -91.675211      0.000000      0.000000      0.000000
    -90.123210      0.000000      0.000000      0.000000
    -88.571209      0.000000      0.000000      0.000000
    -87.019207      0.000000      0.000000      0.000000
    -85.467206      0.000000      0.000000      0.000000
    -83.915205      0.000000      0.000000      0.000000
    -82.363203      0.000000      0.000000      0.000000
    -80.811202      0.000000      0.000000      0.000000
    -79.259201      0.000000      0.000000      0.000000
    -77.707200      0.000000      0.000000      0.000000
    -76.155198      0.000000      0.000000      0.000000
    -74.603197      0.000000      0.000000      0.000000
    -73.051196      0.000000      0.000000      0.000000
    -71.499194      0.000000      0.000000      0.000000
    -69.947193      0.000000      0.000000      0.000000
    -68.395192      0.000000      0.000000      0.000000
    -66.843190      0.000000      0.000000      0.000000
    -65.291189      0.000000      0.000000      0.000000
    -63.739188     21.061795     25.357174     46.418970
    -62.187186      0.000000      0.000000      0.000000
    -60.635185      0.000000      0.000000      0.000000
    -59.083184      0.000000      0.000000      0.000000
    -57.531183      0.000000      0.000000      0.000000
    -55.979181      0.000000      0.000000      0.000000
    -54.427180      0.000000      0.000000      0.000000
    -52.875179      0.000000      0.000000      0.000000
    -51.323177      0.000000      0.000000      0.000000
    -49.771176      0.000000      0.000000      0.000000
    -48.219175      0.000000      0.000000      0.000000
    -46.667173     17.667737     20.102622     37.770359
    -45.115172      0.000000      0.000000      0.000000
    -43.563171      0.000000      0.000000      0.000000
    -42.011170      0.000000      0.000000      0.000000
    -40.459168      0.000000      0.000000      0.000000
    -38.907167      0.000000      0.000000      0.000000
    -37.355166      0.000000      0.000000      0.000000
    -35.803164      0.000000      0.000000      0.000000
    -34.251163      0.000000      0.000000      0.000000
    -32.699162      0.000000      0.000000      0.000000
    -31.147160      0.000000      0.000000      0.000000
    -29.595159      0.000000      0.000000      0.000000
    -28.043158      0.000000      0.000000      0.000000
    -26.491156      0.000000      0.000000      0.000000
    -24.939155      0.000000      0.000000      0.000000
    -23.387154      0.000000      0.000000      0.000000
    -21.835153      0.000000      0.000000      0.000000
    -20.283151      0.000000      0.000000      0.000000
    -18.731150      0.000000      0.000000      0.000000
    -17.179149      0.000000      0.000000      0.000000
    -15.627147      0.000000      0.000000      0.000000
    -14.075146      0.000000      0.000000      0.000000
    -12.523145      0.000000      0.000000      0.000000
    -10.971143      0.000002      0.000000      0.000002
     -9.419142      2.116893      1.966505      4.083397
     -7.867141      1.270277      1.514249      2.784526
     -6.315139      0.213526      0.249243      0.462768
     -4.763138      2.122855      0.669846      2.792701
     -3.211137      6.260726      4.688390     10.949115
     -1.659136     10.027428      5.105464     15.132892
     -0.107134      2.684058      2.079699      4.763757
      1.444867      2.734246      0.908296      3.642543
      2.996868      2.453542      1.918652      4.372194
      4.548870      0.794198      1.237126      2.031324
      6.100871      1.924691      2.461534      4.386224
      7.652872      2.022580      0.889001      2.911581
      9.204874      0.714054      1.905978      2.620032
     10.756875      1.529291      3.749373      5.278664
     12.308876      1.349207      0.804090      2.153297
     13.860878      1.957861      3.786567      5.744428
     15.412879      1.057590      0.998115      2.055705
     16.964880      0.652777      0.226427      0.879204
     18.516881      1.512769      0.569457      2.082226
     20.068883      1.531882      0.351087      1.882970
     21.620884      0.976160      0.616402      1.592562
     23.172885      1.482854      1.025541      2.508395
     24.724887      2.990524      1.177421      4.167945
     26.276888      0.491806      1.097105      1.588910
     27.828889      0.560634      0.751438      1.312071
     29.380891      0.713220      2.694035      3.407255
     30.932892      0.031639      0.078008      0.109646
     32.484893      0.687840      0.239558      0.927398
     34.036895      2.061555      0.616853      2.678409
     35.588896      0.253734      1.088325      1.342059
     37.140897      1.400414      1.277563      2.677978
     38.692898      0.769824      1.037573      1.807397
     40.244900      0.044816      1.281056      1.325873
     41.796901      1.402908      0.084719      1.487627
     43.348902      1.855851      1.263274      3.119125
     44.900904      0.660785      0.773469      1.434254
     46.452905      0.499716      0.004595      0.504312
     48.004906      0.657556      1.205901      1.863458
     49.556908      2.620141      1.540054      4.160195
     51.108909      0.375156      0.409491      0.784647
     52.660910      0.423604      0.059431      0.483035
     54.212911      0.063427      1.443361      1.506788
     55.764913      1.691527      2.206980      3.898506
     57.316914      1.340106      1.479793      2.819899
     58.868915      1.198777      0.443885      1.642661
     60.420917      1.026089      0.542185      1.568274
     61.972918      1.762806      0.716823      2.479629
     63.524919      0.358440      0.700048      1.058489
     65.076921      1.832591      1.098469      2.931060
     66.628922      0.127260      0.196210      0.323469
     68.180923      2.914061      2.650163      5.564225
     69.732925      0.184596      1.417130      1.601727
     71.284926      1.050957      1.039838      2.090795
     72.836927      0.434789      0.214006      0.648795
     74.388928      0.161569      0.020759      0.182328
     75.940930      1.155473      0.558239      1.713712
     77.492931      0.812299      0.317380      1.129679
     79.044932      0.574885      0.273343      0.848228
     80.596934      1.749652      2.368394      4.118046
     82.148935      0.015690      0.028744      0.044433
     83.700936      1.106313      2.723281      3.829594
     85.252938      0.057626      1.159773      1.217400
     86.804939      0.000000      0.000001      0.000001
     88.356940      0.213584      0.316339      0.529923
     89.908942      1.268794      0.539132      1.807927
     91.460943      0.006113      0.179083      0.185196
     93.012944      2.046815      2.530489      4.577304
     94.564945      0.586974      0.366180      0.953154
     96.116947      0.837029      1.157784      1.994813
     97.668948      0.001092      0.004462      0.005555
     99.220949      1.169084      1.032909      2.201993
    100.772951      0.757701      0.058064      0.815765
    102.324952      0.030797      0.009501      0.040298
    103.876953      0.002134      0.359828      0.361962
    105.428955      0.000038      0.304916      0.304954
    106.980956      1.608216      1.652385      3.260602
    108.532957      0.000000      0.000000      0.000000
    110.084959      0.217482      0.306743      0.524226
    111.636960      0.000139      0.034507      0.034645
    113.188961      0.279799      0.264514      0.544313
    114.740962      0.000021      0.022547      0.022568
    116.292964      0.022598      0.474146      0.496744
    117.844965      0.006481      0.106035      0.112516
    119.396966      0.002341      0.034319      0.036659
    120.948968      0.102156      0.525425      0.627581
    122.500969      0.437571      0.779211      1.216783
    124.052970      0.000202      0.020363      0.020565
    125.604972      0.217154      0.366893      0.584047
    127.156973      0.305611      0.230462      0.536073
    128.708974      0.000000      0.000000      0.000000
    130.260976      0.000000      0.000000      0.000000
    131.812977      0.380547      0.214265      0.594812
    133.364978      0.000001      0.000002      0.000002
    134.916979      0.000001      0.000009      0.000009
    136.468981      0.160236      0.199060      0.359296
    138.020982      0.005689      0.065899      0.071588
    139.572983      0.053835      0.020612      0.074447
    141.124985      0.000000      0.000000      0.000000
    142.676986      0.000000      0.000000      0.000000
    144.228987      0.000000      0.000000      0.000000
    145.780989      0.000000      0.000000      0.000000
    147.332990      0.687746      0.113457      0.801203
    148.884991      0.000000      0.000000      0.000000
    150.436992      0.037335      0.037424      0.074758
    151.988994      0.005434      0.000000      0.005434
    153.540995      0.000000      0.011859      0.011859
    155.092996      0.571302      0.126135      0.697437
    156.644998      0.228622      0.000172      0.228794
    158.196999      0.000000      0.000000      0.000000
    159.749000      0.000000      0.000000      0.000000
    161.301002      0.626869      0.000000      0.626869
    162.853003      0.000000      0.000000      0.000000
    164.405004      0.000000      0.000000      0.000000
    165.957006      0.259509      0.864488      1.123998
    167.509007      0.047137      0.000000      0.047137
    169.061008      0.000000      0.108358      0.108358
    170.613009      0.000006      0.000000      0.000006
    172.165011      0.000000      0.364994      0.364994
    173.717012      0.000000      0.000000      0.000000
    175.269013      0.002766      0.000000      0.002766
    176.821015      0.000000      0.000000      0.000000
    178.373016      0.000000      0.000000      0.000000
    179.925017      0.035510      0.407152      0.442662
    181.477019      0.000001      0.240178      0.240179
    183.029020      0.576247      0.000000      0.576247
    184.581021      0.000000      0.000000      0.000000
    186.133023      0.000000      0.002211      0.002211
    187.685024      0.000000      0.000000      0.000000
    189.237025      0.000015      0.003706      0.003722
    190.789026      0.000000      0.000000      0.000000
    192.341028      0.000000      0.372940      0.372940
    193.893029      0.000004      0.000000      0.000004
    195.445030      0.000000      0.000000      0.000000
    196.997032      0.000000      0.000000      0.000000
    198.549033      0.000000      0.000000      0.000000
