#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000    -0.00000000
  -19.5195195    -0.00000000    -0.00000000
  -19.4794795    -0.00000000    -0.00000001
  -19.4394394    -0.00000007    -0.00000010
  -19.3993994    -0.00000079    -0.00000116
  -19.3593594    -0.00000696    -0.00000961
  -19.3193193    -0.00004446    -0.00005793
  -19.2792793    -0.00020599    -0.00025348
  -19.2392392    -0.00069265    -0.00080496
  -19.1991992    -0.00169015    -0.00185499
  -19.1591592    -0.00299284    -0.00310211
  -19.1191191    -0.00384581    -0.00376463
  -19.0790791    -0.00358624    -0.00331538
  -19.0390390    -0.00242683    -0.00211881
  -18.9989990    -0.00119175    -0.00098265
  -18.9589590    -0.00042470    -0.00033071
  -18.9189189    -0.00010983    -0.00008077
  -18.8788789    -0.00002061    -0.00001432
  -18.8388388    -0.00000284    -0.00000190
  -18.7987988    -0.00000079    -0.00000097
  -18.7587588    -0.00000541    -0.00000785
  -18.7187187    -0.00004086    -0.00005610
  -18.6786787    -0.00022473    -0.00029117
  -18.6386386    -0.00089699    -0.00109671
  -18.5985986    -0.00259811    -0.00299768
  -18.5585586    -0.00546105    -0.00594603
  -18.5185185    -0.00832995    -0.00855885
  -18.4784785    -0.00922054    -0.00894029
  -18.4384384    -0.00740657    -0.00677696
  -18.3983984    -0.00431744    -0.00372791
  -18.3583584    -0.00182634    -0.00148814
  -18.3183183    -0.00056064    -0.00043109
  -18.2782783    -0.00012489    -0.00009062
  -18.2382382    -0.00002019    -0.00001383
  -18.1981982    -0.00000243    -0.00000163
  -18.1581582    -0.00000106    -0.00000144
  -18.1181181    -0.00000864    -0.00001260
  -18.0780781    -0.00006320    -0.00008706
  -18.0380380    -0.00033611    -0.00043685
  -17.9979980    -0.00129719    -0.00159067
  -17.9579580    -0.00363305    -0.00420316
  -17.9179179    -0.00738393    -0.00805970
  -17.8778779    -0.01089056    -0.01121525
  -17.8378378    -0.01165629    -0.01132522
  -17.7977978    -0.00905353    -0.00829912
  -17.7577578    -0.00510297    -0.00441331
  -17.7177177    -0.00208725    -0.00170312
  -17.6776777    -0.00061955    -0.00047695
  -17.6376376    -0.00013345    -0.00009693
  -17.5975976    -0.00002086    -0.00001429
  -17.5575576    -0.00000237    -0.00000153
  -17.5175175    -0.00000019    -0.00000012
  -17.4774775    -0.00000001    -0.00000001
  -17.4374374    -0.00000000    -0.00000000
  -17.3973974     0.00000000     0.00000000
  -17.3573574     0.00000000     0.00000000
  -17.3173173     0.00000000     0.00000000
  -17.2772773     0.00000000     0.00000000
  -17.2372372     0.00000000     0.00000000
  -17.1971972     0.00000000     0.00000000
  -17.1571572     0.00000000     0.00000000
  -17.1171171     0.00000000     0.00000000
  -17.0770771     0.00000000     0.00000000
  -17.0370370     0.00000000     0.00000000
  -16.9969970     0.00000000     0.00000000
  -16.9569570    -0.00000000    -0.00000000
  -16.9169169    -0.00000000    -0.00000000
  -16.8768769    -0.00000004    -0.00000006
  -16.8368368    -0.00000052    -0.00000079
  -16.7967968    -0.00000525    -0.00000759
  -16.7567568    -0.00003882    -0.00005299
  -16.7167167    -0.00020822    -0.00026863
  -16.6766767    -0.00081048    -0.00098824
  -16.6366366    -0.00228926    -0.00263824
  -16.5965966    -0.00469244    -0.00511108
  -16.5565566    -0.00697990    -0.00718553
  -16.5165165    -0.00753437    -0.00733082
  -16.4764765    -0.00590191    -0.00542742
  -16.4364364    -0.00335494    -0.00291596
  -16.3963964    -0.00138396    -0.00113689
  -16.3563564    -0.00041430    -0.00032166
  -16.3163163    -0.00009000    -0.00006604
  -16.2762763    -0.00001420    -0.00000985
  -16.2362362    -0.00000174    -0.00000124
  -16.1961962    -0.00000140    -0.00000197
  -16.1561562    -0.00001033    -0.00001456
  -16.1161161    -0.00006112    -0.00008149
  -16.0760761    -0.00026267    -0.00033109
  -16.0360360    -0.00081922    -0.00097626
  -15.9959960    -0.00185413    -0.00208898
  -15.9559560    -0.00304535    -0.00324375
  -15.9159159    -0.00363096    -0.00365511
  -15.8758759    -0.00315416    -0.00298803
  -15.8358358    -0.00208570    -0.00176405
  -15.7957958    -0.00154238    -0.00068951
  -15.7557558    -0.00288186     0.00017806
  -15.7157157    -0.00743447     0.00164523
  -15.6756757    -0.01468042     0.00503448
  -15.6356356    -0.01977364     0.01092214
  -15.5955956    -0.01654139     0.01735198
  -15.5555556    -0.00578198     0.02040117
  -15.5155155     0.00403395     0.01802475
  -15.4754755     0.00690896     0.01224049
  -15.4354354     0.00474365     0.00656215
  -15.3953954     0.00200952     0.00283430
  -15.3553554     0.00057493     0.00098802
  -15.3153153     0.00011494     0.00027301
  -15.2752753     0.00001634     0.00005823
  -15.2352352     0.00000211     0.00000936
  -15.1951952     0.00000727     0.00000118
  -15.1551552     0.00008298     0.00000108
  -15.1151151     0.00069977     0.00001110
  -15.0750751     0.00428774     0.00009271
  -15.0350350     0.01909879     0.00058489
  -14.9949950     0.06189281     0.00286545
  -14.9549550     0.14609859     0.01126302
  -14.9149149     0.25162723     0.03630496
  -14.8748749     0.31695914     0.09557578
  -14.8348348     0.29294230     0.20003141
  -14.7947948     0.19948972     0.32221811
  -14.7547548     0.10061527     0.38953529
  -14.7147147     0.03780432     0.34789683
  -14.6746747     0.01064229     0.22754516
  -14.6346346     0.00224997     0.10849915
  -14.5945946     0.00032389     0.03764448
  -14.5545546    -0.00013562     0.00957883
  -14.5145145    -0.00062430     0.00213785
  -14.4744745    -0.00153889     0.00142828
  -14.4344344    -0.00221523     0.00260826
  -14.3943944     0.00110605     0.00410099
  -14.3543544     0.01974482     0.00503771
  -14.3143143     0.07581164     0.00615546
  -14.2742743     0.18831178     0.01206117
  -14.2342342     0.33466535     0.03417689
  -14.1941942     0.43642595     0.09302336
  -14.1541542     0.42403366     0.20799333
  -14.1141141     0.31257894     0.36156860
  -14.0740741     0.17883144     0.47436739
  -14.0340340     0.08119913     0.46188706
  -13.9939940     0.02981473     0.33097409
  -13.9539540     0.01010863     0.17434114
  -13.9139139     0.00854632     0.07000045
  -13.8738739     0.02104615     0.03127790
  -13.8338338     0.04721047     0.03883258
  -13.7937938     0.07796560     0.07151495
  -13.7537538     0.09352760     0.10447359
  -13.7137137     0.08155738     0.11153399
  -13.6736737     0.05253546     0.08648397
  -13.6336336     0.02915412     0.04893402
  -13.5935936     0.02800925     0.02175940
  -13.5535536     0.05471653     0.01445365
  -13.5135135     0.10071917     0.02912657
  -13.4734735     0.13851340     0.06586969
  -13.4334334     0.13873024     0.11237487
  -13.3933934     0.10124339     0.13960048
  -13.3533534     0.05497995     0.12623184
  -13.3133133     0.02666237     0.08431329
  -13.2732733     0.02473933     0.04681202
  -13.2332332     0.04668614     0.03724726
  -13.1931932     0.08325792     0.05821206
  -13.1531532     0.12055914     0.09349866
  -13.1131131     0.15556892     0.11626561
  -13.0730731     0.20139239     0.11207797
  -13.0330330     0.25675646     0.09670472
  -12.9929930     0.28833283     0.10064912
  -12.9529530     0.27127929     0.14229274
  -12.9129129     0.22539683     0.21866607
  -12.8728729     0.18455812     0.30223911
  -12.8328328     0.15308528     0.34630739
  -12.7927928     0.11560833     0.31953465
  -12.7527528     0.07144909     0.23622701
  -12.7127127     0.03801855     0.14008822
  -12.6726727     0.03426869     0.06686345
  -12.6326326     0.07977159     0.02790603
  -12.5925926     0.19370547     0.02019558
  -12.5525526     0.36175020     0.04446362
  -12.5125125     0.51031511     0.10861788
  -12.4724725     0.55826198     0.21058697
  -12.4324324     0.49446444     0.32871998
  -12.3923924     0.36954546     0.43985129
  -12.3523524     0.23661727     0.52273246
  -12.3123123     0.12967346     0.53461727
  -12.2722723     0.06361642     0.44059018
  -12.2322322     0.03174321     0.27779265
  -12.1921922     0.01708614     0.13094744
  -12.1521522     0.00890027     0.04822097
  -12.1121121     0.00579455     0.02117311
  -12.0720721     0.01102352     0.02359561
  -12.0320320     0.02864065     0.03765282
  -11.9919920     0.05855513     0.05420857
  -11.9519520     0.09187634     0.06683189
  -11.9119119     0.11461022     0.06999442
  -11.8718719     0.11943128     0.06454883
  -11.8318318     0.11212169     0.06104957
  -11.7917918     0.10206406     0.06784827
  -11.7517518     0.08901009     0.07797365
  -11.7117117     0.06830840     0.07957146
  -11.6716717     0.04619769     0.07668922
  -11.6316316     0.03922444     0.08522086
  -11.5915916     0.05942922     0.10957931
  -11.5515516     0.10176835     0.13820862
  -11.5115115     0.14229357     0.15988558
  -11.4714715     0.15329498     0.16876058
  -11.4314314     0.12654416     0.15879096
  -11.3913914     0.07927773     0.12966714
  -11.3513514     0.03633602     0.09160800
  -11.3113113     0.01063441     0.05521228
  -11.2712713     0.00094409     0.02515062
  -11.2312312     0.00124699     0.00467663
  -11.1911912     0.00714250    -0.00310403
  -11.1511512     0.01563142     0.00115562
  -11.1111111     0.02291934     0.01228693
  -11.0710711     0.02507582     0.02460850
  -11.0310310     0.02109275     0.03614614
  -10.9909910     0.01294678     0.04599652
  -10.9509510     0.00270231     0.04848040
  -10.9109109    -0.00776182     0.03623112
  -10.8708709    -0.01589609     0.00919140
  -10.8308308    -0.02073860    -0.02321846
  -10.7907908    -0.02387602    -0.04725899
  -10.7507508    -0.02567323    -0.05344122
  -10.7107107    -0.02318792    -0.04469654
  -10.6706707    -0.01404159    -0.03321401
  -10.6306306    -0.00071355    -0.02665560
  -10.5905906     0.01050887    -0.02265409
  -10.5505506     0.01477778    -0.01755246
  -10.5105105     0.01262705    -0.01310105
  -10.4704705     0.00865511    -0.01146398
  -10.4304304     0.00722689    -0.00984315
  -10.3903904     0.00991797    -0.00462861
  -10.3503504     0.01551390     0.00316167
  -10.3103103     0.02108702     0.00976063
  -10.2702703     0.02359494     0.01309372
  -10.2302302     0.02158243     0.01403481
  -10.1901902     0.01591279     0.01488819
