#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000000     0.00000000
  -17.9979980     0.00000000     0.00000000
  -17.9579580     0.00000000     0.00000000
  -17.9179179     0.00000000     0.00000000
  -17.8778779     0.00000002     0.00000002
  -17.8378378     0.00000017     0.00000017
  -17.7977978     0.00000108     0.00000108
  -17.7577578     0.00000505     0.00000505
  -17.7177177     0.00001711     0.00001710
  -17.6776777     0.00004203     0.00004202
  -17.6376376     0.00007493     0.00007491
  -17.5975976     0.00009695     0.00009692
  -17.5575576     0.00009102     0.00009100
  -17.5175175     0.00006202     0.00006200
  -17.4774775     0.00003067     0.00003066
  -17.4374374     0.00001100     0.00001100
  -17.3973974     0.00000287     0.00000286
  -17.3573574     0.00000054     0.00000054
  -17.3173173     0.00000007     0.00000007
  -17.2772773     0.00000002     0.00000002
  -17.2372372     0.00000018     0.00000018
  -17.1971972     0.00000234     0.00000234
  -17.1571572     0.00002160     0.00002163
  -17.1171171     0.00014444     0.00014466
  -17.0770771     0.00069864     0.00069967
  -17.0370370     0.00243584     0.00243944
  -16.9969970     0.00608037     0.00608940
  -16.9569570     0.01070945     0.01072582
  -16.9169169     0.01286146     0.01288278
  -16.8768769     0.00953489     0.00955472
  -16.8368368     0.00251255     0.00252551
  -16.7967968    -0.00301011    -0.00300435
  -16.7567568    -0.00428054    -0.00427894
  -16.7167167    -0.00283861    -0.00283842
  -16.6766767    -0.00120573    -0.00120577
  -16.6366366    -0.00035361    -0.00035363
  -16.5965966    -0.00007878    -0.00007879
  -16.5565566    -0.00007217    -0.00007218
  -16.5165165    -0.00051089    -0.00051096
  -16.4764765    -0.00315502    -0.00315537
  -16.4364364    -0.01480580    -0.01480722
  -16.3963964    -0.05418444    -0.05418889
  -16.3563564    -0.15938640    -0.15939724
  -16.3163163    -0.38327243    -0.38329252
  -16.2762763    -0.74720416    -0.74723009
  -16.2362362    -1.14906187    -1.14907926
  -16.1961962    -1.35239715    -1.35238958
  -16.1561562    -1.19074307    -1.19071105
  -16.1161161    -0.77330512    -0.77326767
  -16.0760761    -0.36752500    -0.36749925
  -16.0360360    -0.12729962    -0.12728795
  -15.9959960    -0.03206745    -0.03206382
  -15.9559560    -0.00588549    -0.00588470
  -15.9159159    -0.00098997    -0.00098988
  -15.8758759    -0.00191225    -0.00191247
  -15.8358358    -0.01165122    -0.01165244
  -15.7957958    -0.05357691    -0.05358157
  -15.7557558    -0.17886494    -0.17887722
  -15.7157157    -0.43334348    -0.43336526
  -15.6756757    -0.76198128    -0.76200559
  -15.6356356    -0.97307327    -0.97308654
  -15.5955956    -0.90607939    -0.90607570
  -15.5555556    -0.63032612    -0.63031433
  -15.5155155    -0.37468219    -0.37467514
  -15.4754755    -0.29212404    -0.29212577
  -15.4354354    -0.36717429    -0.36717873
  -15.3953954    -0.49190895    -0.49190624
  -15.3553554    -0.56263271    -0.56261684
  -15.3153153    -0.52900056    -0.52897395
  -15.2752753    -0.40398030    -0.40395198
  -15.2352352    -0.24760638    -0.24758522
  -15.1951952    -0.12739071    -0.12738024
  -15.1551552    -0.08254351    -0.08254287
  -15.1151151    -0.12223102    -0.12223835
  -15.0750751    -0.24094133    -0.24095455
  -15.0350350    -0.42707791    -0.42709396
  -14.9949950    -0.66539457    -0.66540920
  -14.9549550    -0.92069470    -0.92070195
  -14.9149149    -1.11424484    -1.11423855
  -14.8748749    -1.15146511    -1.15144435
  -14.8348348    -0.99428903    -0.99426060
  -14.7947948    -0.70132070    -0.70129444
  -14.7547548    -0.39528204    -0.39526443
  -14.7147147    -0.17952600    -0.17951787
  -14.6746747    -0.07812186    -0.07812045
  -14.6346346    -0.05171593    -0.05171785
  -14.5945946    -0.05048976    -0.05049243
  -14.5545546    -0.04878159    -0.04878389
  -14.5145145    -0.04985170    -0.04985390
  -14.4744745    -0.06773110    -0.06773359
  -14.4344344    -0.10180985    -0.10181170
  -14.3943944    -0.13046244    -0.13046209
  -14.3543544    -0.13433285    -0.13433035
  -14.3143143    -0.11915044    -0.11914755
  -14.2742743    -0.10365739    -0.10365526
  -14.2342342    -0.09267601    -0.09267424
  -14.1941942    -0.07679071    -0.07678872
  -14.1541542    -0.05229773    -0.05229578
  -14.1141141    -0.02742797    -0.02742659
  -14.0740741    -0.01076572    -0.01076503
  -14.0340340    -0.00312111    -0.00312087
  -13.9939940    -0.00066369    -0.00066363
  -13.9539540    -0.00010315    -0.00010313
  -13.9139139    -0.00001245    -0.00001245
  -13.8738739    -0.00000986    -0.00000987
  -13.8338338    -0.00007389    -0.00007390
  -13.7937938    -0.00044432    -0.00044434
  -13.7537538    -0.00194028    -0.00194038
  -13.7137137    -0.00614882    -0.00614908
  -13.6736737    -0.01414115    -0.01414167
  -13.6336336    -0.02360890    -0.02360961
  -13.5935936    -0.02867934    -0.02868004
  -13.5535536    -0.02579685    -0.02579744
  -13.5135135    -0.01935793    -0.01935880
  -13.4734735    -0.01930628    -0.01930823
  -13.4334334    -0.03322335    -0.03322675
  -13.3933934    -0.05824197    -0.05824543
  -13.3533534    -0.07854235    -0.07854311
  -13.3133133    -0.07747392    -0.07747075
  -13.2732733    -0.05550967    -0.05550459
  -13.2332332    -0.02882253    -0.02881842
  -13.1931932    -0.01055594    -0.01055381
  -13.1531532    -0.00125395    -0.00125313
  -13.1131131     0.00580486     0.00580532
  -13.0730731     0.01711886     0.01711941
  -13.0330330     0.03363779     0.03363834
  -12.9929930     0.04786554     0.04786567
  -12.9529530     0.04960265     0.04960214
  -12.9129129     0.03799925     0.03799863
  -12.8728729     0.02483334     0.02483407
  -12.8328328     0.02745802     0.02746313
  -12.7927928     0.06351963     0.06353362
  -12.7527528     0.14111374     0.14113859
  -12.7127127     0.23604853     0.23607782
  -12.6726727     0.29401098     0.29403310
  -12.6326326     0.28885847     0.28886952
  -12.5925926     0.26269006     0.26269703
  -12.5525526     0.26674076     0.26674918
  -12.5125125     0.28404277     0.28404939
  -12.4724725     0.25818592     0.25818627
  -12.4324324     0.17891212     0.17890776
  -12.3923924     0.09116527     0.09116072
  -12.3523524     0.03394344     0.03394095
  -12.3123123     0.01015623     0.01015558
  -12.2722723     0.00806472     0.00806577
  -12.2322322     0.02798172     0.02798644
  -12.1921922     0.08996197     0.08997447
  -12.1521522     0.21510915     0.21513165
  -12.1121121     0.38285113     0.38287807
  -12.0720721     0.51984264     0.51986373
  -12.0320320     0.57424881     0.57426215
  -11.9919920     0.58602527     0.58603917
  -11.9519520     0.62962407     0.62964201
  -11.9119119     0.72079325     0.72080922
  -11.8718719     0.83136673     0.83137591
  -11.8318318     0.92860752     0.92860664
  -11.7917918     0.95819549     0.95817928
  -11.7517518     0.88373035     0.88370369
  -11.7117117     0.76626394     0.76624621
  -11.6716717     0.70521580     0.70521826
  -11.6316316     0.70301508     0.70302545
  -11.5915916     0.67876460     0.67876557
  -11.5515516     0.60697623     0.60696909
  -11.5115115     0.55551722     0.55551514
  -11.4714715     0.57009154     0.57009678
  -11.4314314     0.59898172     0.59898356
  -11.3913914     0.56999150     0.56998330
  -11.3513514     0.48373705     0.48372392
  -11.3113113     0.39832918     0.39832118
  -11.2712713     0.36525239     0.36525656
  -11.2312312     0.39631676     0.39633224
  -11.1911912     0.46360533     0.46362374
  -11.1511512     0.52828187     0.52829538
  -11.1111111     0.57625177     0.57625900
  -11.0710711     0.61318587     0.61318838
  -11.0310310     0.63774450     0.63774287
  -10.9909910     0.64437252     0.64436683
  -10.9509510     0.63730235     0.63729210
  -10.9109109     0.61802578     0.61800993
  -10.8708709     0.57045589     0.57043653
  -10.8308308     0.48098257     0.48096611
  -10.7907908     0.36562054     0.36561193
  -10.7507508     0.26406328     0.26406234
