#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986    -0.00000000    -0.00000000
  -18.5585586    -0.00000001    -0.00000001
  -18.5185185    -0.00000017    -0.00000017
  -18.4784785    -0.00000238    -0.00000238
  -18.4384384    -0.00002381    -0.00002375
  -18.3983984    -0.00017301    -0.00017266
  -18.3583584    -0.00091743    -0.00091602
  -18.3183183    -0.00357689    -0.00357293
  -18.2782783    -0.01042770    -0.01042026
  -18.2382382    -0.02351955    -0.02351028
  -18.1981982    -0.04336922    -0.04336091
  -18.1581582    -0.06911361    -0.06910758
  -18.1181181    -0.09615375    -0.09615561
  -18.0780781    -0.11155819    -0.11158145
  -18.0380380    -0.10172123    -0.10177020
  -17.9979980    -0.06995845    -0.07001488
  -17.9579580    -0.03551898    -0.03556013
  -17.9179179    -0.01318265    -0.01320273
  -17.8778779    -0.00356148    -0.00356822
  -17.8378378    -0.00070026    -0.00070184
  -17.7977978    -0.00011444    -0.00011465
  -17.7577578    -0.00014783    -0.00014741
  -17.7177177    -0.00092608    -0.00092355
  -17.6776777    -0.00451211    -0.00450212
  -17.6376376    -0.01601941    -0.01599250
  -17.5975976    -0.04197909    -0.04193125
  -17.5575576    -0.08390516    -0.08385266
  -17.5175175    -0.13604866    -0.13601998
  -17.4774775    -0.19275795    -0.19276504
  -17.4374374    -0.24623400    -0.24627272
  -17.3973974    -0.27542931    -0.27549823
  -17.3573574    -0.26152744    -0.26161693
  -17.3173173    -0.21153752    -0.21162528
  -17.2772773    -0.14723548    -0.14730792
  -17.2372372    -0.08625952    -0.08631385
  -17.1971972    -0.04051296    -0.04054745
  -17.1571572    -0.01457927    -0.01459585
  -17.1171171    -0.00393793    -0.00394344
  -17.0770771    -0.00103604    -0.00103601
  -17.0370370    -0.00172530    -0.00171885
  -16.9969970    -0.00736684    -0.00734398
  -16.9569570    -0.02574115    -0.02568372
  -16.9169169    -0.07070667    -0.07059946
  -16.8768769    -0.15638889    -0.15623548
  -16.8368368    -0.28410908    -0.28393656
  -16.7967968    -0.42446534    -0.42432328
  -16.7567568    -0.51141694    -0.51137074
  -16.7167167    -0.48285677    -0.48293992
  -16.6766767    -0.34833246    -0.34849533
  -16.6366366    -0.18874398    -0.18889383
  -16.5965966    -0.07606215    -0.07614928
  -16.5565566    -0.02269744    -0.02273178
  -16.5165165    -0.00513947    -0.00514848
  -16.4764765    -0.00163912    -0.00163872
  -16.4364364    -0.00346662    -0.00345995
  -16.3963964    -0.01015472    -0.01014027
  -16.3563564    -0.02338642    -0.02336479
  -16.3163163    -0.04401297    -0.04398368
  -16.2762763    -0.07367631    -0.07362729
  -16.2362362    -0.11383144    -0.11375289
  -16.1961962    -0.15392122    -0.15384285
  -16.1561562    -0.16878438    -0.16876165
  -16.1161161    -0.14526353    -0.14530750
  -16.0760761    -0.10124411    -0.10130991
  -16.0360360    -0.06288699    -0.06294089
  -15.9959960    -0.03807051    -0.03811881
  -15.9559560    -0.02172387    -0.02177496
  -15.9159159    -0.01044049    -0.01048380
  -15.8758759    -0.00389435    -0.00391970
  -15.8358358    -0.00111218    -0.00112252
  -15.7957958    -0.00048100    -0.00048532
  -15.7557558    -0.00181751    -0.00182464
  -15.7157157    -0.00909601    -0.00911264
  -15.6756757    -0.03428690    -0.03430019
  -15.6356356    -0.09609884    -0.09604681
  -15.5955956    -0.20166301    -0.20147389
  -15.5555556    -0.32066794    -0.32040345
  -15.5155155    -0.39363539    -0.39351537
  -15.4754755    -0.38232014    -0.38247967
  -15.4354354    -0.30074005    -0.30106355
  -15.3953954    -0.19335729    -0.19364395
  -15.3553554    -0.10036751    -0.10053198
  -15.3153153    -0.04095197    -0.04102037
  -15.2752753    -0.01274574    -0.01276764
  -15.2352352    -0.00292018    -0.00292656
  -15.1951952    -0.00118028    -0.00118301
  -15.1551552    -0.00684312    -0.00683873
  -15.1151151    -0.03298569    -0.03295209
  -15.0750751    -0.10439965    -0.10430708
  -15.0350350    -0.23379496    -0.23365066
  -14.9949950    -0.38552474    -0.38540330
  -14.9549550    -0.47942284    -0.47941083
  -14.9149149    -0.45550092    -0.45560658
  -14.8748749    -0.33110714    -0.33126100
  -14.8348348    -0.17984746    -0.17999213
  -14.7947948    -0.06002093    -0.06016949
  -14.7547548     0.02171058     0.02151582
  -14.7147147     0.08205767     0.08183705
  -14.6746747     0.12124980     0.12110566
  -14.6346346     0.12375351     0.12376775
  -14.5945946     0.08496211     0.08510917
  -14.5545546     0.02101456     0.02120071
  -14.5145145    -0.04066793    -0.04052877
  -14.4744745    -0.07392789    -0.07387870
  -14.4344344    -0.07006725    -0.07009382
  -14.3943944    -0.04461484    -0.04466614
  -14.3543544    -0.02009600    -0.02013321
  -14.3143143    -0.00660127    -0.00661913
  -14.2742743    -0.00229616    -0.00230932
  -14.2342342    -0.00439349    -0.00442474
  -14.1941942    -0.01605603    -0.01612713
  -14.1541542    -0.04521992    -0.04531635
  -14.1141141    -0.09240292    -0.09244916
  -14.0740741    -0.13413756    -0.13408713
  -14.0340340    -0.12900783    -0.12897082
  -13.9939940    -0.05611089    -0.05625700
  -13.9539540     0.05454078     0.05422798
  -13.9139139     0.13987518     0.13959536
  -13.8738739     0.15597536     0.15585713
  -13.8338338     0.11338880     0.11337449
  -13.7937938     0.05896475     0.05893932
  -13.7537538     0.03029314     0.03020476
  -13.7137137     0.03691610     0.03677146
  -13.6736737     0.07050488     0.07033252
  -13.6336336     0.11314152     0.11295994
  -13.5935936     0.14240773     0.14222320
  -13.5535536     0.14458560     0.14445284
  -13.5135135     0.12370484     0.12370603
  -13.4734735     0.09367855     0.09379589
  -13.4334334     0.06522550     0.06535634
  -13.3933934     0.04349098     0.04357307
  -13.3533534     0.03320998     0.03323163
  -13.3133133     0.03722007     0.03717521
  -13.2732733     0.04922066     0.04910958
  -13.2332332     0.05603018     0.05586819
  -13.1931932     0.04764664     0.04747317
  -13.1531532     0.02229106     0.02216550
  -13.1131131    -0.01158394    -0.01162718
  -13.0730731    -0.03794338    -0.03792423
  -13.0330330    -0.04706315    -0.04704444
  -12.9929930    -0.04422057    -0.04430116
  -12.9529530    -0.03858165    -0.03885254
  -12.9129129    -0.03088943    -0.03132113
  -12.8728729    -0.01830398    -0.01872485
  -12.8328328    -0.00406803    -0.00432134
  -12.7927928     0.00426568     0.00419704
  -12.7527528     0.00357151     0.00361133
  -12.7127127    -0.00174722    -0.00167834
  -12.6726727    -0.00579444    -0.00574308
  -12.6326326    -0.00761160    -0.00759127
  -12.5925926    -0.00986171    -0.00986424
  -12.5525526    -0.01399299    -0.01399792
  -12.5125125    -0.01911430    -0.01909768
  -12.4724725    -0.02449733    -0.02445263
  -12.4324324    -0.03246888    -0.03242303
  -12.3923924    -0.04800361    -0.04800548
  -12.3523524    -0.07148767    -0.07158712
  -12.3123123    -0.09215833    -0.09238228
  -12.2722723    -0.09718709    -0.09750819
  -12.2322322    -0.08834783    -0.08869337
  -12.1921922    -0.07966589    -0.07997466
  -12.1521522    -0.07833970    -0.07858866
  -12.1121121    -0.07835706    -0.07854046
  -12.0720721    -0.07298513    -0.07310926
  -12.0320320    -0.06370391    -0.06379508
  -11.9919920    -0.05565337    -0.05573102
  -11.9519520    -0.05204701    -0.05210267
  -11.9119119    -0.05404665    -0.05408018
  -11.8718719    -0.06084874    -0.06090461
  -11.8318318    -0.06908276    -0.06922677
  -11.7917918    -0.07467444    -0.07494178
  -11.7517518    -0.07694300    -0.07729309
  -11.7117117    -0.08100284    -0.08131363
  -11.6716717    -0.09252905    -0.09270792
  -11.6316316    -0.10838776    -0.10851428
  -11.5915916    -0.12028961    -0.12052346
  -11.5515516    -0.12910748    -0.12944675
  -11.5115115    -0.14229596    -0.14259001
  -11.4714715    -0.15627257    -0.15644663
  -11.4314314    -0.15605618    -0.15616427
  -11.3913914    -0.13409699    -0.13420273
  -11.3513514    -0.09910002    -0.09923664
  -11.3113113    -0.06658696    -0.06677693
  -11.2712713    -0.04853578    -0.04874785
  -11.2312312    -0.04877535    -0.04889856
  -11.1911912    -0.06167888    -0.06158383
  -11.1511512    -0.07805990    -0.07770601
  -11.1111111    -0.09251502    -0.09205061
  -11.0710711    -0.10203537    -0.10175390
  -11.0310310    -0.10402195    -0.10411024
