#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000005     0.00000003
  -18.3583584     0.00000077     0.00000047
  -18.3183183     0.00000791     0.00000474
  -18.2782783     0.00005930     0.00003488
  -18.2382382     0.00032293     0.00018647
  -18.1981982     0.00127840     0.00072422
  -18.1581582     0.00367927     0.00204363
  -18.1181181     0.00769894     0.00419048
  -18.0780781     0.01171417     0.00624453
  -18.0380380     0.01296108     0.00676332
  -17.9979980     0.01042928     0.00532467
  -17.9579580     0.00610356     0.00304755
  -17.9179179     0.00259810     0.00126819
  -17.8778779     0.00080445     0.00038375
  -17.8378378     0.00018119     0.00008440
  -17.7977978     0.00002964     0.00001268
  -17.7577578     0.00000274    -0.00000882
  -17.7177177    -0.00000949    -0.00009391
  -17.6776777    -0.00008744    -0.00062489
  -17.6376376    -0.00057142    -0.00306488
  -17.5975976    -0.00274514    -0.01116889
  -17.5575576    -0.00976189    -0.03044852
  -17.5175175    -0.02591228    -0.06239457
  -17.4774775    -0.05174949    -0.09594265
  -17.4374374    -0.07786813    -0.10885083
  -17.3973974    -0.08666899    -0.08591723
  -17.3573574    -0.06624732    -0.03636568
  -17.3173173    -0.02481803     0.01267567
  -17.2772773     0.01296796     0.03915986
  -17.2372372     0.02830881     0.03987555
  -17.1971972     0.02334809     0.02645048
  -17.1571572     0.01217134     0.01250349
  -17.1171171     0.00439025     0.00429436
  -17.0770771     0.00112779     0.00107051
  -17.0370370     0.00020228     0.00014642
  -16.9969970    -0.00003718    -0.00034546
  -16.9569570    -0.00046705    -0.00207042
  -16.9169169    -0.00253272    -0.00874116
  -16.8768769    -0.01032125    -0.02810281
  -16.8368368    -0.03208711    -0.06937501
  -16.7967968    -0.07667477    -0.13218043
  -16.7567568    -0.14138706    -0.19503981
  -16.7167167    -0.20106703    -0.22316033
  -16.6766767    -0.21901673    -0.19688491
  -16.6366366    -0.17936230    -0.13016294
  -16.5965966    -0.10539777    -0.05793735
  -16.5565566    -0.03913187    -0.00927246
  -16.5165165    -0.00570693     0.00787223
  -16.4764765    -0.00099582     0.00334342
  -16.4364364    -0.00692182    -0.00747227
  -16.3963964    -0.01028885    -0.01367076
  -16.3563564    -0.00847456    -0.01260370
  -16.3163163    -0.00468774    -0.00781633
  -16.2762763    -0.00199330    -0.00398026
  -16.2362362    -0.00172640    -0.00453506
  -16.1961962    -0.00636548    -0.01478258
  -16.1561562    -0.02394169    -0.04534627
  -16.1161161    -0.06818910    -0.10576009
  -16.0760761    -0.14525907    -0.18524067
  -16.0360360    -0.23032038    -0.24221393
  -15.9959960    -0.26646181    -0.23094204
  -15.9559560    -0.21060302    -0.14635137
  -15.9159159    -0.08397864    -0.03128563
  -15.8758759     0.04124299     0.06098961
  -15.8358358     0.10680062     0.10142493
  -15.7957958     0.10789172     0.09268718
  -15.7557558     0.07698974     0.05930386
  -15.7157157     0.04589812     0.02820112
  -15.6756757     0.02575844     0.01111016
  -15.6356356     0.01377590     0.00459264
  -15.5955956     0.00635349     0.00215506
  -15.5555556     0.00230126     0.00091819
  -15.5155155     0.00071213     0.00039620
  -15.4754755     0.00071069     0.00071365
  -15.4354354     0.00264562     0.00282778
  -15.3953954     0.00892780     0.00932377
  -15.3553554     0.02396092     0.02434864
  -15.3153153     0.05286677     0.05219686
  -15.2752753     0.09797181     0.09419343
  -15.2352352     0.15069878     0.14223048
  -15.1951952     0.18584635     0.17418533
  -15.1551552     0.17744182     0.16691318
  -15.1151151     0.12784750     0.12144877
  -15.0750751     0.06768295     0.06494914
  -15.0350350     0.02425426     0.02360909
  -14.9949950     0.00354390     0.00425508
  -14.9549550    -0.00139628     0.00026868
  -14.9149149     0.00060316     0.00254692
  -14.8748749     0.00264684     0.00398863
  -14.8348348     0.00071732     0.00038172
  -14.7947948    -0.00762359    -0.01039373
  -14.7547548    -0.02455140    -0.02841252
  -14.7147147    -0.04771526    -0.04832655
  -14.6746747    -0.06474446    -0.05814424
  -14.6346346    -0.05912094    -0.04625234
  -14.5945946    -0.02439110    -0.01016833
  -14.5545546     0.02949281     0.03958540
  -14.5145145     0.07925390     0.07956340
  -14.4744745     0.09806095     0.08528961
  -14.4344344     0.07583400     0.05484159
  -14.3943944     0.03209558     0.01400368
  -14.3543544    -0.00207038    -0.01051802
  -14.3143143    -0.01421590    -0.01610462
  -14.2742743    -0.01661795    -0.02043955
  -14.2342342    -0.02894017    -0.04297780
  -14.1941942    -0.06274539    -0.09021133
  -14.1541542    -0.11465656    -0.14652780
  -14.1141141    -0.16272152    -0.17867438
  -14.0740741    -0.17617514    -0.16231941
  -14.0340340    -0.14213265    -0.10511206
  -13.9939940    -0.07792831    -0.03366385
  -13.9539540    -0.00910068     0.03570294
  -13.9139139     0.05518630     0.09906406
  -13.8738739     0.11584972     0.14525245
  -13.8338338     0.16170018     0.15543487
  -13.7937938     0.17024000     0.12701704
  -13.7537538     0.13641657     0.08230971
  -13.7137137     0.08519251     0.04641314
  -13.6736737     0.04530987     0.02705669
  -13.6336336     0.02423735     0.01816418
  -13.5935936     0.01416722     0.01249577
  -13.5535536     0.00803846     0.00742289
  -13.5135135     0.00391334     0.00352128
  -13.4734735     0.00185471     0.00163011
  -13.4334334     0.00210965     0.00201441
  -13.3933934     0.00515094     0.00468120
  -13.3533534     0.01031603     0.00809297
  -13.3133133     0.01289771     0.00812360
  -13.2732733     0.00647159     0.00376769
  -13.2332332    -0.00546347     0.00561682
  -13.1931932    -0.00414765     0.02815221
  -13.1531532     0.02465660     0.06662445
  -13.1131131     0.06548042     0.09274579
  -13.0730731     0.08369129     0.08309930
  -13.0330330     0.06407150     0.04474752
  -12.9929930     0.02519093     0.00548497
  -12.9529530    -0.00558794    -0.01553734
  -12.9129129    -0.01882002    -0.02103366
  -12.8728729    -0.02323099    -0.02445987
  -12.8328328    -0.02922546    -0.03351634
  -12.7927928    -0.03730204    -0.04426367
  -12.7527528    -0.04001453    -0.04626359
  -12.7127127    -0.03104371    -0.03160463
  -12.6726727    -0.01079071    -0.00175215
  -12.6326326     0.01529297     0.03223846
  -12.5925926     0.04118445     0.05744108
  -12.5525526     0.06257479     0.06753436
  -12.5125125     0.07703806     0.06366986
  -12.4724725     0.08237188     0.04948973
  -12.4324324     0.07362516     0.02882730
  -12.3923924     0.04711898     0.00834395
  -12.3523524     0.01134754    -0.00408030
  -12.3123123    -0.01535495    -0.00674591
  -12.2722723    -0.02318030    -0.00508852
  -12.2322322    -0.01883283    -0.00514536
  -12.1921922    -0.01437493    -0.00961851
  -12.1521522    -0.01545837    -0.01796077
  -12.1121121    -0.02011185    -0.02738909
  -12.0720721    -0.02420979    -0.03555364
  -12.0320320    -0.02655163    -0.04306123
  -11.9919920    -0.02887698    -0.05139772
  -11.9519520    -0.03290064    -0.05832999
  -11.9119119    -0.03866908    -0.05786491
  -11.8718719    -0.04370785    -0.04677235
  -11.8318318    -0.04352092    -0.03011387
  -11.7917918    -0.03596769    -0.01758829
  -11.7517518    -0.02556553    -0.01567987
  -11.7117117    -0.02118389    -0.02529592
  -11.6716717    -0.02886922    -0.04295243
  -11.6316316    -0.04667455    -0.06111105
  -11.5915916    -0.06477455    -0.07090549
  -11.5515516    -0.07149987    -0.06806151
  -11.5115115    -0.06255269    -0.05673434
  -11.4714715    -0.04520103    -0.04695798
  -11.4314314    -0.03264469    -0.04587365
  -11.3913914    -0.03345258    -0.05087907
  -11.3513514    -0.04479827    -0.05363317
  -11.3113113    -0.05565881    -0.04953128
  -11.2712713    -0.05829191    -0.04083554
  -11.2312312    -0.05551258    -0.03337455
  -11.1911912    -0.05500246    -0.03305365
  -11.1511512    -0.06044237    -0.04278084
  -11.1111111    -0.07109092    -0.06023765
  -11.0710711    -0.08423677    -0.07984334
  -11.0310310    -0.09355938    -0.09597910
  -10.9909910    -0.09122326    -0.10336240
  -10.9509510    -0.07759462    -0.09900152
  -10.9109109    -0.06457825    -0.08626655
  -10.8708709    -0.06524074    -0.07415788
  -10.8308308    -0.08217265    -0.07057275
  -10.7907908    -0.10589647    -0.07527830
  -10.7507508    -0.12395653    -0.08087345
  -10.7107107    -0.13099106    -0.08334920
  -10.6706707    -0.12686864    -0.08787244
  -10.6306306    -0.11011651    -0.09852360
  -10.5905906    -0.08163417    -0.10742527
  -10.5505506    -0.05021726    -0.10219780
  -10.5105105    -0.02707725    -0.08130386
  -10.4704705    -0.01694251    -0.05575633
  -10.4304304    -0.01665594    -0.03718169
