# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 97
# Emin, Emax in file for selected band(s):   -110.3482780    216.8072390
# Nbands, Nspin, Nk   =     97     2    46
# E_F                 =    -6.5617 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
   -110.648278      0.000000      0.000000      0.000000
   -109.001265      0.000000      0.000000      0.000000
   -107.354253      0.000000      0.000000      0.000000
   -105.707240      0.000000      0.000000      0.000000
   -104.060227      0.000000      0.000000      0.000000
   -102.413215      0.000000      0.000000      0.000000
   -100.766202      0.000000      0.000000      0.000000
    -99.119189      0.000000      0.000000      0.000000
    -97.472177      0.000000      0.000000      0.000000
    -95.825164      0.000000      0.000000      0.000000
    -94.178152      0.000000      0.000000      0.000000
    -92.531139      0.000000      0.000000      0.000000
    -90.884126      0.000000      0.000000      0.000000
    -89.237114      0.000000      0.000000      0.000000
    -87.590101      0.000000      0.000000      0.000000
    -85.943088      0.000000      0.000000      0.000000
    -84.296076      0.000000      0.000000      0.000000
    -82.649063      0.000000      0.000000      0.000000
    -81.002050      0.000000      0.000000      0.000000
    -79.355038      0.000000      0.000000      0.000000
    -77.708025      0.000000      0.000000      0.000000
    -76.061012      0.000000      0.000000      0.000000
    -74.414000      0.000000      0.000000      0.000000
    -72.766987      0.000000      0.000000      0.000000
    -71.119974      0.000000      0.000000      0.000000
    -69.472962      0.000000      0.000000      0.000000
    -67.825949      0.000000      0.000000      0.000000
    -66.178936      0.000000      0.000000      0.000000
    -64.531924      0.000000      0.000000      0.000000
    -62.884911      0.000000      0.000000      0.000000
    -61.237899      0.000000      0.000000      0.000000
    -59.590886      0.000000      0.000000      0.000000
    -57.943873      0.000000      0.000000      0.000000
    -56.296861      0.000000      0.000000      0.000000
    -54.649848      0.000000      0.000000      0.000000
    -53.002835      0.000000      0.000000      0.000000
    -51.355823      0.000000      0.000000      0.000000
    -49.708810      0.000000      0.000000      0.000000
    -48.061797      0.000000      0.000000      0.000000
    -46.414785      0.000000      0.000025      0.000025
    -44.767772      0.000000      0.000000      0.000000
    -43.120759      0.000000      0.000000      0.000000
    -41.473747      0.000000      0.000000      0.000000
    -39.826734      0.000000      0.000000      0.000000
    -38.179721      0.000000      0.000000      0.000000
    -36.532709      0.000000      0.000000      0.000000
    -34.885696      0.000000      0.000000      0.000000
    -33.238684      0.000000      0.000000      0.000000
    -31.591671      0.000000      0.000000      0.000000
    -29.944658      0.000000      0.000000      0.000000
    -28.297646      0.000000      0.000000      0.000000
    -26.650633      0.000000      0.000000      0.000000
    -25.003620      0.000000      0.000000      0.000000
    -23.356608      0.000000      0.000000      0.000000
    -21.709595      0.000000      0.000000      0.000000
    -20.062582      0.000000      0.000000      0.000000
    -18.415570      0.000000      0.000000      0.000000
    -16.768557      0.000000      0.000000      0.000000
    -15.121544      3.910464      5.511570      9.422034
    -13.474532      0.000000      0.000000      0.000000
    -11.827519      0.000000      0.000000      0.000000
    -10.180506      0.606998      0.000419      0.607417
     -8.533494      0.199969      0.000000      0.199969
     -6.886481      0.658872      0.127164      0.786036
     -5.239469      0.896160      0.008690      0.904850
     -3.592456      3.583991      0.873002      4.456993
     -1.945443      4.631752      2.299439      6.931191
     -0.298431      3.335601      3.285850      6.621451
      1.348582      0.222696      4.524784      4.747481
      2.995595      0.026073      0.761073      0.787147
      4.642607      0.248941      0.769229      1.018170
      6.289620      0.048999      0.977081      1.026080
      7.936633      0.548281      0.678379      1.226660
      9.583645      0.006587      0.625667      0.632255
     11.230658      0.247284      0.000599      0.247883
     12.877671      0.632133      0.844125      1.476258
     14.524683      0.215705      1.233630      1.449334
     16.171696      1.178144      0.186084      1.364228
