#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000    -0.00000000
  -18.1181181    -0.00000000    -0.00000002
  -18.0780781    -0.00000001    -0.00000030
  -18.0380380    -0.00000022    -0.00000400
  -17.9979980    -0.00000301    -0.00003853
  -17.9579580    -0.00003045    -0.00026905
  -17.9179179    -0.00022370    -0.00136323
  -17.8778779    -0.00119280    -0.00501250
  -17.8378378    -0.00461541    -0.01337478
  -17.7977978    -0.01295987    -0.02589800
  -17.7577578    -0.02640819    -0.03639104
  -17.7177177    -0.03905036    -0.03710957
  -17.6776777    -0.04190567    -0.02747373
  -17.6376376    -0.03264581    -0.01483982
  -17.5975976    -0.01853394    -0.00619269
  -17.5575576    -0.00800642    -0.00315826
  -17.5175175    -0.00377779    -0.00415390
  -17.4774775    -0.00429554    -0.00695747
  -17.4374374    -0.00697136    -0.00906930
  -17.3973974    -0.00906531    -0.00863132
  -17.3573574    -0.00863340    -0.00596859
  -17.3173173    -0.00597444    -0.00304276
  -17.2772773    -0.00303467    -0.00148942
  -17.2372372    -0.00139608    -0.00251984
  -17.1971972    -0.00208326    -0.00908479
  -17.1571572    -0.00775301    -0.02662437
  -17.1171171    -0.02408235    -0.05753576
  -17.0770771    -0.05521935    -0.09265793
  -17.0370370    -0.09414883    -0.11549667
  -16.9969970    -0.12315486    -0.12025420
  -16.9569570    -0.13190773    -0.11506433
  -16.9169169    -0.12714470    -0.10414480
  -16.8768769    -0.11653702    -0.08368665
  -16.8368368    -0.09743972    -0.05699381
  -16.7967968    -0.06990821    -0.03575635
  -16.7567568    -0.04456432    -0.02538108
  -16.7167167    -0.03006167    -0.02099510
  -16.6766767    -0.02421018    -0.01670968
  -16.6366366    -0.02046653    -0.01136532
  -16.5965966    -0.01553701    -0.00641888
  -16.5565566    -0.00982393    -0.00296746
  -16.5165165    -0.00495893    -0.00113907
  -16.4764765    -0.00199126    -0.00067870
  -16.4364364    -0.00103658    -0.00201738
  -16.3963964    -0.00255971    -0.00776632
  -16.3563564    -0.00937167    -0.02354620
  -16.3163163    -0.02726651    -0.05494054
  -16.2762763    -0.06160628    -0.09877600
  -16.2362362    -0.11008830    -0.13687575
  -16.1961962    -0.15806912    -0.14639137
  -16.1561562    -0.18383210    -0.12148442
  -16.1161161    -0.17316138    -0.07906630
  -16.0760761    -0.13149206    -0.04117729
  -16.0360360    -0.08058645    -0.01820579
  -15.9959960    -0.04171017    -0.00815168
  -15.9559560    -0.02171267    -0.00411606
  -15.9159159    -0.01381797    -0.00049313
  -15.8758759    -0.00858395     0.00432760
  -15.8358358    -0.00239985     0.00843433
  -15.7957958     0.00279910     0.00937040
  -15.7557558     0.00470754     0.00709740
  -15.7157157     0.00374722     0.00384439
  -15.6756757     0.00194152     0.00162917
  -15.6356356     0.00057979     0.00107581
  -15.5955956    -0.00065151     0.00226344
  -15.5555556    -0.00356297     0.00529144
  -15.5155155    -0.01092868     0.00936110
  -15.4754755    -0.02373851     0.01204063
  -15.4354354    -0.03703036     0.01081370
  -15.3953954    -0.04174233     0.00544770
  -15.3553554    -0.03459083    -0.00197230
  -15.3153153    -0.02286804    -0.00879191
  -15.2752753    -0.01640208    -0.01336455
  -15.2352352    -0.01838957    -0.01621850
  -15.1951952    -0.02534594    -0.01901216
  -15.1551552    -0.03192122    -0.02127911
  -15.1151151    -0.03394618    -0.02110117
  -15.0750751    -0.03015483    -0.02060779
  -15.0350350    -0.02443034    -0.02628587
  -14.9949950    -0.02445279    -0.04003994
  -14.9549550    -0.03402047    -0.05279828
  -14.9149149    -0.04652518    -0.05252879
  -14.8748749    -0.04989591    -0.03821879
  -14.8348348    -0.03979069    -0.02011867
  -14.7947948    -0.02361901    -0.00755129
  -14.7547548    -0.01048469    -0.00407941
  -14.7147147    -0.00362583    -0.01465899
  -14.6746747    -0.00488536    -0.04904810
  -14.6346346    -0.02173189    -0.10811017
  -14.5945946    -0.06411950    -0.16578791
  -14.5545546    -0.12789288    -0.18166439
  -14.5145145    -0.18190836    -0.14336361
  -14.4744745    -0.18794717    -0.08118117
  -14.4344344    -0.14172706    -0.03239849
  -14.3943944    -0.07803422    -0.00886359
  -14.3543544    -0.03152130    -0.00315228
  -14.3143143    -0.01044028    -0.00843563
  -14.2742743    -0.00738631    -0.02541467
  -14.2342342    -0.01709531    -0.05560487
  -14.1941942    -0.03900568    -0.09079996
  -14.1541542    -0.06876431    -0.11245352
  -14.1141141    -0.09295422    -0.10779488
  -14.0740741    -0.09762903    -0.08505691
  -14.0340340    -0.08315624    -0.06550196
  -13.9939940    -0.06532949    -0.06240403
  -13.9539540    -0.06031799    -0.07305852
  -13.9139139    -0.07252864    -0.08628573
  -13.8738739    -0.09412227    -0.09227623
  -13.8338338    -0.11012484    -0.08744251
  -13.7937938    -0.10846394    -0.07280541
  -13.7537538    -0.08949909    -0.05084288
  -13.7137137    -0.06285036    -0.02587361
  -13.6736737    -0.03743083    -0.00464465
  -13.6336336    -0.01793099     0.00561944
  -13.5935936    -0.00638153    -0.00046083
  -13.5535536    -0.00426118    -0.02370084
  -13.5135135    -0.01440797    -0.05629484
  -13.4734735    -0.03872052    -0.08162488
  -13.4334334    -0.07032829    -0.08535861
  -13.3933934    -0.09162451    -0.06899114
  -13.3533534    -0.08872416    -0.04644348
  -13.3133133    -0.06661860    -0.02893100
  -13.2732733    -0.04190753    -0.01984763
  -13.2332332    -0.02510509    -0.01946051
  -13.1931932    -0.01768396    -0.02582781
  -13.1531532    -0.01892942    -0.03272827
  -13.1131131    -0.02661757    -0.03358161
  -13.0730731    -0.03418504    -0.02881900
  -13.0330330    -0.03454797    -0.02498652
  -12.9929930    -0.02805956    -0.02545979
  -12.9529530    -0.02264521    -0.02647754
  -12.9129129    -0.02444630    -0.02362108
  -12.8728729    -0.03101410    -0.01790745
  -12.8328328    -0.03509053    -0.01361282
  -12.7927928    -0.03295691    -0.01360580
  -12.7527528    -0.02687737    -0.01853527
  -12.7127127    -0.02149919    -0.02746931
  -12.6726727    -0.02073570    -0.03864526
  -12.6326326    -0.02599734    -0.05304585
  -12.5925926    -0.03608915    -0.07427074
  -12.5525526    -0.05100232    -0.09799614
  -12.5125125    -0.07235813    -0.10819952
  -12.4724725    -0.09486214    -0.09434557
  -12.4324324    -0.10440614    -0.06496313
  -12.3923924    -0.09267673    -0.03685230
  -12.3523524    -0.06686547    -0.02007870
  -12.3123123    -0.04090999    -0.01694338
  -12.2722723    -0.02457521    -0.02589106
  -12.2322322    -0.02093934    -0.04155083
  -12.1921922    -0.02657027    -0.05502846
  -12.1521522    -0.03337479    -0.05835748
  -12.1121121    -0.03551213    -0.04949378
  -12.0720721    -0.03498703    -0.03344596
  -12.0320320    -0.03638972    -0.01874598
  -11.9919920    -0.03790974    -0.01174919
  -11.9519520    -0.03368056    -0.01364363
  -11.9119119    -0.02355163    -0.02152201
  -11.8718719    -0.01453601    -0.03094812
  -11.8318318    -0.01380996    -0.03847097
  -11.7917918    -0.02388831    -0.04215690
  -11.7517518    -0.04155508    -0.03998412
  -11.7117117    -0.05814177    -0.03101145
  -11.6716717    -0.06360352    -0.01874588
  -11.6316316    -0.05408570    -0.00931255
  -11.5915916    -0.03560260    -0.00600004
  -11.5515516    -0.01863963    -0.00792546
  -11.5115115    -0.00939246    -0.01256407
  -11.4714715    -0.00712396    -0.01743086
  -11.4314314    -0.00810592    -0.02020999
  -11.3913914    -0.00986835    -0.01927148
  -11.3513514    -0.01181307    -0.01491284
  -11.3113113    -0.01351660    -0.00957045
  -11.2712713    -0.01478446    -0.00619672
  -11.2312312    -0.01712102    -0.00667095
  -11.1911912    -0.02175940    -0.01144584
  -11.1511512    -0.02592061    -0.01897186
  -11.1111111    -0.02496023    -0.02534387
  -11.0710711    -0.01884395    -0.02721391
  -11.0310310    -0.01312669    -0.02573523
  -10.9909910    -0.01340089    -0.02508339
  -10.9509510    -0.02049102    -0.02707597
  -10.9109109    -0.02974968    -0.02963589
  -10.8708709    -0.03440057    -0.03002911
  -10.8308308    -0.03123751    -0.02794679
  -10.7907908    -0.02311708    -0.02606453
  -10.7507508    -0.01550636    -0.02768813
  -10.7107107    -0.01220686    -0.03230694
  -10.6706707    -0.01506621    -0.03454079
  -10.6306306    -0.02520220    -0.03000669
  -10.5905906    -0.04148428    -0.02099280
  -10.5505506    -0.05809547    -0.01445519
  -10.5105105    -0.06676093    -0.01612681
  -10.4704705    -0.06382115    -0.02695947
  -10.4304304    -0.05358613    -0.04175074
  -10.3903904    -0.04245855    -0.05054371
  -10.3503504    -0.03300262    -0.04604238
  -10.3103103    -0.02638851    -0.03115430
  -10.2702703    -0.02536777    -0.01567949
  -10.2302302    -0.03102337    -0.00630512
  -10.1901902    -0.03915003    -0.00313263
