# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 50
# Emin, Emax in file for selected band(s):    -87.1667428    244.1419360
# Nbands, Nspin, Nk   =     50     2    89
# E_F                 =    -7.7239 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    -87.466743      0.000000      0.000000      0.000000
    -85.798860      0.000000      0.000000      0.000000
    -84.130977      0.000000      0.000000      0.000000
    -82.463094      0.000000      0.000000      0.000000
    -80.795212      0.000000      0.000000      0.000000
    -79.127329      0.000003      0.000003      0.000005
    -77.459446      0.000000      0.000000      0.000000
    -75.791563      0.000000      0.000000      0.000000
    -74.123680      0.000000      0.000000      0.000000
    -72.455798      0.000000      0.000000      0.000000
    -70.787915      0.000000      0.000000      0.000000
    -69.120032      0.000000      0.000000      0.000000
    -67.452149      0.000000      0.000000      0.000000
    -65.784266      0.000000      0.000000      0.000000
    -64.116383      0.000000      0.000000      0.000000
    -62.448501      0.000000      0.000000      0.000000
    -60.780618      0.000000      0.000000      0.000000
    -59.112735      0.000000      0.000000      0.000000
    -57.444852      0.000000      0.000000      0.000000
    -55.776969      0.000000      0.000000      0.000000
    -54.109087      0.000000      0.000000      0.000000
    -52.441204      0.000000      0.000000      0.000000
    -50.773321      0.000000      0.000000      0.000000
    -49.105438      0.000000      0.000000      0.000000
    -47.437555      8.283601      8.283858     16.567459
    -45.769673      0.000000      0.000000      0.000000
    -44.101790      0.000000      0.000000      0.000000
    -42.433907      0.000000      0.000000      0.000000
    -40.766024      0.000000      0.000000      0.000000
    -39.098141      0.000000      0.000000      0.000000
    -37.430259      0.000000      0.000000      0.000000
    -35.762376      0.000000      0.000000      0.000000
    -34.094493      0.000000      0.000000      0.000000
    -32.426610      0.000000      0.000000      0.000000
    -30.758727      0.000000      0.000000      0.000000
    -29.090845      0.000000      0.000000      0.000000
    -27.422962      0.000000      0.000000      0.000000
    -25.755079      0.000000      0.000000      0.000000
    -24.087196      0.000000      0.000000      0.000000
    -22.419313      0.000000      0.000000      0.000000
    -20.751430      0.000000      0.000000      0.000000
    -19.083548      0.000000      0.000000      0.000000
    -17.415665      0.000000      0.000000      0.000000
    -15.747782      0.000000      0.000000      0.000000
    -14.079899      0.000000      0.000000      0.000000
    -12.412016      0.000000      0.000000      0.000000
    -10.744134      0.000000      0.000000      0.000000
     -9.076251      0.000000      0.000000      0.000000
     -7.408368      0.000000      0.000000      0.000000
     -5.740485      0.295753      0.295752      0.591505
     -4.072602      1.957761      1.957770      3.915531
     -2.404720      1.996631      1.996634      3.993265
     -0.736837      0.845560      0.845539      1.691099
      0.931046      1.024977      1.025015      2.049993
      2.598929      0.332136      0.332123      0.664258
      4.266812      0.180859      0.180856      0.361715
      5.934694      0.000000      0.000000      0.000000
      7.602577      0.267899      0.267902      0.535802
      9.270460      0.293015      0.293020      0.586035
     10.938343      0.376206      0.376198      0.752405
     12.606226      0.137275      0.137268      0.274543
     14.274108      0.623247      0.623246      1.246494
     15.941991      0.254353      0.254354      0.508707
     17.609874      0.019654      0.019655      0.039308
     19.277757      1.910871      1.910864      3.821735
     20.945640      0.004656      0.004656      0.009312
     22.613523      0.010483      0.010483      0.020966
     24.281405      0.057827      0.057828      0.115656
     25.949288      0.146728      0.146728      0.293456
     27.617171      0.020413      0.020414      0.040827
     29.285054      0.457404      0.457420      0.914824
     30.952937      0.337444      0.337446      0.674890
     32.620819      0.611530      0.611532      1.223062
     34.288702      0.292058      0.292070      0.584128
     35.956585      0.000000      0.000000      0.000000
     37.624468      0.214915      0.214929      0.429844
     39.292351      0.626819      0.626818      1.253637
     40.960233      0.033069      0.033070      0.066139
     42.628116      0.000079      0.000079      0.000158
     44.295999      0.000250      0.000250      0.000500
     45.963882      0.003966      0.003966      0.007932
     47.631765      0.028462      0.028463      0.056925
     49.299647      1.018291      1.018285      2.036576
     50.967530      0.738365      0.738342      1.476707
