#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  3  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  1 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  1  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  1  1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  1 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  1  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  1  1  1
#   Add data for atom_index =   8,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000001     0.00000002
  -18.6386386     0.00000013     0.00000027
  -18.5985986     0.00000167     0.00000317
  -18.5585586     0.00001576     0.00002725
  -18.5185185     0.00010810     0.00016988
  -18.4784785     0.00053819     0.00076837
  -18.4384384     0.00194446     0.00252207
  -18.3983984     0.00509813     0.00600745
  -18.3583584     0.00970001     0.01038413
  -18.3183183     0.01339307     0.01302559
  -18.2782783     0.01341948     0.01185693
  -18.2382382     0.00975755     0.00783251
  -18.1981982     0.00514962     0.00375665
  -18.1581582     0.00198508     0.00133163
  -18.1181181     0.00067937     0.00056087
  -18.0780781     0.00103241     0.00158027
  -18.0380380     0.00470481     0.00726015
  -17.9979980     0.01730535     0.02511235
  -17.9579580     0.04634260     0.06310163
  -17.9179179     0.09007391     0.11508554
  -17.8778779     0.12710955     0.15247419
  -17.8378378     0.13060778     0.14760430
  -17.7977978     0.09964418     0.10839149
  -17.7577578     0.06351969     0.07351887
  -17.7177177     0.05125391     0.07284925
  -17.6776777     0.06594376     0.10096912
  -17.6376376     0.08584357     0.12468719
  -17.5975976     0.08613286     0.11579997
  -17.5575576     0.06289754     0.07839821
  -17.5175175     0.03307075     0.03851587
  -17.4774775     0.01255108     0.01390199
  -17.4374374     0.00412057     0.00502257
  -17.3973974     0.00508973     0.00856918
  -17.3573574     0.01875069     0.03076100
  -17.3173173     0.05739474     0.08736690
  -17.2772773     0.12999783     0.18364916
  -17.2372372     0.21811548     0.28665914
  -17.1971972     0.27267644     0.33447736
  -17.1571572     0.25562357     0.29400214
  -17.1171171     0.18142033     0.19772250
  -17.0770771     0.10137856     0.10956623
  -17.0370370     0.05547750     0.06899379
  -16.9969970     0.04965499     0.07248478
  -16.9569570     0.06444428     0.08925399
  -16.9169169     0.07345113     0.08924051
  -16.8768769     0.06338351     0.06733495
  -16.8368368     0.04426600     0.04450517
  -16.7967968     0.04081047     0.05022923
  -16.7567568     0.07754563     0.10817761
  -16.7167167     0.16264920     0.21866985
  -16.6766767     0.26697724     0.33703747
  -16.6366366     0.33225423     0.39681292
  -16.5965966     0.32696639     0.37674834
  -16.5565566     0.27510540     0.31288478
  -16.5165165     0.21330617     0.24242302
  -16.4764765     0.15819082     0.18370607
  -16.4364364     0.12324972     0.15705493
  -16.3963964     0.12109517     0.17158069
  -16.3563564     0.14055615     0.19968347
  -16.3163163     0.15089451     0.19863508
  -16.2762763     0.13303161     0.15513197
  -16.2362362     0.09417635     0.09399324
  -16.1961962     0.05608474     0.05001396
  -16.1561562     0.04068849     0.04775257
  -16.1161161     0.06559101     0.10463135
  -16.0760761     0.13682296     0.22328843
  -16.0360360     0.22921990     0.36140069
  -15.9959960     0.28763213     0.44050471
  -15.9559560     0.27827561     0.42056721
  -15.9159159     0.22705425     0.33884767
  -15.8758759     0.18132346     0.25809155
  -15.8358358     0.16196891     0.21932306
  -15.7957958     0.17195487     0.23808643
  -15.7557558     0.20829252     0.29130242
  -15.7157157     0.24718804     0.32183245
  -15.6756757     0.25593644     0.29736458
  -15.6356356     0.22938170     0.24197427
  -15.5955956     0.18704758     0.18840916
  -15.5555556     0.14135383     0.13881801
  -15.5155155     0.09570995     0.08906514
  -15.4754755     0.06165097     0.05427515
  -15.4354354     0.05507814     0.05950195
  -15.3953954     0.08259097     0.12286659
  -15.3553554     0.13845143     0.23459755
  -15.3153153     0.20219831     0.33644732
  -15.2752753     0.23705110     0.35329761
  -15.2352352     0.21384707     0.27090887
  -15.1951952     0.14497353     0.15256350
  -15.1551552     0.07463048     0.06767102
  -15.1151151     0.03618193     0.03847605
  -15.0750751     0.03557788     0.05279950
  -15.0350350     0.06309257     0.08804184
  -14.9949950     0.10013395     0.11951336
  -14.9549550     0.12324468     0.13279764
  -14.9149149     0.11989067     0.13293563
  -14.8748749     0.09978465     0.13102274
  -14.8348348     0.08258085     0.12959084
  -14.7947948     0.07808567     0.12889585
  -14.7547548     0.08498233     0.13429886
  -14.7147147     0.09998589     0.14501963
  -14.6746747     0.11452814     0.14418725
  -14.6346346     0.11205427     0.11688022
  -14.5945946     0.08579511     0.07317025
  -14.5545546     0.05084776     0.03815385
  -14.5145145     0.02789858     0.02667413
  -14.4744745     0.02440215     0.03763693
  -14.4344344     0.03560243     0.06329476
  -14.3943944     0.05482381     0.09557273
  -14.3543544     0.07794050     0.12654162
  -14.3143143     0.10002964     0.14987935
  -14.2742743     0.11419848     0.16526671
  -14.2342342     0.11622053     0.17473234
  -14.1941942     0.10500655     0.17295840
  -14.1541542     0.08195713     0.15408162
  -14.1141141     0.05725860     0.13171243
  -14.0740741     0.05057656     0.13636932
