#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584    -0.00000000    -0.00000000
  -18.3183183    -0.00000002    -0.00000004
  -18.2782783    -0.00000039    -0.00000076
  -18.2382382    -0.00000573    -0.00001061
  -18.1981982    -0.00006192    -0.00010715
  -18.1581582    -0.00048714    -0.00078759
  -18.1181181    -0.00278911    -0.00421333
  -18.0780781    -0.01162275    -0.01640602
  -18.0380380    -0.03525399    -0.04649926
  -17.9979980    -0.07783653    -0.09593109
  -17.9579580    -0.12509674    -0.14405903
  -17.9179179    -0.14635221    -0.15746302
  -17.8778779    -0.12463455    -0.12527232
  -17.8378378    -0.07725924    -0.07253445
  -17.7977978    -0.03485895    -0.03056425
  -17.7577578    -0.01144727    -0.00937184
  -17.7177177    -0.00273576    -0.00209091
  -17.6776777    -0.00047578    -0.00033941
  -17.6376376    -0.00006039    -0.00004065
  -17.5975976    -0.00000890    -0.00001249
  -17.5575576    -0.00004477    -0.00010411
  -17.5175175    -0.00042776    -0.00087727
  -17.4774775    -0.00300286    -0.00544396
  -17.4374374    -0.01534167    -0.02478578
  -17.3973974    -0.05691526    -0.08254515
  -17.3573574    -0.15270779    -0.20010022
  -17.3173173    -0.29418504    -0.35022166
  -17.2772773    -0.40141477    -0.43632928
  -17.2372372    -0.37727006    -0.37640823
  -17.1971972    -0.22801051    -0.21060178
  -17.1571572    -0.06828570    -0.06036332
  -17.1171171     0.01297375     0.00758500
  -17.0770771     0.02404765     0.01580946
  -17.0370370     0.01240631     0.00765933
  -16.9969970     0.00381106     0.00218272
  -16.9569570     0.00078029     0.00041031
  -16.9169169     0.00007629     0.00000410
  -16.8768769    -0.00028948    -0.00039281
  -16.8368368    -0.00187804    -0.00234938
  -16.7967968    -0.00882404    -0.01056936
  -16.7567568    -0.03149538    -0.03658677
  -16.7167167    -0.08635612    -0.09830541
  -16.6766767    -0.18343991    -0.20585368
  -16.6366366    -0.30292544    -0.33506581
  -16.5965966    -0.38770980    -0.42025850
  -16.5565566    -0.38138730    -0.40135753
  -16.5165165    -0.28519498    -0.28836296
  -16.4764765    -0.16036241    -0.15427975
  -16.4364364    -0.06718056    -0.06099263
  -16.3963964    -0.02082042    -0.01772051
  -16.3563564    -0.00475290    -0.00377878
  -16.3163163    -0.00084082    -0.00068233
  -16.2762763    -0.00048144    -0.00076709
  -16.2362362    -0.00232466    -0.00371039
  -16.1961962    -0.01020487    -0.01432058
  -16.1561562    -0.03289840    -0.04047846
  -16.1161161    -0.07767404    -0.08369074
  -16.0760761    -0.13440420    -0.12657174
  -16.0360360    -0.17054803    -0.14001434
  -15.9959960    -0.15876521    -0.11326678
  -15.9559560    -0.10844706    -0.06698792
  -15.9159159    -0.05434971    -0.02895141
  -15.8758759    -0.01996533    -0.00913084
  -15.8358358    -0.00528097    -0.00204340
  -15.7957958    -0.00052954    -0.00004313
  -15.7557558     0.00189607     0.00111075
  -15.7157157     0.00594815     0.00329678
  -15.6756757     0.01333733     0.00742852
  -15.6356356     0.02317859     0.01331337
  -15.5955956     0.03138767     0.01891693
  -15.5555556     0.03288812     0.02087484
  -15.5155155     0.02613882     0.01694070
  -15.4754755     0.01430088     0.00667773
  -15.4354354    -0.00083510    -0.01361569
  -15.3953954    -0.02615986    -0.05503057
  -15.3553554    -0.07372956    -0.12442006
  -15.3153153    -0.14222770    -0.20175126
  -15.2752753    -0.20489387    -0.24501868
  -15.2352352    -0.23395434    -0.23502586
  -15.1951952    -0.23497607    -0.19767537
  -15.1551552    -0.23124132    -0.16726765
  -15.1151151    -0.22266903    -0.14958207
  -15.0750751    -0.19094406    -0.12885179
  -15.0350350    -0.13518546    -0.09395273
  -14.9949950    -0.07803945    -0.05277855
  -14.9549550    -0.04338277    -0.02615255
  -14.9149149    -0.04288150    -0.03503615
  -14.8748749    -0.08207770    -0.09786493
  -14.8348348    -0.16993932    -0.22621223
  -14.7947948    -0.30908605    -0.39429423
  -14.7547548    -0.45918810    -0.51422376
  -14.7147147    -0.52824824    -0.49609945
  -14.6746747    -0.45233629    -0.35083327
  -14.6346346    -0.27587328    -0.18005471
  -14.5945946    -0.10542497    -0.06270179
  -14.5545546    -0.00739283    -0.00099560
  -14.5145145     0.01804367     0.03643378
  -14.4744745    -0.00067954     0.06111104
  -14.4344344    -0.04108040     0.05696924
  -14.3943944    -0.09413102     0.01599658
  -14.3543544    -0.14705732    -0.03211459
  -14.3143143    -0.17209838    -0.04717790
  -14.2742743    -0.14917407    -0.02648609
  -14.2342342    -0.09011941     0.00080632
  -14.1941942    -0.02218885     0.01781761
  -14.1541542     0.04014500     0.03486230
  -14.1141141     0.09032381     0.06533110
  -14.0740741     0.11398827     0.10108352
  -14.0340340     0.10150319     0.11651764
  -13.9939940     0.06785364     0.09771155
  -13.9539540     0.04283421     0.05884794
  -13.9139139     0.04634065     0.02321949
  -13.8738739     0.07657199     0.00017385
  -13.8338338     0.11060089    -0.01013136
  -13.7937938     0.11781927    -0.00005406
  -13.7537538     0.08406034     0.03971076
  -13.7137137     0.02133095     0.09455530
  -13.6736737    -0.04411649     0.12980003
  -13.6336336    -0.08622427     0.13090756
  -13.5935936    -0.09144932     0.11245603
  -13.5535536    -0.06690126     0.08682657
  -13.5135135    -0.03092954     0.05639490
  -13.4734735     0.00742438     0.02941655
  -13.4334334     0.05366313     0.02127008
  -13.3933934     0.10876213     0.04518349
  -13.3533534     0.15218108     0.10015208
  -13.3133133     0.15936544     0.15929849
  -13.2732733     0.13566246     0.18445682
  -13.2332332     0.11227055     0.16283792
  -13.1931932     0.10612227     0.11444843
  -13.1531532     0.10241784     0.06158775
  -13.1131131     0.07825747     0.01166727
  -13.0730731     0.02922445    -0.02879674
  -13.0330330    -0.02796434    -0.04740606
  -12.9929930    -0.06780847    -0.04209989
  -12.9529530    -0.07129037    -0.02799748
  -12.9129129    -0.03718913    -0.02133465
  -12.8728729     0.02151399    -0.02487156
  -12.8328328     0.09018600    -0.02870396
  -12.7927928     0.15559610    -0.02003630
  -12.7527528     0.20243532     0.00712194
  -12.7127127     0.21800206     0.05032343
  -12.6726727     0.20118469     0.10437030
  -12.6326326     0.15942664     0.16180707
  -12.5925926     0.10029140     0.20421361
  -12.5525526     0.03680982     0.20535903
  -12.5125125    -0.00957636     0.15807523
  -12.4724725    -0.02426067     0.08890842
  -12.4324324    -0.00655167     0.03283377
  -12.3923924     0.04130686     0.00356458
  -12.3523524     0.11654545    -0.00544485
  -12.3123123     0.20313042    -0.00437696
  -12.2722723     0.26761206     0.00380251
  -12.2322322     0.27780152     0.02767273
  -12.1921922     0.23033951     0.08274469
  -12.1521522     0.15716844     0.16940735
  -12.1121121     0.09625906     0.24960780
  -12.0720721     0.05849202     0.26485131
  -12.0320320     0.03223367     0.19506514
  -11.9919920     0.01001044     0.08651553
  -11.9519520    -0.00442105     0.00708593
  -11.9119119    -0.00719247    -0.01499072
  -11.8718719     0.00042748    -0.00025543
  -11.8318318     0.01389675     0.01936576
  -11.7917918     0.02771799     0.03173484
  -11.7517518     0.03897285     0.04027321
  -11.7117117     0.04840365     0.04580742
  -11.6716717     0.05609979     0.04583578
  -11.6316316     0.05913842     0.04264452
  -11.5915916     0.05515734     0.03861024
  -11.5515516     0.04432461     0.02993772
  -11.5115115     0.02739327     0.01473934
  -11.4714715     0.00575622     0.00056714
  -11.4314314    -0.01748777    -0.00532092
  -11.3913914    -0.04051810    -0.00740058
  -11.3513514    -0.06608012    -0.01539009
  -11.3113113    -0.09703396    -0.03397223
  -11.2712713    -0.12871161    -0.06338733
  -11.2312312    -0.15111724    -0.09800096
  -11.1911912    -0.15861753    -0.12316848
  -11.1511512    -0.15386488    -0.12690320
  -11.1111111    -0.14429785    -0.11373401
  -11.0710711    -0.13684911    -0.09878057
  -11.0310310    -0.13482906    -0.09443975
  -10.9909910    -0.13869741    -0.10633934
  -10.9509510    -0.14533304    -0.13095700
  -10.9109109    -0.14480119    -0.15415395
  -10.8708709    -0.12696663    -0.15937745
  -10.8308308    -0.09658540    -0.13947390
