#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386    -0.00000000    -0.00000000
  -18.5985986    -0.00000000    -0.00000000
  -18.5585586    -0.00000009    -0.00000009
  -18.5185185    -0.00000122    -0.00000122
  -18.4784785    -0.00001226    -0.00001225
  -18.4384384    -0.00008929    -0.00008923
  -18.3983984    -0.00047185    -0.00047162
  -18.3583584    -0.00180951    -0.00180884
  -18.3183183    -0.00503601    -0.00503470
  -18.2782783    -0.01017381    -0.01017231
  -18.2382382    -0.01494769    -0.01494713
  -18.1981982    -0.01619771    -0.01619870
  -18.1581582    -0.01424914    -0.01425037
  -18.1181181    -0.01536005    -0.01535850
  -18.0780781    -0.02885043    -0.02884351
  -18.0380380    -0.05876976    -0.05875891
  -17.9979980    -0.09366507    -0.09365776
  -17.9579580    -0.10948077    -0.10948472
  -17.9179179    -0.09299539    -0.09300946
  -17.8778779    -0.05734184    -0.05735711
  -17.8378378    -0.02573984    -0.02574961
  -17.7977978    -0.00900936    -0.00901333
  -17.7577578    -0.00579463    -0.00579520
  -17.7177177    -0.01607222    -0.01607134
  -17.6776777    -0.04724446    -0.04724566
  -17.6376376    -0.10362341    -0.10363616
  -17.5975976    -0.16698389    -0.16702124
  -17.5575576    -0.19917614    -0.19924011
  -17.5175175    -0.18186973    -0.18194001
  -17.4774775    -0.14638897    -0.14643490
  -17.4374374    -0.14579109    -0.14579753
  -17.3973974    -0.19847685    -0.19845724
  -17.3573574    -0.26582944    -0.26581494
  -17.3173173    -0.28710387    -0.28711716
  -17.2772773    -0.23788260    -0.23792000
  -17.2372372    -0.14943806    -0.14947832
  -17.1971972    -0.07072838    -0.07075539
  -17.1571572    -0.02525440    -0.02526674
  -17.1171171    -0.00826609    -0.00826970
  -17.0770771    -0.01030449    -0.01030390
  -17.0370370    -0.03526951    -0.03526658
  -16.9969970    -0.09900862    -0.09900783
  -16.9569570    -0.20283586    -0.20285023
  -16.9169169    -0.30284877    -0.30289323
  -16.8768769    -0.33472469    -0.33479456
  -16.8368368    -0.29379071    -0.29385402
  -16.7967968    -0.25679460    -0.25681933
  -16.7567568    -0.29169481    -0.29168264
  -16.7167167    -0.37131098    -0.37129571
  -16.6766767    -0.40729146    -0.40730295
  -16.6366366    -0.35529494    -0.35533263
  -16.5965966    -0.25339361    -0.25343702
  -16.5565566    -0.16858455    -0.16861553
  -16.5165165    -0.14155115    -0.14156318
  -16.4764765    -0.17207036    -0.17206714
  -16.4364364    -0.23239867    -0.23238472
  -16.3963964    -0.29607850    -0.29605374
  -16.3563564    -0.34516501    -0.34513814
  -16.3163163    -0.35035877    -0.35035280
  -16.2762763    -0.28744591    -0.28747171
  -16.2362362    -0.18020635    -0.18024620
  -16.1961962    -0.08382961    -0.08386001
  -16.1561562    -0.02869991    -0.02871421
  -16.1161161    -0.00816384    -0.00816714
  -16.0760761    -0.00672598    -0.00672129
  -16.0360360    -0.02015988    -0.02014278
  -15.9959960    -0.05405515    -0.05401861
  -15.9559560    -0.10997537    -0.10992116
  -15.9159159    -0.17638583    -0.17632902
  -15.8758759    -0.24041877    -0.24037459
  -15.8358358    -0.30045182    -0.30042300
  -15.7957958    -0.35380315    -0.35378340
  -15.7557558    -0.39047582    -0.39045699
  -15.7157157    -0.40578795    -0.40576793
  -15.6756757    -0.39331813    -0.39330670
  -15.6356356    -0.34257712    -0.34258242
  -15.5955956    -0.26804116    -0.26805814
  -15.5555556    -0.20608222    -0.20610546
  -15.5155155    -0.17195958    -0.17199047
  -15.4754755    -0.14940180    -0.14943812
  -15.4354354    -0.12137937    -0.12141226
  -15.3953954    -0.09304253    -0.09306447
  -15.3553554    -0.08087037    -0.08088214
  -15.3153153    -0.08551008    -0.08552034
  -15.2752753    -0.08710910    -0.08712540
  -15.2352352    -0.07047326    -0.07049372
  -15.1951952    -0.04239755    -0.04241455
  -15.1551552    -0.01910211    -0.01911137
  -15.1151151    -0.00896580    -0.00896784
  -15.0750751    -0.01381975    -0.01381483
  -15.0350350    -0.03785980    -0.03784530
  -14.9949950    -0.08541466    -0.08538916
  -14.9549550    -0.14761658    -0.14758607
  -14.9149149    -0.19682933    -0.19680577
  -14.8748749    -0.20215622    -0.20214835
  -14.8348348    -0.15321051    -0.15321872
  -14.7947948    -0.07005068    -0.07007030
  -14.7547548     0.00756733     0.00754238
  -14.7147147     0.04416861     0.04414540
  -14.6746747     0.03305549     0.03304100
  -14.6346346     0.00078010     0.00077759
  -14.5945946    -0.02015555    -0.02014902
  -14.5545546    -0.02088981    -0.02088099
  -14.5145145    -0.01332234    -0.01331616
  -14.4744745    -0.00884465    -0.00884123
  -14.4344344    -0.00779125    -0.00778487
  -14.3943944     0.00000571     0.00003112
  -14.3543544     0.03231885     0.03238787
  -14.3143143     0.10312110     0.10323162
  -14.2742743     0.19727164     0.19734534
  -14.2342342     0.26149328     0.26141804
  -14.1941942     0.25012179     0.24989972
  -14.1541542     0.17853448     0.17831539
  -14.1141141     0.10011288     0.10001254
  -14.0740741     0.04364807     0.04362281
  -14.0340340     0.00427332     0.00422928
  -13.9939940    -0.01934803    -0.01942221
  -13.9539540    -0.00729008    -0.00735105
  -13.9139139     0.05243857     0.05241254
  -13.8738739     0.12693082     0.12694091
  -13.8338338     0.15941574     0.15946200
  -13.7937938     0.13483251     0.13489772
  -13.7537538     0.09377808     0.09383047
  -13.7137137     0.07054907     0.07057931
  -13.6736737     0.05103581     0.05107869
  -13.6336336     0.00703202     0.00715368
  -13.5935936    -0.05416230    -0.05392160
  -13.5535536    -0.08894858    -0.08866841
  -13.5135135    -0.05804357    -0.05792381
  -13.4734735     0.03241865     0.03225446
  -13.4334334     0.12754863     0.12723047
  -13.3933934     0.16914854     0.16892600
  -13.3533534     0.14909367     0.14905732
  -13.3133133     0.10810943     0.10816220
  -13.2732733     0.08242051     0.08246664
  -13.2332332     0.07105964     0.07109354
  -13.1931932     0.05676741     0.05680934
  -13.1531532     0.03566648     0.03571031
  -13.1131131     0.01674274     0.01677328
  -13.0730731     0.00683241     0.00684942
  -13.0330330     0.00776700     0.00778298
  -12.9929930     0.02367122     0.02369845
  -12.9529530     0.06175586     0.06179199
  -12.9129129     0.11971328     0.11973720
  -12.8728729     0.17403307     0.17403465
  -12.8328328     0.19202086     0.19203386
  -12.7927928     0.16169819     0.16176480
  -12.7527528     0.10405485     0.10416213
  -12.7127127     0.05262567     0.05272062
  -12.6726727     0.02681431     0.02686850
  -12.6326326     0.02580812     0.02583453
  -12.5925926     0.03758279     0.03760356
  -12.5525526     0.04948469     0.04949289
  -12.5125125     0.06060976     0.06055370
  -12.4724725     0.08862916     0.08847202
  -12.4324324     0.15497137     0.15483575
  -12.3923924     0.25968549     0.25987767
  -12.3523524     0.37823821     0.37890767
  -12.3123123     0.47742647     0.47818015
  -12.2722723     0.52457800     0.52474233
  -12.2322322     0.50310225     0.50244877
  -12.1921922     0.43671086     0.43567582
  -12.1521522     0.37850443     0.37776395
  -12.1121121     0.37295557     0.37298702
  -12.0720721     0.43441672     0.43520642
  -12.0320320     0.53152464     0.53242781
  -11.9919920     0.59033707     0.59045465
