#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000002     0.00000002
  -18.5985986     0.00000024     0.00000019
  -18.5585586     0.00000177     0.00000139
  -18.5185185     0.00000932     0.00000756
  -18.4784785     0.00003557     0.00002978
  -18.4384384     0.00009853     0.00008516
  -18.3983984     0.00019806     0.00017674
  -18.3583584     0.00028892     0.00026619
  -18.3183183     0.00030585     0.00029093
  -18.2782783     0.00023495     0.00023075
  -18.2382382     0.00013098     0.00013281
  -18.1981982     0.00005299     0.00005547
  -18.1581582     0.00001556     0.00001681
  -18.1181181     0.00000331     0.00000370
  -18.0780781     0.00000051     0.00000059
  -18.0380380     0.00000006     0.00000007
  -17.9979980     0.00000001     0.00000001
  -17.9579580     0.00000014     0.00000011
  -17.9179179     0.00000154     0.00000119
  -17.8778779     0.00001198     0.00000958
  -17.8378378     0.00006748     0.00005592
  -17.7977978     0.00027635     0.00023743
  -17.7577578     0.00082365     0.00073382
  -17.7177177     0.00179020     0.00165411
  -17.6776777     0.00284650     0.00272724
  -17.6376376     0.00332788     0.00330370
  -17.5975976     0.00288257     0.00295933
  -17.5575576     0.00186976     0.00197735
  -17.5175175     0.00092029     0.00099599
  -17.4774775     0.00034833     0.00038227
  -17.4374374     0.00010233     0.00011270
  -17.3973974     0.00002336     0.00002558
  -17.3573574     0.00000412     0.00000445
  -17.3173173     0.00000061     0.00000063
  -17.2772773     0.00000089     0.00000069
  -17.2372372     0.00000824     0.00000654
  -17.1971972     0.00005957     0.00004937
  -17.1571572     0.00031572     0.00027341
  -17.1171171     0.00123099     0.00111229
  -17.0770771     0.00354600     0.00333485
  -17.0370370     0.00758350     0.00739293
  -16.9969970     0.01209965     0.01215698
  -16.9569570     0.01446281     0.01486793
  -16.9169169     0.01298434     0.01354605
  -16.8768769     0.00875968     0.00919870
  -16.8368368     0.00444081     0.00465880
  -16.7967968     0.00172238     0.00178896
  -16.7567568     0.00062027     0.00062063
  -16.7167167     0.00043136     0.00040439
  -16.6766767     0.00055248     0.00051328
  -16.6366366     0.00063009     0.00059287
  -16.5965966     0.00053456     0.00051063
  -16.5565566     0.00034300     0.00033397
  -16.5165165     0.00025533     0.00025985
  -16.4764765     0.00062214     0.00065347
  -16.4364364     0.00221366     0.00231492
  -16.3963964     0.00612793     0.00635607
  -16.3563564     0.01236520     0.01271917
  -16.3163163     0.01811214     0.01847594
  -16.2762763     0.01925927     0.01948189
  -16.2362362     0.01490938     0.01494894
  -16.1961962     0.00863350     0.00855176
  -16.1561562     0.00462745     0.00445453
  -16.1161161     0.00452931     0.00422145
  -16.0760761     0.00745769     0.00702129
  -16.0360360     0.01081087     0.01040904
  -15.9959960     0.01163923     0.01147096
  -15.9559560     0.00911616     0.00919638
  -15.9159159     0.00518518     0.00535338
  -15.8758759     0.00216012     0.00227608
  -15.8358358     0.00076927     0.00079276
  -15.7957958     0.00068894     0.00060543
  -15.7557558     0.00172112     0.00150103
  -15.7157157     0.00381460     0.00350724
  -15.6756757     0.00622239     0.00604948
  -15.6356356     0.00748406     0.00766879
  -15.5955956     0.00712458     0.00754434
  -15.5555556     0.00712070     0.00727415
  -15.5155155     0.01060842     0.01004230
  -15.4754755     0.01828382     0.01708403
  -15.4354354     0.02608259     0.02492421
  -15.3953954     0.02822374     0.02776471
  -15.3553554     0.02342577     0.02370205
  -15.3153153     0.01578298     0.01639520
  -15.2752753     0.00966652     0.01022605
  -15.2352352     0.00736879     0.00742804
  -15.1951952     0.01155909     0.01049805
  -15.1551552     0.02591303     0.02359086
  -15.1151151     0.04975507     0.04753987
  -15.0750751     0.07226798     0.07251895
  -15.0350350     0.07809134     0.08157682
  -14.9949950     0.06276419     0.06748230
  -14.9549550     0.03779729     0.04122807
  -14.9149149     0.01827807     0.01955232
  -14.8748749     0.01130361     0.01077303
  -14.8348348     0.01650980     0.01485270
  -14.7947948     0.02953656     0.02798959
  -14.7547548     0.04216592     0.04231864
  -14.7147147     0.04554683     0.04781589
  -14.6746747     0.03839005     0.04145604
  -14.6346346     0.03047412     0.03292504
  -14.5945946     0.03594187     0.03765014
  -14.5545546     0.06092053     0.06244677
  -14.5145145     0.09333333     0.09477243
  -14.4744745     0.10851779     0.10934087
  -14.4344344     0.09460010     0.09423505
  -14.3943944     0.06811955     0.06631293
  -14.3543544     0.05560361     0.05273949
  -14.3143143     0.06592367     0.06366906
  -14.2742743     0.08655926     0.08727793
  -14.2342342     0.09986488     0.10407549
  -14.1941942     0.09664886     0.10176875
  -14.1541542     0.07893987     0.08154220
  -14.1141141     0.05767720     0.05639387
  -14.0740741     0.04495673     0.04109572
