#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183    -0.00000000     0.00000000
  -18.2782783    -0.00000000    -0.00000000
  -18.2382382    -0.00000002    -0.00000000
  -18.1981982    -0.00000038    -0.00000007
  -18.1581582    -0.00000441    -0.00000099
  -18.1181181    -0.00003677    -0.00001037
  -18.0780781    -0.00022252    -0.00007846
  -18.0380380    -0.00097717    -0.00043096
  -17.9979980    -0.00311403    -0.00171772
  -17.9579580    -0.00720150    -0.00496844
  -17.9179179    -0.01208569    -0.01042881
  -17.8778779    -0.01471863    -0.01588536
  -17.8378378    -0.01300804    -0.01755929
  -17.7977978    -0.00834324    -0.01408568
  -17.7577578    -0.00389124    -0.00820550
  -17.7177177    -0.00139305    -0.00352669
  -17.6776777    -0.00089164    -0.00151611
  -17.6376376    -0.00294596    -0.00260833
  -17.5975976    -0.01062763    -0.00902515
  -17.5575576    -0.02833432    -0.02471253
  -17.5175175    -0.05485820    -0.04929628
  -17.4774775    -0.07711501    -0.07137547
  -17.4374374    -0.07900232    -0.07502969
  -17.3973974    -0.06092793    -0.05751592
  -17.3573574    -0.04442767    -0.03365738
  -17.3173173    -0.05754832    -0.02140266
  -17.2772773    -0.11676202    -0.03086761
  -17.2372372    -0.20711952    -0.06239724
  -17.1971972    -0.27714997    -0.10190386
  -17.1571572    -0.28165212    -0.12372381
  -17.1171171    -0.23142971    -0.11466339
  -17.0770771    -0.17100176    -0.09014540
  -17.0370370    -0.12190756    -0.07266181
  -16.9969970    -0.08083761    -0.06488028
  -16.9569570    -0.05245031    -0.05873968
  -16.9169169    -0.05655089    -0.06106481
  -16.8768769    -0.11087194    -0.09321501
  -16.8368368    -0.20545706    -0.16004975
  -16.7967968    -0.28640275    -0.22495863
  -16.7567568    -0.29097291    -0.23488004
  -16.7167167    -0.21499074    -0.17868536
  -16.6766767    -0.11722070    -0.09855711
  -16.6366366    -0.05384776    -0.03868521
  -16.5965966    -0.03876328    -0.00835856
  -16.5565566    -0.05835111     0.00545950
  -16.5165165    -0.09524982     0.01355267
  -16.4764765    -0.14381469     0.01591479
  -16.4364364    -0.21228779     0.00588849
  -16.3963964    -0.29247554    -0.02200452
  -16.3563564    -0.33501185    -0.06378136
  -16.3163163    -0.29696802    -0.10192781
  -16.2762763    -0.20939073    -0.11963836
  -16.2362362    -0.15907751    -0.12953696
  -16.1961962    -0.20868075    -0.17333847
  -16.1561562    -0.33887647    -0.26855733
  -16.1161161    -0.44931367    -0.36144593
  -16.0760761    -0.44162305    -0.36959526
  -16.0360360    -0.32461313    -0.28036758
  -15.9959960    -0.20553758    -0.17041206
  -15.9559560    -0.17939636    -0.12638760
  -15.9159159    -0.25553022    -0.17770913
  -15.8758759    -0.36754752    -0.28328251
  -15.8358358    -0.43705820    -0.35538501
  -15.7957958    -0.45366400    -0.33233659
  -15.7557558    -0.48397495    -0.24652617
  -15.7157157    -0.56582896    -0.19144008
  -15.6756757    -0.62527083    -0.22120363
  -15.6356356    -0.56858373    -0.30105940
  -15.5955956    -0.42495679    -0.35489632
  -15.5555556    -0.30813872    -0.35004189
  -15.5155155    -0.26386328    -0.31118066
  -15.4754755    -0.23889229    -0.25921928
  -15.4354354    -0.18298720    -0.19104230
  -15.3953954    -0.11397348    -0.11888889
  -15.3553554    -0.08744697    -0.08195275
  -15.3153153    -0.15330301    -0.12161298
  -15.2752753    -0.33009832    -0.25537899
  -15.2352352    -0.56418699    -0.44196679
  -15.1951952    -0.73209353    -0.57749926
  -15.1551552    -0.75089346    -0.58564584
  -15.1151151    -0.65547241    -0.50236322
  -15.0750751    -0.51596802    -0.41309672
  -15.0350350    -0.35636933    -0.34246905
  -14.9949950    -0.19987477    -0.26542277
  -14.9549550    -0.10651300    -0.18264874
  -14.9149149    -0.11995212    -0.13224570
  -14.8748749    -0.21339960    -0.14372887
  -14.8348348    -0.30815216    -0.20141740
  -14.7947948    -0.34570297    -0.25724587
  -14.7547548    -0.33711093    -0.28119630
  -14.7147147    -0.34084221    -0.28939064
  -14.6746747    -0.40318428    -0.32380568
  -14.6346346    -0.50365512    -0.40497507
  -14.5945946    -0.55176878    -0.48652905
  -14.5545546    -0.48301505    -0.48228830
  -14.5145145    -0.34800287    -0.37214867
  -14.4744745    -0.24833603    -0.23502237
  -14.4344344    -0.21616555    -0.15056927
  -14.3943944    -0.21683126    -0.12146926
  -14.3543544    -0.23647574    -0.10727017
  -14.3143143    -0.29721712    -0.08916213
  -14.2742743    -0.38393052    -0.08302834
  -14.2342342    -0.42325544    -0.11148429
  -14.1941942    -0.37295462    -0.17648456
  -14.1541542    -0.28032333    -0.24906270
  -14.1141141    -0.21081662    -0.28513564
  -14.0740741    -0.16940628    -0.26161373
  -14.0340340    -0.12852109    -0.19426307
  -13.9939940    -0.08637261    -0.12062581
  -13.9539540    -0.06227776    -0.07352084
  -13.9139139    -0.05989661    -0.06342900
  -13.8738739    -0.05943795    -0.07439201
  -13.8338338    -0.03827883    -0.07877169
  -13.7937938     0.01264769    -0.06159432
  -13.7537538     0.08262895    -0.02729091
  -13.7137137     0.12733914     0.01750643
  -13.6736737     0.07170741     0.07173631
  -13.6336336    -0.12076183     0.11847967
  -13.5935936    -0.36564962     0.11243381
  -13.5535536    -0.50084259     0.01811422
  -13.5135135    -0.44774452    -0.13691491
  -13.4734735    -0.28413069    -0.26606140
  -13.4334334    -0.13562807    -0.29281302
  -13.3933934    -0.05696978    -0.21924679
  -13.3533534    -0.03701095    -0.11723684
  -13.3133133    -0.05238014    -0.05344843
  -13.2732733    -0.08097658    -0.04430594
  -13.2332332    -0.09470919    -0.07174232
  -13.1931932    -0.07454043    -0.10625035
