#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   6,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   7,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000000     0.00000000
  -17.9979980     0.00000000     0.00000000
  -17.9579580     0.00000001     0.00000001
  -17.9179179     0.00000015     0.00000015
  -17.8778779     0.00000139     0.00000139
  -17.8378378     0.00000952     0.00000952
  -17.7977978     0.00004736     0.00004736
  -17.7577578     0.00017091     0.00017091
  -17.7177177     0.00044758     0.00044758
  -17.6776777     0.00085056     0.00085056
  -17.6376376     0.00117297     0.00117297
  -17.5975976     0.00117376     0.00117376
  -17.5575576     0.00085085     0.00085085
  -17.5175175     0.00043235     0.00043235
  -17.4774775     0.00004636     0.00004636
  -17.4374374    -0.00062648    -0.00062648
  -17.3973974    -0.00261912    -0.00261912
  -17.3573574    -0.00743679    -0.00743679
  -17.3173173    -0.01527363    -0.01527362
  -17.2772773    -0.02276477    -0.02276477
  -17.2372372    -0.02467670    -0.02467670
  -17.1971972    -0.01986531    -0.01986531
  -17.1571572    -0.01435860    -0.01435860
  -17.1171171    -0.01944794    -0.01944794
  -17.0770771    -0.04963008    -0.04963008
  -17.0370370    -0.11459499    -0.11459499
  -16.9969970    -0.19820563    -0.19820562
  -16.9569570    -0.25221727    -0.25221727
  -16.9169169    -0.23798582    -0.23798582
  -16.8768769    -0.17362077    -0.17362077
  -16.8368368    -0.11464162    -0.11464162
  -16.7967968    -0.09442584    -0.09442584
  -16.7567568    -0.10744784    -0.10744784
  -16.7167167    -0.14213004    -0.14213004
  -16.6766767    -0.19838274    -0.19838273
  -16.6366366    -0.26249206    -0.26249206
  -16.5965966    -0.29379454    -0.29379454
  -16.5565566    -0.26184240    -0.26184241
  -16.5165165    -0.18214009    -0.18214009
  -16.4764765    -0.09951205    -0.09951205
  -16.4364364    -0.04909900    -0.04909900
  -16.3963964    -0.04280635    -0.04280635
  -16.3563564    -0.07721237    -0.07721237
  -16.3163163    -0.13360493    -0.13360492
  -16.2762763    -0.17810876    -0.17810876
  -16.2362362    -0.19211763    -0.19211763
  -16.1961962    -0.20386243    -0.20386243
  -16.1561562    -0.25672383    -0.25672383
  -16.1161161    -0.34202718    -0.34202718
  -16.0760761    -0.40205766    -0.40205766
  -16.0360360    -0.41500296    -0.41500296
  -15.9959960    -0.43086073    -0.43086072
  -15.9559560    -0.48477282    -0.48477282
  -15.9159159    -0.52083244    -0.52083244
  -15.8758759    -0.46076054    -0.46076054
  -15.8358358    -0.31350918    -0.31350919
  -15.7957958    -0.16054314    -0.16054314
  -15.7557558    -0.06148150    -0.06148151
  -15.7157157    -0.01759347    -0.01759347
  -15.6756757    -0.00410260    -0.00410260
  -15.6356356    -0.00329561    -0.00329561
  -15.5955956    -0.01432510    -0.01432510
  -15.5555556    -0.05467749    -0.05467749
  -15.5155155    -0.15332377    -0.15332377
  -15.4754755    -0.31676216    -0.31676216
  -15.4354354    -0.48872046    -0.48872046
  -15.3953954    -0.57702051    -0.57702051
  -15.3553554    -0.54382976    -0.54382976
  -15.3153153    -0.44080087    -0.44080087
  -15.2752753    -0.34936360    -0.34936360
  -15.2352352    -0.30856884    -0.30856884
  -15.1951952    -0.29247173    -0.29247173
  -15.1551552    -0.25150389    -0.25150389
  -15.1151151    -0.17619380    -0.17619381
  -15.0750751    -0.10486048    -0.10486048
  -15.0350350    -0.07818156    -0.07818156
  -14.9949950    -0.10788787    -0.10788787
  -14.9549550    -0.17895779    -0.17895779
  -14.9149149    -0.26483458    -0.26483457
  -14.8748749    -0.33751023    -0.33751023
  -14.8348348    -0.36914048    -0.36914048
  -14.7947948    -0.35435711    -0.35435711
  -14.7547548    -0.34334308    -0.34334308
  -14.7147147    -0.40231042    -0.40231041
  -14.6746747    -0.51469269    -0.51469269
  -14.6346346    -0.57349634    -0.57349635
  -14.5945946    -0.50623636    -0.50623637
  -14.5545546    -0.36604475    -0.36604476
  -14.5145145    -0.26376501    -0.26376502
  -14.4744745    -0.24168168    -0.24168168
  -14.4344344    -0.25121406    -0.25121406
  -14.3943944    -0.24492223    -0.24492223
  -14.3543544    -0.25402080    -0.25402080
  -14.3143143    -0.34723257    -0.34723256
  -14.2742743    -0.51804124    -0.51804123
  -14.2342342    -0.65093485    -0.65093484
  -14.1941942    -0.63474951    -0.63474951
  -14.1541542    -0.49132113    -0.49132113
  -14.1141141    -0.35461697    -0.35461697
  -14.0740741    -0.33470903    -0.33470902
  -14.0340340    -0.41640683    -0.41640682
  -13.9939940    -0.48016627    -0.48016627
  -13.9539540    -0.42879167    -0.42879168
  -13.9139139    -0.28421411    -0.28421412
  -13.8738739    -0.13883177    -0.13883177
  -13.8338338    -0.04937998    -0.04937998
  -13.7937938    -0.01226142    -0.01226142
  -13.7537538    -0.00479179    -0.00479179
  -13.7137137    -0.01641872    -0.01641872
  -13.6736737    -0.05319247    -0.05319247
