#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   9,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =  10,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000004     0.00000004
  -18.8388388     0.00000038     0.00000043
  -18.7987988     0.00000289     0.00000304
  -18.7587588     0.00001580     0.00001574
  -18.7187187     0.00006266     0.00005913
  -18.6786787     0.00018041     0.00016118
  -18.6386386     0.00037708     0.00031891
  -18.5985986     0.00057212     0.00045802
  -18.5585586     0.00063015     0.00047746
  -18.5185185     0.00050383     0.00036128
  -18.4784785     0.00029243     0.00019842
  -18.4384384     0.00012321     0.00007910
  -18.3983984     0.00003769     0.00002289
  -18.3583584     0.00000837     0.00000481
  -18.3183183     0.00000135     0.00000073
  -18.2782783     0.00000016     0.00000008
  -18.2382382     0.00000004     0.00000004
  -18.1981982     0.00000035     0.00000039
  -18.1581582     0.00000331     0.00000360
  -18.1181181     0.00002280     0.00002389
  -18.0780781     0.00011461     0.00011559
  -18.0380380     0.00042169     0.00040962
  -17.9979980     0.00114581     0.00107347
  -17.9579580     0.00233902     0.00212026
  -17.9179179     0.00369466     0.00325934
  -17.8778779     0.00470064     0.00406779
  -17.8378378     0.00498369     0.00425770
  -17.7977978     0.00441720     0.00372866
  -17.7577578     0.00317513     0.00263778
  -17.7177177     0.00177702     0.00144578
  -17.6776777     0.00075016     0.00059551
  -17.6376376     0.00023437     0.00018111
  -17.5975976     0.00005375     0.00004031
  -17.5575576     0.00000984     0.00000654
  -17.5175175     0.00000665     0.00000079
  -17.4774775     0.00002553     0.00000030
  -17.4374374     0.00008559     0.00000251
  -17.3973974     0.00021948     0.00002059
  -17.3573574     0.00047761     0.00012750
  -17.3173173     0.00107186     0.00059043
  -17.2772773     0.00265537     0.00202610
  -17.2372372     0.00610843     0.00511678
  -17.1971972     0.01113536     0.00946351
  -17.1571572     0.01510821     0.01277577
  -17.1171171     0.01497906     0.01256216
  -17.0770771     0.01079902     0.00898433
  -17.0370370     0.00565397     0.00466957
  -16.9969970     0.00214907     0.00176281
  -16.9569570     0.00059334     0.00048321
  -16.9169169     0.00012276     0.00009616
  -16.8768769     0.00004768     0.00001394
  -16.8368368     0.00017218     0.00000211
  -16.7967968     0.00070483     0.00000660
  -16.7567568     0.00216098     0.00004703
  -16.7167167     0.00493224     0.00025072
  -16.6766767     0.00841322     0.00098680
  -16.6366366     0.01076698     0.00287437
  -16.5965966     0.01037299     0.00621162
  -16.5565566     0.00754167     0.00998122
  -16.5165165     0.00414312     0.01194695
  -16.4764765     0.00171949     0.01066488
  -16.4364364     0.00053821     0.00710436
  -16.3963964     0.00012667     0.00353109
  -16.3563564     0.00002240     0.00130848
  -16.3163163     0.00000402     0.00036100
  -16.2762763     0.00001258     0.00007403
  -16.2362362     0.00010211     0.00001139
  -16.1961962     0.00061939     0.00000324
  -16.1561562     0.00274827     0.00002108
  -16.1161161     0.00892880     0.00016293
  -16.0760761     0.02128224     0.00092655
  -16.0360360     0.03736985     0.00386292
  -15.9959960     0.04881911     0.01181806
  -15.9559560     0.04858846     0.02655499
  -15.9159159     0.03876527     0.04385646
  -15.8758759     0.02688278     0.05326895
  -15.8358358     0.01736103     0.04763329
  -15.7957958     0.01064522     0.03152155
  -15.7557558     0.00683470     0.01597821
  -15.7157157     0.00629228     0.00753987
  -15.6756757     0.00835275     0.00552854
  -15.6356356     0.01109660     0.00642683
  -15.5955956     0.01228881     0.00751018
  -15.5555556     0.01077488     0.00761896
  -15.5155155     0.00733642     0.00668275
  -15.4754755     0.00396289     0.00512784
  -15.4354354     0.00219791     0.00344016
  -15.3953954     0.00237230     0.00201938
  -15.3553554     0.00400518     0.00123124
  -15.3153153     0.00667155     0.00148391
  -15.2752753     0.01110484     0.00345320
  -15.2352352     0.01899471     0.00809027
  -15.1951952     0.03001671     0.01541090
  -15.1551552     0.03999553     0.02292874
  -15.1151151     0.04455579     0.02699848
  -15.0750751     0.04331463     0.02653287
  -15.0350350     0.03878097     0.02353859
  -14.9949950     0.03382013     0.02004377
  -14.9549550     0.03144487     0.01667998
  -14.9149149     0.03436392     0.01399316
  -14.8748749     0.04294137     0.01366656
  -14.8348348     0.05394813     0.01769881
  -14.7947948     0.06195118     0.02557468
  -14.7547548     0.06197343     0.03306483
  -14.7147147     0.05195636     0.03636917
  -14.6746747     0.03501594     0.03691503
  -14.6346346     0.01830997     0.03814011
  -14.5945946     0.00742062     0.03841059
  -14.5545546     0.00310711     0.03291466
  -14.5145145     0.00374318     0.02185917
  -14.4744745     0.00824594     0.01090924
  -14.4344344     0.01636899     0.00448232
  -14.3943944     0.02943566     0.00298449
  -14.3543544     0.05241869     0.00512389
  -14.3143143     0.08978962     0.00954984
  -14.2742743     0.13233636     0.01514003
  -14.2342342     0.15408094     0.02265896
  -14.1941942     0.13595288     0.03657821
  -14.1541542     0.08949122     0.06199391
  -14.1141141     0.04446673     0.09504916
  -14.0740741     0.01888656     0.11764488
