# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 200
# Emin, Emax in file for selected band(s):    -87.0079303    242.1276830
# Nbands, Nspin, Nk   =    200     2    22
# E_F                 =    -7.7270 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    -87.307930      0.000000      0.000000      0.000000
    -85.650967      0.000000      0.000000      0.000000
    -83.994005      0.000000      0.000000      0.000000
    -82.337042      0.000000      0.000000      0.000000
    -80.680079      0.000000      0.000000      0.000000
    -79.023116     29.524989     33.655854     63.180843
    -77.366153      0.000000      0.000000      0.000000
    -75.709190      0.000000      0.000000      0.000000
    -74.052227      0.000000      0.000000      0.000000
    -72.395264      0.000000      0.000000      0.000000
    -70.738301      0.000000      0.000000      0.000000
    -69.081339      0.000000      0.000000      0.000000
    -67.424376      0.000000      0.000000      0.000000
    -65.767413      0.000000      0.000000      0.000000
    -64.110450      0.000000      0.000000      0.000000
    -62.453487      0.000000      0.000000      0.000000
    -60.796524      0.000000      0.000000      0.000000
    -59.139561      0.000000      0.000000      0.000000
    -57.482598      0.000000      0.000000      0.000000
    -55.825636      0.000000      0.000000      0.000000
    -54.168673      0.000000      0.000000      0.000000
    -52.511710      0.000000      0.000000      0.000000
    -50.854747      0.000000      0.000000      0.000000
    -49.197784      0.000000      0.000000      0.000000
    -47.540821     12.472423     13.937599     26.410022
    -45.883858      0.000000      0.000000      0.000000
    -44.226895      0.000000      0.000000      0.000000
    -42.569933      0.000000      0.000000      0.000000
    -40.912970      0.000000      0.000000      0.000000
    -39.256007      0.000000      0.000000      0.000000
    -37.599044      0.000000      0.000000      0.000000
    -35.942081      0.000000      0.000000      0.000000
    -34.285118      0.000000      0.000000      0.000000
    -32.628155      0.000000      0.000000      0.000000
    -30.971192      0.000000      0.000000      0.000000
    -29.314229      0.000000      0.000000      0.000000
    -27.657267      0.000000      0.000000      0.000000
    -26.000304      0.000000      0.000000      0.000000
    -24.343341      0.000000      0.000000      0.000000
    -22.686378      0.000000      0.000000      0.000000
    -21.029415      0.000000      0.000000      0.000000
    -19.372452      0.000000      0.000000      0.000000
    -17.715489      0.000000      0.000000      0.000000
    -16.058526      0.000000      0.000000      0.000000
    -14.401564      0.000000      0.000000      0.000000
    -12.744601      0.000000      0.000000      0.000000
    -11.087638      0.000000      0.000000      0.000000
     -9.430675      0.000000      0.000000      0.000000
     -7.773712      0.693941      0.695877      1.389818
     -6.116749      0.000000      0.000000      0.000000
     -4.459786      1.658116      1.720971      3.379087
     -2.802823      1.574105      1.423123      2.997228
     -1.145860      4.103520      3.914821      8.018341
      0.511102      4.685076      4.095188      8.780264
      2.168065      2.775992      2.487788      5.263779
      3.825028      0.533181      0.510264      1.043445
      5.481991      2.228717      2.335424      4.564142
      7.138954      0.000000      0.000000      0.000000
      8.795917      0.000133      0.000192      0.000326
     10.452880      0.574896      0.614131      1.189027
     12.109843      9.943496      9.942608     19.886104
     13.766805      2.065559      1.970135      4.035694
     15.423768      4.167496      3.920736      8.088231
     17.080731      3.048927      3.049103      6.098030
     18.737694      0.592650      0.561025      1.153674
     20.394657      3.659879      3.576402      7.236281
     22.051620      0.674466      0.737450      1.411915
     23.708583      0.000054      0.000039      0.000094
     25.365546      1.927815      2.032196      3.960011
     27.022508      0.030674      0.034159      0.064833
     28.679471      0.000000      0.000000      0.000000
     30.336434      4.454633      4.335227      8.789859
     31.993397      0.000024      0.000032      0.000056
     33.650360      2.190885      2.312563      4.503448
     35.307323      4.354489      4.141594      8.496084
     36.964286      0.994994      1.002512      1.997505
     38.621249      2.687521      2.745640      5.433162
     40.278212      0.000000      0.000000      0.000000
     41.935174      0.184588      0.203469      0.388057
     43.592137      0.016453      0.019165      0.035617
     45.249100      0.180701      0.200389      0.381090
     46.906063      2.430414      2.545324      4.975738
     48.563026      1.604004      1.618119      3.222123
     50.219989      0.155738      0.179425      0.335163
     51.876952      1.215895      1.172527      2.388421
     53.533915      0.001228      0.001052      0.002279
     55.190877      0.003749      0.002974      0.006722
     56.847840      0.641205      0.673281      1.314486
     58.504803      0.005577      0.004647      0.010224
     60.161766      2.044213      2.115591      4.159803
     61.818729      1.536856      1.505288      3.042144
     63.475692      0.000136      0.000115      0.000252
