#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586    -0.00000000    -0.00000000
  -18.5185185    -0.00000002    -0.00000000
  -18.4784785    -0.00000027    -0.00000006
  -18.4384384    -0.00000339    -0.00000090
  -18.3983984    -0.00003067    -0.00000962
  -18.3583584    -0.00020108    -0.00007434
  -18.3183183    -0.00095394    -0.00041610
  -18.2782783    -0.00327004    -0.00168639
  -18.2382382    -0.00808120    -0.00494312
  -18.1981982    -0.01434626    -0.01046147
  -18.1581582    -0.01819377    -0.01594538
  -18.1181181    -0.01637924    -0.01745242
  -18.0780781    -0.01072579    -0.01380394
  -18.0380380    -0.00724341    -0.00886504
  -17.9979980    -0.01230041    -0.00892747
  -17.9579580    -0.03052636    -0.01975047
  -17.9179179    -0.06087694    -0.04377082
  -17.8778779    -0.09173793    -0.07473067
  -17.8378378    -0.10654930    -0.09735972
  -17.7977978    -0.09802875    -0.09900788
  -17.7577578    -0.07287733    -0.08038438
  -17.7177177    -0.04405402    -0.05267807
  -17.6776777    -0.02277470    -0.02835788
  -17.6376376    -0.01530638    -0.01577195
  -17.5975976    -0.02206209    -0.01857642
  -17.5575576    -0.03318936    -0.03427411
  -17.5175175    -0.02362068    -0.04649266
  -17.4774775     0.03061597    -0.02554117
  -17.4374374     0.11515525     0.04132270
  -17.3973974     0.17285118     0.11847614
  -17.3573574     0.15733917     0.14680632
  -17.3173173     0.07762118     0.10370091
  -17.2772773    -0.01987065     0.01835348
  -17.2372372    -0.09150573    -0.06336750
  -17.1971972    -0.11473408    -0.10849206
  -17.1571572    -0.09241492    -0.10634135
  -17.1171171    -0.04931534    -0.07088251
  -17.0770771    -0.01376612    -0.03031106
  -17.0370370     0.00236831    -0.00516590
  -16.9969970     0.00511088     0.00301608
  -16.9569570     0.00574704     0.00364246
  -16.9169169     0.01286443     0.00555212
  -16.8768769     0.03184262     0.01433550
  -16.8368368     0.06138899     0.03249440
  -16.7967968     0.08796211     0.05528935
  -16.7567568     0.09257802     0.06921935
  -16.7167167     0.06907223     0.06243410
  -16.6766767     0.02908841     0.03637286
  -16.6366366    -0.01244793     0.00167572
  -16.5965966    -0.04647241    -0.03246635
  -16.5565566    -0.06560930    -0.05840302
  -16.5165165    -0.06466055    -0.06769602
  -16.4764765    -0.04771237    -0.05786646
  -16.4364364    -0.02669469    -0.03732995
  -16.3963964    -0.01132046    -0.01822394
  -16.3563564    -0.00361968    -0.00670903
  -16.3163163    -0.00086636    -0.00185114
  -16.2762763    -0.00015421    -0.00038022
  -16.2362362    -0.00002205    -0.00005850
  -16.1961962    -0.00001976    -0.00001483
  -16.1561562    -0.00012696    -0.00006784
  -16.1161161    -0.00065935    -0.00039432
  -16.0760761    -0.00250359    -0.00168563
  -16.0360360    -0.00694718    -0.00526182
  -15.9959960    -0.01409657    -0.01199935
  -15.9559560    -0.02093737    -0.02000728
  -15.9159159    -0.02283313    -0.02444852
  -15.8758759    -0.01850442    -0.02210083
  -15.8358358    -0.01168669    -0.01535725
  -15.7957958    -0.00667840    -0.00936219
  -15.7557558    -0.00432236    -0.00642061
  -15.7157157    -0.00293010    -0.00517811
  -15.6756757    -0.00097177    -0.00385253
  -15.6356356     0.00158084    -0.00252569
  -15.5955956     0.00173373    -0.00368189
  -15.5555556    -0.00775127    -0.01303381
  -15.5155155    -0.03091974    -0.03709162
  -15.4754755    -0.05337556    -0.07053719
  -15.4354354    -0.04798811    -0.08635766
  -15.3953954    -0.01174237    -0.05922179
  -15.3553554     0.02132454    -0.00528845
  -15.3153153     0.02166373     0.02809657
  -15.2752753    -0.00242165     0.01884399
  -15.2352352    -0.02271760    -0.00999627
  -15.1951952    -0.02212676    -0.02564693
  -15.1551552    -0.00357683    -0.01726822
  -15.1151151     0.01579490     0.00500100
  -15.0750751     0.01138410     0.02141197
  -15.0350350    -0.03570917     0.00866074
  -14.9949950    -0.11526996    -0.04679246
  -14.9549550    -0.18241196    -0.12689053
  -14.9149149    -0.19533008    -0.18437125
  -14.8748749    -0.15927142    -0.18542296
  -14.8348348    -0.11465312    -0.14538024
  -14.7947948    -0.08232190    -0.10523768
  -14.7547548    -0.04211375    -0.07849206
  -14.7147147     0.02799615    -0.04055940
  -14.6746747     0.10944244     0.02811145
  -14.6346346     0.15809065     0.10554042
  -14.5945946     0.15588372     0.14835373
  -14.5545546     0.13004406     0.14108559
  -14.5145145     0.12326838     0.11108231
  -14.4744745     0.15202163     0.10001533
  -14.4344344     0.18866470     0.12749523
  -14.3943944     0.18902221     0.17188929
  -14.3543544     0.14219653     0.18747176
  -14.3143143     0.07901713     0.15242325
  -14.2742743     0.03239472     0.09075272
  -14.2342342     0.00981589     0.03944001
  -14.1941942     0.00211276     0.01249980
  -14.1541542    -0.00007033     0.00282320
  -14.1141141    -0.00089983     0.00019472
  -14.0740741     0.00069009    -0.00041691
  -14.0340340     0.01193646     0.00155129
  -13.9939940     0.04221935     0.01215189
  -13.9539540     0.08855099     0.03859421
  -13.9139139     0.12894103     0.07705351
  -13.8738739     0.14496231     0.10888510
  -13.8338338     0.14730065     0.12053329
  -13.7937938     0.16231469     0.12234354
  -13.7537538     0.19404473     0.13580477
  -13.7137137     0.21248133     0.16579672
  -13.6736737     0.18696512     0.19174630
  -13.6336336     0.12539046     0.18561013
  -13.5935936     0.06664946     0.14081360
  -13.5535536     0.03832584     0.08283523
  -13.5135135     0.03726572     0.04447289
  -13.4734735     0.04605735     0.03471573
  -13.4334334     0.05254613     0.03945474
  -13.3933934     0.05293056     0.04435697
  -13.3533534     0.04694135     0.04637442
  -13.3133133     0.03746679     0.04639077
  -13.2732733     0.03098069     0.04251250
  -13.2332332     0.03142726     0.03495055
  -13.1931932     0.03549408     0.02897882
  -13.1531532     0.03749276     0.02785939
  -13.1131131     0.03672944     0.02859428
  -13.0730731     0.03885340     0.02741687
  -13.0330330     0.05045381     0.02567643
  -12.9929930     0.06987369     0.02931966
  -12.9529530     0.08480123     0.04276212
  -12.9129129     0.08403201     0.06157580
  -12.8728729     0.06912368     0.07366724
  -12.8328328     0.05068063     0.07052504
  -12.7927928     0.03708591     0.05452697
  -12.7527528     0.02919136     0.03492116
  -12.7127127     0.02297530     0.02009056
  -12.6726727     0.01542284     0.01268190
  -12.6326326     0.00781591     0.00963368
  -12.5925926     0.00444660     0.00679774
  -12.5525526     0.00938234     0.00318811
  -12.5125125     0.02370568     0.00134334
  -12.4724725     0.04455602     0.00558674
  -12.4324324     0.06689863     0.01933892
  -12.3923924     0.08659054     0.04154585
  -12.3523524     0.10172380     0.06553604
  -12.3123123     0.11029407     0.08332738
  -12.2722723     0.10731760     0.09202922
  -12.2322322     0.08897588     0.09457763
  -12.1921922     0.05980082     0.09346336
  -12.1521522     0.03048292     0.08645476
  -12.1121121     0.00951893     0.07017622
  -12.0720721    -0.00069776     0.04624378
  -12.0320320    -0.00288793     0.02117014
  -11.9919920    -0.00169487     0.00070098
  -11.9519520     0.00034430    -0.01200653
  -11.9119119     0.00449838    -0.01509785
  -11.8718719     0.01259619    -0.01061839
  -11.8318318     0.02137974    -0.00556530
  -11.7917918     0.02286919    -0.00526711
  -11.7517518     0.01320324    -0.00752022
  -11.7117117    -0.00300491    -0.00679130
  -11.6716717    -0.02051181    -0.00340480
  -11.6316316    -0.03868284    -0.00538602
  -11.5915916    -0.05480975    -0.01937428
  -11.5515516    -0.06229057    -0.04111817
  -11.5115115    -0.06137707    -0.05747228
  -11.4714715    -0.06184145    -0.05804348
  -11.4314314    -0.07031945    -0.04509353
  -11.3913914    -0.08355773    -0.03321185
  -11.3513514    -0.09679669    -0.03721609
  -11.3113113    -0.11120602    -0.05661095
  -11.2712713    -0.12781226    -0.07454650
  -11.2312312    -0.13865713    -0.07798529
  -11.1911912    -0.13293576    -0.07564138
  -11.1511512    -0.11047205    -0.08773015
  -11.1111111    -0.08159136    -0.11892657
  -11.0710711    -0.05688316    -0.14961848
  -11.0310310    -0.04133409    -0.15658129
  -10.9909910    -0.03350279    -0.13549210
  -10.9509510    -0.02823806    -0.09998811
  -10.9109109    -0.02261669    -0.06663591
  -10.8708709    -0.01850629    -0.04481662
  -10.8308308    -0.01844808    -0.03519052
  -10.7907908    -0.02129380    -0.03294015
  -10.7507508    -0.02391481    -0.03292012
  -10.7107107    -0.02587610    -0.03378565
  -10.6706707    -0.02833851    -0.03717793
  -10.6306306    -0.02853723    -0.04288741
  -10.5905906    -0.02178824    -0.04768067
  -10.5505506    -0.01018944    -0.04908173
  -10.5105105    -0.00263744    -0.04639423
  -10.4704705    -0.00409969    -0.03887603
  -10.4304304    -0.01022020    -0.02735431
