#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   4,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   5,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000003     0.00000007
  -19.0790791     0.00000042     0.00000096
  -19.0390390     0.00000406     0.00000887
  -18.9989990     0.00002795     0.00005925
  -18.9589590     0.00013805     0.00028566
  -18.9189189     0.00048725     0.00099220
  -18.8788789     0.00122173     0.00247777
  -18.8388388     0.00215633     0.00443590
  -18.7987988     0.00263619     0.00566940
  -18.7587588     0.00216172     0.00513979
  -18.7187187     0.00109677     0.00327091
  -18.6786787     0.00024436     0.00143398
  -18.6386386    -0.00007461     0.00041641
  -18.5985986    -0.00008142     0.00007193
  -18.5585586    -0.00003217     0.00000402
  -18.5185185    -0.00000765    -0.00000123
  -18.4784785    -0.00000122    -0.00000037
  -18.4384384    -0.00000029    -0.00000032
  -18.3983984    -0.00000271    -0.00000432
  -18.3583584    -0.00003271    -0.00004961
  -18.3183183    -0.00029009    -0.00041711
  -18.2782783    -0.00188236    -0.00256969
  -18.2382382    -0.00896210    -0.01163436
  -18.1981982    -0.03147244    -0.03893467
  -18.1581582    -0.08230819    -0.09732117
  -18.1181181    -0.16296753    -0.18495569
  -18.0780781    -0.25036179    -0.27433429
  -18.0380380    -0.30697648    -0.32711169
  -17.9979980    -0.30606391    -0.31968314
  -17.9579580    -0.24691290    -0.25515407
  -17.9179179    -0.15680687    -0.16266159
  -17.8778779    -0.07613428    -0.08151226
  -17.8378378    -0.02946002    -0.03429173
  -17.7977978    -0.01350862    -0.01745962
  -17.7577578    -0.01188006    -0.01524322
  -17.7177177    -0.01182399    -0.01474375
  -17.6776777    -0.00910529    -0.01127443
  -17.6376376    -0.00510914    -0.00634307
  -17.5975976    -0.00211952    -0.00265860
  -17.5575576    -0.00103395    -0.00139302
  -17.5175175    -0.00309764    -0.00433015
  -17.4774775    -0.01524307    -0.02032913
  -17.4374374    -0.05703414    -0.07248670
  -17.3973974    -0.15617670    -0.18997952
  -17.3573574    -0.31319710    -0.36713844
  -17.3173173    -0.46171120    -0.52727866
  -17.2772773    -0.50465437    -0.57161304
  -17.2372372    -0.41826405    -0.48327200
  -17.1971972    -0.28116039    -0.34216608
  -17.1571572    -0.18558030    -0.23559576
  -17.1171171    -0.16187742    -0.19578513
  -17.0770771    -0.18585015    -0.20712278
  -17.0370370    -0.21437373    -0.22990571
  -16.9969970    -0.21181775    -0.22457965
  -16.9569570    -0.16901496    -0.17833515
  -16.9169169    -0.10585683    -0.11146105
  -16.8768769    -0.05123630    -0.05511067
  -16.8368368    -0.02001735    -0.02591162
  -16.7967968    -0.00957732    -0.02140147
  -16.7567568    -0.01079812    -0.03027752
  -16.7167167    -0.01614649    -0.04388073
  -16.6766767    -0.02381489    -0.06981724
  -16.6366366    -0.04525288    -0.14116229
  -16.5965966    -0.10871218    -0.29445419
  -16.5565566    -0.23736926    -0.50967502
  -16.5165165    -0.40555246    -0.67993633
  -16.4764765    -0.53676821    -0.70005371
  -16.4364364    -0.58281424    -0.60004911
  -16.3963964    -0.57824753    -0.51534676
  -16.3563564    -0.56662069    -0.50570849
  -16.3163163    -0.52014991    -0.49381980
  -16.2762763    -0.40050825    -0.40627997
  -16.2362362    -0.24718055    -0.27908823
  -16.1961962    -0.13792531    -0.18868983
  -16.1561562    -0.10226998    -0.16110660
  -16.1161161    -0.11538204    -0.17909034
  -16.0760761    -0.14303819    -0.21252705
  -16.0360360    -0.16166003    -0.22290505
  -15.9959960    -0.15515604    -0.19446365
  -15.9559560    -0.12783843    -0.17598072
  -15.9159159    -0.12063232    -0.24182714
  -15.8758759    -0.18579322    -0.39061326
  -15.8358358    -0.32472522    -0.51757797
  -15.7957958    -0.45392729    -0.51578900
  -15.7557558    -0.46752429    -0.38568590
  -15.7157157    -0.35067745    -0.21902879
  -15.6756757    -0.19184337    -0.10025393
  -15.6356356    -0.07967408    -0.05767621
  -15.5955956    -0.03871587    -0.08914029
  -15.5555556    -0.06010246    -0.18933042
  -15.5155155    -0.14042428    -0.33768736
  -15.4754755    -0.27105244    -0.47913546
  -15.4354354    -0.40576211    -0.54042015
  -15.3953954    -0.46113248    -0.47074142
  -15.3553554    -0.36894123    -0.27153632
  -15.3153153    -0.14522755    -0.01029881
  -15.2752753     0.09509612     0.19722520
  -15.2352352     0.22770026     0.26724705
  -15.1951952     0.23466631     0.22538574
  -15.1551552     0.19500440     0.16634352
  -15.1151151     0.17158008     0.14339440
  -15.0750751     0.16066463     0.13763856
  -15.0350350     0.13620197     0.11363493
  -14.9949950     0.09135701     0.05826944
  -14.9549550     0.03297470    -0.02998843
  -14.9149149    -0.04085300    -0.15142651
  -14.8748749    -0.13954251    -0.28252909
  -14.8348348    -0.24849149    -0.36382664
  -14.7947948    -0.31508389    -0.34684515
  -14.7547548    -0.29409054    -0.24721435
  -14.7147147    -0.19961915    -0.12374306
  -14.6746747    -0.08480958    -0.01706636
  -14.6346346     0.01766105     0.06818754
  -14.5945946     0.10963472     0.13856861
  -14.5545546     0.20171050     0.20403526
  -14.5145145     0.30253270     0.28766652
  -14.4744745     0.41181842     0.39577714
  -14.4344344     0.49399192     0.47618564
  -14.3943944     0.49316444     0.46236363
  -14.3543544     0.40489562     0.36149764
  -14.3143143     0.29162429     0.24547729
  -14.2742743     0.20898209     0.16309834
  -14.2342342     0.15734223     0.10808390
  -14.1941942     0.11240959     0.06168040
  -14.1541542     0.06706831     0.02686630
  -14.1141141     0.03130708     0.02056665
  -14.0740741     0.01434111     0.05213255
  -14.0340340     0.02144793     0.10887981
  -13.9939940     0.05666338     0.15800815
  -13.9539540     0.11477986     0.17517500
  -13.9139139     0.17412062     0.17130612
  -13.8738739     0.21055581     0.17238751
  -13.8338338     0.21849696     0.18373736
  -13.7937938     0.21056942     0.20178887
  -13.7537538     0.20760243     0.24265631
  -13.7137137     0.23497310     0.32262305
  -13.6736737     0.31081084     0.41872571
  -13.6336336     0.42110364     0.47749901
  -13.5935936     0.50887741     0.46497745
  -13.5535536     0.51493703     0.39327191
  -13.5135135     0.43939490     0.29963400
  -13.4734735     0.33478646     0.21855056
  -13.4334334     0.24515106     0.17528495
  -13.3933934     0.18570895     0.18212541
  -13.3533534     0.16437087     0.22725135
  -13.3133133     0.18733710     0.28023570
  -13.2732733     0.24765629     0.32184555
  -13.2332332     0.32659635     0.36475067
  -13.1931932     0.40722586     0.43744643
  -13.1531532     0.48199284     0.54386695
  -13.1131131     0.54672181     0.64284947
  -13.0730731     0.59183478     0.67960820
  -13.0330330     0.60930865     0.63521244
  -12.9929930     0.59778229     0.53710308
  -12.9529530     0.55059562     0.42981539
  -12.9129129     0.46708293     0.34656591
  -12.8728729     0.37691500     0.30786476
  -12.8328328     0.32101624     0.32284844
  -12.7927928     0.31783246     0.36564122
  -12.7527528     0.35542134     0.37539271
  -12.7127127     0.39338516     0.32111772
  -12.6726727     0.38576526     0.24897572
  -12.6326326     0.32930175     0.23337745
  -12.5925926     0.27608515     0.29889161
  -12.5525526     0.28265878     0.40711714
  -12.5125125     0.35333933     0.49582457
  -12.4724725     0.43906392     0.51858253
