#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992    -0.00000000    -0.00000000
  -19.1591592    -0.00000000    -0.00000000
  -19.1191191    -0.00000003    -0.00000004
  -19.0790791    -0.00000038    -0.00000056
  -19.0390390    -0.00000374    -0.00000514
  -18.9989990    -0.00002650    -0.00003434
  -18.9589590    -0.00013556    -0.00016547
  -18.9189189    -0.00050063    -0.00057450
  -18.8788789    -0.00133291    -0.00143384
  -18.8388388    -0.00255393    -0.00256500
  -18.7987988    -0.00351321    -0.00327483
  -18.7587588    -0.00345789    -0.00296451
  -18.7187187    -0.00242299    -0.00188238
  -18.6786787    -0.00119928    -0.00082223
  -18.6386386    -0.00041376    -0.00023712
  -18.5985986    -0.00009702    -0.00004024
  -18.5585586    -0.00001459    -0.00000197
  -18.5185185    -0.00000116     0.00000078
  -18.4784785     0.00000001     0.00000022
  -18.4384384    -0.00000000     0.00000000
  -18.3983984    -0.00000031    -0.00000042
  -18.3583584    -0.00000358    -0.00000461
  -18.3183183    -0.00003002    -0.00003665
  -18.2782783    -0.00018320    -0.00021163
  -18.2382382    -0.00081217    -0.00088589
  -18.1981982    -0.00261160    -0.00267845
  -18.1581582    -0.00607428    -0.00580631
  -18.1181181    -0.01018027    -0.00891512
  -18.0780781    -0.01231765    -0.00958221
  -18.0380380    -0.01126194    -0.00751979
  -17.9979980    -0.00959553    -0.00591792
  -17.9579580    -0.01046951    -0.00715684
  -17.9179179    -0.01269787    -0.00908510
  -17.8778779    -0.01238901    -0.00837170
  -17.8378378    -0.00855086    -0.00512325
  -17.7977978    -0.00380018    -0.00176570
  -17.7577578    -0.00059068     0.00022663
  -17.7177177     0.00068552     0.00089514
  -17.6776777     0.00077774     0.00080213
  -17.6376376     0.00046920     0.00046422
  -17.5975976     0.00019132     0.00018707
  -17.5575576     0.00003124     0.00002080
  -17.5175175    -0.00017117    -0.00023039
  -17.4774775    -0.00094025    -0.00121083
  -17.4374374    -0.00357372    -0.00452602
  -17.3973974    -0.01013580    -0.01274339
  -17.3573574    -0.02193083    -0.02735076
  -17.3173173    -0.03728927    -0.04504840
  -17.2772773    -0.05148780    -0.05678100
  -17.2372372    -0.05889390    -0.05376750
  -17.1971972    -0.05537351    -0.03654904
  -17.1571572    -0.04132831    -0.01569930
  -17.1171171    -0.02298303    -0.00148702
  -17.0770771    -0.00790385     0.00427920
  -17.0370370     0.00060865     0.00534523
  -16.9969970     0.00365517     0.00479893
  -16.9569570     0.00360607     0.00357975
  -16.9169169     0.00226317     0.00180161
  -16.8768769     0.00037748    -0.00096731
  -16.8368368    -0.00279325    -0.00629342
  -16.7967968    -0.00923996    -0.01572199
  -16.7567568    -0.01967544    -0.02724894
  -16.7167167    -0.03019065    -0.03444177
  -16.6766767    -0.03415110    -0.03260467
  -16.6366366    -0.03028399    -0.02430072
  -16.5965966    -0.02581720    -0.01461567
  -16.5565566    -0.02768152    -0.00426534
  -16.5165165    -0.03277306     0.00723088
  -16.4764765    -0.03138436     0.01583941
  -16.4364364    -0.02014403     0.01711123
  -16.3963964    -0.00620135     0.01277803
  -16.3563564     0.00247691     0.00829583
  -16.3163163     0.00492878     0.00708466
  -16.2762763     0.00483167     0.00988861
  -16.2362362     0.00575158     0.01536584
  -16.1961962     0.00853213     0.01797212
  -16.1561562     0.00913020     0.00934586
  -16.1161161    -0.00014884    -0.01255889
  -16.0760761    -0.02183022    -0.03696871
  -16.0360360    -0.04549232    -0.04841196
  -15.9959960    -0.05533539    -0.04183519
  -15.9559560    -0.04663020    -0.02572893
  -15.9159159    -0.02922035    -0.01111477
  -15.8758759    -0.01540830    -0.00236178
  -15.8358358    -0.00964102     0.00172730
  -15.7957958    -0.00893345     0.00315844
  -15.7557558    -0.00858013     0.00302603
  -15.7157157    -0.00649778     0.00226209
  -15.6756757    -0.00355924     0.00229446
  -15.6356356    -0.00106141     0.00529767
  -15.5955956     0.00129340     0.01397961
  -15.5555556     0.00534315     0.02902764
  -15.5155155     0.01278574     0.04470143
  -15.4754755     0.02224341     0.04979542
  -15.4354354     0.02783344     0.03842810
  -15.3953954     0.02411663     0.01862093
  -15.3553554     0.01377738     0.00439629
  -15.3153153     0.00559272     0.00120396
  -15.2752753     0.00375254     0.00411590
  -15.2352352     0.00486572     0.00682847
  -15.1951952     0.00504946     0.00720557
  -15.1551552     0.00408618     0.00604006
  -15.1151151     0.00311734     0.00448006
  -15.0750751     0.00241053     0.00300882
  -15.0350350     0.00149462     0.00131432
  -14.9949950    -0.00050838    -0.00155230
  -14.9549550    -0.00495922    -0.00632420
  -14.9149149    -0.01252609    -0.01170692
  -14.8748749    -0.02032940    -0.01373309
  -14.8348348    -0.02200262    -0.00935060
  -14.7947948    -0.01445824    -0.00116587
  -14.7547548    -0.00330009     0.00374446
  -14.7147147     0.00240853    -0.00070469
  -14.6746747    -0.00191164    -0.01724850
  -14.6346346    -0.01628348    -0.04396500
  -14.5945946    -0.03807259    -0.06991499
  -14.5545546    -0.05959186    -0.07805286
  -14.5145145    -0.06931927    -0.06115177
  -14.4744745    -0.06108923    -0.03069848
  -14.4344344    -0.04014016    -0.00556606
  -14.3943944    -0.01839387     0.00255970
  -14.3543544    -0.00650536    -0.00667847
  -14.3143143    -0.00916116    -0.02455164
  -14.2742743    -0.02209126    -0.03900122
  -14.2342342    -0.03411051    -0.04244877
  -14.1941942    -0.03687445    -0.03577081
  -14.1541542    -0.03120185    -0.02628314
  -14.1141141    -0.02264372    -0.02366316
  -14.0740741    -0.01605547    -0.03497934
  -14.0340340    -0.01595964    -0.05741566
  -13.9939940    -0.02642434    -0.07598518
  -13.9539540    -0.04582784    -0.07645314
  -13.9139139    -0.06347827    -0.06108198
  -13.8738739    -0.06744709    -0.04332555
  -13.8338338    -0.05642814    -0.03049917
  -13.7937938    -0.03940966    -0.02169520
  -13.7537538    -0.02657094    -0.01715943
  -13.7137137    -0.02453333    -0.01915939
  -13.6736737    -0.03432962    -0.02590445
  -13.6336336    -0.04861464    -0.03103275
  -13.5935936    -0.05496484    -0.02987600
  -13.5535536    -0.04718419    -0.02410832
  -13.5135135    -0.03166486    -0.01867443
  -13.4734735    -0.01932899    -0.01608796
  -13.4334334    -0.01426949    -0.01655099
  -13.3933934    -0.01331204    -0.02083409
  -13.3533534    -0.01349217    -0.02852096
  -13.3133133    -0.01593627    -0.03531458
  -13.2732733    -0.02249807    -0.03727497
  -13.2332332    -0.03134244    -0.03752996
  -13.1931932    -0.03857913    -0.04379367
  -13.1531532    -0.04416004    -0.05813820
  -13.1131131    -0.05203600    -0.07337848
  -13.0730731    -0.06327019    -0.08099339
  -13.0330330    -0.07382483    -0.07895302
  -12.9929930    -0.07932893    -0.07046308
  -12.9529530    -0.07779454    -0.05861937
  -12.9129129    -0.06966760    -0.04478748
  -12.8728729    -0.05772044    -0.03075546
  -12.8328328    -0.04515219    -0.01923053
  -12.7927928    -0.03394953    -0.01139098
  -12.7527528    -0.02470040    -0.00638445
  -12.7127127    -0.01635289    -0.00392268
  -12.6726727    -0.00796222    -0.00529538
  -12.6326326    -0.00152167    -0.01131662
  -12.5925926    -0.00057706    -0.02036269
  -12.5525526    -0.00618483    -0.02914460
  -12.5125125    -0.01620477    -0.03518900
  -12.4724725    -0.02795969    -0.03713951
  -12.4324324    -0.03956101    -0.03381367
  -12.3923924    -0.04765494    -0.02619840
  -12.3523524    -0.04711213    -0.01839453
  -12.3123123    -0.03704808    -0.01348546
  -12.2722723    -0.02393973    -0.01075384
  -12.2322322    -0.01501891    -0.00830002
  -12.1921922    -0.01169491    -0.00585438
  -12.1521522    -0.01089501    -0.00434483
  -12.1121121    -0.00993424    -0.00488000
  -12.0720721    -0.00927151    -0.00877402
  -12.0320320    -0.01166799    -0.01649515
  -11.9919920    -0.01878651    -0.02535552
  -11.9519520    -0.02840217    -0.02999260
  -11.9119119    -0.03556771    -0.02728323
  -11.8718719    -0.03692128    -0.02014584
  -11.8318318    -0.03306274    -0.01502321
  -11.7917918    -0.02664466    -0.01626122
  -11.7517518    -0.02007623    -0.02345307
  -11.7117117    -0.01611082    -0.03278045
  -11.6716717    -0.01832503    -0.03938642
  -11.6316316    -0.02799721    -0.03934303
  -11.5915916    -0.04023222    -0.03239880
  -11.5515516    -0.04584090    -0.02313482
  -11.5115115    -0.03992972    -0.01692481
  -11.4714715    -0.02745498    -0.01526415
  -11.4314314    -0.01766319    -0.01614357
  -11.3913914    -0.01490812    -0.01671879
  -11.3513514    -0.01690817    -0.01503511
  -11.3113113    -0.01923629    -0.01149753
  -11.2712713    -0.01910221    -0.00858199
  -11.2312312    -0.01634325    -0.00777831
  -11.1911912    -0.01293495    -0.00805578
  -11.1511512    -0.01149292    -0.00812197
  -11.1111111    -0.01306268    -0.00837395
  -11.0710711    -0.01578472    -0.00984569
  -11.0310310    -0.01643664    -0.01252394
  -10.9909910    -0.01405241    -0.01530026
  -10.9509510    -0.01115327    -0.01730185
  -10.9109109    -0.01063405    -0.01907484
  -10.8708709    -0.01244228    -0.02198107
  -10.8308308    -0.01446971    -0.02616137
  -10.7907908    -0.01614262    -0.02972527
  -10.7507508    -0.01900899    -0.03056078
  -10.7107107    -0.02328100    -0.02898411
  -10.6706707    -0.02662473    -0.02795177
  -10.6306306    -0.02778940    -0.02921218
  -10.5905906    -0.02867334    -0.02996501
  -10.5505506    -0.03097807    -0.02615592
  -10.5105105    -0.03309204    -0.01853227
  -10.4704705    -0.03277349    -0.01239482
  -10.4304304    -0.03146104    -0.01122132
  -10.3903904    -0.03249707    -0.01294656
  -10.3503504    -0.03562370    -0.01340511
  -10.3103103    -0.03683436    -0.01139848
  -10.2702703    -0.03372946    -0.00888176
  -10.2302302    -0.02812735    -0.00752728
  -10.1901902    -0.02313931    -0.00667066
  -10.1501502    -0.01991503    -0.00461079
