#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787    -0.00000000     0.00000000
  -18.6386386    -0.00000000    -0.00000000
  -18.5985986    -0.00000007    -0.00000003
  -18.5585586    -0.00000112    -0.00000059
  -18.5185185    -0.00001296    -0.00000744
  -18.4784785    -0.00010938    -0.00006840
  -18.4384384    -0.00067044    -0.00045676
  -18.3983984    -0.00298448    -0.00221562
  -18.3583584    -0.00964912    -0.00780687
  -18.3183183    -0.02265803    -0.01998233
  -18.2782783    -0.03864404    -0.03715490
  -18.2382382    -0.04787159    -0.05018796
  -18.1981982    -0.04307416    -0.04925025
  -18.1581582    -0.02815188    -0.03511186
  -18.1181181    -0.01336464    -0.01818637
  -18.0780781    -0.00460864    -0.00684375
  -18.0380380    -0.00115441    -0.00187114
  -17.9979980    -0.00021005    -0.00037170
  -17.9579580    -0.00002776    -0.00005365
  -17.9179179    -0.00000270    -0.00000565
  -17.8778779    -0.00000064    -0.00000090
  -17.8378378    -0.00000501    -0.00000563
  -17.7977978    -0.00003908    -0.00004846
  -17.7577578    -0.00021202    -0.00030012
  -17.7177177    -0.00074654    -0.00131008
  -17.6776777    -0.00129429    -0.00386445
  -17.6376376     0.00184038    -0.00670648
  -17.5975976     0.01917941    -0.00170999
  -17.5575576     0.06323869     0.02590035
  -17.5175175     0.12992827     0.08204990
  -17.4774775     0.18788772     0.14566382
  -17.4374374     0.20248396     0.17960700
  -17.3973974     0.16968334     0.16594305
  -17.3573574     0.11426990     0.11979208
  -17.3173173     0.06275467     0.06900678
  -17.2772773     0.02787056     0.03175960
  -17.2372372     0.00978137     0.01152060
  -17.1971972     0.00264666     0.00323145
  -17.1571572     0.00054207     0.00068886
  -17.1171171     0.00008768     0.00011140
  -17.0770771     0.00005978     0.00002802
  -17.0370370     0.00038292     0.00012770
  -16.9969970     0.00212284     0.00078991
  -16.9569570     0.00869559     0.00366098
  -16.9169169     0.02655798     0.01276365
  -16.8768769     0.06159946     0.03409105
  -16.8368368     0.11161616     0.07146393
  -16.7967968     0.16398332     0.12078977
  -16.7567568     0.20249747     0.16834899
  -16.7167167     0.21376766     0.19523600
  -16.6766767     0.19072293     0.18694306
  -16.6366366     0.13958212     0.14492133
  -16.5965966     0.08116150     0.08887760
  -16.5565566     0.03655514     0.04224029
  -16.5165165     0.01252829     0.01530975
  -16.4764765     0.00322813     0.00418257
  -16.4364364     0.00062029     0.00085415
  -16.3963964     0.00008905     0.00012994
  -16.3563564     0.00001867     0.00001970
  -16.3163163     0.00009397     0.00005654
  -16.2762763     0.00067527     0.00043219
  -16.2362362     0.00356279     0.00245890
  -16.1961962     0.01370844     0.01020315
  -16.1561562     0.03849375     0.03090061
  -16.1161161     0.07895242     0.06836868
  -16.0760761     0.11838503     0.11062383
  -16.0360360     0.12988710     0.13103689
  -15.9959960     0.10436103     0.11374455
  -15.9559560     0.06146249     0.07242192
  -15.9159159     0.02663382     0.03387055
  -15.8758759     0.00898154     0.01180331
  -15.8358358     0.00434251     0.00392226
  -15.7957958     0.00750900     0.00438039
  -15.7557558     0.01570204     0.01084884
  -15.7157157     0.02492838     0.02204663
  -15.6756757     0.02930535     0.03313137
  -15.6356356     0.02657384     0.03760853
  -15.5955956     0.02089612     0.03467848
  -15.5555556     0.01709527     0.02975911
  -15.5155155     0.01554969     0.02632499
  -15.4754755     0.01563539     0.02331992
  -15.4354354     0.02034884     0.02162561
  -15.3953954     0.03265850     0.02611815
  -15.3553554     0.04762369     0.03792505
  -15.3153153     0.05349168     0.04863351
  -15.2752753     0.04414845     0.04752082
  -15.2352352     0.02611125     0.03382042
  -15.1951952     0.00996081     0.01651056
  -15.1551552     0.00045848     0.00338259
  -15.1151151    -0.00240968    -0.00358312
  -15.0750751     0.00080934    -0.00389290
  -15.0350350     0.00742793     0.00331440
  -14.9949950     0.00904355     0.01484168
  -14.9549550    -0.00641123     0.02095037
  -14.9149149    -0.04584512     0.01099452
  -14.8748749    -0.09924848    -0.01832617
  -14.8348348    -0.13789166    -0.05934720
  -14.7947948    -0.13706854    -0.09489857
  -14.7547548    -0.10246919    -0.10713466
  -14.7147147    -0.06227736    -0.09239340
  -14.6746747    -0.03775767    -0.06568093
  -14.6346346    -0.03075238    -0.04578989
  -14.5945946    -0.03099542    -0.03764297
  -14.5545546    -0.02795758    -0.03133334
  -14.5145145    -0.01860300    -0.01628717
  -14.4744745    -0.00542162     0.00667244
  -14.4344344     0.01153111     0.02726515
  -14.3943944     0.03594343     0.03764171
  -14.3543544     0.06571546     0.04042295
  -14.3143143     0.08579831     0.04293961
  -14.2742743     0.07988631     0.04534056
  -14.2342342     0.05082628     0.03987062
  -14.1941942     0.01930575     0.02242866
  -14.1541542     0.00136226     0.00042534
  -14.1141141    -0.00320905    -0.01362135
  -14.0740741    -0.00220839    -0.01485457
  -14.0340340    -0.00081808    -0.00852995
  -13.9939940    -0.00019204    -0.00069364
  -13.9539540     0.00004961     0.00835169
  -13.9139139     0.00052796     0.02103009
  -13.8738739     0.00244074     0.03712602
  -13.8338338     0.00821353     0.05463864
  -13.7937938     0.02062519     0.07388177
  -13.7537538     0.04020261     0.09316779
  -13.7137137     0.06544875     0.10195224
  -13.6736737     0.09688581     0.09030052
  -13.6336336     0.13375824     0.06359549
  -13.5935936     0.16366118     0.03700220
  -13.5535536     0.16772348     0.01937444
  -13.5135135     0.14053442     0.00984097
  -13.4734735     0.09561455     0.00485187
  -13.4334334     0.05229018     0.00285422
  -13.3933934     0.02277711     0.00476166
  -13.3533534     0.00845429     0.01362421
  -13.3133133     0.00398450     0.03209126
  -13.2732733     0.00392834     0.05567087
  -13.2332332     0.00756345     0.06989244
  -13.1931932     0.01971782     0.06210109
  -13.1531532     0.04271648     0.03796336
  -13.1131131     0.06403436     0.01954046
  -13.0730731     0.06242675     0.02325629
  -13.0330330     0.03566821     0.04138340
  -12.9929930     0.01224860     0.04919622
  -12.9529530     0.02497691     0.03266194
  -12.9129129     0.07450148     0.00343016
  -12.8728729     0.12304206    -0.01690920
  -12.8328328     0.13050484    -0.01856599
  -12.7927928     0.09537290    -0.00502359
  -12.7527528     0.04935674     0.01757054
  -12.7127127     0.02019207     0.04329008
  -12.6726727     0.01651146     0.06262086
  -12.6326326     0.03838163     0.06718447
  -12.5925926     0.08004477     0.05970368
  -12.5525526     0.12181416     0.05038023
  -12.5125125     0.13713111     0.04337250
  -12.4724725     0.11600782     0.03466491
  -12.4324324     0.07343797     0.02203826
  -12.3923924     0.03224414     0.00970439
  -12.3523524     0.00442165     0.00256501
  -12.3123123    -0.01082924     0.00092855
  -12.2722723    -0.01738071     0.00178947
  -12.2322322    -0.01632364     0.00224115
  -12.1921922    -0.00983018     0.00108611
  -12.1521522    -0.00377388    -0.00112531
  -12.1121121    -0.00275290    -0.00273253
  -12.0720721    -0.00626539    -0.00186203
  -12.0320320    -0.01068723     0.00210875
  -11.9919920    -0.01165903     0.00705511
  -11.9519520    -0.00510864     0.00917916
  -11.9119119     0.01035032     0.00646000
  -11.8718719     0.03096836     0.00018017
  -11.8318318     0.04847691    -0.00631747
  -11.7917918     0.05391223    -0.00936459
  -11.7517518     0.04414376    -0.00769644
  -11.7117117     0.02699925    -0.00444637
  -11.6716717     0.01670211    -0.00366523
  -11.6316316     0.02056037    -0.00448733
  -11.5915916     0.03068975    -0.00193164
  -11.5515516     0.03219561     0.00594560
  -11.5115115     0.02038201     0.01467684
  -11.4714715     0.00639535     0.01775466
  -11.4314314     0.00525870     0.01165098
  -11.3913914     0.02035576    -0.00307397
  -11.3513514     0.03926994    -0.02134571
  -11.3113113     0.04565981    -0.03473330
  -11.2712713     0.03611169    -0.03796189
  -11.2312312     0.02175077    -0.03428919
  -11.1911912     0.01273788    -0.03201079
  -11.1511512     0.00786514    -0.03721173
  -11.1111111     0.00132765    -0.05053654
  -11.0710711    -0.00742034    -0.06649124
  -11.0310310    -0.01425872    -0.07395879
  -10.9909910    -0.01678807    -0.06366009
  -10.9509510    -0.01710760    -0.03905115
  -10.9109109    -0.01850932    -0.01460760
  -10.8708709    -0.02028879    -0.00103790
  -10.8308308    -0.01815690     0.00263032
  -10.7907908    -0.01106057     0.00241114
  -10.7507508    -0.00432394     0.00071574
  -10.7107107    -0.00351216    -0.00503266
  -10.6706707    -0.00801993    -0.01852203
  -10.6306306    -0.01295128    -0.03965446
  -10.5905906    -0.01496835    -0.06182760
  -10.5505506    -0.01464813    -0.07511725
  -10.5105105    -0.01470498    -0.07420288
  -10.4704705    -0.01718484    -0.06222386
  -10.4304304    -0.02229961    -0.04627928
  -10.3903904    -0.02920111    -0.03146900
  -10.3503504    -0.03633808    -0.02034265
  -10.3103103    -0.04103584    -0.01496402
  -10.2702703    -0.04081672    -0.01600858
  -10.2302302    -0.03575413    -0.02075809
  -10.1901902    -0.02878909    -0.02460767
  -10.1501502    -0.02406235    -0.02486326
  -10.1101101    -0.02399072    -0.02253824
  -10.0700701    -0.02622537    -0.02068161
  -10.0300300    -0.02521955    -0.02103254
   -9.9899900    -0.01881039    -0.02221526
   -9.9499500    -0.01147803    -0.02147281
