#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000004     0.00000001
  -18.3583584     0.00000040     0.00000007
  -18.3183183     0.00000276     0.00000057
  -18.2782783     0.00001384     0.00000353
  -18.2382382     0.00005059     0.00001589
  -18.1981982     0.00013490     0.00005217
  -18.1581582     0.00026243     0.00012503
  -18.1181181     0.00037248     0.00021875
  -18.0780781     0.00038575     0.00027939
  -18.0380380     0.00029150     0.00026052
  -17.9979980     0.00016072     0.00017735
  -17.9579580     0.00006465     0.00008813
  -17.9179179     0.00001897     0.00003196
  -17.8778779     0.00000406     0.00000846
  -17.8378378     0.00000063     0.00000163
  -17.7977978     0.00000009     0.00000023
  -17.7577578     0.00000028     0.00000007
  -17.7177177     0.00000278     0.00000062
  -17.6776777     0.00002039     0.00000562
  -17.6376376     0.00010959     0.00003717
  -17.5975976     0.00043261     0.00018031
  -17.5575576     0.00125997     0.00064406
  -17.5175175     0.00272461     0.00170293
  -17.4774775     0.00441028     0.00335524
  -17.4374374     0.00539342     0.00496422
  -17.3973974     0.00502705     0.00555814
  -17.3573574     0.00359247     0.00473784
  -17.3173173     0.00197046     0.00308273
  -17.2772773     0.00082606     0.00152850
  -17.2372372     0.00026258     0.00057440
  -17.1971972     0.00006270     0.00016238
  -17.1571572     0.00001115     0.00003426
  -17.1171171     0.00000161     0.00000539
  -17.0770771     0.00000195     0.00000108
  -17.0370370     0.00001690     0.00000520
  -16.9969970     0.00011476     0.00004212
  -16.9569570     0.00056654     0.00025028
  -16.9169169     0.00203233     0.00108104
  -16.8768769     0.00529780     0.00339380
  -16.8368368     0.01003544     0.00774409
  -16.7967968     0.01381405     0.01284398
  -16.7567568     0.01381820     0.01548378
  -16.7167167     0.01004449     0.01356765
  -16.6766767     0.00530578     0.00864135
  -16.6366366     0.00203663     0.00400041
  -16.5965966     0.00056808     0.00134607
  -16.5565566     0.00011514     0.00032921
  -16.5165165     0.00001696     0.00005852
  -16.4764765     0.00000181     0.00000756
  -16.4364364     0.00000014     0.00000071
  -16.3963964     0.00000001     0.00000005
  -16.3563564     0.00000000     0.00000000
  -16.3163163     0.00000000     0.00000000
  -16.2762763     0.00000004     0.00000004
  -16.2362362     0.00000055     0.00000054
  -16.1961962     0.00000511     0.00000510
  -16.1561562     0.00003465     0.00003520
  -16.1161161     0.00017060     0.00017657
  -16.0760761     0.00060976     0.00064331
  -16.0360360     0.00158216     0.00170246
  -15.9959960     0.00298037     0.00327243
  -15.9559560     0.00407582     0.00456887
  -15.9159159     0.00404656     0.00463330
  -15.8758759     0.00291671     0.00341286
  -15.8358358     0.00152711     0.00182610
  -15.7957958     0.00058927     0.00071160
  -15.7557558     0.00023132     0.00021956
  -15.7157157     0.00042497     0.00017583
  -15.6756757     0.00159657     0.00070059
  -15.6356356     0.00479567     0.00265224
  -15.5955956     0.01089819     0.00755306
  -15.5555556     0.01904709     0.01616903
  -15.5155155     0.02609834     0.02618405
  -15.4754755     0.02836842     0.03221052
  -15.4354354     0.02441964     0.03012166
  -15.3953954     0.01642432     0.02135527
  -15.3553554     0.00848869     0.01142282
  -15.3153153     0.00333348     0.00458676
  -15.2752753     0.00099611     0.00137843
  -15.2352352     0.00024962     0.00031433
  -15.1951952     0.00020687     0.00009603
  -15.1551552     0.00093902     0.00031464
  -15.1151151     0.00382390     0.00157822
  -15.0750751     0.01138083     0.00587282
  -15.0350350     0.02460924     0.01588740
  -14.9949950     0.03866357     0.03123759
  -14.9549550     0.04415899     0.04465126
  -14.9149149     0.03671137     0.04642466
  -14.8748749     0.02228089     0.03514689
  -14.8348348     0.00994300     0.01942624
  -14.7947948     0.00333717     0.00792807
  -14.7547548     0.00097783     0.00260886
  -14.7147147     0.00058253     0.00119492
  -14.6746747     0.00094577     0.00134640
  -14.6346346     0.00151875     0.00178528
  -14.5945946     0.00187846     0.00193978
  -14.5545546     0.00178731     0.00169574
  -14.5145145     0.00134481     0.00121365
  -14.4744745     0.00082085     0.00070918
  -14.4344344     0.00040973     0.00033063
  -14.3943944     0.00017109     0.00012535
  -14.3543544     0.00009650     0.00007392
  -14.3143143     0.00020546     0.00018960
  -14.2742743     0.00061117     0.00059562
  -14.2342342     0.00146595     0.00145923
  -14.1941942     0.00287196     0.00279620
  -14.1541542     0.00524828     0.00456800
  -14.1141141     0.01027119     0.00763622
  -14.0740741     0.02047536     0.01475838
  -14.0340340     0.03531303     0.02857453
  -13.9939940     0.04777613     0.04596902
  -13.9539540     0.04956306     0.05681772
  -13.9139139     0.04039134     0.05361494
  -13.8738739     0.02752277     0.04029273
  -13.8338338     0.01698422     0.02654717
  -13.7937938     0.00985135     0.01713918
  -13.7537538     0.00516205     0.01093876
  -13.7137137     0.00228520     0.00623335
  -13.6736737     0.00086187     0.00291481
  -13.6336336     0.00051366     0.00127158
  -13.5935936     0.00107415     0.00122805
  -13.5535536     0.00261086     0.00260577
  -13.5135135     0.00487379     0.00494809
  -13.4734735     0.00708514     0.00707525
  -13.4334334     0.00914864     0.00797733
  -13.3933934     0.01274334     0.00862451
  -13.3533534     0.01941070     0.01172457
  -13.3133133     0.02737904     0.01868171
  -13.2732733     0.03246722     0.02737257
  -13.2332332     0.03246906     0.03390195
  -13.1931932     0.02865651     0.03601850
  -13.1531532     0.02381075     0.03373756
  -13.1131131     0.02173383     0.02828843
  -13.0730731     0.02728300     0.02317534
  -13.0330330     0.04163562     0.02515254
  -12.9929930     0.05667826     0.03973546
  -12.9529530     0.06031671     0.06264943
  -12.9129129     0.05000156     0.07861993
  -12.8728729     0.03523717     0.07535102
  -12.8328328     0.02648778     0.05814454
  -12.7927928     0.02811176     0.04457549
  -12.7527528     0.03956487     0.04619971
  -12.7127127     0.05611478     0.05958632
  -12.6726727     0.06969979     0.07324367
  -12.6326326     0.07354870     0.08044648
  -12.5925926     0.06614076     0.08305931
  -12.5525526     0.05095004     0.08302314
  -12.5125125     0.03391823     0.07719807
  -12.4724725     0.02067012     0.06498410
  -12.4324324     0.01536279     0.05560549
  -12.3923924     0.02166587     0.06179431
  -12.3523524     0.04139260     0.08541185
  -12.3123123     0.06865951     0.11093389
  -12.2722723     0.08873398     0.11763577
  -12.2322322     0.09002538     0.10137592
  -12.1921922     0.07711175     0.07942212
  -12.1521522     0.06543767     0.07083230
  -12.1121121     0.06324561     0.07716988
  -12.0720721     0.06473437     0.08453937
  -12.0320320     0.06149487     0.08133537
  -11.9919920     0.05479839     0.07095583
  -11.9519520     0.05320674     0.06676334
  -11.9119119     0.06151875     0.07803488
  -11.8718719     0.07750934     0.10350081
  -11.8318318     0.09877281     0.13657979
  -11.7917918     0.12498714     0.17230570
  -11.7517518     0.15172666     0.20693799
  -11.7117117     0.17138245     0.23557236
  -11.6716717     0.18086914     0.25619606
  -11.6316316     0.17968661     0.27224101
  -11.5915916     0.16638686     0.28369828
  -11.5515516     0.14525898     0.28161933
  -11.5115115     0.12856900     0.26189349
  -11.4714715     0.13010611     0.24031948
  -11.4314314     0.16180283     0.24536105
  -11.3913914     0.22869885     0.29566715
  -11.3513514     0.31859723     0.38558741
  -11.3113113     0.40384558     0.48947567
  -11.2712713     0.45992800     0.57518575
  -11.2312312     0.47628013     0.61784357
  -11.1911912     0.45291183     0.61827803
  -11.1511512     0.40068718     0.61046195
  -11.1111111     0.33761780     0.62761838
  -11.0710711     0.27503421     0.65716709
  -11.0310310     0.21875598     0.65612670
  -10.9909910     0.18529551     0.61259235
  -10.9509510     0.19867274     0.56083834
  -10.9109109     0.26095243     0.53704118
  -10.8708709     0.34105181     0.55534372
  -10.8308308     0.41602151     0.62531244
  -10.7907908     0.50845251     0.74854361
  -10.7507508     0.64465376     0.88939959
  -10.7107107     0.78889685     0.99308210
  -10.6706707     0.86647322     1.04273872
  -10.6306306     0.85456581     1.05927433
  -10.5905906     0.81173785     1.04989972
  -10.5505506     0.80144569     1.00414966
  -10.5105105     0.81950371     0.93775339
  -10.4704705     0.82238611     0.89773901
  -10.4304304     0.79151533     0.90829058
  -10.3903904     0.74021414     0.92771601
  -10.3503504     0.69584221     0.89121371
  -10.3103103     0.70035660     0.81084716
  -10.2702703     0.78987871     0.79517653
  -10.2302302     0.95140686     0.93022905
  -10.1901902     1.12120872     1.17223112
