#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791    -0.00000000    -0.00000000
  -19.0390390    -0.00000000    -0.00000000
  -18.9989990    -0.00000000    -0.00000000
  -18.9589590    -0.00000003    -0.00000002
  -18.9189189    -0.00000029    -0.00000017
  -18.8788789    -0.00000183    -0.00000113
  -18.8388388    -0.00000845    -0.00000562
  -18.7987988    -0.00002853    -0.00002036
  -18.7587588    -0.00007064    -0.00005388
  -18.7187187    -0.00012911    -0.00010450
  -18.6786787    -0.00017569    -0.00014927
  -18.6386386    -0.00017992    -0.00015793
  -18.5985986    -0.00014031    -0.00012463
  -18.5585586    -0.00008413    -0.00007389
  -18.5185185    -0.00003895    -0.00003313
  -18.4784785    -0.00001388    -0.00001127
  -18.4384384    -0.00000378    -0.00000291
  -18.3983984    -0.00000077    -0.00000057
  -18.3583584    -0.00000012    -0.00000008
  -18.3183183     0.00000001    -0.00000000
  -18.2782783     0.00000023     0.00000011
  -18.2382382     0.00000216     0.00000110
  -18.1981982     0.00001448     0.00000797
  -18.1581582     0.00007102     0.00004213
  -18.1181181     0.00025524     0.00016335
  -18.0780781     0.00067758     0.00046803
  -18.0380380     0.00134692     0.00100447
  -17.9979980     0.00205218     0.00165232
  -17.9579580     0.00248605     0.00215832
  -17.9179179     0.00251399     0.00234047
  -17.8778779     0.00221996     0.00218539
  -17.8378378     0.00173715     0.00176778
  -17.7977978     0.00117697     0.00120545
  -17.7577578     0.00067494     0.00066577
  -17.7177177     0.00035939     0.00029121
  -17.6776777     0.00025475     0.00011502
  -17.6376376     0.00026674     0.00008857
  -17.5975976     0.00027103     0.00015023
  -17.5575576     0.00021259     0.00023634
  -17.5175175     0.00012270     0.00027637
  -17.4774775     0.00005524     0.00023676
  -17.4374374     0.00004455     0.00016101
  -17.3973974     0.00015452     0.00015792
  -17.3573574     0.00058478     0.00041601
  -17.3173173     0.00169608     0.00125676
  -17.2772773     0.00374533     0.00299144
  -17.2372372     0.00637186     0.00542567
  -17.1971972     0.00842577     0.00750798
  -17.1571572     0.00869327     0.00793060
  -17.1171171     0.00702530     0.00639312
  -17.0770771     0.00453733     0.00397313
  -17.0370370     0.00253173     0.00200806
  -16.9969970     0.00151192     0.00097295
  -16.9569570     0.00124291     0.00059860
  -16.9169169     0.00124485     0.00056092
  -16.8768769     0.00112392     0.00071008
  -16.8368368     0.00077024     0.00088568
  -16.7967968     0.00035457     0.00086758
  -16.7567568     0.00008031     0.00058012
  -16.7167167    -0.00001674     0.00019856
  -16.6766767    -0.00002168    -0.00004744
  -16.6366366    -0.00000863    -0.00010338
  -16.5965966     0.00000196    -0.00006578
  -16.5565566     0.00002697    -0.00002648
  -16.5165165     0.00012753    -0.00001336
  -16.4764765     0.00043473    -0.00002546
  -16.4364364     0.00109711    -0.00005622
  -16.3963964     0.00212579    -0.00007076
  -16.3563564     0.00343298     0.00001190
  -16.3163163     0.00520551     0.00029229
  -16.2762763     0.00780250     0.00093142
  -16.2362362     0.01077500     0.00228479
  -16.1961962     0.01267049     0.00468314
  -16.1561562     0.01245695     0.00773819
  -16.1161161     0.01041482     0.01024690
  -16.0760761     0.00751999     0.01120336
  -16.0360360     0.00492259     0.01054203
  -15.9959960     0.00382123     0.00895913
  -15.9559560     0.00484373     0.00759322
  -15.9159159     0.00735511     0.00732325
  -15.8758759     0.00988939     0.00776565
  -15.8358358     0.01171244     0.00772794
  -15.7957958     0.01334446     0.00697375
  -15.7557558     0.01475336     0.00654610
  -15.7157157     0.01433137     0.00699288
  -15.6756757     0.01118552     0.00729652
  -15.6356356     0.00715362     0.00624116
  -15.5955956     0.00521694     0.00410663
  -15.5555556     0.00676565     0.00232771
  -15.5155155     0.01048704     0.00216599
  -15.4754755     0.01331862     0.00416357
  -15.4354354     0.01351736     0.00784601
  -15.3953954     0.01307413     0.01146335
  -15.3553554     0.01556158     0.01342196
  -15.3153153     0.02180866     0.01456449
  -15.2752753     0.02941155     0.01740718
  -15.2352352     0.03559522     0.02260969
  -15.1951952     0.03815111     0.02754314
  -15.1551552     0.03503097     0.02851769
  -15.1151151     0.02633177     0.02397610
  -15.0750751     0.01571162     0.01591121
  -15.0350350     0.00763330     0.00815661
  -14.9949950     0.00406018     0.00320965
  -14.9549550     0.00434724     0.00112778
  -14.9149149     0.00689279     0.00095104
  -14.8748749     0.01077461     0.00209660
  -14.8348348     0.01679967     0.00441891
  -14.7947948     0.02573314     0.00789245
  -14.7547548     0.03440590     0.01273450
  -14.7147147     0.03697324     0.01874363
  -14.6746747     0.03232861     0.02359392
  -14.6346346     0.02602136     0.02387311
  -14.5945946     0.02264055     0.01953316
  -14.5545546     0.02112407     0.01482390
  -14.5145145     0.01939245     0.01317504
  -14.4744745     0.01878709     0.01351644
  -14.4344344     0.02185870     0.01291655
  -14.3943944     0.02851604     0.01082977
  -14.3543544     0.03516821     0.00938144
  -14.3143143     0.03755134     0.01086991
  -14.2742743     0.03555773     0.01571133
  -14.2342342     0.03361836     0.02156130
  -14.1941942     0.03502466     0.02511885
  -14.1541542     0.03875823     0.02604635
  -14.1141141     0.04312282     0.02696191
  -14.0740741     0.04964535     0.02884075
  -14.0340340     0.06023378     0.02984848
  -13.9939940     0.07133944     0.02972656
  -13.9539540     0.07536500     0.03193465
  -13.9139139     0.06895177     0.03896593
  -13.8738739     0.05729895     0.04735887
  -13.8338338     0.05078048     0.05026149
  -13.7937938     0.05971844     0.04435419
  -13.7537538     0.08805897     0.03256332
  -13.7137137     0.12460222     0.02115329
  -13.6736737     0.14547161     0.01623795
  -13.6336336     0.13544829     0.02269710
  -13.5935936     0.10210673     0.04289171
  -13.5535536     0.06397599     0.07191354
  -13.5135135     0.03404878     0.09486373
  -13.4734735     0.01672512     0.09621780
  -13.4334334     0.01121308     0.07482666
  -13.3933934     0.01466072     0.04481415
  -13.3533534     0.02475593     0.02128385
  -13.3133133     0.04061782     0.00970548
  -13.2732733     0.06148872     0.00775146
  -13.2332332     0.08449486     0.01142450
  -13.1931932     0.10301607     0.01774793
  -13.1531532     0.10921428     0.02503916
  -13.1131131     0.10274036     0.03363204
  -13.0730731     0.09622361     0.04490715
  -13.0330330     0.10515096     0.05707664
  -12.9929930     0.12892794     0.06387507
  -12.9529530     0.14656106     0.06067273
  -12.9129129     0.13810095     0.05049224
  -12.8728729     0.10783317     0.04090329
  -12.8328328     0.07697445     0.03583096
  -12.7927928     0.05886678     0.03321566
  -12.7527528     0.05268657     0.03063670
  -12.7127127     0.05500964     0.03033077
  -12.6726727     0.06680923     0.03707304
  -12.6326326     0.09063722     0.05214841
  -12.5925926     0.12405034     0.06960974
  -12.5525526     0.15534340     0.07971474
  -12.5125125     0.16942443     0.07964305
  -12.4724725     0.16104891     0.07779326
  -12.4324324     0.13908689     0.08129891
  -12.3923924     0.11718443     0.08445991
  -12.3523524     0.10237004     0.07806247
  -12.3123123     0.09177266     0.06471704
  -12.2722723     0.08045219     0.05523490
  -12.2322322     0.07023111     0.05428693
  -12.1921922     0.06598806     0.05752807
  -12.1521522     0.06668418     0.05916522
  -12.1121121     0.06671812     0.05717629
  -12.0720721     0.06490188     0.05252548
  -12.0320320     0.06655231     0.04660390
  -11.9919920     0.07486087     0.04066100
  -11.9519520     0.08508847     0.03640823
  -11.9119119     0.09223970     0.03590922
  -11.8718719     0.09906448     0.03963454
  -11.8318318     0.10885128     0.04435914
  -11.7917918     0.11720049     0.04542799
  -11.7517518     0.12121343     0.04140025
  -11.7117117     0.12788030     0.03503144
  -11.6716717     0.14200572     0.03095393
  -11.6316316     0.15817659     0.03200360
  -11.5915916     0.17386224     0.03547421
  -11.5515516     0.19458394     0.03530536
  -11.5115115     0.22059586     0.03036476
  -11.4714715     0.24498739     0.02662920
  -11.4314314     0.26653995     0.02941048
  -11.3913914     0.28859215     0.03797605
  -11.3513514     0.30462684     0.04895322
  -11.3113113     0.30009943     0.06081798
  -11.2712713     0.27185625     0.07361527
