#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000000     0.00000000
  -17.9979980     0.00000000     0.00000000
  -17.9579580     0.00000000     0.00000000
  -17.9179179     0.00000000     0.00000000
  -17.8778779     0.00000000     0.00000000
  -17.8378378     0.00000000     0.00000000
  -17.7977978     0.00000000     0.00000000
  -17.7577578     0.00000000     0.00000000
  -17.7177177     0.00000007     0.00000001
  -17.6776777     0.00000075     0.00000017
  -17.6376376     0.00000588     0.00000164
  -17.5975976     0.00003360     0.00001174
  -17.5575576     0.00013932     0.00006085
  -17.5175175     0.00041924     0.00022883
  -17.4774775     0.00091564     0.00062446
  -17.4374374     0.00145240     0.00123681
  -17.3973974     0.00167917     0.00177913
  -17.3573574     0.00144211     0.00186606
  -17.3173173     0.00100807     0.00145976
  -17.2772773     0.00076568     0.00095517
  -17.2372372     0.00080489     0.00074016
  -17.1971972     0.00089328     0.00082504
  -17.1571572     0.00079655     0.00092676
  -17.1171171     0.00052382     0.00081599
  -17.0770771     0.00024132     0.00053032
  -17.0370370     0.00005463     0.00025740
  -16.9969970    -0.00002460     0.00011421
  -16.9569570     0.00008354     0.00011826
  -16.9169169     0.00070414     0.00034264
  -16.8768769     0.00234911     0.00108896
  -16.8368368     0.00512747     0.00280836
  -16.7967968     0.00798546     0.00546754
  -16.7567568     0.00919393     0.00789066
  -16.7167167     0.00832039     0.00850544
  -16.6766767     0.00703051     0.00724925
  -16.6366366     0.00701959     0.00590807
  -16.5965966     0.00779535     0.00595278
  -16.5565566     0.00751743     0.00675065
  -16.5165165     0.00559578     0.00657971
  -16.4764765     0.00336839     0.00494570
  -16.4364364     0.00247694     0.00309378
  -16.3963964     0.00352300     0.00250056
  -16.3563564     0.00601209     0.00359546
  -16.3163163     0.00904317     0.00573048
  -16.2762763     0.01215260     0.00805686
  -16.2362362     0.01495411     0.01040458
  -16.1961962     0.01595177     0.01264184
  -16.1561562     0.01360425     0.01341842
  -16.1161161     0.00878854     0.01133816
  -16.0760761     0.00419150     0.00721911
  -16.0360360     0.00146028     0.00338254
  -15.9959960     0.00037011     0.00115592
  -15.9559560     0.00006814     0.00028716
  -15.9159159     0.00000911     0.00005180
  -15.8758759     0.00000088     0.00000678
  -15.8358358     0.00000006     0.00000064
  -15.7957958     0.00000000     0.00000004
  -15.7557558     0.00000000     0.00000000
  -15.7157157     0.00000000     0.00000000
  -15.6756757     0.00000000     0.00000000
  -15.6356356     0.00000000     0.00000000
  -15.5955956     0.00000000     0.00000000
  -15.5555556     0.00000000     0.00000000
  -15.5155155     0.00000000     0.00000000
  -15.4754755     0.00000000     0.00000000
  -15.4354354     0.00000000     0.00000000
  -15.3953954     0.00000000    -0.00000000
  -15.3553554    -0.00000000    -0.00000000
  -15.3153153    -0.00000000    -0.00000002
  -15.2752753    -0.00000000    -0.00000020
  -15.2352352    -0.00000002    -0.00000182
  -15.1951952    -0.00000017    -0.00001226
  -15.1551552    -0.00000085    -0.00005977
  -15.1151151    -0.00000028    -0.00021123
  -15.0750751     0.00003083    -0.00053926
  -15.0350350     0.00026067    -0.00098031
  -14.9949950     0.00123440    -0.00118635
  -14.9549550     0.00398462    -0.00058047
  -14.9149149     0.00946404     0.00143174
  -14.8748749     0.01735970     0.00526374
  -14.8348348     0.02532638     0.01085694
  -14.7947948     0.02956022     0.01722941
  -14.7547548     0.02724910     0.02211408
  -14.7147147     0.01980559     0.02269531
  -14.6746747     0.01296969     0.01827651
  -14.6346346     0.01288083     0.01218526
  -14.5945946     0.02228790     0.00967769
  -14.5545546     0.03901985     0.01409209
  -14.5145145     0.05661947     0.02483402
  -14.4744745     0.06716376     0.03788970
  -14.4344344     0.06486894     0.04825709
  -14.3943944     0.04994488     0.05187330
  -14.3543544     0.03003962     0.04661103
  -14.3143143     0.01462526     0.03441382
  -14.2742743     0.00752669     0.02107004
  -14.2342342     0.00639740     0.01140122
  -14.1941942     0.00711113     0.00626366
  -14.1541542     0.00695319     0.00414125
  -14.1141141     0.00534922     0.00326319
  -14.0740741     0.00316263     0.00247346
  -14.0340340     0.00142193     0.00151983
  -13.9939940     0.00049846     0.00071484
  -13.9539540     0.00025710     0.00031828
  -13.9139139     0.00072213     0.00041921
  -13.8738739     0.00260167     0.00122882
  -13.8338338     0.00700753     0.00319986
  -13.7937938     0.01374614     0.00682991
  -13.7537538     0.01975880     0.01237404
  -13.7137137     0.02141568     0.01921346
  -13.6736737     0.01944829     0.02497497
  -13.6336336     0.01910242     0.02661349
  -13.5935936     0.02391534     0.02388811
  -13.5535536     0.03102950     0.02018114
  -13.5135135     0.03398901     0.01819560
  -13.4734735     0.02979302     0.01669800
  -13.4334334     0.02156777     0.01329945
  -13.3933934     0.01392295     0.00855676
  -13.3533534     0.00846597     0.00547212
  -13.3133133     0.00483004     0.00654641
  -13.2732733     0.00333108     0.01220818
  -13.2332332     0.00583922     0.02004086
  -13.1931932     0.01537232     0.02541496
  -13.1531532     0.03314914     0.02592569
