#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592    -0.00000000    -0.00000000
  -19.1191191    -0.00000004    -0.00000008
  -19.0790791    -0.00000076    -0.00000127
  -19.0390390    -0.00000968    -0.00001509
  -18.9989990    -0.00008960    -0.00012988
  -18.9589590    -0.00060178    -0.00081144
  -18.9189189    -0.00293303    -0.00367874
  -18.8788789    -0.01037392    -0.01210321
  -18.8388388    -0.02662746    -0.02890008
  -18.7987988    -0.04960691    -0.05011017
  -18.7587588    -0.06714370    -0.06328251
  -18.7187187    -0.06643972    -0.05918236
  -18.6786787    -0.04994268    -0.04459222
  -18.6386386    -0.03458669    -0.03611864
  -18.5985986    -0.03411435    -0.04156673
  -18.5585586    -0.04621255    -0.05197717
  -18.5185185    -0.05592484    -0.05259701
  -18.4784785    -0.05105134    -0.03945217
  -18.4384384    -0.03402974    -0.02155700
  -18.3983984    -0.01647786    -0.00855487
  -18.3583584    -0.00580176    -0.00248080
  -18.3183183    -0.00159005    -0.00068038
  -18.2782783    -0.00109880    -0.00121184
  -18.2382382    -0.00440817    -0.00566050
  -18.1981982    -0.01685751    -0.02058314
  -18.1581582    -0.04746350    -0.05508989
  -18.1181181    -0.09825916    -0.10957797
  -18.0780781    -0.15135238    -0.16505265
  -18.0380380    -0.17724108    -0.19378256
  -17.9979980    -0.16360219    -0.18453188
  -17.9579580    -0.12646477    -0.15065239
  -17.9179179    -0.09153783    -0.11547587
  -17.8778779    -0.07332383    -0.09352075
  -17.8378378    -0.06852600    -0.08220976
  -17.7977978    -0.06408477    -0.07077328
  -17.7577578    -0.05224583    -0.05409506
  -17.7177177    -0.03600872    -0.03499377
  -17.6776777    -0.02313042    -0.01883429
  -17.6376376    -0.02228530    -0.01011526
  -17.5975976    -0.04306370    -0.01333831
  -17.5575576    -0.08852825    -0.03572876
  -17.5175175    -0.14048841    -0.08245010
  -17.4774775    -0.16333260    -0.14089696
  -17.4374374    -0.13894548    -0.17850641
  -17.3973974    -0.08894858    -0.17454195
  -17.3573574    -0.04853748    -0.14528094
  -17.3173173    -0.03075618    -0.11790361
  -17.2772773    -0.02562000    -0.09600719
  -17.2372372    -0.02113676    -0.07097467
  -17.1971972    -0.01572149    -0.04761912
  -17.1571572    -0.01475767    -0.03926779
  -17.1171171    -0.02146177    -0.04765272
  -17.0770771    -0.03161934    -0.05846991
  -17.0370370    -0.03639194    -0.05616601
  -16.9969970    -0.03207747    -0.03985364
  -16.9569570    -0.02759124    -0.02187523
  -16.9169169    -0.04291221    -0.01592891
  -16.8768769    -0.09929497    -0.03562322
  -16.8368368    -0.19652780    -0.09872980
  -16.7967968    -0.28926611    -0.20949583
  -16.7567568    -0.31102682    -0.32445025
  -16.7167167    -0.24397147    -0.36558058
  -16.6766767    -0.13970438    -0.29965856
  -16.6366366    -0.05843851    -0.17862084
  -16.5965966    -0.01775876    -0.07707892
  -16.5565566    -0.00340453    -0.02294998
  -16.5165165     0.00129378    -0.00209129
  -16.4764765     0.00447774     0.00492164
  -16.4364364     0.00770649     0.00693074
  -16.3963964     0.00944611     0.00612549
  -16.3563564     0.00820383     0.00381072
  -16.3163163     0.00423293     0.00126309
  -16.2762763    -0.00170590    -0.00203014
  -16.2362362    -0.00939326    -0.00959885
  -16.1961962    -0.01703097    -0.02700515
  -16.1561562    -0.02203504    -0.05744794
  -16.1161161    -0.02930298    -0.09764185
  -16.0760761    -0.05122097    -0.14073050
  -16.0360360    -0.08915302    -0.18010234
  -15.9959960    -0.12382422    -0.20379024
  -15.9559560    -0.13274972    -0.19460440
  -15.9159159    -0.11082265    -0.14995377
  -15.8758759    -0.07364048    -0.09340941
  -15.8358358    -0.04431696    -0.05435174
  -15.7957958    -0.03470615    -0.04163008
  -15.7557558    -0.03813628    -0.04206169
  -15.7157157    -0.04013984    -0.03921217
  -15.6756757    -0.03592741    -0.03012799
  -15.6356356    -0.03713047    -0.02621727
  -15.5955956    -0.06039918    -0.04289469
  -15.5555556    -0.10617911    -0.08710385
  -15.5155155    -0.14789398    -0.14497374
  -15.4754755    -0.15464741    -0.18320694
  -15.4354354    -0.13122444    -0.17942526
  -15.3953954    -0.11550114    -0.15261130
  -15.3553554    -0.13014783    -0.14652936
  -15.3153153    -0.16143539    -0.18017193
  -15.2752753    -0.18492982    -0.22614262
  -15.2352352    -0.18517812    -0.23951625
  -15.1951952    -0.15677211    -0.20218329
  -15.1551552    -0.11130580    -0.13815422
  -15.1151151    -0.07554514    -0.08793994
  -15.0750751    -0.06775410    -0.07221073
  -15.0350350    -0.08256439    -0.08212259
  -14.9949950    -0.10089743    -0.09735435
  -14.9549550    -0.10742833    -0.10637012
  -14.9149149    -0.10006728    -0.10976167
  -14.8748749    -0.08845710    -0.10900221
  -14.8348348    -0.08651038    -0.10309730
  -14.7947948    -0.10430934    -0.09978177
  -14.7547548    -0.13894152    -0.11581209
  -14.7147147    -0.17094248    -0.15742811
  -14.6746747    -0.17671019    -0.20547924
  -14.6346346    -0.14793199    -0.22540128
  -14.5945946    -0.09830875    -0.19682120
  -14.5545546    -0.05195021    -0.13394179
  -14.5145145    -0.02589916    -0.07235433
  -14.4744745    -0.02329897    -0.03826000
  -14.4344344    -0.03733018    -0.03424872
  -14.3943944    -0.05601063    -0.04595127
  -14.3543544    -0.06968203    -0.05511460
  -14.3143143    -0.08006024    -0.05405056
  -14.2742743    -0.09402468    -0.05295505
  -14.2342342    -0.10671393    -0.06762406
  -14.1941942    -0.10467157    -0.09704936
  -14.1541542    -0.08568435    -0.11866483
  -14.1141141    -0.06059022    -0.11163252
  -14.0740741    -0.03878322    -0.07996608
  -14.0340340    -0.02392308    -0.04510711
  -13.9939940    -0.01833742    -0.02293009
  -13.9539540    -0.02219815    -0.01626131
  -13.9139139    -0.02988529    -0.02129609
  -13.8738739    -0.03259795    -0.03098996
  -13.8338338    -0.02672128    -0.03605522
  -13.7937938    -0.01724137    -0.03127787
  -13.7537538    -0.01211202    -0.02056698
  -13.7137137    -0.01722821    -0.01197946
  -13.6736737    -0.03635532    -0.01044525
  -13.6336336    -0.06802588    -0.01816557
  -13.5935936    -0.09961737    -0.03749863
  -13.5535536    -0.11272292    -0.06697409
  -13.5135135    -0.10033936    -0.09525586
  -13.4734735    -0.07484925    -0.10657276
  -13.4334334    -0.05760579    -0.09562909
  -13.3933934    -0.06233254    -0.07453958
  -13.3533534    -0.08391923    -0.06325754
  -13.3133133    -0.10208671    -0.07093633
  -13.2732733    -0.10183561    -0.08567979
  -13.2332332    -0.08663785    -0.08803396
  -13.1931932    -0.06667441    -0.07510009
  -13.1531532    -0.04542915    -0.06120247
  -13.1131131    -0.02375075    -0.05500283
  -13.0730731    -0.00647851    -0.05013250
  -13.0330330    -0.00146484    -0.04017839
  -12.9929930    -0.01669052    -0.03003624
  -12.9529530    -0.05508588    -0.02881071
  -12.9129129    -0.10546482    -0.04026711
  -12.8728729    -0.14179597    -0.06359974
  -12.8328328    -0.14240677    -0.09601365
  -12.7927928    -0.11151341    -0.12785191
  -12.7527528    -0.07426383    -0.14090479
  -12.7127127    -0.05148735    -0.12382068
  -12.6726727    -0.04426324    -0.08792869
  -12.6326326    -0.04042892    -0.05655818
  -12.5925926    -0.03152006    -0.04156684
  -12.5525526    -0.02131362    -0.03813571
  -12.5125125    -0.01843358    -0.03616501
  -12.4724725    -0.02543640    -0.03046545
  -12.4324324    -0.03716103    -0.02304306
  -12.3923924    -0.04537158    -0.01895782
  -12.3523524    -0.04466674    -0.02196882
  -12.3123123    -0.03692626    -0.03309243
  -12.2722723    -0.02825609    -0.04798351
  -12.2322322    -0.02162685    -0.05628629
  -12.1921922    -0.01602496    -0.05094387
  -12.1521522    -0.01123254    -0.03774543
  -12.1121121    -0.00921127    -0.02957374
  -12.0720721    -0.01096779    -0.03318588
  -12.0320320    -0.01472721    -0.04488492
  -11.9919920    -0.01807142    -0.05519631
  -11.9519520    -0.02051428    -0.05610758
  -11.9119119    -0.02268384    -0.04745469
  -11.8718719    -0.02479810    -0.03718674
  -11.8318318    -0.02814585    -0.03359899
  -11.7917918    -0.03512938    -0.03719894
  -11.7517518    -0.04427323    -0.04126189
  -11.7117117    -0.04843318    -0.04042735
  -11.6716717    -0.04256124    -0.03644035
  -11.6316316    -0.03072103    -0.03388447
  -11.5915916    -0.02110380    -0.03368848
  -11.5515516    -0.01653969    -0.03503475
  -11.5115115    -0.01381248    -0.04018890
  -11.4714715    -0.01002060    -0.05014666
  -11.4314314    -0.00567336    -0.05775405
  -11.3913914    -0.00245307    -0.05391448
  -11.3513514    -0.00124375    -0.03984779
  -11.3113113    -0.00312567    -0.02568238
  -11.2712713    -0.01061563    -0.01798616
  -11.2312312    -0.02556099    -0.01474291
  -11.1911912    -0.04422892    -0.01155457
  -11.1511512    -0.05709392    -0.00776083
  -11.1111111    -0.05840304    -0.00609809
  -11.0710711    -0.05396680    -0.00940675
  -11.0310310    -0.05398472    -0.01770803
  -10.9909910    -0.06142573    -0.02689066
  -10.9509510    -0.07190557    -0.03261322
  -10.9109109    -0.07986682    -0.03698696
  -10.8708709    -0.08109376    -0.04609704
  -10.8308308    -0.07325202    -0.05886391
  -10.7907908    -0.05733057    -0.06694805
  -10.7507508    -0.03818781    -0.06978465
  -10.7107107    -0.02227400    -0.07876494
  -10.6706707    -0.01459213    -0.09961099
  -10.6306306    -0.01855090    -0.12072398
  -10.5905906    -0.03606702    -0.12532486
  -10.5505506    -0.06350586    -0.10762027
  -10.5105105    -0.08962377    -0.07527042
  -10.4704705    -0.10382896    -0.04226002
