#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986    -0.00000000    -0.00000000
  -18.5585586    -0.00000001    -0.00000005
  -18.5185185    -0.00000016    -0.00000081
  -18.4784785    -0.00000225    -0.00000975
  -18.4384384    -0.00002344    -0.00008574
  -18.3983984    -0.00017728    -0.00054895
  -18.3583584    -0.00097631    -0.00255895
  -18.3183183    -0.00391623    -0.00869093
  -18.2782783    -0.01144888    -0.02152091
  -18.2382382    -0.02440839    -0.03888627
  -18.1981982    -0.03797335    -0.05131609
  -18.1581582    -0.04313927    -0.04950311
  -18.1181181    -0.03581030    -0.03494122
  -18.0780781    -0.02173488    -0.01806180
  -18.0380380    -0.00965084    -0.00684313
  -17.9979980    -0.00313642    -0.00190157
  -17.9579580    -0.00074630    -0.00038774
  -17.9179179    -0.00013004    -0.00005804
  -17.8778779    -0.00001662    -0.00000650
  -17.8378378    -0.00000199    -0.00000266
  -17.7977978    -0.00000667    -0.00002682
  -17.7577578    -0.00007072    -0.00024285
  -17.7177177    -0.00055460    -0.00160351
  -17.6776777    -0.00316807    -0.00771854
  -17.6376376    -0.01319091    -0.02711702
  -17.5975976    -0.04007289    -0.06964687
  -17.5575576    -0.08893997    -0.13105959
  -17.5175175    -0.14446661    -0.18121673
  -17.4774775    -0.17211648    -0.18478298
  -17.4374374    -0.15080410    -0.13953072
  -17.3973974    -0.09744792    -0.07834546
  -17.3573574    -0.04655215    -0.03280703
  -17.3173173    -0.01645280    -0.01024559
  -17.2772773    -0.00428996    -0.00237443
  -17.2372372    -0.00081761    -0.00040331
  -17.1971972    -0.00011154    -0.00004902
  -17.1571572    -0.00001042    -0.00000414
  -17.1171171    -0.00000078    -0.00000143
  -17.0770771    -0.00000256    -0.00001383
  -17.0370370    -0.00002446    -0.00011235
  -16.9969970    -0.00016815    -0.00065690
  -16.9569570    -0.00082726    -0.00275758
  -16.9169169    -0.00289890    -0.00828354
  -16.8768769    -0.00718374    -0.01771953
  -16.8368368    -0.01243929    -0.02679237
  -16.7967968    -0.01472141    -0.02831560
  -16.7567568    -0.01134776    -0.02075308
  -16.7167167    -0.00498122    -0.01184230
  -16.6766767    -0.00080676    -0.01187505
  -16.6366366    -0.00173618    -0.02701968
  -16.5965966    -0.00963625    -0.05556246
  -16.5565566    -0.02751762    -0.08363528
  -16.5165165    -0.05408776    -0.09184130
  -16.4764765    -0.07698759    -0.07569998
  -16.4364364    -0.08108916    -0.05208348
  -16.3963964    -0.06702079    -0.03867834
  -16.3563564    -0.05128908    -0.03572163
  -16.3163163    -0.04484228    -0.03246140
  -16.2762763    -0.04217418    -0.02347302
  -16.2362362    -0.03409044    -0.01258570
  -16.1961962    -0.02100152    -0.00492239
  -16.1561562    -0.00950569    -0.00142563
  -16.1161161    -0.00313534    -0.00052980
  -16.0760761    -0.00079197    -0.00152668
  -16.0360360    -0.00046581    -0.00657870
  -15.9959960    -0.00191997    -0.02099922
  -15.9559560    -0.00780150    -0.04822349
  -15.9159159    -0.02307455    -0.07935734
  -15.8758759    -0.04925432    -0.09328234
  -15.8358358    -0.07597878    -0.07825374
  -15.7957958    -0.08541307    -0.04686529
  -15.7557558    -0.07195156    -0.01882087
  -15.7157157    -0.04864874    -0.00079993
  -15.6756757    -0.02912715     0.00898946
  -15.6356356    -0.01531489     0.01171357
  -15.5955956    -0.00443028     0.00994967
  -15.5555556     0.00488868     0.00897098
  -15.5155155     0.01387625     0.01186192
  -15.4754755     0.02227610     0.01616176
  -15.4354354     0.02614582     0.01667685
  -15.3953954     0.02199293     0.01090104
  -15.3553554     0.01144118     0.00000236
  -15.3153153    -0.00112389    -0.01400364
  -15.2752753    -0.01220777    -0.02754644
  -15.2352352    -0.01846438    -0.03317304
  -15.1951952    -0.01718206    -0.02438997
  -15.1551552    -0.01002977    -0.00414357
  -15.1151151    -0.00243741     0.01566795
  -15.0750751     0.00198591     0.02492889
  -15.0350350     0.00407625     0.02481699
  -14.9949950     0.00786133     0.02634150
  -14.9549550     0.01945665     0.03910009
  -14.9149149     0.04388416     0.06011125
  -14.8748749     0.07706181     0.07403961
  -14.8348348     0.10223542     0.06813964
  -14.7947948     0.10238380     0.04620671
  -14.7547548     0.07764564     0.02301341
  -14.7147147     0.04465378     0.00841271
  -14.6746747     0.01944016     0.00230611
  -14.6346346     0.00639499     0.00079421
  -14.5945946     0.00170960     0.00168303
  -14.5545546     0.00103994     0.00544990
  -14.5145145     0.00292068     0.01348772
  -14.4744745     0.00810207     0.02484053
  -14.4344344     0.01680844     0.03442174
  -14.3943944     0.02590680     0.03678474
  -14.3543544     0.02983631     0.03289686
  -14.3143143     0.02597960     0.03187530
  -14.2742743     0.01830223     0.04423353
  -14.2342342     0.01562756     0.07067841
  -14.1941942     0.02868097     0.09653211
  -14.1541542     0.06584432     0.10113954
  -14.1141141     0.12148580     0.07539939
  -14.0740741     0.16701104     0.02920358
  -14.0340340     0.16822867    -0.01650748
  -13.9939940     0.11885624    -0.04420005
  -13.9539540     0.04738975    -0.04999923
  -13.9139139    -0.01055006    -0.04173042
  -13.8738739    -0.03831534    -0.02912599
  -13.8338338    -0.04025783    -0.01874527
  -13.7937938    -0.03022750    -0.01359099
  -13.7537538    -0.02089814    -0.01104150
  -13.7137137    -0.01683584    -0.00231443
  -13.6736737    -0.01393092     0.02255900
  -13.6336336    -0.00515958     0.06668584
  -13.5935936     0.01634824     0.11972214
  -13.5535536     0.05730356     0.15940827
  -13.5135135     0.11565903     0.16237453
  -13.4734735     0.17029171     0.11863267
  -13.4334334     0.19368823     0.04569852
  -13.3933934     0.17863706    -0.01688770
  -13.3533534     0.14005115    -0.04197235
  -13.3133133     0.09464534    -0.03588842
  -13.2732733     0.05295535    -0.02021647
  -13.2332332     0.02278728    -0.00807439
  -13.1931932     0.00691248    -0.00012575
  -13.1531532     0.00131186     0.01047373
  -13.1131131     0.00036935     0.03409505
  -13.0730731     0.00190261     0.07614963
  -13.0330330     0.00902600     0.12335741
  -12.9929930     0.03066864     0.14679150
  -12.9529530     0.07576875     0.13345290
  -12.9129129     0.13683991     0.10591066
  -12.8728729     0.18274872     0.09413378
  -12.8328328     0.18599761     0.09820290
  -12.7927928     0.15527166     0.09443070
  -12.7527528     0.12113890     0.06958801
  -12.7127127     0.09666125     0.03359233
  -12.6726727     0.07188945     0.00252421
  -12.6326326     0.03929896    -0.01641723
  -12.5925926     0.00629914    -0.02281861
  -12.5525526    -0.01636649    -0.01702484
  -12.5125125    -0.02578177    -0.00152758
  -12.4724725    -0.02495712     0.01502636
  -12.4324324    -0.01827247     0.02193751
  -12.3923924    -0.00980568     0.01811682
  -12.3523524    -0.00102223     0.01528354
  -12.3123123     0.00988642     0.02401637
  -12.2722723     0.02265382     0.03947256
  -12.2322322     0.03040408     0.04631162
  -12.1921922     0.02647518     0.03646392
  -12.1521522     0.01490680     0.01731980
  -12.1121121     0.00778553     0.00242198
  -12.0720721     0.01288257    -0.00083178
  -12.0320320     0.02659747     0.00599627
  -11.9919920     0.03629322     0.01562159
  -11.9519520     0.03001114     0.02090081
  -11.9119119     0.00852846     0.02250261
  -11.8718719    -0.01215844     0.02917152
  -11.8318318    -0.01404800     0.04718225
  -11.7917918     0.00475118     0.07193716
  -11.7517518     0.02674729     0.09142981
  -11.7117117     0.03348083     0.09624206
  -11.6716717     0.02505039     0.08575968
  -11.6316316     0.01755511     0.06629846
  -11.5915916     0.02538740     0.04484323
  -11.5515516     0.04998285     0.02539374
  -11.5115115     0.08083095     0.01157245
  -11.4714715     0.10195981     0.00896657
  -11.4314314     0.09981646     0.01867542
  -11.3913914     0.07112971     0.03188387
  -11.3513514     0.02697424     0.03910525
  -11.3113113    -0.01231823     0.04072359
  -11.2712713    -0.03148671     0.04121559
  -11.2312312    -0.02946280     0.03845603
  -11.1911912    -0.01256960     0.02667018
  -11.1511512     0.01270616     0.00700364
  -11.1111111     0.03634786    -0.01366721
  -11.0710711     0.04699498    -0.03301235
  -11.0310310     0.04421537    -0.05192251
  -10.9909910     0.03875933    -0.06515905
  -10.9509510     0.03594355    -0.06505595
  -10.9109109     0.02722829    -0.05277684
  -10.8708709     0.00277791    -0.03781214
  -10.8308308    -0.03338285    -0.02824062
  -10.7907908    -0.06480367    -0.02498616
  -10.7507508    -0.07648072    -0.02485209
  -10.7107107    -0.06636036    -0.02741617
  -10.6706707    -0.04534410    -0.03526110
  -10.6306306    -0.02712321    -0.04698102
  -10.5905906    -0.01858907    -0.05582944
  -10.5505506    -0.01810181    -0.05716252
  -10.5105105    -0.01902044    -0.05215896
  -10.4704705    -0.01521104    -0.04324011
  -10.4304304    -0.00633784    -0.03136431
  -10.3903904     0.00220909    -0.01904203
  -10.3503504     0.00505978    -0.01095093
  -10.3103103     0.00053511    -0.00964208
  -10.2702703    -0.00987647    -0.01270740
